date,open,high,low,close,ADJUSTED_CLOSE,volume,dividend,split
2020-11-04,93.135,97.49,92.59,94.5,94.5,22705448,0.0,1.0
2020-11-03,89.14,89.385,87.43,87.96,87.96,8518756,0.0,1.0
2020-11-02,86.03,88.5401,86.0,88.25,88.25,10781355,0.0,1.0
2020-10-30,83.195,86.14,83.0,85.1,85.1,18095146,0.0,1.0
2020-10-29,80.5,81.3697,79.1101,80.67,80.67,8876696,0.0,1.0
2020-10-28,81.35,82.21,80.235,80.49,80.49,11480182,0.0,1.0
2020-10-27,84.0,84.26,82.68,82.71,82.71,6705599,0.0,1.0
2020-10-26,84.09,84.32,82.81,83.92,83.92,7986251,0.0,1.0
2020-10-23,84.64,85.15,83.94,84.34,84.34,4238703,0.0,1.0
2020-10-22,83.02,84.89,82.92,84.31,84.31,8081607,0.0,1.0
2020-10-21,83.58,84.14,82.56,82.89,82.89,9776877,0.0,1.0
2020-10-20,84.19,84.83,83.42,84.25,84.25,6933177,0.0,1.0
2020-10-19,86.59,86.79,84.13,84.31,84.31,10287992,0.0,1.0
2020-10-16,85.89,87.15,85.757,86.27,86.27,5362675,0.0,1.0
2020-10-15,85.41,85.74,84.96,85.23,85.23,6193769,0.0,1.0
2020-10-14,86.83,87.1122,85.9,86.07,86.07,5864506,1.18,1.0
2020-10-13,88.01,88.8,87.47,87.83,86.6422,7851718,0.0,1.0
2020-10-12,88.17,88.6,87.32,88.32,87.1255,7314932,0.0,1.0
2020-10-09,87.41,88.7,87.35,87.7,86.5139,6005779,0.0,1.0
2020-10-08,87.27,88.58,86.92,87.34,86.1588,5535131,0.0,1.0
2020-10-07,86.16,87.2977,86.03,87.07,85.8924,5899660,0.0,1.0
2020-10-06,87.97,88.06,85.71,85.89,84.7284,8743761,0.0,1.0
2020-10-05,86.49,88.18,86.21,87.93,86.7408,5984220,0.0,1.0
2020-10-02,86.5,87.35,86.05,86.12,84.9553,5554326,0.0,1.0
2020-10-01,88.17,88.17,86.73,87.14,85.9615,8777328,0.0,1.0
2020-09-30,87.0,88.44,86.81,87.59,86.4054,8209345,0.0,1.0
2020-09-29,87.11,87.28,86.31,86.89,85.7149,5510185,0.0,1.0
2020-09-28,87.29,88.2,86.87,87.28,86.0996,6306923,0.0,1.0
2020-09-25,86.0,86.86,85.46,86.23,85.0638,9935566,0.0,1.0
2020-09-24,87.0,87.0,85.32,85.91,84.7481,9980810,0.0,1.0
2020-09-23,89.0,89.27,87.119,87.14,85.9615,6252954,0.0,1.0
2020-09-22,88.9,88.95,87.93,88.6,87.4017,5306130,0.0,1.0
2020-09-21,89.14,89.43,87.17,89.09,87.8851,7328258,0.0,1.0
2020-09-18,89.49,90.5,88.86,90.11,88.8913,10076304,0.0,1.0
2020-09-17,89.3,90.81,89.175,89.63,88.4178,5604683,0.0,1.0
2020-09-16,91.02,91.27,89.685,89.78,88.5658,6307956,0.0,1.0
2020-09-15,91.4,91.98,90.635,90.91,89.6805,3851321,0.0,1.0
2020-09-14,90.05,91.26,89.46,90.49,89.2662,5212480,0.0,1.0
2020-09-11,89.81,90.34,89.04,89.7,88.4869,8385750,0.0,1.0
2020-09-10,91.07,91.41,89.48,89.65,88.4375,10403581,0.0,1.0
2020-09-09,90.86,92.4295,90.51,91.63,90.3908,5373513,0.0,1.0
2020-09-08,91.52,91.86,89.45,90.22,88.9998,8563903,0.0,1.0
2020-09-04,92.08,93.133,90.5801,91.87,90.6275,9444845,0.0,1.0
2020-09-03,93.88,94.31,91.09,91.87,90.6275,8921855,0.0,1.0
2020-09-02,92.07,94.24,91.9,93.95,92.6794,9139151,0.0,1.0
2020-09-01,95.52,95.92,91.29,92.24,90.9925,15817818,0.0,1.0
