date,open,high,low,close,ADJUSTED_CLOSE,volume,dividend,split
2020-11-04,267.07,271.995,262.78,266.44,266.44,326397,0.0,1.0
2020-11-03,259.4,261.865,253.585,260.8,260.8,345786,0.0,1.0
2020-11-02,253.42,259.75,250.725,254.85,254.85,443756,0.0,1.0
2020-10-30,253.65,258.18,242.73,251.88,251.88,426359,0.0,1.0
2020-10-29,268.0,270.0,254.28,254.61,254.61,835818,0.0,1.0
2020-10-28,286.87,290.67,279.84,283.0,283.0,448734,0.0,1.0
2020-10-27,287.91,293.47,285.35,290.51,290.51,354339,0.0,1.0
2020-10-26,279.22,288.58,277.945,288.32,288.32,291428,0.0,1.0
2020-10-23,277.59,281.99,276.37,281.42,281.42,202810,0.0,1.0
2020-10-22,273.05,278.67,270.62,278.5,278.5,292447,0.0,1.0
2020-10-21,277.78,280.35,269.935,272.6,272.6,245345,0.0,1.0
2020-10-20,283.35,285.25,277.0,277.53,277.53,141637,0.0,1.0
2020-10-19,287.58,291.33,280.31,281.47,281.47,227804,0.0,1.0
2020-10-16,283.58,289.31,279.97,286.48,286.48,262600,0.0,1.0
2020-10-15,275.09,285.92,270.03,283.57,283.57,263968,0.0,1.0
2020-10-14,280.0,287.51,278.63,280.84,280.84,241698,0.0,1.0
2020-10-13,278.2336,280.95,274.96,276.95,276.95,191792,0.0,1.0
2020-10-12,274.8,279.38,272.65,277.85,277.85,243640,0.0,1.0
2020-10-09,273.3,276.24,271.56,273.56,273.56,150390,0.0,1.0
2020-10-08,271.0,272.93,267.13,271.2,271.2,225644,0.0,1.0
2020-10-07,268.22,272.795,267.83,268.54,268.54,199938,0.0,1.0
2020-10-06,268.69,271.17,263.565,264.82,264.82,357704,0.0,1.0
2020-10-05,263.91,270.69,263.01,270.69,270.69,312927,0.0,1.0
2020-10-02,256.48,265.41,255.405,261.99,261.99,432306,0.0,1.0
2020-10-01,277.14,280.73,258.29,260.45,260.45,971052,0.0,1.0
2020-09-30,275.12,280.875,272.22,277.06,277.06,339825,0.0,1.0
2020-09-29,271.31,279.44,271.31,272.46,272.46,186192,0.0,1.0
2020-09-28,269.98,275.32,268.48,273.55,273.55,297245,0.0,1.0
2020-09-25,261.37,268.51,259.474,266.44,266.44,224338,0.0,1.0
2020-09-24,261.04,265.57,256.51,262.47,262.47,307076,0.0,1.0
2020-09-23,266.55,268.44,259.4,260.11,260.11,318053,0.0,1.0
2020-09-22,266.99,269.4,261.23,268.99,268.99,196781,0.0,1.0
2020-09-21,260.26,266.27,256.17,265.86,265.86,334759,0.0,1.0
2020-09-18,275.23,275.94,260.9506,265.07,265.07,539123,0.0,1.0
2020-09-17,272.75,277.05,268.1,276.14,276.14,329776,0.0,1.0
2020-09-16,277.15,282.6111,270.08,274.41,274.41,341440,0.0,1.0
2020-09-15,277.92,283.5,276.33,279.16,279.16,220064,0.0,1.0
2020-09-14,272.75,280.605,272.38,275.7,275.7,307123,0.0,1.0
2020-09-11,274.76,276.5,266.71,269.77,269.77,356650,0.0,1.0
2020-09-10,279.0,282.835,271.16,272.02,272.02,210489,0.0,1.0
2020-09-09,273.37,279.69,272.9627,277.93,277.93,390441,0.0,1.0
2020-09-08,269.79,275.29,261.79,268.19,268.19,392778,0.0,1.0
2020-09-04,295.26,295.26,271.06,275.89,275.89,511884,0.0,1.0
2020-09-03,311.51,312.0,291.205,294.01,294.01,381898,0.0,1.0
2020-09-02,307.34,315.35,301.05,312.73,312.73,395878,0.0,1.0
2020-09-01,307.72,310.25,303.5,307.33,307.33,320316,0.0,1.0
2020-08-31,303.05,310.41,301.505,307.62,307.62,320574,0.0,1.0
2020-08-28,308.77,312.28,301.36,303.04,303.04,278662,0.0,1.0
2020-08-27,309.38,314.09,304.88,311.1,311.1,207375,0.0,1.0
2020-08-26,308.52,309.18,302.37,306.14,306.14,240729,0.0,1.0
2020-08-25,304.53,318.9608,303.77,311.12,311.12,253566,0.0,1.0
2020-08-24,308.99,313.095,303.15,304.95,304.95,287215,0.0,1.0
2020-08-21,310.0,310.5,304.45,307.57,307.57,254002,0.0,1.0
2020-08-20,311.16,315.0,309.04,310.01,310.01,214550,0.0,1.0
2020-08-19,312.38,317.69,311.49,314.35,314.35,231123,0.0,1.0
2020-08-18,311.99,314.56,306.5,313.2,313.2,207465,0.0,1.0
2020-08-17,307.76,313.8,305.68,309.55,309.55,188620,0.0,1.0
2020-08-14,307.48,310.615,303.67,307.35,307.35,263670,0.0,1.0
2020-08-13,304.29,310.23,304.055,308.37,308.37,185442,0.0,1.0
2020-08-12,294.85,307.24,294.85,302.34,302.34,248780,0.0,1.0
2020-08-11,300.01,302.05,294.09,294.87,294.87,429454,0.0,1.0
2020-08-10,306.96,308.6204,298.71,300.02,300.02,371903,0.0,1.0
2020-08-07,310.48,316.88,307.44,310.82,310.82,445410,0.0,1.0
2020-08-06,317.04,318.46,308.4844,314.98,314.98,442425,0.0,1.0
2020-08-05,305.36,319.19,303.11,317.0,317.0,466694,0.0,1.0
2020-08-04,308.93,310.969,302.83,305.35,305.35,372272,0.0,1.0
2020-08-03,300.5,309.17,298.3,308.35,308.35,372670,0.0,1.0
2020-07-31,300.2,302.97,294.22,299.94,299.94,282274,0.0,1.0
2020-07-30,298.41,300.94,292.29,298.91,298.91,277300,0.0,1.0
2020-07-29,294.91,301.48,294.91,299.1,299.1,299328,0.0,1.0
2020-07-28,299.46,299.56,294.14,294.89,294.89,250176,0.0,1.0
2020-07-27,293.0,300.37,290.045,298.61,298.61,261281,0.0,1.0
2020-07-24,293.2,294.87,286.85,292.94,292.94,184348,0.0,1.0
2020-07-23,299.53,301.105,293.26,294.57,294.57,209906,0.0,1.0
2020-07-22,298.78,300.7784,293.585,297.27,297.27,372457,0.0,1.0
2020-07-21,294.49,300.02,290.93,298.57,298.57,597025,0.0,1.0
2020-07-20,285.0,292.28,283.14,290.79,290.79,488522,0.0,1.0
2020-07-17,273.86,284.73,272.24,284.55,284.55,459900,0.0,1.0
2020-07-16,273.55,276.8,271.22,273.04,273.04,176800,0.0,1.0
2020-07-15,269.69,277.28,262.82,276.64,276.64,379900,0.0,1.0
2020-07-14,262.97,264.56,251.86,264.41,264.41,356100,0.0,1.0
2020-07-13,267.96,274.2,262.74,264.55,264.55,527500,0.0,1.0
2020-07-10,265.45,266.3,261.47,264.51,264.51,152300,0.0,1.0
2020-07-09,267.3,268.72,261.01,265.68,265.68,257200,0.0,1.0
2020-07-08,265.37,268.2,262.8,265.64,265.64,273000,0.0,1.0
2020-07-07,266.07,271.11,261.73,264.59,264.59,402300,0.0,1.0
2020-07-06,267.57,272.56,263.81,266.21,266.21,517000,0.0,1.0
2020-07-02,256.11,266.35,255.43,263.84,263.84,518900,0.0,1.0
2020-07-01,242.96,257.49,242.68,255.22,255.22,655600,0.0,1.0
2020-06-30,240.08,242.56,237.18,241.56,241.56,362400,0.0,1.0
2020-06-29,240.76,241.62,234.39,240.22,240.22,335400,0.0,1.0
2020-06-26,243.34,243.34,237.6,239.27,239.27,477442,0.0,1.0
2020-06-25,240.0,242.47,235.99,241.75,241.75,420051,0.0,1.0
2020-06-24,252.15,253.42,239.48,241.66,241.66,498239,0.0,1.0
2020-06-23,254.67,258.8161,252.13,252.58,252.58,420759,0.0,1.0
2020-06-22,258.88,259.245,253.615,254.66,254.66,391986,0.0,1.0
2020-06-19,254.22,260.45,250.895,257.09,257.09,766469,0.0,1.0
2020-06-18,254.0,255.34,250.04,253.36,253.36,324048,0.0,1.0
2020-06-17,252.04,256.0,249.153,254.73,254.73,381594,0.0,1.0
2020-06-16,252.49,252.49,246.295,249.14,249.14,419003,0.0,1.0
