date,open,high,low,close,ADJUSTED_CLOSE,volume,dividend,split
2020-11-04,110.17,114.23,110.105,111.53,111.53,7238773,0.0,1.0
2020-11-03,108.74,110.8,108.36,109.56,109.56,3870091,0.0,1.0
2020-11-02,107.09,108.7,106.11,107.48,107.48,5907062,0.0,1.0
2020-10-30,104.76,105.55,103.13,105.11,105.11,4434640,0.0,1.0
2020-10-29,106.38,106.58,104.57,105.0,105.0,4237622,0.0,1.0
2020-10-28,106.81,107.41,105.38,106.42,106.42,7104939,0.0,1.0
2020-10-27,108.89,109.7495,108.33,108.58,108.58,4518049,0.0,1.0
2020-10-26,107.57,109.161,107.0474,109.0,109.0,7297958,0.0,1.0
2020-10-23,109.64,110.0,107.57,107.79,107.79,3573013,0.0,1.0
2020-10-22,106.42,110.05,106.24,109.48,109.48,4954280,0.0,1.0
2020-10-21,108.01,109.0,104.7548,105.93,105.93,5716007,0.0,1.0
2020-10-20,108.35,109.89,108.11,108.36,108.36,3873504,0.0,1.0
2020-10-19,109.9,111.035,107.82,108.04,108.04,4228515,0.0,1.0
2020-10-16,107.7,110.38,107.7,109.67,109.67,4363766,0.0,1.0
2020-10-15,106.85,107.74,106.31,107.32,107.32,3518987,0.0,1.0
2020-10-14,108.61,109.83,107.34,107.75,107.75,4191903,0.36,1.0
2020-10-13,110.5,110.99,108.25,108.37,108.0091,4773555,0.0,1.0
2020-10-12,110.25,111.57,109.76,111.05,110.6802,4201819,0.0,1.0
2020-10-09,109.34,109.97,108.8,109.65,109.2849,3060733,0.0,1.0
2020-10-08,108.14,109.13,107.42,108.54,108.1786,4168512,0.0,1.0
2020-10-07,107.37,108.18,106.93,107.74,107.3812,4162751,0.0,1.0
2020-10-06,108.56,108.77,106.05,106.25,105.8962,3992611,0.0,1.0
2020-10-05,107.18,108.65,107.18,108.56,108.1985,3603415,0.0,1.0
2020-10-02,107.68,108.66,106.33,106.5,106.1454,5590462,0.0,1.0
2020-10-01,109.18,110.33,108.38,108.64,108.2782,7242069,0.0,1.0
2020-09-30,105.99,109.48,105.74,108.83,108.4676,9487040,0.0,1.0
2020-09-29,106.01,106.41,104.92,105.19,104.8397,4470770,0.0,1.0
2020-09-28,104.24,105.25,103.82,104.44,104.0922,5515469,0.0,1.0
2020-09-25,100.56,103.61,100.34,103.45,103.1055,5060317,0.0,1.0
2020-09-24,102.75,103.53,100.47,100.92,100.5839,7603993,0.0,1.0
2020-09-23,104.99,104.99,102.23,102.73,102.3879,4040141,0.0,1.0
2020-09-22,105.46,105.52,103.565,104.8,104.451,4180254,0.0,1.0
2020-09-21,105.8,106.46,104.46,105.95,105.5972,4559845,0.0,1.0
2020-09-18,106.56,107.99,106.14,106.86,106.5042,7622454,0.0,1.0
2020-09-17,104.96,106.75,104.3922,106.66,106.3048,4283743,0.0,1.0
2020-09-16,106.95,107.37,105.66,105.7,105.348,4244419,0.0,1.0
2020-09-15,107.0,107.53,106.17,106.58,106.2251,3654948,0.0,1.0
2020-09-14,105.59,106.66,105.12,105.69,105.3381,3824100,0.0,1.0
2020-09-11,105.28,105.7,104.3248,104.7,104.3514,4111262,0.0,1.0
2020-09-10,105.6,105.6,103.73,104.0,103.6537,4271232,0.0,1.0
2020-09-09,104.26,106.9299,104.13,105.81,105.4577,4365102,0.0,1.0
2020-09-08,103.17,103.8164,102.43,102.84,102.4975,5217691,0.0,1.0
2020-09-04,105.45,106.04,102.42,104.16,103.8132,5027723,0.0,1.0
2020-09-03,108.7,108.94,104.3,105.53,105.1786,6096925,0.0,1.0
2020-09-02,106.45,109.91,105.88,109.44,109.0756,5843679,0.0,1.0
2020-09-01,108.93,109.065,105.58,106.55,106.1952,7967973,0.0,1.0
