date,open,high,low,close,ADJUSTED_CLOSE,volume,dividend,split
2020-11-04,225.0,230.9,224.4,227.92,227.92,1690339,0.0,1.0
2020-11-03,222.0,227.77,221.43,225.71,225.71,1544039,0.0,1.0
2020-11-02,219.17,223.16,218.32,220.19,220.19,2087153,0.0,1.0
2020-10-30,215.28,217.81,213.64,216.91,216.91,1972663,0.0,1.0
2020-10-29,215.51,218.53,212.45,216.44,216.44,1499126,0.0,1.0
2020-10-28,216.81,217.93,212.92,213.94,213.94,2412275,0.0,1.0
2020-10-27,220.63,223.0,220.21,220.66,220.66,1567844,0.0,1.0
2020-10-26,225.36,227.99,218.35,219.23,219.23,2162125,0.0,1.0
2020-10-23,227.7,229.8,226.93,229.7,229.7,1187637,0.0,1.0
2020-10-22,233.1,234.705,227.85,228.14,228.14,1661281,0.0,1.0
2020-10-21,229.9,234.38,229.055,233.1,233.1,1701797,0.0,1.0
2020-10-20,226.7,232.285,226.45,230.39,230.39,1783836,0.0,1.0
2020-10-19,230.23,233.25,225.72,226.24,226.24,1904489,0.0,1.0
2020-10-16,229.03,231.94,228.68,230.05,230.05,1796451,0.0,1.0
2020-10-15,225.59,230.68,225.26,228.77,228.77,1273410,0.0,1.0
2020-10-14,228.88,231.9,228.32,229.43,229.43,1443841,0.0,1.0
2020-10-13,230.72,231.9,228.81,229.38,229.38,1634008,0.0,1.0
2020-10-12,229.69,231.765,227.58,230.59,230.59,1524276,0.0,1.0
2020-10-09,225.86,229.09,225.8,228.69,228.69,1312471,0.88,1.0
2020-10-08,226.04,226.79,223.97,225.61,224.7452,1394410,0.0,1.0
2020-10-07,221.9,224.63,220.05,223.45,222.5935,2005752,0.0,1.0
2020-10-06,223.59,225.27,220.09,220.35,219.5053,2286278,0.0,1.0
2020-10-05,224.37,224.94,222.04,223.49,222.6333,1446008,0.0,1.0
2020-10-02,222.05,224.92,221.35,222.4,221.5475,1936069,0.0,1.0
2020-10-01,227.36,229.24,224.03,225.18,224.3168,1928782,0.0,1.0
