date,open,high,low,close,ADJUSTED_CLOSE,volume,dividend,split
2020-11-04,162.75,165.3,159.9,160.16,160.16,2987880,0.0,1.0
2020-11-03,164.86,166.83,163.7355,165.51,165.51,1896938,0.0,1.0
2020-11-02,162.19,163.42,160.93,162.94,162.94,2116638,0.0,1.0
2020-10-30,158.33,159.96,156.995,159.96,159.96,2234526,0.0,1.0
2020-10-29,158.11,160.18,156.13,158.48,158.48,2680871,0.0,1.0
2020-10-28,159.81,162.85,158.12,158.53,158.53,3065174,0.0,1.0
2020-10-27,164.5,164.98,160.65,161.03,161.03,3894419,0.0,1.0
2020-10-26,167.68,168.09,164.39,166.16,166.16,3338767,0.0,1.0
2020-10-23,171.92,172.175,169.02,169.8,169.8,2137484,0.0,1.0
2020-10-22,169.64,170.99,168.3901,170.71,170.71,1663268,0.0,1.0
2020-10-21,170.34,172.11,169.07,169.17,169.17,1511112,0.0,1.0
2020-10-20,170.5,173.19,169.99,170.95,170.95,1813211,0.0,1.0
2020-10-19,171.02,172.35,168.87,169.55,169.55,1910123,0.0,1.0
2020-10-16,169.94,172.07,169.215,170.97,170.97,2478787,0.0,1.0
2020-10-15,166.05,169.68,165.8,169.08,169.08,1638271,0.0,1.0
2020-10-14,167.01,169.54,166.79,168.4,168.4,1435365,0.0,1.0
2020-10-13,168.3,169.45,166.0,166.63,166.63,1575448,0.0,1.0
2020-10-12,169.47,170.61,168.1201,168.65,168.65,1533855,0.0,1.0
2020-10-09,168.88,170.48,167.95,169.3,169.3,2015611,0.0,1.0
2020-10-08,167.3,168.15,166.125,167.71,167.71,1902821,0.0,1.0
2020-10-07,165.1,167.75,164.41,166.49,166.49,2155563,0.0,1.0
2020-10-06,163.44,165.7,161.83,162.23,162.23,2022103,0.0,1.0
2020-10-05,162.25,163.5,161.76,162.75,162.75,1457201,0.0,1.0
2020-10-02,156.47,161.94,156.25,160.36,160.36,1769035,0.0,1.0
2020-10-01,160.67,161.9,157.72,158.79,158.79,1989312,0.0,1.0
2020-09-30,160.93,163.103,158.61,160.18,160.18,3056908,0.0,1.0
2020-09-29,161.67,161.95,158.78,159.81,159.81,2026047,0.0,1.0
2020-09-28,162.0,164.14,161.33,161.66,161.66,2098520,0.0,1.0
2020-09-25,159.31,160.98,158.86,160.27,160.27,1949057,0.0,1.0
2020-09-24,159.4,161.955,158.07,160.42,160.42,1569695,0.0,1.0
2020-09-23,162.52,164.24,159.12,159.51,159.51,2248196,0.0,1.0
2020-09-22,161.06,163.67,160.42,162.34,162.34,2103752,0.0,1.0
2020-09-21,165.98,166.6699,159.64,161.36,161.36,3911678,0.0,1.0
2020-09-18,172.06,172.78,169.47,169.55,169.55,4084722,0.0,1.0
2020-09-17,168.0,173.2,167.185,172.38,172.38,2756078,0.0,1.0
2020-09-16,167.87,171.1,167.51,169.51,169.51,2932828,0.0,1.0
2020-09-15,169.87,169.93,166.1701,166.57,166.57,2056474,0.0,1.0
2020-09-14,167.66,169.425,166.425,168.46,168.46,2264354,0.0,1.0
2020-09-11,163.44,166.6965,163.06,166.17,166.17,1698664,0.0,1.0
2020-09-10,166.24,166.67,162.75,163.15,163.15,2054331,0.0,1.0
