SYMB,DATE,EMA
A,1999-12-16,28.8979
A,1999-12-17,29.0491
A,1999-12-20,29.2452
A,1999-12-21,29.4069
A,1999-12-22,29.612
A,1999-12-23,29.936
A,1999-12-27,30.4224
A,1999-12-28,31.4118
A,1999-12-29,32.9705
A,1999-12-30,34.8389
A,1999-12-31,36.4068
A,2000-01-03,37.4898
A,2000-01-04,38.1221
A,2000-01-05,38.3819
A,2000-01-06,38.5184
A,2000-01-07,38.9579
A,2000-01-10,39.6046
A,2000-01-11,40.1302
A,2000-01-12,40.5192
A,2000-01-13,40.9344
A,2000-01-14,41.3574
A,2000-01-18,41.9373
A,2000-01-19,42.3672
A,2000-01-20,42.638
A,2000-01-21,42.9221
A,2000-01-24,43.1634
A,2000-01-25,43.3305
A,2000-01-26,43.5209
A,2000-01-27,43.7014
A,2000-01-28,43.8407
A,2000-01-31,43.8485
A,2000-02-01,44.1596
A,2000-02-02,44.7886
A,2000-02-03,45.4367
A,2000-02-04,45.9283
A,2000-02-07,46.5785
A,2000-02-08,47.1351
A,2000-02-09,47.4334
A,2000-02-10,47.7626
A,2000-02-11,47.9777
A,2000-02-14,48.2393
A,2000-02-15,48.8198
A,2000-02-16,49.2894
A,2000-02-17,50.7255
A,2000-02-18,51.8194
A,2000-02-22,52.6669
A,2000-02-23,53.9076
A,2000-02-24,55.5232
A,2000-02-25,57.0671
A,2000-02-28,58.0152
A,2000-02-29,59.0563
A,2000-03-01,60.3269
A,2000-03-02,61.2363
A,2000-03-03,62.2297
A,2000-03-06,66.3517
A,2000-03-07,69.0067
A,2000-03-08,72.0408
A,2000-03-09,74.8492
A,2000-03-10,76.6949
A,2000-03-13,77.6887
A,2000-03-14,78.5056
A,2000-03-15,78.2525
A,2000-03-16,78.2636
A,2000-03-17,78.4633
A,2000-03-20,78.1826
A,2000-03-21,78.0045
A,2000-03-22,78.1215
A,2000-03-23,78.2462
A,2000-03-24,78.378
A,2000-03-27,78.1371
A,2000-03-28,78.2224
A,2000-03-29,77.8509
A,2000-03-30,77.0724
A,2000-03-31,76.3049
A,2000-04-03,75.2312
A,2000-04-04,73.9754
A,2000-04-05,73.0566
A,2000-04-06,72.7347
A,2000-04-07,73.5179
A,2000-04-10,73.3353
A,2000-04-11,72.7277
A,2000-04-12,71.2364
A,2000-04-13,70.1399
A,2000-04-14,68.6858
A,2000-04-17,67.1686
A,2000-04-18,66.2699
A,2000-04-19,65.4725
A,2000-04-20,64.9211
A,2000-04-24,64.5291
A,2000-04-25,64.0713
A,2000-04-26,63.776
A,2000-04-27,63.4374
A,2000-04-28,62.997
A,2000-05-01,63.0252
A,2000-05-02,63.3933
A,2000-05-03,63.1385
A,2000-05-04,62.829
A,2000-05-05,62.6242
A,2000-05-08,62.0161
A,2000-05-09,61.1777
A,2000-05-10,60.2175
A,2000-05-11,59.321
A,2000-05-12,59.3947
A,2000-05-15,59.3115
A,2000-05-16,59.3191
A,2000-05-17,58.5992
A,2000-05-18,57.5054
A,2000-05-19,56.2396
A,2000-05-22,54.8258
A,2000-05-23,53.2698
A,2000-05-24,51.9253
A,2000-05-25,51.3249
A,2000-05-26,50.5447
A,2000-05-30,50.4949
A,2000-05-31,50.3392
A,2000-06-01,50.1585
A,2000-06-02,50.548
A,2000-06-05,50.7266
A,2000-06-06,50.3826
A,2000-06-07,49.8186
A,2000-06-08,49.4429
A,2000-06-09,49.2135
A,2000-06-12,48.6977
A,2000-06-13,48.4243
A,2000-06-14,48.0942
A,2000-06-15,47.6811
A,2000-06-16,47.0982
A,2000-06-19,46.9102
A,2000-06-20,47.0958
A,2000-06-21,47.5716
A,2000-06-22,47.8283
A,2000-06-23,48.0213
A,2000-06-26,48.196
A,2000-06-27,48.3736
A,2000-06-28,48.7909
A,2000-06-29,48.9397
A,2000-06-30,48.9397
A,2000-07-03,48.9359
A,2000-07-05,48.715
A,2000-07-06,48.4444
A,2000-07-07,48.0966
A,2000-07-10,47.8451
A,2000-07-11,47.5423
A,2000-07-12,47.3752
A,2000-07-13,47.3504
A,2000-07-14,47.7109
A,2000-07-17,48.1123
A,2000-07-18,48.3731
A,2000-07-19,48.4466
A,2000-07-20,47.2454
A,2000-07-21,45.7832
A,2000-07-24,44.5512
A,2000-07-25,43.1364
A,2000-07-26,41.7457
A,2000-07-27,40.3453
A,2000-07-28,39.1098
A,2000-07-31,37.9604
A,2000-08-01,36.9047
A,2000-08-02,35.9261
A,2000-08-03,35.0957
A,2000-08-04,34.285
A,2000-08-07,33.5319
A,2000-08-08,32.7912
A,2000-08-09,32.1525
A,2000-08-10,31.5551
A,2000-08-11,31.1177
A,2000-08-14,30.9032
A,2000-08-15,30.6776
A,2000-08-16,30.5051
A,2000-08-17,30.5386
A,2000-08-18,31.1933
A,2000-08-21,32.046
A,2000-08-22,32.8175
A,2000-08-23,33.5156
A,2000-08-24,34.0997
A,2000-08-25,34.5493
A,2000-08-28,34.9642
A,2000-08-29,35.6158
A,2000-08-30,36.103
A,2000-08-31,36.5197
A,2000-09-01,36.9524
A,2000-09-05,37.3394
A,2000-09-06,37.5752
A,2000-09-07,37.9074
A,2000-09-08,38.0417
A,2000-09-11,38.0052
A,2000-09-12,37.8616
A,2000-09-13,37.7316
A,2000-09-14,37.6615
A,2000-09-15,37.677
A,2000-09-18,37.5014
A,2000-09-19,37.335
A,2000-09-20,37.0972
A,2000-09-21,36.5977
A,2000-09-22,36.2722
A,2000-09-25,35.8708
A,2000-09-26,35.3105
A,2000-09-27,34.8547
A,2000-09-28,34.5656
A,2000-09-29,34.3666
A,2000-10-02,34.2889
A,2000-10-03,34.381
A,2000-10-04,34.7646
A,2000-10-05,34.9378
A,2000-10-06,34.9088
A,2000-10-09,34.7877
A,2000-10-10,34.6067
A,2000-10-11,34.2059
A,2000-10-12,33.7764
A,2000-10-13,33.3643
A,2000-10-16,33.1217
A,2000-10-17,32.7044
A,2000-10-18,32.1733
A,2000-10-19,31.8741
A,2000-10-20,31.781
A,2000-10-23,31.9812
A,2000-10-24,31.9727
A,2000-10-25,31.6218
A,2000-10-26,31.391
A,2000-10-27,31.2927
A,2000-10-30,31.188
A,2000-10-31,31.1444
A,2000-11-01,31.1366
A,2000-11-02,31.213
A,2000-11-03,31.1987
A,2000-11-06,31.1585
A,2000-11-07,31.0944
A,2000-11-08,30.9378
A,2000-11-09,30.7443
A,2000-11-10,30.3088
A,2000-11-13,29.9066
A,2000-11-14,29.7525
A,2000-11-15,29.6605
A,2000-11-16,29.4666
A,2000-11-17,29.6547
A,2000-11-20,29.651
A,2000-11-21,29.9004
A,2000-11-22,30.0863
A,2000-11-24,30.4403
A,2000-11-27,30.7327
A,2000-11-28,31.0094
A,2000-11-29,31.4612
A,2000-11-30,31.7633
A,2000-12-01,32.0877
A,2000-12-04,32.2549
A,2000-12-05,32.6627
A,2000-12-06,32.8383
A,2000-12-07,33.1236
A,2000-12-08,33.7255
A,2000-12-11,34.1633
A,2000-12-12,34.5278
A,2000-12-13,34.9169
A,2000-12-14,35.336
A,2000-12-15,35.5654
A,2000-12-18,35.7806
A,2000-12-19,35.979
A,2000-12-20,35.8704
A,2000-12-21,35.7013
A,2000-12-22,35.7575
A,2000-12-26,35.7332
A,2000-12-27,35.8654
A,2000-12-28,35.9451
A,2000-12-29,35.9819
A,2001-01-02,35.7706
A,2001-01-03,35.9112
A,2001-01-04,36.1725
A,2001-01-05,36.2072
A,2001-01-08,36.1242
A,2001-01-09,36.0333
A,2001-01-10,36.0971
A,2001-01-11,36.297
A,2001-01-12,36.3875
A,2001-01-16,36.5996
A,2001-01-17,37.0284
A,2001-01-18,37.7716
A,2001-01-19,38.3176
A,2001-01-22,38.6341
A,2001-01-23,38.9203
A,2001-01-24,38.8792
A,2001-01-25,38.6681
A,2001-01-26,38.438
A,2001-01-29,38.2165
A,2001-01-30,38.037
A,2001-01-31,37.8619
A,2001-02-01,37.6561
A,2001-02-02,37.3688
A,2001-02-05,36.9192
A,2001-02-06,36.6243
A,2001-02-07,36.3051
A,2001-02-08,36.2735
A,2001-02-09,36.1368
A,2001-02-12,35.9259
A,2001-02-13,35.4981
A,2001-02-14,35.1509
A,2001-02-15,35.2064
A,2001-02-16,35.0134
A,2001-02-20,34.4595
A,2001-02-21,33.7182
A,2001-02-22,32.9762
A,2001-02-23,32.2561
A,2001-02-26,31.6046
A,2001-02-27,31.0057
A,2001-02-28,30.3279
A,2001-03-01,29.8607
A,2001-03-02,29.4202
A,2001-03-05,29.023
