SYMB,DATE,EMA
AAP,2001-12-27,13.5374
AAP,2001-12-28,13.6597
AAP,2001-12-31,13.8514
AAP,2002-01-02,13.9657
AAP,2002-01-03,13.9948
AAP,2002-01-04,13.937
AAP,2002-01-07,13.8638
AAP,2002-01-08,13.7765
AAP,2002-01-09,13.7005
AAP,2002-01-10,13.6588
AAP,2002-01-11,13.6631
AAP,2002-01-14,13.6489
AAP,2002-01-15,13.7294
AAP,2002-01-16,13.8289
AAP,2002-01-17,13.928
AAP,2002-01-18,14.0206
AAP,2002-01-22,14.0864
AAP,2002-01-23,14.1519
AAP,2002-01-24,14.1917
AAP,2002-01-25,14.2472
AAP,2002-01-28,14.2795
AAP,2002-01-29,14.3104
AAP,2002-01-30,14.3471
AAP,2002-01-31,14.3863
AAP,2002-02-01,14.4293
AAP,2002-02-04,14.4451
AAP,2002-02-05,14.4461
AAP,2002-02-06,14.4414
AAP,2002-02-07,14.4071
AAP,2002-02-08,14.3791
AAP,2002-02-11,14.3718
AAP,2002-02-12,14.3891
AAP,2002-02-13,14.3688
AAP,2002-02-14,14.34
AAP,2002-02-15,14.3123
AAP,2002-02-19,14.2844
AAP,2002-02-20,14.25
AAP,2002-02-21,14.2244
AAP,2002-02-22,14.2168
AAP,2002-02-25,14.2129
AAP,2002-02-26,14.2124
AAP,2002-02-27,14.2119
AAP,2002-02-28,14.2025
AAP,2002-03-01,14.167
AAP,2002-03-04,14.1348
AAP,2002-03-05,14.0997
AAP,2002-03-06,14.065
AAP,2002-03-07,13.9525
AAP,2002-03-08,13.8688
AAP,2002-03-11,13.8078
AAP,2002-03-12,13.7468
AAP,2002-03-13,13.6887
AAP,2002-03-14,13.6781
AAP,2002-03-15,13.706
AAP,2002-03-18,13.7283
AAP,2002-03-19,13.7709
AAP,2002-03-20,13.7963
AAP,2002-03-21,13.8174
AAP,2002-03-22,13.8291
AAP,2002-03-25,13.8336
AAP,2002-03-26,13.8662
AAP,2002-03-27,13.8972
AAP,2002-03-28,13.9538
AAP,2002-04-01,14.0052
AAP,2002-04-02,14.0215
AAP,2002-04-03,14.0017
AAP,2002-04-04,13.9877
AAP,2002-04-05,13.9906
AAP,2002-04-08,14.0083
AAP,2002-04-09,14.0753
AAP,2002-04-10,14.1674
AAP,2002-04-11,14.2495
AAP,2002-04-12,14.3205
AAP,2002-04-15,14.4027
AAP,2002-04-16,14.4906
AAP,2002-04-17,14.5807
AAP,2002-04-18,14.6645
AAP,2002-04-19,14.768
AAP,2002-04-22,14.8587
AAP,2002-04-23,14.9736
AAP,2002-04-24,15.0882
AAP,2002-04-25,15.3763
AAP,2002-04-26,15.6145
AAP,2002-04-29,15.8166
AAP,2002-04-30,16.0863
AAP,2002-05-01,16.3274
AAP,2002-05-02,16.5396
AAP,2002-05-03,16.7312
AAP,2002-05-06,16.8929
AAP,2002-05-07,17.0955
AAP,2002-05-08,17.266
AAP,2002-05-09,17.4008
AAP,2002-05-10,17.511
AAP,2002-05-13,17.6017
AAP,2002-05-14,17.7378
AAP,2002-05-15,17.9044
AAP,2002-05-16,18.0386
AAP,2002-05-17,18.1535
AAP,2002-05-20,18.2682
AAP,2002-05-21,18.315
AAP,2002-05-22,18.3732
AAP,2002-05-23,18.3947
AAP,2002-05-24,18.425
AAP,2002-05-28,18.4133
AAP,2002-05-29,18.3473
AAP,2002-05-30,18.247
AAP,2002-05-31,18.2434
AAP,2002-06-03,18.2595
AAP,2002-06-04,18.2867
AAP,2002-06-05,18.2838
AAP,2002-06-06,18.2646
AAP,2002-06-07,18.2457
AAP,2002-06-10,18.2691
AAP,2002-06-11,18.2738
AAP,2002-06-12,18.2568
AAP,2002-06-13,18.2465
AAP,2002-06-14,18.2488
AAP,2002-06-17,18.2705
AAP,2002-06-18,18.3125
AAP,2002-06-19,18.3776
AAP,2002-06-20,18.4623
AAP,2002-06-21,18.5344
AAP,2002-06-24,18.5664
AAP,2002-06-25,18.5229
AAP,2002-06-26,18.4117
AAP,2002-06-27,18.3005
AAP,2002-06-28,18.193
AAP,2002-07-01,18.0324
AAP,2002-07-02,17.8332
AAP,2002-07-03,17.6622
AAP,2002-07-05,17.4907
AAP,2002-07-08,17.3775
AAP,2002-07-09,17.2298
AAP,2002-07-10,17.0455
AAP,2002-07-11,16.8625
AAP,2002-07-12,16.7119
AAP,2002-07-15,16.5064
AAP,2002-07-16,16.2815
AAP,2002-07-17,16.1353
AAP,2002-07-18,16.0327
AAP,2002-07-19,15.8801
AAP,2002-07-22,15.6728
AAP,2002-07-23,15.4688
AAP,2002-07-24,15.4132
AAP,2002-07-25,15.3253
AAP,2002-07-26,15.2624
AAP,2002-07-29,15.2759
AAP,2002-07-30,15.3002
AAP,2002-07-31,15.3509
AAP,2002-08-01,15.347
AAP,2002-08-02,15.3006
AAP,2002-08-05,15.1575
AAP,2002-08-06,15.0685
AAP,2002-08-07,15.012
AAP,2002-08-08,14.9924
AAP,2002-08-09,15.0286
AAP,2002-08-12,15.0614
AAP,2002-08-13,15.1274
AAP,2002-08-14,15.1898
AAP,2002-08-15,15.2688
AAP,2002-08-16,15.3657
AAP,2002-08-19,15.5089
AAP,2002-08-20,15.631
AAP,2002-08-21,15.7684
AAP,2002-08-22,15.8988
AAP,2002-08-23,16.0194
