SYMB,DATE,EMA
ABBV,2013-01-30,25.9489
ABBV,2013-01-31,26.0324
ABBV,2013-02-01,26.142
ABBV,2013-02-04,26.2481
ABBV,2013-02-05,26.3386
ABBV,2013-02-06,26.4162
ABBV,2013-02-07,26.4364
ABBV,2013-02-08,26.4428
ABBV,2013-02-11,26.4207
ABBV,2013-02-12,26.3708
ABBV,2013-02-13,26.3152
ABBV,2013-02-14,26.3554
ABBV,2013-02-15,26.4621
ABBV,2013-02-19,26.6011
ABBV,2013-02-20,26.7561
ABBV,2013-02-21,26.9082
ABBV,2013-02-22,27.0235
ABBV,2013-02-25,27.052
ABBV,2013-02-26,27.0582
ABBV,2013-02-27,27.0388
ABBV,2013-02-28,27.0345
ABBV,2013-03-01,27.0925
ABBV,2013-03-04,27.175
ABBV,2013-03-05,27.1987
ABBV,2013-03-06,27.2363
ABBV,2013-03-07,27.2528
ABBV,2013-03-08,27.2573
ABBV,2013-03-11,27.2844
ABBV,2013-03-12,27.2741
ABBV,2013-03-13,27.2647
ABBV,2013-03-14,27.2834
ABBV,2013-03-15,27.3658
ABBV,2013-03-18,27.4167
ABBV,2013-03-19,27.4766
ABBV,2013-03-20,27.5796
ABBV,2013-03-21,27.6331
ABBV,2013-03-22,27.7149
ABBV,2013-03-25,27.8133
ABBV,2013-03-26,27.9643
ABBV,2013-03-27,28.0967
ABBV,2013-03-28,28.2604
ABBV,2013-04-01,28.4321
ABBV,2013-04-02,28.559
ABBV,2013-04-03,28.664
ABBV,2013-04-04,28.8308
ABBV,2013-04-05,28.9615
ABBV,2013-04-08,29.1117
ABBV,2013-04-09,29.302
ABBV,2013-04-10,29.5486
ABBV,2013-04-11,29.7704
ABBV,2013-04-12,29.9633
ABBV,2013-04-15,30.0219
ABBV,2013-04-16,30.1459
ABBV,2013-04-17,30.2433
ABBV,2013-04-18,30.3371
ABBV,2013-04-19,30.4268
ABBV,2013-04-22,30.6352
ABBV,2013-04-23,30.8898
ABBV,2013-04-24,31.0626
ABBV,2013-04-25,31.2132
ABBV,2013-04-26,31.462
ABBV,2013-04-29,31.6442
ABBV,2013-04-30,31.8667
ABBV,2013-05-01,32.0328
ABBV,2013-05-02,32.0735
ABBV,2013-05-03,32.1588
ABBV,2013-05-06,32.2297
ABBV,2013-05-07,32.3163
ABBV,2013-05-08,32.2948
ABBV,2013-05-09,32.3281
ABBV,2013-05-10,32.4124
ABBV,2013-05-13,32.4556
ABBV,2013-05-14,32.5516
ABBV,2013-05-15,32.6862
ABBV,2013-05-16,32.8207
ABBV,2013-05-17,33.0099
ABBV,2013-05-20,33.117
ABBV,2013-05-21,33.2337
ABBV,2013-05-22,33.3547
ABBV,2013-05-23,33.4522
ABBV,2013-05-24,33.4596
ABBV,2013-05-28,33.4628
ABBV,2013-05-29,33.3596
ABBV,2013-05-30,33.3133
ABBV,2013-05-31,33.1406
ABBV,2013-06-03,33.0316
ABBV,2013-06-04,32.9518
ABBV,2013-06-05,32.8382
ABBV,2013-06-06,32.7678
ABBV,2013-06-07,32.7392
ABBV,2013-06-10,32.7077
ABBV,2013-06-11,32.656
ABBV,2013-06-12,32.5516
ABBV,2013-06-13,32.4839
ABBV,2013-06-14,32.4268
ABBV,2013-06-17,32.3611
ABBV,2013-06-18,32.3389
ABBV,2013-06-19,32.2837
ABBV,2013-06-20,32.0946
ABBV,2013-06-21,32.0331
ABBV,2013-06-24,31.9262
ABBV,2013-06-25,31.8815
ABBV,2013-06-26,31.8937
ABBV,2013-06-27,31.8872
ABBV,2013-06-28,31.7555
ABBV,2013-07-01,31.6554
ABBV,2013-07-02,31.6069
ABBV,2013-07-03,31.5645
ABBV,2013-07-05,31.5605
ABBV,2013-07-08,31.6244
ABBV,2013-07-09,31.6569
ABBV,2013-07-10,31.7278
ABBV,2013-07-11,31.8109
ABBV,2013-07-12,31.9761
ABBV,2013-07-15,32.0952
ABBV,2013-07-16,32.1454
ABBV,2013-07-17,32.2015
ABBV,2013-07-18,32.2778
ABBV,2013-07-19,32.361
ABBV,2013-07-22,32.4682
ABBV,2013-07-23,32.5183
ABBV,2013-07-24,32.5162
ABBV,2013-07-25,32.5568
ABBV,2013-07-26,32.6326
ABBV,2013-07-29,32.7203
ABBV,2013-07-30,32.7741
ABBV,2013-07-31,32.8781
ABBV,2013-08-01,32.9559
ABBV,2013-08-02,33.0313
ABBV,2013-08-05,33.0562
ABBV,2013-08-06,33.0908
ABBV,2013-08-07,33.1001
ABBV,2013-08-08,33.1433
ABBV,2013-08-09,33.1575
ABBV,2013-08-12,33.1938
ABBV,2013-08-13,33.2188
ABBV,2013-08-14,33.2167
ABBV,2013-08-15,33.1175
ABBV,2013-08-16,33.013
ABBV,2013-08-19,32.9446
ABBV,2013-08-20,32.8543
ABBV,2013-08-21,32.7259
ABBV,2013-08-22,32.653
ABBV,2013-08-23,32.6231
ABBV,2013-08-26,32.5975
ABBV,2013-08-27,32.5162
ABBV,2013-08-28,32.4377
ABBV,2013-08-29,32.371
ABBV,2013-08-30,32.3098
ABBV,2013-09-03,32.2531
ABBV,2013-09-04,32.2401
ABBV,2013-09-05,32.2552
ABBV,2013-09-06,32.2959
ABBV,2013-09-09,32.371
ABBV,2013-09-10,32.4637
ABBV,2013-09-11,32.5597
ABBV,2013-09-12,32.6288
ABBV,2013-09-13,32.7048
ABBV,2013-09-16,32.8395
ABBV,2013-09-17,33.0877
ABBV,2013-09-18,33.3349
ABBV,2013-09-19,33.5216
ABBV,2013-09-20,33.7218
ABBV,2013-09-23,33.8504
ABBV,2013-09-24,33.8874
ABBV,2013-09-25,33.8747
ABBV,2013-09-26,33.8399
ABBV,2013-09-27,33.7608
ABBV,2013-09-30,33.7177
ABBV,2013-10-01,33.7545
ABBV,2013-10-02,33.7985
ABBV,2013-10-03,33.8425
ABBV,2013-10-04,33.9384
ABBV,2013-10-07,33.9748
ABBV,2013-10-08,33.8963
ABBV,2013-10-09,33.846
ABBV,2013-10-10,33.8904
ABBV,2013-10-11,33.9285
ABBV,2013-10-14,34.0116
ABBV,2013-10-15,34.069
ABBV,2013-10-16,34.1909
ABBV,2013-10-17,34.3807
ABBV,2013-10-18,34.5638
ABBV,2013-10-21,34.7309
ABBV,2013-10-22,34.9286
ABBV,2013-10-23,35.0596
ABBV,2013-10-24,35.1494
ABBV,2013-10-25,35.3287
ABBV,2013-10-28,35.4996
ABBV,2013-10-29,35.6806
ABBV,2013-10-30,35.7735
ABBV,2013-10-31,35.8326
ABBV,2013-11-01,35.9225
ABBV,2013-11-04,35.9896
ABBV,2013-11-05,36.008
ABBV,2013-11-06,36.0161
ABBV,2013-11-07,35.9655
ABBV,2013-11-08,35.9763
ABBV,2013-11-11,36.0246
ABBV,2013-11-12,35.9904
ABBV,2013-11-13,35.9858
ABBV,2013-11-14,35.9954
ABBV,2013-11-15,36.0326
ABBV,2013-11-18,36.097
ABBV,2013-11-19,36.126
ABBV,2013-11-20,36.1157
ABBV,2013-11-21,36.1508
ABBV,2013-11-22,36.209
ABBV,2013-11-25,36.2237
ABBV,2013-11-26,36.2506
ABBV,2013-11-27,36.2499
