SYMB,DATE,EMA
ABMD,1999-11-29,13.0028
ABMD,1999-11-30,13.2349
ABMD,1999-12-01,13.4387
ABMD,1999-12-02,13.635
ABMD,1999-12-03,13.7917
ABMD,1999-12-06,13.9334
ABMD,1999-12-07,14.0707
ABMD,1999-12-08,14.4092
ABMD,1999-12-09,15.1083
ABMD,1999-12-10,15.7885
ABMD,1999-12-13,16.4634
ABMD,1999-12-14,17.0621
ABMD,1999-12-15,17.5919
ABMD,1999-12-16,18.2441
ABMD,1999-12-17,19.0542
ABMD,1999-12-20,19.7752
ABMD,1999-12-21,20.1566
ABMD,1999-12-22,20.3622
ABMD,1999-12-23,20.411
ABMD,1999-12-27,20.3124
ABMD,1999-12-28,20.0683
ABMD,1999-12-29,19.8713
ABMD,1999-12-30,19.7526
ABMD,1999-12-31,19.6214
ABMD,2000-01-03,19.4908
ABMD,2000-01-04,19.3312
ABMD,2000-01-05,19.2106
ABMD,2000-01-06,19.0982
ABMD,2000-01-07,18.9879
ABMD,2000-01-10,19.1319
ABMD,2000-01-11,19.197
ABMD,2000-01-12,19.2349
ABMD,2000-01-13,19.403
ABMD,2000-01-14,19.5908
ABMD,2000-01-18,20.2012
ABMD,2000-01-19,20.5987
ABMD,2000-01-20,20.875
ABMD,2000-01-21,21.6907
ABMD,2000-01-24,22.613
ABMD,2000-01-25,23.1975
ABMD,2000-01-26,23.7382
ABMD,2000-01-27,24.2393
ABMD,2000-01-28,24.7346
ABMD,2000-01-31,25.1647
ABMD,2000-02-01,25.5061
ABMD,2000-02-02,25.7556
ABMD,2000-02-03,25.8503
ABMD,2000-02-04,26.0136
ABMD,2000-02-07,26.3518
ABMD,2000-02-08,26.5445
ABMD,2000-02-09,26.6236
ABMD,2000-02-10,26.8918
ABMD,2000-02-11,27.1402
ABMD,2000-02-14,27.3411
ABMD,2000-02-15,27.8325
ABMD,2000-02-16,28.5508
ABMD,2000-02-17,29.7664
ABMD,2000-02-18,30.8125
ABMD,2000-02-22,31.3961
ABMD,2000-02-23,31.7922
ABMD,2000-02-24,32.1572
ABMD,2000-02-25,32.6779
ABMD,2000-02-28,33.0896
ABMD,2000-02-29,33.4591
ABMD,2000-03-01,33.4749
ABMD,2000-03-02,33.3645
ABMD,2000-03-03,33.4131
ABMD,2000-03-06,33.4752
ABMD,2000-03-07,33.3466
ABMD,2000-03-08,32.9802
ABMD,2000-03-09,32.7559
ABMD,2000-03-10,32.5649
ABMD,2000-03-13,32.1601
ABMD,2000-03-14,31.6063
ABMD,2000-03-15,30.7748
ABMD,2000-03-16,30.0343
ABMD,2000-03-17,29.6263
ABMD,2000-03-20,28.9952
ABMD,2000-03-21,28.5433
ABMD,2000-03-22,28.4082
ABMD,2000-03-23,28.1136
ABMD,2000-03-24,27.7276
ABMD,2000-03-27,27.2359
ABMD,2000-03-28,26.8325
ABMD,2000-03-29,26.3694
ABMD,2000-03-30,25.6737
ABMD,2000-03-31,25.1572
ABMD,2000-04-03,24.5827
ABMD,2000-04-04,24.0215
ABMD,2000-04-05,23.4599
ABMD,2000-04-06,23.2018
ABMD,2000-04-07,22.8969
ABMD,2000-04-10,22.6329
ABMD,2000-04-11,22.3288
ABMD,2000-04-12,21.7975
ABMD,2000-04-13,21.2992
ABMD,2000-04-14,20.6992
ABMD,2000-04-17,20.0493
ABMD,2000-04-18,19.6665
ABMD,2000-04-19,19.3888
ABMD,2000-04-20,19.2298
ABMD,2000-04-24,19.0117
ABMD,2000-04-25,18.8025
ABMD,2000-04-26,18.6666
ABMD,2000-04-27,18.5079
ABMD,2000-04-28,18.5133
ABMD,2000-05-01,18.402
ABMD,2000-05-02,18.3042
ABMD,2000-05-03,18.2395
ABMD,2000-05-04,18.3715
ABMD,2000-05-05,18.6637
ABMD,2000-05-08,18.9696
ABMD,2000-05-09,19.1153
ABMD,2000-05-10,19.2115
ABMD,2000-05-11,19.3013
ABMD,2000-05-12,19.3503
ABMD,2000-05-15,19.4064
ABMD,2000-05-16,19.4244
ABMD,2000-05-17,19.3902
