SYMB,DATE,EMA
ABT,1999-11-29,9.8586
ABT,1999-11-30,9.8625
ABT,1999-12-01,9.8521
ABT,1999-12-02,9.8459
ABT,1999-12-03,9.837
ABT,1999-12-06,9.8028
ABT,1999-12-07,9.7576
ABT,1999-12-08,9.7103
ABT,1999-12-09,9.6585
ABT,1999-12-10,9.604
ABT,1999-12-13,9.5312
ABT,1999-12-14,9.4498
ABT,1999-12-15,9.4229
ABT,1999-12-16,9.5055
ABT,1999-12-17,9.5243
ABT,1999-12-20,9.5464
ABT,1999-12-21,9.5723
ABT,1999-12-22,9.591
ABT,1999-12-23,9.597
ABT,1999-12-27,9.6057
ABT,1999-12-28,9.6103
ABT,1999-12-29,9.5976
ABT,1999-12-30,9.5938
ABT,1999-12-31,9.5809
ABT,2000-01-03,9.5368
ABT,2000-01-04,9.4721
ABT,2000-01-05,9.4088
ABT,2000-01-06,9.3843
ABT,2000-01-07,9.3713
ABT,2000-01-10,9.3533
ABT,2000-01-11,9.3246
ABT,2000-01-12,9.2835
ABT,2000-01-13,9.2385
ABT,2000-01-14,9.2165
ABT,2000-01-18,9.178
ABT,2000-01-19,9.1259
ABT,2000-01-20,9.0537
ABT,2000-01-21,8.967
ABT,2000-01-24,8.859
ABT,2000-01-25,8.752
ABT,2000-01-26,8.6567
ABT,2000-01-27,8.5984
ABT,2000-01-28,8.5722
ABT,2000-01-31,8.5654
ABT,2000-02-01,8.5672
ABT,2000-02-02,8.5733
ABT,2000-02-03,8.5836
ABT,2000-02-04,8.6225
ABT,2000-02-07,8.642
ABT,2000-02-08,8.6676
ABT,2000-02-09,8.7387
ABT,2000-02-10,8.78
ABT,2000-02-11,8.7892
ABT,2000-02-14,8.8239
ABT,2000-02-15,8.857
ABT,2000-02-16,8.8761
ABT,2000-02-17,8.8824
ABT,2000-02-18,8.8478
ABT,2000-02-22,8.8351
ABT,2000-02-23,8.7926
ABT,2000-02-24,8.7447
ABT,2000-02-25,8.709
ABT,2000-02-28,8.7034
ABT,2000-02-29,8.6951
ABT,2000-03-01,8.7076
ABT,2000-03-02,8.7113
ABT,2000-03-03,8.6883
ABT,2000-03-06,8.6379
ABT,2000-03-07,8.552
ABT,2000-03-08,8.5083
ABT,2000-03-09,8.475
ABT,2000-03-10,8.4372
ABT,2000-03-13,8.3936
ABT,2000-03-14,8.3682
ABT,2000-03-15,8.3794
ABT,2000-03-16,8.4392
ABT,2000-03-17,8.4684
ABT,2000-03-20,8.5043
ABT,2000-03-21,8.5321
ABT,2000-03-22,8.5727
ABT,2000-03-23,8.5969
ABT,2000-03-24,8.6141
ABT,2000-03-27,8.6205
ABT,2000-03-28,8.6419
ABT,2000-03-29,8.6862
ABT,2000-03-30,8.7416
ABT,2000-03-31,8.7841
ABT,2000-04-03,8.8675
ABT,2000-04-04,9.0037
ABT,2000-04-05,9.0694
ABT,2000-04-06,9.1458
ABT,2000-04-07,9.1856
ABT,2000-04-10,9.2261
ABT,2000-04-11,9.2938
ABT,2000-04-12,9.3962
ABT,2000-04-13,9.4779
ABT,2000-04-14,9.4925
ABT,2000-04-17,9.5276
ABT,2000-04-18,9.5719
ABT,2000-04-19,9.6166
ABT,2000-04-20,9.6788
ABT,2000-04-24,9.7553
ABT,2000-04-25,9.8167
ABT,2000-04-26,9.8536
ABT,2000-04-27,9.887
ABT,2000-04-28,9.9033
ABT,2000-05-01,9.9085
ABT,2000-05-02,9.9165
ABT,2000-05-03,9.9097
ABT,2000-05-04,9.8942
ABT,2000-05-05,9.8973
ABT,2000-05-08,9.9218
ABT,2000-05-09,9.9487
ABT,2000-05-10,9.9621
ABT,2000-05-11,9.9555
ABT,2000-05-12,9.9293
ABT,2000-05-15,9.954
ABT,2000-05-16,9.9686
