SYMB,DATE,EMA
ACN,2001-08-15,11.1379
ACN,2001-08-16,11.0691
ACN,2001-08-17,11.04
ACN,2001-08-20,11.0723
ACN,2001-08-21,11.1092
ACN,2001-08-22,11.1342
ACN,2001-08-23,11.1504
ACN,2001-08-24,11.1757
ACN,2001-08-27,11.2043
ACN,2001-08-28,11.2216
ACN,2001-08-29,11.2126
ACN,2001-08-30,11.2002
ACN,2001-08-31,11.1854
ACN,2001-09-04,11.2059
ACN,2001-09-05,11.1913
ACN,2001-09-06,11.1492
ACN,2001-09-07,11.1125
ACN,2001-09-10,11.1237
ACN,2001-09-17,11.0951
ACN,2001-09-18,11.0656
ACN,2001-09-19,10.9966
ACN,2001-09-20,10.8636
ACN,2001-09-21,10.7291
ACN,2001-09-24,10.6392
ACN,2001-09-25,10.5296
ACN,2001-09-26,10.3881
ACN,2001-09-27,10.2354
ACN,2001-09-28,10.1607
ACN,2001-10-01,10.0896
ACN,2001-10-02,10.0168
ACN,2001-10-03,9.9771
ACN,2001-10-04,9.9793
ACN,2001-10-05,9.9855
ACN,2001-10-08,9.9685
ACN,2001-10-09,9.9652
ACN,2001-10-10,9.9812
ACN,2001-10-11,10.1009
ACN,2001-10-12,10.3073
ACN,2001-10-15,10.5612
ACN,2001-10-16,10.7873
ACN,2001-10-17,10.9587
ACN,2001-10-18,11.094
ACN,2001-10-19,11.2271
ACN,2001-10-22,11.3933
ACN,2001-10-23,11.5522
ACN,2001-10-24,11.7044
ACN,2001-10-25,11.8421
ACN,2001-10-26,11.9583
ACN,2001-10-29,12.0584
ACN,2001-10-30,12.1349
ACN,2001-10-31,12.2196
ACN,2001-11-01,12.3485
ACN,2001-11-02,12.4609
ACN,2001-11-05,12.552
ACN,2001-11-06,12.6252
ACN,2001-11-07,12.7572
ACN,2001-11-08,12.9507
ACN,2001-11-09,13.1257
ACN,2001-11-12,13.2516
ACN,2001-11-13,13.458
ACN,2001-11-14,13.6031
ACN,2001-11-15,13.7372
ACN,2001-11-16,13.9143
ACN,2001-11-19,14.1423
ACN,2001-11-20,14.2957
ACN,2001-11-21,14.3709
ACN,2001-11-23,14.4531
ACN,2001-11-26,14.5945
ACN,2001-11-27,14.793
ACN,2001-11-28,14.9267
ACN,2001-11-29,15.0181
ACN,2001-11-30,15.1833
ACN,2001-12-03,15.354
ACN,2001-12-04,15.6002
ACN,2001-12-05,15.996
ACN,2001-12-06,16.3258
ACN,2001-12-07,16.526
ACN,2001-12-10,16.6889
ACN,2001-12-11,16.8475
ACN,2001-12-12,17.02
ACN,2001-12-13,17.044
ACN,2001-12-14,17.0904
ACN,2001-12-17,17.2602
ACN,2001-12-18,17.4484
ACN,2001-12-19,17.6244
ACN,2001-12-20,17.8556
ACN,2001-12-21,18.0012
ACN,2001-12-24,18.1231
ACN,2001-12-26,18.2496
ACN,2001-12-27,18.3676
ACN,2001-12-28,18.4927
ACN,2001-12-31,18.6321
ACN,2002-01-02,18.708
ACN,2002-01-03,18.7188
ACN,2002-01-04,18.8917
ACN,2002-01-07,18.9598
ACN,2002-01-08,19.0801
ACN,2002-01-09,19.2093
ACN,2002-01-10,19.3439
ACN,2002-01-11,19.3704
ACN,2002-01-14,19.2864
ACN,2002-01-15,19.2421
ACN,2002-01-16,19.2451
ACN,2002-01-17,19.2478
ACN,2002-01-18,19.2333
ACN,2002-01-22,19.1637
ACN,2002-01-23,19.0718
ACN,2002-01-24,19.0699
ACN,2002-01-25,19.0328
ACN,2002-01-28,18.9145
ACN,2002-01-29,18.7991
ACN,2002-01-30,18.7701
ACN,2002-01-31,18.8026
ACN,2002-02-01,18.9886
ACN,2002-02-04,19.1082
ACN,2002-02-05,19.2087
ACN,2002-02-06,19.2869
ACN,2002-02-07,19.3915
ACN,2002-02-08,19.5017
ACN,2002-02-11,19.5365
ACN,2002-02-12,19.51
ACN,2002-02-13,19.4734
