SYMB,DATE,EMA
ADBE,1999-11-29,18.0848
ADBE,1999-11-30,17.9861
ADBE,1999-12-01,17.8465
ADBE,1999-12-02,17.769
ADBE,1999-12-03,17.6531
ADBE,1999-12-06,17.4641
ADBE,1999-12-07,17.234
ADBE,1999-12-08,17.1941
ADBE,1999-12-09,17.1048
ADBE,1999-12-10,16.9562
ADBE,1999-12-13,16.7641
ADBE,1999-12-14,16.6006
ADBE,1999-12-15,16.4823
ADBE,1999-12-16,16.4194
ADBE,1999-12-17,16.4512
ADBE,1999-12-20,16.4268
ADBE,1999-12-21,16.3605
ADBE,1999-12-22,16.3832
ADBE,1999-12-23,16.4072
ADBE,1999-12-27,16.3757
ADBE,1999-12-28,16.3798
ADBE,1999-12-29,16.3791
ADBE,1999-12-30,16.3798
ADBE,1999-12-31,16.41
ADBE,2000-01-03,16.3974
ADBE,2000-01-04,16.256
ADBE,2000-01-05,16.1533
ADBE,2000-01-06,16.075
ADBE,2000-01-07,16.0752
ADBE,2000-01-10,16.1344
ADBE,2000-01-11,16.0788
ADBE,2000-01-12,16.0208
ADBE,2000-01-13,16.047
ADBE,2000-01-14,16.0867
ADBE,2000-01-18,16.068
ADBE,2000-01-19,16.0305
ADBE,2000-01-20,16.0126
ADBE,2000-01-21,15.9745
ADBE,2000-01-24,15.8851
ADBE,2000-01-25,15.862
ADBE,2000-01-26,15.7982
ADBE,2000-01-27,15.776
ADBE,2000-01-28,15.6346
ADBE,2000-01-31,15.4476
ADBE,2000-02-01,15.2977
ADBE,2000-02-02,15.2905
ADBE,2000-02-03,15.4673
ADBE,2000-02-04,15.7441
ADBE,2000-02-07,16.0668
ADBE,2000-02-08,16.517
ADBE,2000-02-09,17.0144
ADBE,2000-02-10,17.5517
ADBE,2000-02-11,18.0187
ADBE,2000-02-14,18.422
ADBE,2000-02-15,18.7692
ADBE,2000-02-16,19.3035
ADBE,2000-02-17,19.8675
ADBE,2000-02-18,20.2986
ADBE,2000-02-22,20.6894
ADBE,2000-02-23,21.0749
ADBE,2000-02-24,21.5837
ADBE,2000-02-25,21.8573
ADBE,2000-02-28,22.0884
ADBE,2000-02-29,22.3967
ADBE,2000-03-01,22.6378
ADBE,2000-03-02,22.3884
ADBE,2000-03-03,22.3992
ADBE,2000-03-06,22.295
ADBE,2000-03-07,22.0915
ADBE,2000-03-08,21.8571
ADBE,2000-03-09,21.6229
ADBE,2000-03-10,21.5321
ADBE,2000-03-13,21.4235
ADBE,2000-03-14,21.3089
ADBE,2000-03-15,21.2554
ADBE,2000-03-16,21.4642
ADBE,2000-03-17,21.4936
ADBE,2000-03-20,21.5142
ADBE,2000-03-21,21.6333
ADBE,2000-03-22,21.9849
ADBE,2000-03-23,22.4124
ADBE,2000-03-24,22.8368
ADBE,2000-03-27,23.3487
ADBE,2000-03-28,23.7527
ADBE,2000-03-29,24.1254
ADBE,2000-03-30,24.3632
ADBE,2000-03-31,24.6753
ADBE,2000-04-03,24.8229
ADBE,2000-04-04,24.8666
ADBE,2000-04-05,25.0338
ADBE,2000-04-06,25.3601
ADBE,2000-04-07,25.9014
ADBE,2000-04-10,26.2066
ADBE,2000-04-11,26.5371
ADBE,2000-04-12,26.6611
ADBE,2000-04-13,26.8088
ADBE,2000-04-14,26.569
ADBE,2000-04-17,26.7183
ADBE,2000-04-18,26.941
ADBE,2000-04-19,27.0384
ADBE,2000-04-20,27.1265
ADBE,2000-04-24,27.0217
ADBE,2000-04-25,27.2864
ADBE,2000-04-26,27.4053
ADBE,2000-04-27,27.7139
ADBE,2000-04-28,27.934
ADBE,2000-05-01,28.3649
ADBE,2000-05-02,28.3953
ADBE,2000-05-03,28.3589
ADBE,2000-05-04,28.352
ADBE,2000-05-05,28.4829
ADBE,2000-05-08,28.3578
ADBE,2000-05-09,28.3131
ADBE,2000-05-10,28.1285
ADBE,2000-05-11,28.0134
ADBE,2000-05-12,27.9046
ADBE,2000-05-15,27.8487
ADBE,2000-05-16,28.1269
ADBE,2000-05-17,28.2935
