SYMB,DATE,EMA
AES,1999-11-29,20.0555
AES,1999-11-30,20.0505
AES,1999-12-01,20.048
AES,1999-12-02,20.0601
AES,1999-12-03,20.0997
AES,1999-12-06,20.1152
AES,1999-12-07,20.1949
AES,1999-12-08,20.2937
AES,1999-12-09,20.4551
AES,1999-12-10,20.5393
AES,1999-12-13,20.6072
AES,1999-12-14,20.6667
AES,1999-12-15,20.7617
AES,1999-12-16,20.79
AES,1999-12-17,20.9472
AES,1999-12-20,21.1716
AES,1999-12-21,21.4694
AES,1999-12-22,21.6707
AES,1999-12-23,21.8407
AES,1999-12-27,22.097
AES,1999-12-28,22.329
AES,1999-12-29,22.5494
AES,1999-12-30,22.7691
AES,1999-12-31,23.0584
AES,2000-01-03,23.2462
AES,2000-01-04,23.3217
AES,2000-01-05,23.4041
AES,2000-01-06,23.5076
AES,2000-01-07,23.6463
AES,2000-01-10,23.8787
AES,2000-01-11,24.1014
AES,2000-01-12,24.3542
AES,2000-01-13,24.626
AES,2000-01-14,25.0179
AES,2000-01-18,25.1979
AES,2000-01-19,25.3752
AES,2000-01-20,25.513
AES,2000-01-21,25.7135
AES,2000-01-24,25.895
AES,2000-01-25,25.9277
AES,2000-01-26,25.8402
AES,2000-01-27,25.8741
AES,2000-01-28,25.9213
AES,2000-01-31,26.0872
AES,2000-02-01,26.2578
AES,2000-02-02,26.3647
AES,2000-02-03,26.4967
AES,2000-02-04,26.4474
AES,2000-02-07,26.559
AES,2000-02-08,26.8059
AES,2000-02-09,27.0767
AES,2000-02-10,27.223
AES,2000-02-11,27.3265
AES,2000-02-14,27.5352
AES,2000-02-15,27.7529
AES,2000-02-16,28.0095
AES,2000-02-17,28.2333
AES,2000-02-18,28.4379
AES,2000-02-22,28.5552
AES,2000-02-23,28.6038
AES,2000-02-24,28.6704
AES,2000-02-25,28.7183
AES,2000-02-28,28.8046
AES,2000-02-29,28.817
AES,2000-03-01,28.7667
AES,2000-03-02,28.8918
AES,2000-03-03,28.9988
AES,2000-03-06,28.9127
AES,2000-03-07,28.7773
AES,2000-03-08,28.6095
AES,2000-03-09,28.3692
AES,2000-03-10,28.0676
AES,2000-03-13,27.7947
AES,2000-03-14,27.511
AES,2000-03-15,27.3365
AES,2000-03-16,27.3676
AES,2000-03-17,27.3219
AES,2000-03-20,27.2476
AES,2000-03-21,27.1064
AES,2000-03-22,26.8984
AES,2000-03-23,26.7635
AES,2000-03-24,26.7053
AES,2000-03-27,26.6052
AES,2000-03-28,26.4653
AES,2000-03-29,26.4233
AES,2000-03-30,26.525
AES,2000-03-31,26.5881
AES,2000-04-03,26.6166
AES,2000-04-04,26.525
AES,2000-04-05,26.4832
AES,2000-04-06,26.4477
AES,2000-04-07,26.4606
AES,2000-04-10,26.5525
AES,2000-04-11,26.5883
AES,2000-04-12,26.5733
AES,2000-04-13,26.5559
AES,2000-04-14,26.4559
AES,2000-04-17,26.3796
AES,2000-04-18,26.399
AES,2000-04-19,26.4968
AES,2000-04-20,26.8052
AES,2000-04-24,27.008
AES,2000-04-25,27.171
AES,2000-04-26,27.3945
AES,2000-04-27,27.5619
AES,2000-04-28,27.8942
AES,2000-05-01,28.1271
AES,2000-05-02,28.2431
AES,2000-05-03,28.3664
AES,2000-05-04,28.4639
AES,2000-05-05,28.5807
AES,2000-05-08,28.5283
AES,2000-05-09,28.4068
AES,2000-05-10,28.1223
AES,2000-05-11,27.8896
AES,2000-05-12,27.8063
AES,2000-05-15,27.8585
AES,2000-05-16,27.8584
AES,2000-05-17,27.9033
