SYMB,DATE,EMA
AFL,1999-11-29,8.6324
AFL,1999-11-30,8.5787
AFL,1999-12-01,8.5359
AFL,1999-12-02,8.5053
AFL,1999-12-03,8.4986
AFL,1999-12-06,8.4706
AFL,1999-12-07,8.4282
AFL,1999-12-08,8.3767
AFL,1999-12-09,8.3131
AFL,1999-12-10,8.2746
AFL,1999-12-13,8.2429
AFL,1999-12-14,8.2201
AFL,1999-12-15,8.1855
AFL,1999-12-16,8.1351
AFL,1999-12-17,8.0905
AFL,1999-12-20,8.0542
AFL,1999-12-21,8.0243
AFL,1999-12-22,7.9813
AFL,1999-12-23,7.9454
AFL,1999-12-27,7.9098
AFL,1999-12-28,7.8787
AFL,1999-12-29,7.8866
AFL,1999-12-30,7.8857
AFL,1999-12-31,7.8919
AFL,2000-01-03,7.8584
AFL,2000-01-04,7.809
AFL,2000-01-05,7.7644
AFL,2000-01-06,7.734
AFL,2000-01-07,7.7206
AFL,2000-01-10,7.6654
AFL,2000-01-11,7.6013
AFL,2000-01-12,7.5322
AFL,2000-01-13,7.4849
AFL,2000-01-14,7.4611
AFL,2000-01-18,7.3924
AFL,2000-01-19,7.2922
AFL,2000-01-20,7.2507
AFL,2000-01-21,7.182
AFL,2000-01-24,7.1128
AFL,2000-01-25,7.0763
AFL,2000-01-26,7.0754
AFL,2000-01-27,7.0626
AFL,2000-01-28,7.0639
AFL,2000-01-31,7.0883
AFL,2000-02-01,7.1243
AFL,2000-02-02,7.1579
AFL,2000-02-03,7.1974
AFL,2000-02-04,7.2171
AFL,2000-02-07,7.2158
AFL,2000-02-08,7.2016
AFL,2000-02-09,7.1786
AFL,2000-02-10,7.1569
AFL,2000-02-11,7.1153
AFL,2000-02-14,7.0644
AFL,2000-02-15,7.0196
AFL,2000-02-16,6.9722
AFL,2000-02-17,6.9161
AFL,2000-02-18,6.8634
AFL,2000-02-22,6.8087
AFL,2000-02-23,6.7492
AFL,2000-02-24,6.6793
AFL,2000-02-25,6.6068
AFL,2000-02-28,6.5716
AFL,2000-02-29,6.5335
AFL,2000-03-01,6.5052
AFL,2000-03-02,6.4685
AFL,2000-03-03,6.4414
AFL,2000-03-06,6.4098
AFL,2000-03-07,6.359
AFL,2000-03-08,6.3142
AFL,2000-03-09,6.2796
AFL,2000-03-10,6.2464
AFL,2000-03-13,6.2043
AFL,2000-03-14,6.1891
AFL,2000-03-15,6.2605
AFL,2000-03-16,6.3717
AFL,2000-03-17,6.4371
AFL,2000-03-20,6.4883
AFL,2000-03-21,6.5678
AFL,2000-03-22,6.6518
AFL,2000-03-23,6.7409
AFL,2000-03-24,6.8375
AFL,2000-03-27,6.8918
AFL,2000-03-28,6.9379
AFL,2000-03-29,6.9967
AFL,2000-03-30,7.0458
AFL,2000-03-31,7.1073
AFL,2000-04-03,7.1861
AFL,2000-04-04,7.2503
AFL,2000-04-05,7.2984
AFL,2000-04-06,7.347
AFL,2000-04-07,7.3788
AFL,2000-04-10,7.4166
AFL,2000-04-11,7.4669
AFL,2000-04-12,7.5136
AFL,2000-04-13,7.5537
AFL,2000-04-14,7.5748
AFL,2000-04-17,7.5871
AFL,2000-04-18,7.597
AFL,2000-04-19,7.5911
AFL,2000-04-20,7.6328
AFL,2000-04-24,7.6847
AFL,2000-04-25,7.7376
AFL,2000-04-26,7.8076
AFL,2000-04-27,7.8439
AFL,2000-04-28,7.8816
AFL,2000-05-01,7.9077
AFL,2000-05-02,7.9244
AFL,2000-05-03,7.9063
AFL,2000-05-04,7.8858
AFL,2000-05-05,7.8663
AFL,2000-05-08,7.8568
AFL,2000-05-09,7.8602
AFL,2000-05-10,7.8763
AFL,2000-05-11,7.8828
AFL,2000-05-12,7.8998
AFL,2000-05-15,7.9322
AFL,2000-05-16,7.9659
AFL,2000-05-17,7.9844
AFL,2000-05-18,8.0293
AFL,2000-05-19,8.0467
AFL,2000-05-22,8.0928
AFL,2000-05-23,8.1434
AFL,2000-05-24,8.1843
AFL,2000-05-25,8.2142
AFL,2000-05-26,8.2513
AFL,2000-05-30,8.293
AFL,2000-05-31,8.3357
AFL,2000-06-01,8.3965
AFL,2000-06-02,8.4474
AFL,2000-06-05,8.4673
AFL,2000-06-06,8.4944
AFL,2000-06-07,8.525
AFL,2000-06-08,8.5436
AFL,2000-06-09,8.5453
AFL,2000-06-12,8.5399
AFL,2000-06-13,8.5439
AFL,2000-06-14,8.5405
AFL,2000-06-15,8.5204
AFL,2000-06-16,8.4789
AFL,2000-06-19,8.4405
AFL,2000-06-20,8.3765
AFL,2000-06-21,8.3367
AFL,2000-06-22,8.3007
AFL,2000-06-23,8.2722
AFL,2000-06-26,8.2363
AFL,2000-06-27,8.219
AFL,2000-06-28,8.206
AFL,2000-06-29,8.1654
AFL,2000-06-30,8.1276
AFL,2000-07-03,8.1096
AFL,2000-07-05,8.063
AFL,2000-07-06,8.026
AFL,2000-07-07,8.0276
AFL,2000-07-10,8.0412
AFL,2000-07-11,8.0736
AFL,2000-07-12,8.119
AFL,2000-07-13,8.1792
AFL,2000-07-14,8.2358
AFL,2000-07-17,8.2598
