SYMB,DATE,EMA
AKAM,1999-11-29,188.975
AKAM,1999-11-30,193.5488
AKAM,1999-12-01,195.8394
AKAM,1999-12-02,197.6928
AKAM,1999-12-03,198.5792
AKAM,1999-12-06,200.3145
AKAM,1999-12-07,202.7607
AKAM,1999-12-08,206.4502
AKAM,1999-12-09,210.5978
AKAM,1999-12-10,213.7313
AKAM,1999-12-13,215.1379
AKAM,1999-12-14,215.3152
AKAM,1999-12-15,216.7519
AKAM,1999-12-16,221.9184
AKAM,1999-12-17,227.6214
AKAM,1999-12-20,233.2098
AKAM,1999-12-21,239.7517
AKAM,1999-12-22,244.6325
AKAM,1999-12-23,248.1342
AKAM,1999-12-27,251.7309
AKAM,1999-12-28,253.6137
AKAM,1999-12-29,258.3743
AKAM,1999-12-30,264.9101
AKAM,1999-12-31,270.8805
AKAM,2000-01-03,276.2824
AKAM,2000-01-04,278.5412
AKAM,2000-01-05,278.3754
AKAM,2000-01-06,274.3492
AKAM,2000-01-07,271.8778
AKAM,2000-01-10,273.1752
AKAM,2000-01-11,273.6728
AKAM,2000-01-12,271.7992
AKAM,2000-01-13,268.085
AKAM,2000-01-14,264.4578
AKAM,2000-01-18,259.4142
AKAM,2000-01-19,256.1176
AKAM,2000-01-20,254.0112
AKAM,2000-01-21,255.4387
AKAM,2000-01-24,256.0731
AKAM,2000-01-25,258.2852
AKAM,2000-01-26,260.1152
AKAM,2000-01-27,262.1137
AKAM,2000-01-28,262.8743
AKAM,2000-01-31,261.5625
AKAM,2000-02-01,259.4232
AKAM,2000-02-02,256.9638
AKAM,2000-02-03,255.8625
AKAM,2000-02-04,253.8756
AKAM,2000-02-07,251.4684
AKAM,2000-02-08,250.4619
AKAM,2000-02-09,248.9798
AKAM,2000-02-10,247.077
AKAM,2000-02-11,245.7458
AKAM,2000-02-14,244.2843
AKAM,2000-02-15,242.2096
AKAM,2000-02-16,242.5801
AKAM,2000-02-17,243.4773
AKAM,2000-02-18,243.308
AKAM,2000-02-22,243.193
AKAM,2000-02-23,244.0412
AKAM,2000-02-24,246.9707
