SYMB,DATE,EMA
ALK,2001-01-30,6.9985
ALK,2001-01-31,7.0247
ALK,2001-02-01,7.0407
ALK,2001-02-02,7.062
ALK,2001-02-05,7.0937
ALK,2001-02-06,7.1317
ALK,2001-02-07,7.1627
ALK,2001-02-08,7.1763
ALK,2001-02-09,7.1753
ALK,2001-02-12,7.1752
ALK,2001-02-13,7.1741
ALK,2001-02-14,7.1705
ALK,2001-02-15,7.1559
ALK,2001-02-16,7.1269
ALK,2001-02-20,7.0693
ALK,2001-02-21,7.0198
ALK,2001-02-22,6.9692
ALK,2001-02-23,6.916
ALK,2001-02-26,6.8911
ALK,2001-02-27,6.8564
ALK,2001-02-28,6.8156
ALK,2001-03-01,6.7513
ALK,2001-03-02,6.7132
ALK,2001-03-05,6.6706
ALK,2001-03-06,6.6372
ALK,2001-03-07,6.61
ALK,2001-03-08,6.5985
ALK,2001-03-09,6.5795
ALK,2001-03-12,6.5526
ALK,2001-03-13,6.5365
ALK,2001-03-14,6.5084
ALK,2001-03-15,6.4797
ALK,2001-03-16,6.4343
ALK,2001-03-19,6.3731
ALK,2001-03-20,6.3222
ALK,2001-03-21,6.2659
ALK,2001-03-22,6.2057
ALK,2001-03-23,6.162
ALK,2001-03-26,6.1385
ALK,2001-03-27,6.114
ALK,2001-03-28,6.0848
ALK,2001-03-29,6.0504
ALK,2001-03-30,6.0247
ALK,2001-04-02,5.9918
ALK,2001-04-03,5.959
ALK,2001-04-04,5.9375
ALK,2001-04-05,5.9278
ALK,2001-04-06,5.9009
ALK,2001-04-09,5.8749
ALK,2001-04-10,5.8768
ALK,2001-04-11,5.8762
ALK,2001-04-12,5.8745
ALK,2001-04-16,5.8745
ALK,2001-04-17,5.8838
ALK,2001-04-18,5.9039
ALK,2001-04-19,5.9412
ALK,2001-04-20,5.9616
ALK,2001-04-23,5.9722
ALK,2001-04-24,5.9779
ALK,2001-04-25,5.9867
ALK,2001-04-26,6.0056
ALK,2001-04-27,6.0396
ALK,2001-04-30,6.0674
ALK,2001-05-01,6.088
ALK,2001-05-02,6.1121
ALK,2001-05-03,6.1383
