SYMB,DATE,EMA
AMD,1999-11-29,12.3672
AMD,1999-11-30,12.5347
AMD,1999-12-01,12.6504
AMD,1999-12-02,12.898
AMD,1999-12-03,13.1458
AMD,1999-12-06,13.391
AMD,1999-12-07,13.6275
AMD,1999-12-08,13.7463
AMD,1999-12-09,13.8362
AMD,1999-12-10,13.9113
AMD,1999-12-13,13.9707
AMD,1999-12-14,13.9559
AMD,1999-12-15,13.9187
AMD,1999-12-16,13.9978
AMD,1999-12-17,14.0695
AMD,1999-12-20,14.1224
AMD,1999-12-21,14.2088
AMD,1999-12-22,14.2275
AMD,1999-12-23,14.2358
AMD,1999-12-27,14.2581
AMD,1999-12-28,14.2693
AMD,1999-12-29,14.2646
AMD,1999-12-30,14.2603
AMD,1999-12-31,14.2803
AMD,2000-01-03,14.2984
AMD,2000-01-04,14.3295
AMD,2000-01-05,14.3605
AMD,2000-01-06,14.5166
AMD,2000-01-07,14.6817
AMD,2000-01-10,14.9501
AMD,2000-01-11,15.1482
AMD,2000-01-12,15.4317
AMD,2000-01-13,15.7596
AMD,2000-01-14,16.1816
AMD,2000-01-18,16.4976
AMD,2000-01-19,16.7926
AMD,2000-01-20,17.0505
AMD,2000-01-21,17.2304
AMD,2000-01-24,17.2323
AMD,2000-01-25,17.4959
AMD,2000-01-26,17.5915
AMD,2000-01-27,17.6752
AMD,2000-01-28,17.6704
AMD,2000-01-31,17.7018
AMD,2000-02-01,17.7568
AMD,2000-02-02,17.7829
AMD,2000-02-03,17.9464
AMD,2000-02-04,18.0734
AMD,2000-02-07,18.3193
AMD,2000-02-08,18.5451
AMD,2000-02-09,18.7817
AMD,2000-02-10,19.0168
AMD,2000-02-11,19.3723
AMD,2000-02-14,19.5869
AMD,2000-02-15,19.7929
AMD,2000-02-16,19.9912
AMD,2000-02-17,20.1349
AMD,2000-02-18,20.2649
AMD,2000-02-22,20.3259
AMD,2000-02-23,20.3453
AMD,2000-02-24,20.4343
AMD,2000-02-25,20.4168
AMD,2000-02-28,20.2699
AMD,2000-02-29,20.2204
AMD,2000-03-01,20.2232
AMD,2000-03-02,20.1663
AMD,2000-03-03,20.2218
AMD,2000-03-06,20.5579
AMD,2000-03-07,21.219
AMD,2000-03-08,21.7458
AMD,2000-03-09,22.4428
AMD,2000-03-10,22.7816
AMD,2000-03-13,23.0643
AMD,2000-03-14,23.1534
AMD,2000-03-15,23.2936
AMD,2000-03-16,23.4175
AMD,2000-03-17,23.5682
AMD,2000-03-20,23.8832
AMD,2000-03-21,24.2186
AMD,2000-03-22,24.6501
AMD,2000-03-23,24.9397
AMD,2000-03-24,25.2016
AMD,2000-03-27,25.3819
AMD,2000-03-28,25.5898
AMD,2000-03-29,25.7598
AMD,2000-03-30,26.1637
AMD,2000-03-31,26.4814
AMD,2000-04-03,26.8584
AMD,2000-04-04,27.2114
AMD,2000-04-05,27.8761
AMD,2000-04-06,28.6021
AMD,2000-04-07,29.4734
AMD,2000-04-10,30.2021
AMD,2000-04-11,30.689
AMD,2000-04-12,31.1296
AMD,2000-04-13,31.5458
AMD,2000-04-14,31.6843
AMD,2000-04-17,32.1253
AMD,2000-04-18,32.8277
AMD,2000-04-19,33.2846
