SYMB,DATE,EMA
APD,1999-11-29,18.426
APD,1999-11-30,18.5631
APD,1999-12-01,18.6796
APD,1999-12-02,18.8072
APD,1999-12-03,18.8642
APD,1999-12-06,18.9082
APD,1999-12-07,18.9077
APD,1999-12-08,18.9551
APD,1999-12-09,18.9869
APD,1999-12-10,19.0268
APD,1999-12-13,18.9969
APD,1999-12-14,19.0358
APD,1999-12-15,19.0419
APD,1999-12-16,19.0362
APD,1999-12-17,19.0603
APD,1999-12-20,19.0307
APD,1999-12-21,18.9309
APD,1999-12-22,18.83
APD,1999-12-23,18.8369
APD,1999-12-27,18.8473
APD,1999-12-28,18.8859
APD,1999-12-29,19.0447
APD,1999-12-30,19.1667
APD,1999-12-31,19.3128
APD,2000-01-03,19.4008
APD,2000-01-04,19.4218
APD,2000-01-05,19.4372
APD,2000-01-06,19.591
APD,2000-01-07,19.8694
APD,2000-01-10,19.9891
APD,2000-01-11,20.0057
APD,2000-01-12,20.0536
APD,2000-01-13,20.0823
APD,2000-01-14,20.0719
APD,2000-01-18,19.9702
APD,2000-01-19,19.8823
APD,2000-01-20,19.744
APD,2000-01-21,19.5637
APD,2000-01-24,19.474
APD,2000-01-25,19.4439
APD,2000-01-26,19.4426
APD,2000-01-27,19.4049
APD,2000-01-28,19.308
APD,2000-01-31,19.2097
APD,2000-02-01,19.1796
APD,2000-02-02,19.1376
APD,2000-02-03,19.1214
APD,2000-02-04,19.1143
APD,2000-02-07,19.1038
APD,2000-02-08,19.0579
APD,2000-02-09,18.9247
APD,2000-02-10,18.7707
APD,2000-02-11,18.5656
APD,2000-02-14,18.4828
APD,2000-02-15,18.4261
APD,2000-02-16,18.3196
APD,2000-02-17,18.2491
APD,2000-02-18,18.1007
APD,2000-02-22,18.0105
APD,2000-02-23,17.8925
APD,2000-02-24,17.7381
APD,2000-02-25,17.5838
APD,2000-02-28,17.4441
APD,2000-02-29,17.2954
APD,2000-03-01,17.1721
APD,2000-03-02,17.0346
APD,2000-03-03,16.9579
APD,2000-03-06,16.8296
APD,2000-03-07,16.6478
APD,2000-03-08,16.5198
APD,2000-03-09,16.4039
APD,2000-03-10,16.3067
APD,2000-03-13,16.2041
APD,2000-03-14,16.1224
APD,2000-03-15,16.1954
APD,2000-03-16,16.3971
APD,2000-03-17,16.4544
APD,2000-03-20,16.5322
APD,2000-03-21,16.6319
APD,2000-03-22,16.6375
APD,2000-03-23,16.7161
APD,2000-03-24,16.8241
APD,2000-03-27,16.8631
APD,2000-03-28,16.9055
APD,2000-03-29,16.9661
APD,2000-03-30,17.0498
APD,2000-03-31,17.1072
APD,2000-04-03,17.2589
APD,2000-04-04,17.3738
APD,2000-04-05,17.4742
APD,2000-04-06,17.5574
APD,2000-04-07,17.6143
APD,2000-04-10,17.677
APD,2000-04-11,17.8224
APD,2000-04-12,17.9983
APD,2000-04-13,18.0611
APD,2000-04-14,18.0517
APD,2000-04-17,18.0987
APD,2000-04-18,18.1118
APD,2000-04-19,18.0349
APD,2000-04-20,18.0835
APD,2000-04-24,18.2269
APD,2000-04-25,18.4269
APD,2000-04-26,18.4932
APD,2000-04-27,18.5497
APD,2000-04-28,18.619
APD,2000-05-01,18.7114
APD,2000-05-02,18.8245
APD,2000-05-03,18.8381
APD,2000-05-04,18.8765
APD,2000-05-05,18.9337
APD,2000-05-08,18.9777
APD,2000-05-09,18.962
APD,2000-05-10,18.9998
APD,2000-05-11,19.2445
APD,2000-05-12,19.5249
APD,2000-05-15,19.7231
APD,2000-05-16,19.8581
APD,2000-05-17,19.9914
APD,2000-05-18,20.1546
APD,2000-05-19,20.3632
APD,2000-05-22,20.5867
APD,2000-05-23,20.9096
APD,2000-05-24,21.1237
APD,2000-05-25,21.2139
APD,2000-05-26,21.2294
APD,2000-05-30,21.2546
APD,2000-05-31,21.3069
APD,2000-06-01,21.4241
APD,2000-06-02,21.5377
APD,2000-06-05,21.6146
APD,2000-06-06,21.6362
APD,2000-06-07,21.615
APD,2000-06-08,21.5514
APD,2000-06-09,21.494
APD,2000-06-12,21.4384
APD,2000-06-13,21.3881
APD,2000-06-14,21.387
APD,2000-06-15,21.4078
APD,2000-06-16,21.4231
APD,2000-06-19,21.4003
APD,2000-06-20,21.2686
APD,2000-06-21,21.0903
APD,2000-06-22,20.9401
APD,2000-06-23,20.7783
APD,2000-06-26,20.6396
APD,2000-06-27,20.6359
APD,2000-06-28,20.6378
APD,2000-06-29,20.6159
APD,2000-06-30,20.4843
APD,2000-07-03,20.3843
APD,2000-07-05,20.3122
APD,2000-07-06,20.2137
APD,2000-07-07,20.0871
APD,2000-07-10,19.9542
APD,2000-07-11,19.8672
APD,2000-07-12,19.7665
APD,2000-07-13,19.7199
APD,2000-07-14,19.7111
APD,2000-07-17,19.6657
APD,2000-07-18,19.5991
APD,2000-07-19,19.5126
APD,2000-07-20,19.4641
APD,2000-07-21,19.4796
APD,2000-07-24,19.527
APD,2000-07-25,19.6073
APD,2000-07-26,19.68
APD,2000-07-27,19.7642
APD,2000-07-28,19.8439
APD,2000-07-31,19.9387
APD,2000-08-01,20.0244
APD,2000-08-02,20.0942
APD,2000-08-03,20.202
APD,2000-08-04,20.2995
APD,2000-08-07,20.399
APD,2000-08-08,20.5074
APD,2000-08-09,20.6133
APD,2000-08-10,20.6865
APD,2000-08-11,20.805
APD,2000-08-14,20.9491
APD,2000-08-15,21.076
APD,2000-08-16,21.2091
APD,2000-08-17,21.3855
APD,2000-08-18,21.4672
APD,2000-08-21,21.5411
APD,2000-08-22,21.608
APD,2000-08-23,21.7386
APD,2000-08-24,21.8866
APD,2000-08-25,22.0317
APD,2000-08-28,22.1631
APD,2000-08-29,22.3003
APD,2000-08-30,22.3728
APD,2000-08-31,22.4021
APD,2000-09-01,22.4422
APD,2000-09-05,22.538
APD,2000-09-06,22.7103
APD,2000-09-07,22.7473
APD,2000-09-08,22.7213
APD,2000-09-11,22.6716
APD,2000-09-12,22.6231
APD,2000-09-13,22.5459
APD,2000-09-14,22.4945
APD,2000-09-15,22.4295
APD,2000-09-18,22.328
APD,2000-09-19,22.2343
APD,2000-09-20,22.1085
APD,2000-09-21,21.9911
APD,2000-09-22,21.9111
APD,2000-09-25,21.809
APD,2000-09-26,21.6975
APD,2000-09-27,21.6229
APD,2000-09-28,21.6706
APD,2000-09-29,21.7587
APD,2000-10-02,21.827
APD,2000-10-03,21.9564
APD,2000-10-04,22.0806
