SYMB,DATE,EMA
ATVI,1999-11-29,1.1091
ATVI,1999-11-30,1.1103
ATVI,1999-12-01,1.1162
ATVI,1999-12-02,1.121
ATVI,1999-12-03,1.1249
ATVI,1999-12-06,1.1289
ATVI,1999-12-07,1.1244
ATVI,1999-12-08,1.12
ATVI,1999-12-09,1.1191
ATVI,1999-12-10,1.1242
ATVI,1999-12-13,1.1347
ATVI,1999-12-14,1.144
ATVI,1999-12-15,1.152
ATVI,1999-12-16,1.1596
ATVI,1999-12-17,1.1568
ATVI,1999-12-20,1.1551
ATVI,1999-12-21,1.1522
ATVI,1999-12-22,1.1461
ATVI,1999-12-23,1.1374
ATVI,1999-12-27,1.1313
ATVI,1999-12-28,1.1374
ATVI,1999-12-29,1.1371
ATVI,1999-12-30,1.1324
ATVI,1999-12-31,1.1335
ATVI,2000-01-03,1.1425
ATVI,2000-01-04,1.147
ATVI,2000-01-05,1.1516
ATVI,2000-01-06,1.1535
ATVI,2000-01-07,1.1583
ATVI,2000-01-10,1.1685
ATVI,2000-01-11,1.1831
ATVI,2000-01-12,1.1909
ATVI,2000-01-13,1.1993
ATVI,2000-01-14,1.2056
ATVI,2000-01-18,1.2117
ATVI,2000-01-19,1.2154
ATVI,2000-01-20,1.2121
ATVI,2000-01-21,1.2043
ATVI,2000-01-24,1.1963
ATVI,2000-01-25,1.1855
ATVI,2000-01-26,1.1856
ATVI,2000-01-27,1.1949
ATVI,2000-01-28,1.1976
ATVI,2000-01-31,1.1946
ATVI,2000-02-01,1.2009
ATVI,2000-02-02,1.2102
ATVI,2000-02-03,1.2198
ATVI,2000-02-04,1.2157
ATVI,2000-02-07,1.2066
ATVI,2000-02-08,1.1966
ATVI,2000-02-09,1.186
ATVI,2000-02-10,1.1758
ATVI,2000-02-11,1.1696
ATVI,2000-02-14,1.1605
ATVI,2000-02-15,1.1496
ATVI,2000-02-16,1.1398
ATVI,2000-02-17,1.131
ATVI,2000-02-18,1.1194
ATVI,2000-02-22,1.1079
ATVI,2000-02-23,1.0952
ATVI,2000-02-24,1.0843
ATVI,2000-02-25,1.0717
ATVI,2000-02-28,1.059
ATVI,2000-02-29,1.0484
ATVI,2000-03-01,1.0517
ATVI,2000-03-02,1.0547
ATVI,2000-03-03,1.0596
ATVI,2000-03-06,1.061
ATVI,2000-03-07,1.0577
ATVI,2000-03-08,1.0508
ATVI,2000-03-09,1.0534
ATVI,2000-03-10,1.0549
ATVI,2000-03-13,1.0509
ATVI,2000-03-14,1.0496
ATVI,2000-03-15,1.0421
ATVI,2000-03-16,1.0353
ATVI,2000-03-17,1.0298
ATVI,2000-03-20,1.0278
ATVI,2000-03-21,1.0255
ATVI,2000-03-22,1.0229
ATVI,2000-03-23,1.0171
ATVI,2000-03-24,1.0172
ATVI,2000-03-27,1.0137
ATVI,2000-03-28,1.0109
ATVI,2000-03-29,1.008
ATVI,2000-03-30,1.0036
ATVI,2000-03-31,0.9938
ATVI,2000-04-03,0.9783
ATVI,2000-04-04,0.9607
ATVI,2000-04-05,0.9453
ATVI,2000-04-06,0.9339
ATVI,2000-04-07,0.9023
ATVI,2000-04-10,0.8737
ATVI,2000-04-11,0.8405
ATVI,2000-04-12,0.8098
