SYMB,DATE,EMA
MMM,1999-11-29,28.6669
MMM,1999-11-30,28.6426
MMM,1999-12-01,28.5889
MMM,1999-12-02,28.6182
MMM,1999-12-03,28.7047
MMM,1999-12-06,28.7405
MMM,1999-12-07,28.6367
MMM,1999-12-08,28.5711
MMM,1999-12-09,28.503
MMM,1999-12-10,28.4484
MMM,1999-12-13,28.3934
MMM,1999-12-14,28.3564
MMM,1999-12-15,28.3529
MMM,1999-12-16,28.3055
MMM,1999-12-17,28.3035
MMM,1999-12-20,28.2543
MMM,1999-12-21,28.1685
MMM,1999-12-22,28.0997
MMM,1999-12-23,28.0586
MMM,1999-12-27,28.041
MMM,1999-12-28,28.1137
MMM,1999-12-29,28.197
MMM,1999-12-30,28.2407
MMM,1999-12-31,28.3227
MMM,2000-01-03,28.2977
MMM,2000-01-04,28.169
MMM,2000-01-05,28.1833
MMM,2000-01-06,28.3535
MMM,2000-01-07,28.564
MMM,2000-01-10,28.7404
MMM,2000-01-11,28.849
MMM,2000-01-12,28.9557
MMM,2000-01-13,29.0523
MMM,2000-01-14,29.0975
MMM,2000-01-18,29.0766
MMM,2000-01-19,29.1053
MMM,2000-01-20,29.0271
MMM,2000-01-21,28.9509
MMM,2000-01-24,28.82
MMM,2000-01-25,28.6628
MMM,2000-01-26,28.6601
MMM,2000-01-27,28.656
MMM,2000-01-28,28.539
MMM,2000-01-31,28.4722
MMM,2000-02-01,28.426
MMM,2000-02-02,28.338
MMM,2000-02-03,28.2354
MMM,2000-02-04,28.0682
MMM,2000-02-07,27.8763
MMM,2000-02-08,27.7045
MMM,2000-02-09,27.5473
MMM,2000-02-10,27.3589
MMM,2000-02-11,27.1019
MMM,2000-02-14,26.8676
MMM,2000-02-15,26.8326
MMM,2000-02-16,26.7777
MMM,2000-02-17,26.7654
MMM,2000-02-18,26.6957
MMM,2000-02-22,26.7053
MMM,2000-02-23,26.7922
MMM,2000-02-24,26.8336
MMM,2000-02-25,26.7213
MMM,2000-02-28,26.6395
MMM,2000-02-29,26.6153
MMM,2000-03-01,26.5347
MMM,2000-03-02,26.4597
MMM,2000-03-03,26.49
MMM,2000-03-06,26.4532
MMM,2000-03-07,26.2917
MMM,2000-03-08,26.1402
MMM,2000-03-09,25.957
MMM,2000-03-10,25.8072
MMM,2000-03-13,25.6004
MMM,2000-03-14,25.417
MMM,2000-03-15,25.347
MMM,2000-03-16,25.4422
MMM,2000-03-17,25.4662
MMM,2000-03-20,25.5198
MMM,2000-03-21,25.6664
MMM,2000-03-22,25.6724
MMM,2000-03-23,25.7064
MMM,2000-03-24,25.8477
MMM,2000-03-27,25.9115
MMM,2000-03-28,25.9762
MMM,2000-03-29,25.9992
MMM,2000-03-30,26.0591
MMM,2000-03-31,26.1007
MMM,2000-04-03,26.2329
MMM,2000-04-04,26.3828
MMM,2000-04-05,26.4668
MMM,2000-04-06,26.6069
MMM,2000-04-07,26.6838
MMM,2000-04-10,26.7853
MMM,2000-04-11,26.9538
MMM,2000-04-12,27.0832
MMM,2000-04-13,27.2036
MMM,2000-04-14,27.2003
MMM,2000-04-17,27.1709
MMM,2000-04-18,27.1442
MMM,2000-04-19,27.136
MMM,2000-04-20,27.1802
MMM,2000-04-24,27.3664
MMM,2000-04-25,27.4331
MMM,2000-04-26,27.3547
MMM,2000-04-27,27.241
MMM,2000-04-28,27.115
MMM,2000-05-01,27.0099
MMM,2000-05-02,26.9148
MMM,2000-05-03,26.7966
MMM,2000-05-04,26.679
MMM,2000-05-05,26.6083
MMM,2000-05-08,26.562
MMM,2000-05-09,26.4828
MMM,2000-05-10,26.4094
MMM,2000-05-11,26.343
MMM,2000-05-12,26.2527
MMM,2000-05-15,26.2012
MMM,2000-05-16,26.272
MMM,2000-05-17,26.2939
MMM,2000-05-18,26.2868
MMM,2000-05-19,26.2069
MMM,2000-05-22,26.1257
MMM,2000-05-23,26.0505
MMM,2000-05-24,26.099
MMM,2000-05-25,26.0496
MMM,2000-05-26,25.9779
MMM,2000-05-30,25.9455
MMM,2000-05-31,25.9572
MMM,2000-06-01,25.9196
MMM,2000-06-02,25.8692
MMM,2000-06-05,25.8452
MMM,2000-06-06,25.7445
MMM,2000-06-07,25.6374
MMM,2000-06-08,25.5405
MMM,2000-06-09,25.4582
MMM,2000-06-12,25.3844
MMM,2000-06-13,25.3153
MMM,2000-06-14,25.319
MMM,2000-06-15,25.387
MMM,2000-06-16,25.391
MMM,2000-06-19,25.3678
MMM,2000-06-20,25.3092
MMM,2000-06-21,25.3726
MMM,2000-06-22,25.4245
MMM,2000-06-23,25.425
MMM,2000-06-26,25.4559
MMM,2000-06-27,25.5162
MMM,2000-06-28,25.5547
MMM,2000-06-29,25.5749
MMM,2000-06-30,25.5198
MMM,2000-07-03,25.5004
MMM,2000-07-05,25.6101
MMM,2000-07-06,25.6537
MMM,2000-07-07,25.6809
MMM,2000-07-10,25.7358
MMM,2000-07-11,25.8358
MMM,2000-07-12,25.9583
MMM,2000-07-13,26.0548
MMM,2000-07-14,26.094
MMM,2000-07-17,26.1113
MMM,2000-07-18,26.1485
MMM,2000-07-19,26.1392
MMM,2000-07-20,26.1307
MMM,2000-07-21,26.1196
MMM,2000-07-24,26.1864
MMM,2000-07-25,26.2253
MMM,2000-07-26,26.2678
MMM,2000-07-27,26.3187
MMM,2000-07-28,26.4222
MMM,2000-07-31,26.4889
MMM,2000-08-01,26.5297
MMM,2000-08-02,26.5916
MMM,2000-08-03,26.6387
MMM,2000-08-04,26.6831
MMM,2000-08-07,26.7484
MMM,2000-08-08,26.8219
MMM,2000-08-09,26.9205
MMM,2000-08-10,27.078
MMM,2000-08-11,27.2741
MMM,2000-08-14,27.4211
MMM,2000-08-15,27.5309
MMM,2000-08-16,27.6104
MMM,2000-08-17,27.7128
MMM,2000-08-18,27.802
MMM,2000-08-21,27.8772
MMM,2000-08-22,27.9846
MMM,2000-08-23,28.0878
MMM,2000-08-24,28.1485
MMM,2000-08-25,28.2306
MMM,2000-08-28,28.2869
MMM,2000-08-29,28.3235
MMM,2000-08-30,28.3205
MMM,2000-08-31,28.3074
MMM,2000-09-01,28.2806
MMM,2000-09-05,28.2491
MMM,2000-09-06,28.2748
MMM,2000-09-07,28.226
MMM,2000-09-08,28.133
MMM,2000-09-11,28.0201
MMM,2000-09-12,27.8925
MMM,2000-09-13,27.732
MMM,2000-09-14,27.5436
MMM,2000-09-15,27.3768
MMM,2000-09-18,27.17
MMM,2000-09-19,27.0027
MMM,2000-09-20,26.7899
MMM,2000-09-21,26.7328
MMM,2000-09-22,26.7333
MMM,2000-09-25,26.7842
MMM,2000-09-26,26.8268
MMM,2000-09-27,26.8671
MMM,2000-09-28,26.9523
MMM,2000-09-29,27.015
MMM,2000-10-02,27.0879
MMM,2000-10-03,27.2205
MMM,2000-10-04,27.3837
MMM,2000-10-05,27.4665
MMM,2000-10-06,27.5108
MMM,2000-10-09,27.5382
MMM,2000-10-10,27.6028
MMM,2000-10-11,27.6647
MMM,2000-10-12,27.6523
MMM,2000-10-13,27.6446
MMM,2000-10-16,27.6719
MMM,2000-10-17,27.6661
MMM,2000-10-18,27.6608
MMM,2000-10-19,27.5945
MMM,2000-10-20,27.4841
MMM,2000-10-23,27.458
MMM,2000-10-24,27.4417
MMM,2000-10-25,27.4289
MMM,2000-10-26,27.4768
MMM,2000-10-27,27.5579
MMM,2000-10-30,27.6746
MMM,2000-10-31,27.8272
MMM,2000-11-01,27.922
MMM,2000-11-02,28.0023
MMM,2000-11-03,28.0731
MMM,2000-11-06,28.2094
MMM,2000-11-07,28.32
MMM,2000-11-08,28.4308
MMM,2000-11-09,28.533
MMM,2000-11-10,28.5568
MMM,2000-11-13,28.5729
MMM,2000-11-14,28.5929
MMM,2000-11-15,28.622
MMM,2000-11-16,28.6463
MMM,2000-11-17,28.6881
MMM,2000-11-20,28.6865
MMM,2000-11-21,28.7323
MMM,2000-11-22,28.7773
MMM,2000-11-24,28.818
MMM,2000-11-27,28.9546
MMM,2000-11-28,29.0675
MMM,2000-11-29,29.2051
MMM,2000-11-30,29.3232
MMM,2000-12-01,29.4228
MMM,2000-12-04,29.6688
MMM,2000-12-05,30.2281
MMM,2000-12-06,30.6906
MMM,2000-12-07,31.0974
MMM,2000-12-08,31.5294
MMM,2000-12-11,31.8737
MMM,2000-12-12,32.1447
MMM,2000-12-13,32.3869
MMM,2000-12-14,32.5248
MMM,2000-12-15,32.6843
MMM,2000-12-18,32.8984
MMM,2000-12-19,33.0688
MMM,2000-12-20,33.1969
MMM,2000-12-21,33.307
MMM,2000-12-22,33.4095
MMM,2000-12-26,33.5661
MMM,2000-12-27,33.8297
MMM,2000-12-28,34.1466
MMM,2000-12-29,34.3927
MMM,2001-01-02,34.5776
MMM,2001-01-03,34.7042
MMM,2001-01-04,34.8536
MMM,2001-01-05,34.8611
MMM,2001-01-08,34.8881
MMM,2001-01-09,34.8575
MMM,2001-01-10,34.7978
MMM,2001-01-11,34.738
MMM,2001-01-12,34.6142
MMM,2001-01-16,34.6125
MMM,2001-01-17,34.5094
MMM,2001-01-18,34.3871
MMM,2001-01-19,34.2125
MMM,2001-01-22,34.1156
MMM,2001-01-23,34.0888
MMM,2001-01-24,33.9514
MMM,2001-01-25,33.8967
MMM,2001-01-26,33.7834
MMM,2001-01-29,33.6808
MMM,2001-01-30,33.7071
MMM,2001-01-31,33.7105
MMM,2001-02-01,33.7397
MMM,2001-02-02,33.682
MMM,2001-02-05,33.6617
MMM,2001-02-06,33.6985
MMM,2001-02-07,33.7376
MMM,2001-02-08,33.7787
MMM,2001-02-09,33.7753
MMM,2001-02-12,33.8245
MMM,2001-02-13,33.9155
MMM,2001-02-14,33.9078
MMM,2001-02-15,34.0111
MMM,2001-02-16,34.0582
MMM,2001-02-20,34.1181
MMM,2001-02-21,34.1173
MMM,2001-02-22,34.0873
MMM,2001-02-23,34.0631
MMM,2001-02-26,34.0703
MMM,2001-02-27,34.1236
MMM,2001-02-28,34.166
MMM,2001-03-01,34.111
MMM,2001-03-02,34.1108
MMM,2001-03-05,34.1368
MMM,2001-03-06,34.1634
MMM,2001-03-07,34.2049
MMM,2001-03-08,34.3679
MMM,2001-03-09,34.4921
MMM,2001-03-12,34.4702
MMM,2001-03-13,34.3307
MMM,2001-03-14,34.1987
MMM,2001-03-15,34.1288
MMM,2001-03-16,33.9723
MMM,2001-03-19,33.889
MMM,2001-03-20,33.7319
MMM,2001-03-21,33.543
MMM,2001-03-22,33.3196
MMM,2001-03-23,33.1175
MMM,2001-03-26,32.9989
MMM,2001-03-27,32.9324
MMM,2001-03-28,32.8547
MMM,2001-03-29,32.7261
MMM,2001-03-30,32.6418
MMM,2001-04-02,32.513
MMM,2001-04-03,32.3326
MMM,2001-04-04,32.1317
MMM,2001-04-05,32.0835
MMM,2001-04-06,32.005
MMM,2001-04-09,32.0098
MMM,2001-04-10,32.1309
MMM,2001-04-11,32.188
MMM,2001-04-12,32.2658
MMM,2001-04-16,32.418
MMM,2001-04-17,32.509
MMM,2001-04-18,32.7985
MMM,2001-04-19,33.0751
MMM,2001-04-20,33.2086
MMM,2001-04-23,33.4403
MMM,2001-04-24,33.644
MMM,2001-04-25,33.8547
MMM,2001-04-26,34.0686
MMM,2001-04-27,34.2972
MMM,2001-04-30,34.504
MMM,2001-05-01,34.6473
MMM,2001-05-02,34.7507
MMM,2001-05-03,34.8793
MMM,2001-05-04,35.0598
MMM,2001-05-07,35.1619
MMM,2001-05-08,35.2105
MMM,2001-05-09,35.269
MMM,2001-05-10,35.3541
MMM,2001-05-11,35.4135
MMM,2001-05-14,35.4936
MMM,2001-05-15,35.5631
MMM,2001-05-16,35.8565
MMM,2001-05-17,36.0693
MMM,2001-05-18,36.2442
MMM,2001-05-21,36.4024
MMM,2001-05-22,36.4839
MMM,2001-05-23,36.546
MMM,2001-05-24,36.5552
MMM,2001-05-25,36.5577
MMM,2001-05-29,36.5893
MMM,2001-05-30,36.5475
MMM,2001-05-31,36.5449
MMM,2001-06-01,36.5659
MMM,2001-06-04,36.6026
MMM,2001-06-05,36.6798
MMM,2001-06-06,36.7525
MMM,2001-06-07,36.8242
MMM,2001-06-08,36.8392
MMM,2001-06-11,36.8586
MMM,2001-06-12,36.929
MMM,2001-06-13,36.9897
MMM,2001-06-14,37.0095
MMM,2001-06-15,37.0303
MMM,2001-06-18,37.0873
MMM,2001-06-19,37.086
MMM,2001-06-20,37.0321
MMM,2001-06-21,36.9158
MMM,2001-06-22,36.8253
MMM,2001-06-25,36.7112
MMM,2001-06-26,36.5874
MMM,2001-06-27,36.4548
MMM,2001-06-28,36.3819
MMM,2001-06-29,36.263
MMM,2001-07-02,36.2494
MMM,2001-07-03,36.2223
MMM,2001-07-05,36.1861
MMM,2001-07-06,36.1006
MMM,2001-07-09,36.032
MMM,2001-07-10,35.8761
MMM,2001-07-11,35.7351
MMM,2001-07-12,35.6603
MMM,2001-07-13,35.5544
MMM,2001-07-16,35.3971
MMM,2001-07-17,35.3369
MMM,2001-07-18,35.3088
MMM,2001-07-19,35.3097
MMM,2001-07-20,35.2607
MMM,2001-07-23,35.1666
MMM,2001-07-24,34.9582
MMM,2001-07-25,34.8664
MMM,2001-07-26,34.8157
MMM,2001-07-27,34.7698
MMM,2001-07-30,34.6637
MMM,2001-07-31,34.644
MMM,2001-08-01,34.5998
MMM,2001-08-02,34.5685
MMM,2001-08-03,34.552
MMM,2001-08-06,34.4696
MMM,2001-08-07,34.4391
MMM,2001-08-08,34.3322
MMM,2001-08-09,34.2151
MMM,2001-08-10,34.1794
MMM,2001-08-13,34.1648
MMM,2001-08-14,34.1105
MMM,2001-08-15,34.0789
MMM,2001-08-16,34.0299
MMM,2001-08-17,33.9767
MMM,2001-08-20,33.9256
MMM,2001-08-21,33.856
MMM,2001-08-22,33.8692
MMM,2001-08-23,33.8399
MMM,2001-08-24,33.8782
MMM,2001-08-27,33.9129
MMM,2001-08-28,33.906
MMM,2001-08-29,33.826
MMM,2001-08-30,33.6769
MMM,2001-08-31,33.5391
MMM,2001-09-04,33.4292
MMM,2001-09-05,33.3415
MMM,2001-09-06,33.2298
MMM,2001-09-07,33.0373
MMM,2001-09-10,32.9044
MMM,2001-09-17,32.5851
MMM,2001-09-18,32.2576
MMM,2001-09-19,31.9115
MMM,2001-09-20,31.5355
MMM,2001-09-21,31.0968
MMM,2001-09-24,30.8382
MMM,2001-09-25,30.6473
MMM,2001-09-26,30.482
MMM,2001-09-27,30.4188
MMM,2001-09-28,30.4232
MMM,2001-10-01,30.3818
MMM,2001-10-02,30.3547
MMM,2001-10-03,30.4003
MMM,2001-10-04,30.443
MMM,2001-10-05,30.4847
MMM,2001-10-08,30.4843
MMM,2001-10-09,30.4837
MMM,2001-10-10,30.5822
MMM,2001-10-11,30.7981
MMM,2001-10-12,30.9463
MMM,2001-10-15,31.1187
MMM,2001-10-16,31.2864
MMM,2001-10-17,31.3498
MMM,2001-10-18,31.4012
MMM,2001-10-19,31.4241
MMM,2001-10-22,31.5981
MMM,2001-10-23,31.7261
MMM,2001-10-24,31.8508
MMM,2001-10-25,32.0226
MMM,2001-10-26,32.2104
MMM,2001-10-29,32.283
MMM,2001-10-30,32.3163
MMM,2001-10-31,32.317
MMM,2001-11-01,32.3735
MMM,2001-11-02,32.4808
MMM,2001-11-05,32.6456
MMM,2001-11-06,32.7623
MMM,2001-11-07,32.9003
MMM,2001-11-08,33.0517
MMM,2001-11-09,33.1917
MMM,2001-11-12,33.3036
MMM,2001-11-13,33.4755
MMM,2001-11-14,33.6754
MMM,2001-11-15,33.8473
MMM,2001-11-16,34.0147
MMM,2001-11-19,34.2163
MMM,2001-11-20,34.4016
MMM,2001-11-21,34.5455
MMM,2001-11-23,34.7321
MMM,2001-11-26,34.892
MMM,2001-11-27,35.013
MMM,2001-11-28,35.075
MMM,2001-11-29,35.1489
MMM,2001-11-30,35.1979
MMM,2001-12-03,35.2216
MMM,2001-12-04,35.3171
MMM,2001-12-05,35.4776
MMM,2001-12-06,35.6198
MMM,2001-12-07,35.7337
MMM,2001-12-10,35.7567
MMM,2001-12-11,35.7835
MMM,2001-12-12,35.8136
MMM,2001-12-13,35.8112
MMM,2001-12-14,35.8328
MMM,2001-12-17,35.8967
MMM,2001-12-18,36.0198
MMM,2001-12-19,36.1401
MMM,2001-12-20,36.2103
MMM,2001-12-21,36.2947
MMM,2001-12-24,36.3769
MMM,2001-12-26,36.4868
