SYMB,DATA_OP,HORA_OP,MKT_OPEN,HIGH,LOW,MKT_CLOSE,VOLUME
ABMD,2020-11-03,16:06:00,260.8,260.8,260.8,260.8,988
ABMD,2020-11-03,16:05:00,260.8,260.8,260.8,260.8,555
ABMD,2020-11-03,16:01:00,260.8,260.8,260.8,260.8,6914
ABMD,2020-11-03,16:00:00,260.95,261.06,260.24,260.8,8984
ABMD,2020-11-03,15:59:00,260.93,261.22,260.76,260.92,5628
ABMD,2020-11-03,15:58:00,260.94,261.1,260.77,260.93,1902
ABMD,2020-11-03,15:57:00,261.02,261.08,260.425,261.005,2750
ABMD,2020-11-03,15:56:00,261.71,261.75,260.98,260.98,3900
ABMD,2020-11-03,15:55:00,261.5,261.865,261.5,261.865,1217
ABMD,2020-11-03,15:54:00,260.67,261.37,260.67,261.37,2446
ABMD,2020-11-03,15:53:00,260.46,260.9,260.46,260.79,843
ABMD,2020-11-03,15:52:00,260.28,260.77,260.28,260.77,1793
ABMD,2020-11-03,15:51:00,260.69,260.69,259.84,260.18,1575
ABMD,2020-11-03,15:50:00,260.95,261.13,260.93,260.93,1528
ABMD,2020-11-03,15:49:00,260.93,260.93,260.64,260.64,976
ABMD,2020-11-03,15:48:00,260.885,260.885,260.51,260.725,1600
ABMD,2020-11-03,15:47:00,260.98,261.13,260.98,261.05,1275
ABMD,2020-11-03,15:46:00,261.205,261.5,261.19,261.19,2260
ABMD,2020-11-03,15:45:00,261.27,261.27,261.11,261.255,1219
ABMD,2020-11-03,15:44:00,261.16,261.26,261.12,261.24,1591
ABMD,2020-11-03,15:43:00,261.36,261.3725,261.15,261.16,2448
ABMD,2020-11-03,15:42:00,261.58,261.64,261.43,261.43,1761
ABMD,2020-11-03,15:41:00,261.05,261.65,261.05,261.65,3819
ABMD,2020-11-03,15:40:00,261.19,261.19,261.19,261.19,625
ABMD,2020-11-03,15:39:00,261.31,261.31,261.1,261.1,785
ABMD,2020-11-03,15:38:00,261.03,261.04,260.91,260.995,1343
ABMD,2020-11-03,15:37:00,260.925,260.925,260.81,260.86,1147
ABMD,2020-11-03,15:36:00,260.87,260.96,260.815,260.96,1917
ABMD,2020-11-03,15:35:00,260.41,260.99,260.41,260.99,1037
ABMD,2020-11-03,15:34:00,260.37,260.58,260.365,260.37,1568
