date,open,high,low,close,volume
2020-11-03 19:46:00+00:00,88.82,88.82,88.82,88.82,305
2020-11-03 19:44:00+00:00,88.8,88.82,88.8,88.82,765
2020-11-03 19:43:00+00:00,88.75,88.75,88.75,88.75,310
2020-11-03 19:28:00+00:00,88.25,88.25,88.25,88.25,303
2020-11-03 18:42:00+00:00,88.0,88.0,88.0,88.0,120
2020-11-03 18:30:00+00:00,87.9,87.9,87.9,87.9,300
2020-11-03 18:22:00+00:00,88.25,88.25,88.25,88.25,200
2020-11-03 18:14:00+00:00,88.0,88.0,88.0,88.0,200
2020-11-03 16:29:00+00:00,87.9688,87.9688,87.9688,87.9688,1100
2020-11-03 16:11:00+00:00,88.0,88.0,88.0,88.0,471
2020-11-03 16:10:00+00:00,88.0,88.0,88.0,88.0,4000
2020-11-03 16:07:00+00:00,88.0,88.0,88.0,88.0,503
2020-11-03 16:06:00+00:00,88.0,88.0,87.96,87.96,84365
2020-11-03 16:05:00+00:00,87.96,87.96,87.96,87.96,183
2020-11-03 16:04:00+00:00,88.29,88.29,88.29,88.29,117
2020-11-03 16:03:00+00:00,87.96,88.0,87.96,88.0,18272
2020-11-03 16:02:00+00:00,88.0,88.0,88.0,88.0,952
2020-11-03 16:01:00+00:00,87.98,88.0,87.98,88.0,2226
2020-11-03 16:00:00+00:00,88.09,88.1,87.96,87.97,144332
2020-11-03 15:59:00+00:00,88.305,88.305,88.07,88.095,82013
2020-11-03 15:58:00+00:00,88.36,88.4,88.29,88.31,67899
2020-11-03 15:57:00+00:00,88.315,88.395,88.29,88.36,62517
2020-11-03 15:56:00+00:00,88.43,88.5,88.31,88.32,70080
2020-11-03 15:55:00+00:00,88.32,88.469,88.31,88.43,87525
2020-11-03 15:54:00+00:00,88.355,88.36,88.28,88.325,99112
2020-11-03 15:53:00+00:00,88.335,88.36,88.32,88.355,53623
2020-11-03 15:52:00+00:00,88.34,88.36,88.31,88.335,42354
2020-11-03 15:51:00+00:00,88.35,88.37,88.32,88.33,32161
2020-11-03 15:50:00+00:00,88.365,88.38,88.35,88.36,30555
2020-11-03 15:49:00+00:00,88.37,88.38,88.33,88.365,30764
2020-11-03 15:48:00+00:00,88.3778,88.38,88.34,88.37,23416
2020-11-03 15:47:00+00:00,88.32,88.38,88.32,88.37,28112
2020-11-03 15:46:00+00:00,88.28,88.35,88.28,88.31,27327
2020-11-03 15:45:00+00:00,88.27,88.31,88.24,88.29,22508
2020-11-03 15:44:00+00:00,88.31,88.3225,88.25,88.275,35949
2020-11-03 15:43:00+00:00,88.35,88.35,88.23,88.3,25447
2020-11-03 15:42:00+00:00,88.37,88.37,88.3,88.35,32915
2020-11-03 15:41:00+00:00,88.365,88.4,88.35,88.37,116761
2020-11-03 15:40:00+00:00,88.35,88.38,88.35,88.37,16390
2020-11-03 15:39:00+00:00,88.325,88.38,88.325,88.35,18785
2020-11-03 15:38:00+00:00,88.38,88.38,88.27,88.32,21735
2020-11-03 15:37:00+00:00,88.295,88.38,88.275,88.38,21712
2020-11-03 15:36:00+00:00,88.366,88.366,88.3,88.305,26216
2020-11-03 15:35:00+00:00,88.29,88.38,88.28,88.37,27759
2020-11-03 15:34:00+00:00,88.24,88.32,88.2301,88.3,19740
2020-11-03 15:33:00+00:00,88.21,88.2799,88.21,88.24,18663
2020-11-03 15:32:00+00:00,88.14,88.21,88.14,88.195,20688
2020-11-03 15:31:00+00:00,88.06,88.14,88.005,88.14,25272
2020-11-03 15:30:00+00:00,88.0,88.078,87.98,88.06,17532
2020-11-03 15:29:00+00:00,87.925,88.04,87.925,88.03,33669
2020-11-03 15:28:00+00:00,87.895,87.99,87.895,87.935,10534
2020-11-03 15:27:00+00:00,87.86,87.905,87.845,87.885,12842
2020-11-03 15:26:00+00:00,87.86,87.91,87.83,87.857,16095
2020-11-03 15:25:00+00:00,87.77,87.82,87.75,87.82,11093
2020-11-03 15:24:00+00:00,87.818,87.85,87.72,87.76,20245
2020-11-03 15:23:00+00:00,87.81,87.86,87.795,87.8,15631
2020-11-03 15:22:00+00:00,88.0,88.02,87.785,87.7991,20096
2020-11-03 15:21:00+00:00,87.965,88.0,87.95,88.0,13497
2020-11-03 15:20:00+00:00,87.95,87.98,87.95,87.965,9248
2020-11-03 15:19:00+00:00,87.982,87.99,87.9428,87.95,9155
2020-11-03 15:18:00+00:00,88.02,88.025,87.95,87.985,17753
2020-11-03 15:17:00+00:00,87.975,88.04,87.975,88.02,24062
2020-11-03 15:16:00+00:00,87.95,87.99,87.93,87.985,9653
2020-11-03 15:15:00+00:00,87.94,87.99,87.915,87.94,13453
2020-11-03 15:14:00+00:00,87.98,88.025,87.94,87.945,11793
2020-11-03 15:13:00+00:00,87.96,87.99,87.94,87.97,10804
2020-11-03 15:12:00+00:00,87.93,88.005,87.91,87.97,32994
2020-11-03 15:11:00+00:00,87.895,87.9501,87.87,87.935,15478
2020-11-03 15:10:00+00:00,87.915,87.915,87.865,87.9,12174
2020-11-03 15:09:00+00:00,87.875,87.92,87.8565,87.9151,14550
2020-11-03 15:08:00+00:00,87.92,87.94,87.8756,87.8756,19912
2020-11-03 15:07:00+00:00,87.88,87.91,87.865,87.91,6746
2020-11-03 15:06:00+00:00,87.94,87.94,87.83,87.89,27988
2020-11-03 15:05:00+00:00,87.86,87.96,87.86,87.95,27083
2020-11-03 15:04:00+00:00,87.805,87.8678,87.79,87.8678,14686
2020-11-03 15:03:00+00:00,87.82,87.82,87.76,87.79,9174
2020-11-03 15:02:00+00:00,87.8289,87.835,87.75,87.805,17584
2020-11-03 15:01:00+00:00,87.84,87.89,87.79,87.825,16574
2020-11-03 15:00:00+00:00,87.85,87.87,87.83,87.835,6644
2020-11-03 14:59:00+00:00,87.85,87.85,87.8,87.82,8887
2020-11-03 14:58:00+00:00,87.865,87.865,87.83,87.84,7026
2020-11-03 14:57:00+00:00,87.885,87.89,87.84,87.87,10132
2020-11-03 14:56:00+00:00,87.89,87.895,87.84,87.88,9659
2020-11-03 14:55:00+00:00,87.745,87.9,87.745,87.885,12518
2020-11-03 14:54:00+00:00,87.795,87.795,87.722,87.7479,15658
2020-11-03 14:53:00+00:00,87.79,87.8,87.78,87.795,8371
2020-11-03 14:52:00+00:00,87.775,87.7999,87.76,87.795,5562
2020-11-03 14:51:00+00:00,87.78,87.78,87.75,87.7711,14581
2020-11-03 14:50:00+00:00,87.7125,87.8,87.71,87.78,7748
2020-11-03 14:49:00+00:00,87.62,87.72,87.62,87.71,11372
2020-11-03 14:48:00+00:00,87.72,87.72,87.61,87.625,24840
2020-11-03 14:47:00+00:00,87.71,87.74,87.7,87.72,11393
2020-11-03 14:46:00+00:00,87.675,87.74,87.66,87.7,12939
2020-11-03 14:45:00+00:00,87.67,87.7,87.66,87.68,9181
2020-11-03 14:44:00+00:00,87.67,87.68,87.62,87.68,14189
2020-11-03 14:43:00+00:00,87.615,87.677,87.6,87.67,16862
2020-11-03 14:42:00+00:00,87.67,87.69,87.58,87.61,19039
2020-11-03 14:41:00+00:00,87.67,87.71,87.64,87.665,14921
2020-11-03 14:40:00+00:00,87.76,87.765,87.68,87.68,10959
2020-11-03 14:39:00+00:00,87.75,87.775,87.745,87.76,10949
