SYMB,DATE,SMA
A,1999-12-16,28.8979
A,1999-12-17,28.9623
A,1999-12-20,29.1779
A,1999-12-21,29.2652
A,1999-12-22,29.5077
A,1999-12-23,29.796
A,1999-12-27,30.1816
A,1999-12-28,30.8243
A,1999-12-29,31.8134
A,1999-12-30,33.0181
A,1999-12-31,34.119
A,2000-01-03,35.0314
A,2000-01-04,35.7199
A,2000-01-05,36.261
A,2000-01-06,36.7524
A,2000-01-07,37.3891
A,2000-01-10,38.1917
A,2000-01-11,38.9383
A,2000-01-12,39.7223
A,2000-01-13,40.583
A,2000-01-14,41.2841
A,2000-01-18,42.1321
A,2000-01-19,42.8992
A,2000-01-20,43.6126
A,2000-01-21,44.3157
A,2000-01-24,44.9378
A,2000-01-25,45.4315
A,2000-01-26,45.6574
A,2000-01-27,45.5393
A,2000-01-28,45.168
A,2000-01-31,44.7991
A,2000-02-01,44.7659
A,2000-02-02,45.0977
A,2000-02-03,45.6349
A,2000-02-04,46.174
A,2000-02-07,46.6551
A,2000-02-08,46.9889
A,2000-02-09,47.2461
A,2000-02-10,47.5798
A,2000-02-11,47.837
A,2000-02-14,48.1044
A,2000-02-15,48.4488
A,2000-02-16,48.8138
A,2000-02-17,49.7717
A,2000-02-18,50.6012
A,2000-02-22,51.3643
A,2000-02-23,52.4031
A,2000-02-24,53.6802
A,2000-02-25,54.9961
A,2000-02-28,56.089
A,2000-02-29,57.3402
A,2000-03-01,58.6043
A,2000-03-02,59.5599
A,2000-03-03,60.5636
A,2000-03-06,63.3092
A,2000-03-07,65.3829
A,2000-03-08,67.805
A,2000-03-09,70.3681
A,2000-03-10,72.535
A,2000-03-13,74.3904
A,2000-03-14,76.1675
A,2000-03-15,77.2432
A,2000-03-16,78.4741
A,2000-03-17,79.2738
A,2000-03-20,79.939
A,2000-03-21,80.7187
A,2000-03-22,81.3956
A,2000-03-23,81.8236
A,2000-03-24,82.2184
A,2000-03-27,82.6597
A,2000-03-28,83.164
A,2000-03-29,83.2602
A,2000-03-30,83.2503
A,2000-03-31,83.1176
A,2000-04-03,81.0936
A,2000-04-04,79.4844
A,2000-04-05,77.6576
