SYMB,DATE,SMA
AAP,2001-12-27,13.5374
AAP,2001-12-28,13.6217
AAP,2001-12-31,13.7304
AAP,2002-01-02,13.8317
AAP,2002-01-03,13.9199
AAP,2002-01-04,13.8962
AAP,2002-01-07,13.866
AAP,2002-01-08,13.8203
AAP,2002-01-09,13.7786
AAP,2002-01-10,13.7524
AAP,2002-01-11,13.7713
AAP,2002-01-14,13.7871
AAP,2002-01-15,13.8677
AAP,2002-01-16,13.9607
AAP,2002-01-17,14.0583
AAP,2002-01-18,14.1568
AAP,2002-01-22,14.2261
AAP,2002-01-23,14.2506
AAP,2002-01-24,14.2577
AAP,2002-01-25,14.2719
AAP,2002-01-28,14.2617
AAP,2002-01-29,14.2508
AAP,2002-01-30,14.202
AAP,2002-01-31,14.1873
AAP,2002-02-01,14.2157
AAP,2002-02-04,14.276
AAP,2002-02-05,14.3404
AAP,2002-02-06,14.4129
AAP,2002-02-07,14.468
AAP,2002-02-08,14.5105
AAP,2002-02-11,14.5405
AAP,2002-02-12,14.5924
AAP,2002-02-13,14.5765
AAP,2002-02-14,14.5411
AAP,2002-02-15,14.5001
AAP,2002-02-19,14.456
AAP,2002-02-20,14.4167
AAP,2002-02-21,14.377
AAP,2002-02-22,14.3557
AAP,2002-02-25,14.3258
AAP,2002-02-26,14.3069
AAP,2002-02-27,14.287
AAP,2002-02-28,14.2579
AAP,2002-03-01,14.2114
AAP,2002-03-04,14.161
AAP,2002-03-05,14.1196
AAP,2002-03-06,14.0835
AAP,2002-03-07,14.0079
AAP,2002-03-08,13.9575
AAP,2002-03-11,13.9132
AAP,2002-03-12,13.8565
AAP,2002-03-13,13.7857
AAP,2002-03-14,13.7557
AAP,2002-03-15,13.751
AAP,2002-03-18,13.7455
AAP,2002-03-19,13.7534
AAP,2002-03-20,13.759
AAP,2002-03-21,13.7609
AAP,2002-03-22,13.7507
AAP,2002-03-25,13.7357
AAP,2002-03-26,13.7342
AAP,2002-03-27,13.7334
AAP,2002-03-28,13.7523
AAP,2002-04-01,13.7855
AAP,2002-04-02,13.8028
AAP,2002-04-03,13.8052
AAP,2002-04-04,13.8112
AAP,2002-04-05,13.8679
