SYMB,DATE,SMA
ABBV,2013-01-30,25.9489
ABBV,2013-01-31,26.0213
ABBV,2013-02-01,26.1221
ABBV,2013-02-04,26.2424
ABBV,2013-02-05,26.3573
ABBV,2013-02-06,26.4971
ABBV,2013-02-07,26.6036
ABBV,2013-02-08,26.7004
ABBV,2013-02-11,26.7735
ABBV,2013-02-12,26.8221
ABBV,2013-02-13,26.8466
ABBV,2013-02-14,26.8843
ABBV,2013-02-15,26.9267
ABBV,2013-02-19,26.9585
ABBV,2013-02-20,27.0386
ABBV,2013-02-21,27.0744
ABBV,2013-02-22,27.1109
ABBV,2013-02-25,27.1025
ABBV,2013-02-26,27.1098
ABBV,2013-02-27,27.0886
ABBV,2013-02-28,27.0883
ABBV,2013-03-01,27.1292
ABBV,2013-03-04,27.168
ABBV,2013-03-05,27.1764
ABBV,2013-03-06,27.1961
ABBV,2013-03-07,27.2089
ABBV,2013-03-08,27.2425
ABBV,2013-03-11,27.2945
ABBV,2013-03-12,27.3427
ABBV,2013-03-13,27.4067
ABBV,2013-03-14,27.4904
ABBV,2013-03-15,27.561
ABBV,2013-03-18,27.5822
ABBV,2013-03-19,27.5884
ABBV,2013-03-20,27.6048
ABBV,2013-03-21,27.5942
ABBV,2013-03-22,27.6129
ABBV,2013-03-25,27.6841
ABBV,2013-03-26,27.7982
ABBV,2013-03-27,27.9232
ABBV,2013-03-28,28.0643
ABBV,2013-04-01,28.1853
ABBV,2013-04-02,28.2756
ABBV,2013-04-03,28.3875
ABBV,2013-04-04,28.5286
ABBV,2013-04-05,28.6682
ABBV,2013-04-08,28.8302
ABBV,2013-04-09,29.0086
ABBV,2013-04-10,29.2444
ABBV,2013-04-11,29.4794
ABBV,2013-04-12,29.6962
ABBV,2013-04-15,29.8177
ABBV,2013-04-16,29.9889
ABBV,2013-04-17,30.145
ABBV,2013-04-18,30.2785
ABBV,2013-04-19,30.4354
ABBV,2013-04-22,30.6416
ABBV,2013-04-23,30.8696
ABBV,2013-04-24,31.0349
ABBV,2013-04-25,31.1994
ABBV,2013-04-26,31.3998
ABBV,2013-04-29,31.5654
ABBV,2013-04-30,31.7762
ABBV,2013-05-01,31.9737
ABBV,2013-05-02,32.0759
ABBV,2013-05-03,32.2142
ABBV,2013-05-06,32.3324
ABBV,2013-05-07,32.4339
ABBV,2013-05-08,32.4439
ABBV,2013-05-09,32.4822
ABBV,2013-05-10,32.5531
ABBV,2013-05-13,32.6675
ABBV,2013-05-14,32.7744
ABBV,2013-05-15,32.9143
ABBV,2013-05-16,33.0578
ABBV,2013-05-17,33.2342
ABBV,2013-05-20,33.3102
ABBV,2013-05-21,33.3618
ABBV,2013-05-22,33.4518
ABBV,2013-05-23,33.5385
ABBV,2013-05-24,33.5238
ABBV,2013-05-28,33.5297
ABBV,2013-05-29,33.4496
ABBV,2013-05-30,33.4127
ABBV,2013-05-31,33.3648
ABBV,2013-06-03,33.3161
ABBV,2013-06-04,33.2806
ABBV,2013-06-05,33.2117
ABBV,2013-06-06,33.212
ABBV,2013-06-07,33.2032
ABBV,2013-06-10,33.163
ABBV,2013-06-11,33.1279
ABBV,2013-06-12,33.0327
ABBV,2013-06-13,32.9265
ABBV,2013-06-14,32.8158
ABBV,2013-06-17,32.6623
ABBV,2013-06-18,32.5619
ABBV,2013-06-19,32.4328
ABBV,2013-06-20,32.2225
ABBV,2013-06-21,32.076
ABBV,2013-06-24,31.9451
ABBV,2013-06-25,31.8432
ABBV,2013-06-26,31.8248
ABBV,2013-06-27,31.7724
ABBV,2013-06-28,31.7226
ABBV,2013-07-01,31.658
ABBV,2013-07-02,31.6056
ABBV,2013-07-03,31.5757
ABBV,2013-07-05,31.547
ABBV,2013-07-08,31.5351
ABBV,2013-07-09,31.513
ABBV,2013-07-10,31.5248
ABBV,2013-07-11,31.5768
ABBV,2013-07-12,31.6621
ABBV,2013-07-15,31.7292
ABBV,2013-07-16,31.7735
ABBV,2013-07-17,31.8038
ABBV,2013-07-18,31.866
ABBV,2013-07-19,32.0086
ABBV,2013-07-22,32.1105
ABBV,2013-07-23,32.2147
ABBV,2013-07-24,32.2667
ABBV,2013-07-25,32.3133
ABBV,2013-07-26,32.3897
ABBV,2013-07-29,32.5421
ABBV,2013-07-30,32.6712
ABBV,2013-07-31,32.8072
ABBV,2013-08-01,32.9338
ABBV,2013-08-02,33.045
ABBV,2013-08-05,33.0981
ABBV,2013-08-06,33.1708
ABBV,2013-08-07,33.2102
ABBV,2013-08-08,33.2578
ABBV,2013-08-09,33.2452
ABBV,2013-08-12,33.2608
ABBV,2013-08-13,33.3025
ABBV,2013-08-14,33.3256
ABBV,2013-08-15,33.2843
ABBV,2013-08-16,33.2277
ABBV,2013-08-19,33.1681
ABBV,2013-08-20,33.1182
ABBV,2013-08-21,33.0687
ABBV,2013-08-22,33.0195
ABBV,2013-08-23,32.9689
ABBV,2013-08-26,32.909
ABBV,2013-08-27,32.8319
ABBV,2013-08-28,32.7232
ABBV,2013-08-29,32.6252
ABBV,2013-08-30,32.5244
ABBV,2013-09-03,32.4454
ABBV,2013-09-04,32.3803
ABBV,2013-09-05,32.3408
ABBV,2013-09-06,32.2972
ABBV,2013-09-09,32.2868
ABBV,2013-09-10,32.2771
ABBV,2013-09-11,32.2779
ABBV,2013-09-12,32.2823
ABBV,2013-09-13,32.3449
ABBV,2013-09-16,32.4499
ABBV,2013-09-17,32.6074
ABBV,2013-09-18,32.7917
ABBV,2013-09-19,32.9812
ABBV,2013-09-20,33.1644
ABBV,2013-09-23,33.301
ABBV,2013-09-24,33.3952
ABBV,2013-09-25,33.4957
ABBV,2013-09-26,33.5866
ABBV,2013-09-27,33.6502
ABBV,2013-09-30,33.7292
ABBV,2013-10-01,33.8487
ABBV,2013-10-02,33.9537
ABBV,2013-10-03,34.0468
ABBV,2013-10-04,34.1551
ABBV,2013-10-07,34.2169
ABBV,2013-10-08,34.2072
ABBV,2013-10-09,34.202
ABBV,2013-10-10,34.2534
ABBV,2013-10-11,34.2966
ABBV,2013-10-14,34.3307
ABBV,2013-10-15,34.2891
ABBV,2013-10-16,34.2724
ABBV,2013-10-17,34.3168
ABBV,2013-10-18,34.3508
ABBV,2013-10-21,34.4131
ABBV,2013-10-22,34.5415
ABBV,2013-10-23,34.669
ABBV,2013-10-24,34.7937
ABBV,2013-10-25,34.9948
ABBV,2013-10-28,35.1855
ABBV,2013-10-29,35.3503
ABBV,2013-10-30,35.4723
ABBV,2013-10-31,35.579
ABBV,2013-11-01,35.6754
ABBV,2013-11-04,35.7907
