SYMB,DATE,SMA
ABMD,1999-11-29,13.0028
ABMD,1999-11-30,13.2622
ABMD,1999-12-01,13.5152
ABMD,1999-12-02,13.7778
ABMD,1999-12-03,14.0182
ABMD,1999-12-06,14.2165
ABMD,1999-12-07,14.4165
ABMD,1999-12-08,14.7305
ABMD,1999-12-09,15.243
ABMD,1999-12-10,15.7117
ABMD,1999-12-13,16.0772
ABMD,1999-12-14,16.4802
ABMD,1999-12-15,16.9082
ABMD,1999-12-16,17.3957
ABMD,1999-12-17,18.0332
ABMD,1999-12-20,18.6395
ABMD,1999-12-21,19.1222
ABMD,1999-12-22,19.5035
ABMD,1999-12-23,19.8315
ABMD,1999-12-27,20.0815
ABMD,1999-12-28,20.2017
ABMD,1999-12-29,20.3297
ABMD,1999-12-30,20.4922
ABMD,1999-12-31,20.636
ABMD,2000-01-03,20.7845
ABMD,2000-01-04,20.9112
ABMD,2000-01-05,21.0457
ABMD,2000-01-06,21.066
ABMD,2000-01-07,20.8755
ABMD,2000-01-10,20.788
ABMD,2000-01-11,20.635
ABMD,2000-01-12,20.4772
ABMD,2000-01-13,20.396
ABMD,2000-01-14,20.2427
ABMD,2000-01-18,20.2052
ABMD,2000-01-19,20.0927
ABMD,2000-01-20,20.0787
ABMD,2000-01-21,20.435
ABMD,2000-01-24,20.96
ABMD,2000-01-25,21.4287
ABMD,2000-01-26,21.985
ABMD,2000-01-27,22.535
ABMD,2000-01-28,23.0757
ABMD,2000-01-31,23.6195
ABMD,2000-02-01,24.1445
ABMD,2000-02-02,24.66
ABMD,2000-02-03,25.0942
ABMD,2000-02-04,25.571
ABMD,2000-02-07,26.1522
ABMD,2000-02-08,26.546
ABMD,2000-02-09,26.924
ABMD,2000-02-10,27.4163
ABMD,2000-02-11,27.8413
ABMD,2000-02-14,28.235
ABMD,2000-02-15,28.56
ABMD,2000-02-16,29.11
ABMD,2000-02-17,30.0008
ABMD,2000-02-18,30.5663
ABMD,2000-02-22,30.8445
ABMD,2000-02-23,31.1848
