SYMB,DATE,SMA
ABT,1999-11-29,9.8586
ABT,1999-11-30,9.8286
ABT,1999-12-01,9.8213
ABT,1999-12-02,9.8312
ABT,1999-12-03,9.8254
ABT,1999-12-06,9.7986
ABT,1999-12-07,9.7586
ABT,1999-12-08,9.7397
ABT,1999-12-09,9.7162
ABT,1999-12-10,9.6951
ABT,1999-12-13,9.6624
ABT,1999-12-14,9.6191
ABT,1999-12-15,9.5833
ABT,1999-12-16,9.6118
ABT,1999-12-17,9.6021
ABT,1999-12-20,9.6014
ABT,1999-12-21,9.5859
ABT,1999-12-22,9.5794
ABT,1999-12-23,9.5606
ABT,1999-12-27,9.5501
ABT,1999-12-28,9.5264
ABT,1999-12-29,9.5053
ABT,1999-12-30,9.4955
ABT,1999-12-31,9.4791
ABT,2000-01-03,9.4473
ABT,2000-01-04,9.4163
ABT,2000-01-05,9.3903
ABT,2000-01-06,9.3848
ABT,2000-01-07,9.3888
ABT,2000-01-10,9.3937
ABT,2000-01-11,9.4043
ABT,2000-01-12,9.4151
ABT,2000-01-13,9.3973
ABT,2000-01-14,9.3332
ABT,2000-01-18,9.2886
ABT,2000-01-19,9.2324
ABT,2000-01-20,9.1599
ABT,2000-01-21,9.0786
ABT,2000-01-24,8.9875
ABT,2000-01-25,8.8899
ABT,2000-01-26,8.7948
ABT,2000-01-27,8.7231
ABT,2000-01-28,8.6614
ABT,2000-01-31,8.6135
ABT,2000-02-01,8.5869
ABT,2000-02-02,8.5756
ABT,2000-02-03,8.5693
ABT,2000-02-04,8.5613
ABT,2000-02-07,8.5402
ABT,2000-02-08,8.5267
ABT,2000-02-09,8.5448
ABT,2000-02-10,8.5587
ABT,2000-02-11,8.562
ABT,2000-02-14,8.5693
ABT,2000-02-15,8.5873
ABT,2000-02-16,8.6086
ABT,2000-02-17,8.6373
ABT,2000-02-18,8.6561
ABT,2000-02-22,8.7002
ABT,2000-02-23,8.7329
ABT,2000-02-24,8.7598
ABT,2000-02-25,8.7761
ABT,2000-02-28,8.7924
ABT,2000-02-29,8.7981
ABT,2000-03-01,8.8103
ABT,2000-03-02,8.816
ABT,2000-03-03,8.8055
ABT,2000-03-06,8.7638
ABT,2000-03-07,8.7092
ABT,2000-03-08,8.6684
ABT,2000-03-09,8.6056
ABT,2000-03-10,8.5509
ABT,2000-03-13,8.506
ABT,2000-03-14,8.4547
ABT,2000-03-15,8.4204
ABT,2000-03-16,8.4179
ABT,2000-03-17,8.4081
ABT,2000-03-20,8.4244
ABT,2000-03-21,8.4285
ABT,2000-03-22,8.4569
ABT,2000-03-23,8.4838
ABT,2000-03-24,8.5042
ABT,2000-03-27,8.5057
ABT,2000-03-28,8.5172
ABT,2000-03-29,8.5312
ABT,2000-03-30,8.5573
ABT,2000-03-31,8.5932
ABT,2000-04-03,8.6683
ABT,2000-04-04,8.7963
ABT,2000-04-05,8.8763
ABT,2000-04-06,8.962
ABT,2000-04-07,9.0363
ABT,2000-04-10,9.1178
ABT,2000-04-11,9.2083
ABT,2000-04-12,9.3025
ABT,2000-04-13,9.3648
ABT,2000-04-14,9.4091
ABT,2000-04-17,9.4599
ABT,2000-04-18,9.5197
ABT,2000-04-19,9.5739
ABT,2000-04-20,9.646
ABT,2000-04-24,9.7312
ABT,2000-04-25,9.8172
ABT,2000-04-26,9.8851
ABT,2000-04-27,9.94
ABT,2000-04-28,9.9794
ABT,2000-05-01,10.018
ABT,2000-05-02,10.0346
ABT,2000-05-03,10.012
ABT,2000-05-04,10.0146
ABT,2000-05-05,10.0174
ABT,2000-05-08,10.0469
ABT,2000-05-09,10.0766
ABT,2000-05-10,10.0842
ABT,2000-05-11,10.0604
ABT,2000-05-12,10.0318
ABT,2000-05-15,10.0596
ABT,2000-05-16,10.0719
ABT,2000-05-17,10.0768
ABT,2000-05-18,10.1053
ABT,2000-05-19,10.1355
ABT,2000-05-22,10.1707
ABT,2000-05-23,10.21
ABT,2000-05-24,10.2683
ABT,2000-05-25,10.3174
ABT,2000-05-26,10.3599
ABT,2000-05-30,10.4
ABT,2000-05-31,10.4327
ABT,2000-06-01,10.4753
ABT,2000-06-02,10.4999
ABT,2000-06-05,10.5235
ABT,2000-06-06,10.5416
ABT,2000-06-07,10.5572
ABT,2000-06-08,10.5842
ABT,2000-06-09,10.6235
ABT,2000-06-12,10.6668
ABT,2000-06-13,10.6945
ABT,2000-06-14,10.7386
ABT,2000-06-15,10.7951
ABT,2000-06-16,10.8197
ABT,2000-06-19,10.8328
ABT,2000-06-20,10.8205
ABT,2000-06-21,10.8049
ABT,2000-06-22,10.7703
ABT,2000-06-23,10.7401
ABT,2000-06-26,10.7318
ABT,2000-06-27,10.7374
ABT,2000-06-28,10.7616
ABT,2000-06-29,10.7747
ABT,2000-06-30,10.8458
ABT,2000-07-03,10.9054
ABT,2000-07-05,10.9626
ABT,2000-07-06,11.0099
ABT,2000-07-07,11.045
ABT,2000-07-10,11.0737
ABT,2000-07-11,11.1088
ABT,2000-07-12,11.1525
ABT,2000-07-13,11.1749
ABT,2000-07-14,11.171
ABT,2000-07-17,11.1729
ABT,2000-07-18,11.1658
ABT,2000-07-19,11.1579
ABT,2000-07-20,11.1533
ABT,2000-07-21,11.1487
ABT,2000-07-24,11.1538
ABT,2000-07-25,11.1377
ABT,2000-07-26,11.1167
ABT,2000-07-27,11.0845
ABT,2000-07-28,11.0806
ABT,2000-07-31,11.0416
ABT,2000-08-01,11.0149
ABT,2000-08-02,10.9923
ABT,2000-08-03,10.982
