SYMB,DATE,SMA
ACN,2001-08-15,11.1379
ACN,2001-08-16,11.0964
ACN,2001-08-17,11.0783
ACN,2001-08-20,11.0912
ACN,2001-08-21,11.1135
ACN,2001-08-22,11.1279
ACN,2001-08-23,11.1557
ACN,2001-08-24,11.1887
ACN,2001-08-27,11.2176
ACN,2001-08-28,11.2324
ACN,2001-08-29,11.2143
ACN,2001-08-30,11.1976
ACN,2001-08-31,11.1883
ACN,2001-09-04,11.1987
ACN,2001-09-05,11.1768
ACN,2001-09-06,11.1583
ACN,2001-09-07,11.122
ACN,2001-09-10,11.1205
ACN,2001-09-17,11.1053
ACN,2001-09-18,11.0998
ACN,2001-09-19,11.0686
ACN,2001-09-20,11.0278
ACN,2001-09-21,10.9622
ACN,2001-09-24,10.8826
ACN,2001-09-25,10.784
ACN,2001-09-26,10.6676
ACN,2001-09-27,10.5416
ACN,2001-09-28,10.4433
ACN,2001-10-01,10.3403
ACN,2001-10-02,10.2373
ACN,2001-10-03,10.1609
ACN,2001-10-04,10.1068
ACN,2001-10-05,10.0568
ACN,2001-10-08,9.9771
ACN,2001-10-09,9.9211
ACN,2001-10-10,9.8903
ACN,2001-10-11,9.9141
ACN,2001-10-12,9.9659
ACN,2001-10-15,10.0734
ACN,2001-10-16,10.1809
ACN,2001-10-17,10.2932
ACN,2001-10-18,10.4322
ACN,2001-10-19,10.5842
ACN,2001-10-22,10.7436
ACN,2001-10-23,10.9222
ACN,2001-10-24,11.1276
ACN,2001-10-25,11.3459
ACN,2001-10-26,11.5264
ACN,2001-10-29,11.7061
ACN,2001-10-30,11.8829
ACN,2001-10-31,12.0542
ACN,2001-11-01,12.2328
ACN,2001-11-02,12.407
ACN,2001-11-05,12.5875
ACN,2001-11-06,12.7569
ACN,2001-11-07,12.9508
ACN,2001-11-08,13.1283
ACN,2001-11-09,13.2543
ACN,2001-11-12,13.3281
ACN,2001-11-13,13.4522
ACN,2001-11-14,13.572
ACN,2001-11-15,13.7035
ACN,2001-11-16,13.8588
ACN,2001-11-19,14.0256
ACN,2001-11-20,14.1602
ACN,2001-11-21,14.2569
ACN,2001-11-23,14.3611
ACN,2001-11-26,14.5049
ACN,2001-11-27,14.6884
ACN,2001-11-28,14.8551
ACN,2001-11-29,14.9982
ACN,2001-11-30,15.1572
ACN,2001-12-03,15.3296
ACN,2001-12-04,15.5557
ACN,2001-12-05,15.8774
ACN,2001-12-06,16.1498
ACN,2001-12-07,16.3318
ACN,2001-12-10,16.5041
ACN,2001-12-11,16.6995
ACN,2001-12-12,16.8615
ACN,2001-12-13,16.976
ACN,2001-12-14,17.102
ACN,2001-12-17,17.2658
ACN,2001-12-18,17.4122
ACN,2001-12-19,17.5894
ACN,2001-12-20,17.8377
ACN,2001-12-21,18.0453
ACN,2001-12-24,18.2125
ACN,2001-12-26,18.3511
ACN,2001-12-27,18.5156
ACN,2001-12-28,18.7054
ACN,2001-12-31,18.8655
ACN,2002-01-02,18.9882
ACN,2002-01-03,19.0323
ACN,2002-01-04,19.0712
ACN,2002-01-07,19.0787
ACN,2002-01-08,19.1684
ACN,2002-01-09,19.2784
ACN,2002-01-10,19.3919
ACN,2002-01-11,19.44
ACN,2002-01-14,19.5008
ACN,2002-01-15,19.5653
ACN,2002-01-16,19.5853
ACN,2002-01-17,19.5872
ACN,2002-01-18,19.5772
ACN,2002-01-22,19.4997
ACN,2002-01-23,19.4404
ACN,2002-01-24,19.4289
ACN,2002-01-25,19.3904
ACN,2002-01-28,19.3055
ACN,2002-01-29,19.2065
ACN,2002-01-30,19.1335
ACN,2002-01-31,19.1176
ACN,2002-02-01,19.2143
ACN,2002-02-04,19.1999
ACN,2002-02-05,19.2277
ACN,2002-02-06,19.218
ACN,2002-02-07,19.2154
ACN,2002-02-08,19.2117
ACN,2002-02-11,19.224
ACN,2002-02-12,19.2625
ACN,2002-02-13,19.2777
ACN,2002-02-14,19.3148
ACN,2002-02-15,19.3685
ACN,2002-02-19,19.4126
ACN,2002-02-20,19.4919
ACN,2002-02-21,19.5457
ACN,2002-02-22,19.5431
ACN,2002-02-25,19.5431
ACN,2002-02-26,19.6053
ACN,2002-02-27,19.6743
ACN,2002-02-28,19.7203
ACN,2002-03-01,19.7358
ACN,2002-03-04,19.6913
ACN,2002-03-05,19.7076
ACN,2002-03-06,19.7203
ACN,2002-03-07,19.7247
ACN,2002-03-08,19.8133
ACN,2002-03-11,19.8941
ACN,2002-03-12,20.0056
ACN,2002-03-13,20.1231
ACN,2002-03-14,20.2295
ACN,2002-03-15,20.3033
ACN,2002-03-18,20.3763
ACN,2002-03-19,20.3411
ACN,2002-03-20,20.3207
ACN,2002-03-21,20.3722
ACN,2002-03-22,20.4463
ACN,2002-03-25,20.5149
ACN,2002-03-26,20.5531
ACN,2002-03-27,20.5816
ACN,2002-03-28,20.6005
ACN,2002-04-01,20.6172
ACN,2002-04-02,20.5876
ACN,2002-04-03,20.5231
ACN,2002-04-04,20.4326
ACN,2002-04-05,20.3592
ACN,2002-04-08,20.142
ACN,2002-04-09,19.9386
ACN,2002-04-10,19.7325
ACN,2002-04-11,19.4879
ACN,2002-04-12,19.2599
ACN,2002-04-15,19.0171
ACN,2002-04-16,18.807
ACN,2002-04-17,18.7321
ACN,2002-04-18,18.6042
ACN,2002-04-19,18.4964
ACN,2002-04-22,18.377
ACN,2002-04-23,18.2618
ACN,2002-04-24,18.1298
ACN,2002-04-25,17.9804
ACN,2002-04-26,17.7988
ACN,2002-04-29,17.562
ACN,2002-04-30,17.393
ACN,2002-05-01,17.2102
ACN,2002-05-02,17.0657
ACN,2002-05-03,16.8696
ACN,2002-05-06,16.7276
ACN,2002-05-07,16.5887
ACN,2002-05-08,16.5134
ACN,2002-05-09,16.4263
ACN,2002-05-10,16.35
ACN,2002-05-13,16.3021
ACN,2002-05-14,16.2317
ACN,2002-05-15,16.1665
ACN,2002-05-16,16.0516
ACN,2002-05-17,15.8855
ACN,2002-05-20,15.7762
ACN,2002-05-21,15.6635
ACN,2002-05-22,15.5727
ACN,2002-05-23,15.5182
ACN,2002-05-24,15.4819
ACN,2002-05-28,15.5149
ACN,2002-05-29,15.5016
ACN,2002-05-30,15.4878
ACN,2002-05-31,15.4749
ACN,2002-06-03,15.4912
ACN,2002-06-04,15.47
ACN,2002-06-05,15.4341
ACN,2002-06-06,15.334
ACN,2002-06-07,15.3248
ACN,2002-06-10,15.3203
ACN,2002-06-11,15.2921
ACN,2002-06-12,15.228
ACN,2002-06-13,15.1368
ACN,2002-06-14,15.1368
ACN,2002-06-17,15.1609
ACN,2002-06-18,15.142
ACN,2002-06-19,15.1239
ACN,2002-06-20,15.0968
ACN,2002-06-21,15.0483
ACN,2002-06-24,14.9864
ACN,2002-06-25,14.8974
ACN,2002-06-26,14.811
ACN,2002-06-27,14.741
ACN,2002-06-28,14.6724
ACN,2002-07-01,14.5405
ACN,2002-07-02,14.4393
ACN,2002-07-03,14.3581
ACN,2002-07-05,14.2981
ACN,2002-07-08,14.2098
ACN,2002-07-09,14.0712
ACN,2002-07-10,13.8807
ACN,2002-07-11,13.7113
ACN,2002-07-12,13.5015
ACN,2002-07-15,13.2958
ACN,2002-07-16,13.0846
ACN,2002-07-17,12.8622
ACN,2002-07-18,12.6209
ACN,2002-07-19,12.4311
ACN,2002-07-22,12.2514
ACN,2002-07-23,12.0797
ACN,2002-07-24,11.9519
ACN,2002-07-25,11.8032
ACN,2002-07-26,11.6568
ACN,2002-07-29,11.5631
ACN,2002-07-30,11.5734
ACN,2002-07-31,11.5586
ACN,2002-08-01,11.5212
ACN,2002-08-02,11.4637
ACN,2002-08-05,11.3788
ACN,2002-08-06,11.3666
ACN,2002-08-07,11.4122
ACN,2002-08-08,11.4545
ACN,2002-08-09,11.5442
ACN,2002-08-12,11.6179
ACN,2002-08-13,11.6613
ACN,2002-08-14,11.7095
ACN,2002-08-15,11.8284
ACN,2002-08-16,11.9419
ACN,2002-08-19,12.0849
ACN,2002-08-20,12.2399
ACN,2002-08-21,12.3659
ACN,2002-08-22,12.5052
ACN,2002-08-23,12.6176
ACN,2002-08-26,12.6557
ACN,2002-08-27,12.6287
ACN,2002-08-28,12.6064
ACN,2002-08-29,12.5994
ACN,2002-08-30,12.6031
ACN,2002-09-03,12.6205
ACN,2002-09-04,12.6142
ACN,2002-09-05,12.5883
ACN,2002-09-06,12.5627
ACN,2002-09-09,12.5523
ACN,2002-09-10,12.5412
ACN,2002-09-11,12.5479
ACN,2002-09-12,12.5497
ACN,2002-09-13,12.4993
ACN,2002-09-16,12.4341
ACN,2002-09-17,12.3388
ACN,2002-09-18,12.2347
ACN,2002-09-19,12.0642
ACN,2002-09-20,11.9207
ACN,2002-09-23,11.8044
ACN,2002-09-24,11.6672
ACN,2002-09-25,11.5912
ACN,2002-09-26,11.5375
ACN,2002-09-27,11.4578
ACN,2002-09-30,11.3774
