SYMB,DATE,SMA
ADBE,1999-11-29,18.0848
ADBE,1999-11-30,18.0864
ADBE,1999-12-01,18.0678
ADBE,1999-12-02,18.0656
ADBE,1999-12-03,18.0384
ADBE,1999-12-06,17.9446
ADBE,1999-12-07,17.8112
ADBE,1999-12-08,17.7585
ADBE,1999-12-09,17.6654
ADBE,1999-12-10,17.5436
ADBE,1999-12-13,17.3582
ADBE,1999-12-14,17.1947
ADBE,1999-12-15,17.0125
ADBE,1999-12-16,16.8729
ADBE,1999-12-17,16.7658
ADBE,1999-12-20,16.637
ADBE,1999-12-21,16.4796
ADBE,1999-12-22,16.382
ADBE,1999-12-23,16.2823
ADBE,1999-12-27,16.1701
ADBE,1999-12-28,16.1031
ADBE,1999-12-29,16.0692
ADBE,1999-12-30,16.0626
ADBE,1999-12-31,16.0458
ADBE,2000-01-03,16.0321
ADBE,2000-01-04,15.9942
ADBE,2000-01-05,16.0007
ADBE,2000-01-06,15.9266
ADBE,2000-01-07,15.9176
ADBE,2000-01-10,15.9752
ADBE,2000-01-11,16.0058
ADBE,2000-01-12,16.0269
ADBE,2000-01-13,16.0737
ADBE,2000-01-14,16.1058
ADBE,2000-01-18,16.0627
ADBE,2000-01-19,16.0367
ADBE,2000-01-20,16.0423
ADBE,2000-01-21,15.9929
ADBE,2000-01-24,15.913
ADBE,2000-01-25,15.8913
ADBE,2000-01-26,15.8299
ADBE,2000-01-27,15.7896
ADBE,2000-01-28,15.6848
ADBE,2000-01-31,15.5335
ADBE,2000-02-01,15.4133
ADBE,2000-02-02,15.4288
ADBE,2000-02-03,15.5273
ADBE,2000-02-04,15.6794
ADBE,2000-02-07,15.8322
ADBE,2000-02-08,16.037
ADBE,2000-02-09,16.3465
ADBE,2000-02-10,16.7058
ADBE,2000-02-11,17.0138
ADBE,2000-02-14,17.3033
ADBE,2000-02-15,17.6121
ADBE,2000-02-16,18.0474
ADBE,2000-02-17,18.5165
ADBE,2000-02-18,18.9556
ADBE,2000-02-22,19.4239
ADBE,2000-02-23,19.8786
ADBE,2000-02-24,20.4399
ADBE,2000-02-25,20.8844
ADBE,2000-02-28,21.3841
ADBE,2000-02-29,21.9668
ADBE,2000-03-01,22.5195
ADBE,2000-03-02,22.7594
ADBE,2000-03-03,23.0271
ADBE,2000-03-06,23.1737
ADBE,2000-03-07,23.225
ADBE,2000-03-08,23.1668
ADBE,2000-03-09,23.0497
ADBE,2000-03-10,22.9504
ADBE,2000-03-13,22.8472
ADBE,2000-03-14,22.7456
ADBE,2000-03-15,22.6795
ADBE,2000-03-16,22.633
ADBE,2000-03-17,22.4603
ADBE,2000-03-20,22.3261
ADBE,2000-03-21,22.2443
ADBE,2000-03-22,22.2737
ADBE,2000-03-23,22.2765
ADBE,2000-03-24,22.3971
ADBE,2000-03-27,22.5935
ADBE,2000-03-28,22.7068
ADBE,2000-03-29,22.8436
ADBE,2000-03-30,23.1738
ADBE,2000-03-31,23.4307
ADBE,2000-04-03,23.6767
ADBE,2000-04-04,23.9329
ADBE,2000-04-05,24.2825
ADBE,2000-04-06,24.7356
ADBE,2000-04-07,25.2543
ADBE,2000-04-10,25.69
ADBE,2000-04-11,26.1628
ADBE,2000-04-12,26.5174
ADBE,2000-04-13,26.7556
ADBE,2000-04-14,26.8815
ADBE,2000-04-17,27.2029
ADBE,2000-04-18,27.5174
ADBE,2000-04-19,27.6494
ADBE,2000-04-20,27.7239
ADBE,2000-04-24,27.6818
ADBE,2000-04-25,27.7612
ADBE,2000-04-26,27.8084
ADBE,2000-04-27,27.9574
ADBE,2000-04-28,28.1276
ADBE,2000-05-01,28.3684
ADBE,2000-05-02,28.4914
ADBE,2000-05-03,28.628
ADBE,2000-05-04,28.7112
ADBE,2000-05-05,28.7745
ADBE,2000-05-08,28.5808
ADBE,2000-05-09,28.5199
ADBE,2000-05-10,28.3548
ADBE,2000-05-11,28.3088
ADBE,2000-05-12,28.2418
ADBE,2000-05-15,28.3932
ADBE,2000-05-16,28.5248
ADBE,2000-05-17,28.5658
ADBE,2000-05-18,28.5956
ADBE,2000-05-19,28.5583
ADBE,2000-05-22,28.6191
ADBE,2000-05-23,28.4813
ADBE,2000-05-24,28.372
ADBE,2000-05-25,28.1374
ADBE,2000-05-26,27.9126
ADBE,2000-05-30,27.7375
ADBE,2000-05-31,27.7251
ADBE,2000-06-01,27.7959
ADBE,2000-06-02,27.9337
ADBE,2000-06-05,28.0455
ADBE,2000-06-06,28.1237
ADBE,2000-06-07,28.1485
ADBE,2000-06-08,28.3
ADBE,2000-06-09,28.4528
ADBE,2000-06-12,28.6154
ADBE,2000-06-13,28.829
ADBE,2000-06-14,28.8042
ADBE,2000-06-15,28.86
ADBE,2000-06-16,28.9259
ADBE,2000-06-19,29.1469
ADBE,2000-06-20,29.4151
ADBE,2000-06-21,29.6622
ADBE,2000-06-22,29.8484
ADBE,2000-06-23,30.0136
ADBE,2000-06-26,30.2855
ADBE,2000-06-27,30.3042
ADBE,2000-06-28,30.4321
ADBE,2000-06-29,30.5041
ADBE,2000-06-30,30.5665
ADBE,2000-07-03,30.5568
ADBE,2000-07-05,30.7062
ADBE,2000-07-06,30.9623
ADBE,2000-07-07,31.1985
ADBE,2000-07-10,31.3814
ADBE,2000-07-11,31.5928
ADBE,2000-07-12,31.7583
ADBE,2000-07-13,31.9573
ADBE,2000-07-14,32.0992
ADBE,2000-07-17,32.2833
ADBE,2000-07-18,32.327
ADBE,2000-07-19,32.31
ADBE,2000-07-20,32.4158
ADBE,2000-07-21,32.585
