SYMB,DATE,SMA
AES,1999-11-29,20.0555
AES,1999-11-30,20.0825
AES,1999-12-01,20.0932
AES,1999-12-02,20.1363
AES,1999-12-03,20.1978
AES,1999-12-06,20.228
AES,1999-12-07,20.297
AES,1999-12-08,20.3823
AES,1999-12-09,20.4902
AES,1999-12-10,20.5592
AES,1999-12-13,20.6131
AES,1999-12-14,20.6433
AES,1999-12-15,20.6713
AES,1999-12-16,20.6832
AES,1999-12-17,20.7479
AES,1999-12-20,20.8611
AES,1999-12-21,21.035
AES,1999-12-22,21.2033
AES,1999-12-23,21.3975
AES,1999-12-27,21.6412
AES,1999-12-28,21.8903
AES,1999-12-29,22.1223
AES,1999-12-30,22.364
AES,1999-12-31,22.6455
AES,2000-01-03,22.8732
AES,2000-01-04,23.062
AES,2000-01-05,23.2238
AES,2000-01-06,23.3867
AES,2000-01-07,23.5355
AES,2000-01-10,23.7729
AES,2000-01-11,24.0211
AES,2000-01-12,24.2973
AES,2000-01-13,24.5745
AES,2000-01-14,24.9586
AES,2000-01-18,25.182
AES,2000-01-19,25.3698
AES,2000-01-20,25.4959
AES,2000-01-21,25.6977
AES,2000-01-24,25.9059
AES,2000-01-25,25.9912
AES,2000-01-26,26.015
AES,2000-01-27,26.0927
AES,2000-01-28,26.1683
AES,2000-01-31,26.2612
AES,2000-02-01,26.4036
AES,2000-02-02,26.5707
AES,2000-02-03,26.7488
AES,2000-02-04,26.8232
AES,2000-02-07,26.956
AES,2000-02-08,27.1092
AES,2000-02-09,27.2808
AES,2000-02-10,27.3737
AES,2000-02-11,27.4288
AES,2000-02-14,27.4676
AES,2000-02-15,27.6133
AES,2000-02-16,27.7826
AES,2000-02-17,27.9596
AES,2000-02-18,28.0977
AES,2000-02-22,28.2002
AES,2000-02-23,28.3416
AES,2000-02-24,28.5563
AES,2000-02-25,28.7051
AES,2000-02-28,28.8679
AES,2000-02-29,28.9314
AES,2000-03-01,28.9519
AES,2000-03-02,29.0869
AES,2000-03-03,29.2002
AES,2000-03-06,29.306
AES,2000-03-07,29.2996
AES,2000-03-08,29.1927
AES,2000-03-09,29.0146
AES,2000-03-10,28.8441
AES,2000-03-13,28.6887
AES,2000-03-14,28.4536
AES,2000-03-15,28.2464
AES,2000-03-16,28.1073
AES,2000-03-17,27.9337
AES,2000-03-20,27.7417
AES,2000-03-21,27.5465
AES,2000-03-22,27.3393
AES,2000-03-23,27.1483
AES,2000-03-24,26.9972
AES,2000-03-27,26.7987
AES,2000-03-28,26.6088
AES,2000-03-29,26.4956
AES,2000-03-30,26.3661
AES,2000-03-31,26.2247
AES,2000-04-03,26.1643
AES,2000-04-04,26.0725
AES,2000-04-05,26.0261
AES,2000-04-06,26.0273
AES,2000-04-07,26.0963
AES,2000-04-10,26.2075
AES,2000-04-11,26.3131
AES,2000-04-12,26.3508
AES,2000-04-13,26.2871
AES,2000-04-14,26.218
AES,2000-04-17,26.1736
AES,2000-04-18,26.2146
AES,2000-04-19,26.3397
AES,2000-04-20,26.5524
AES,2000-04-24,26.6915
AES,2000-04-25,26.8448
AES,2000-04-26,27.0638
AES,2000-04-27,27.2202
AES,2000-04-28,27.3982
AES,2000-05-01,27.5558
AES,2000-05-02,27.6787
AES,2000-05-03,27.8729
AES,2000-05-04,28.0381
AES,2000-05-05,28.2171
AES,2000-05-08,28.2894
AES,2000-05-09,28.2808
AES,2000-05-10,28.2054
AES,2000-05-11,28.1677
AES,2000-05-12,28.199
AES,2000-05-15,28.3414
AES,2000-05-16,28.4515
AES,2000-05-17,28.5389
AES,2000-05-18,28.5917
AES,2000-05-19,28.5344
AES,2000-05-22,28.529
AES,2000-05-23,28.5397
AES,2000-05-24,28.4783
AES,2000-05-25,28.4643
AES,2000-05-26,28.3952
AES,2000-05-30,28.3694
AES,2000-05-31,28.4082
AES,2000-06-01,28.4741
AES,2000-06-02,28.5927
AES,2000-06-05,28.6231
AES,2000-06-06,28.7752
AES,2000-06-07,29.0093
AES,2000-06-08,29.3674
AES,2000-06-09,29.7406
AES,2000-06-12,30.0405
AES,2000-06-13,30.3103
AES,2000-06-14,30.4258
AES,2000-06-15,30.5715
AES,2000-06-16,30.7441
AES,2000-06-19,30.8813
AES,2000-06-20,30.9894
AES,2000-06-21,31.0703
AES,2000-06-22,31.1145
AES,2000-06-23,31.0822
AES,2000-06-26,31.1889
AES,2000-06-27,31.2731
AES,2000-06-28,31.3717
AES,2000-06-29,31.3652
AES,2000-06-30,31.3524
AES,2000-07-03,31.4601
AES,2000-07-05,31.5271
AES,2000-07-06,31.525
AES,2000-07-07,31.553
AES,2000-07-10,31.5961
AES,2000-07-11,31.661
AES,2000-07-12,31.7169
AES,2000-07-13,32.047
AES,2000-07-14,32.2241
AES,2000-07-17,32.4917
AES,2000-07-18,32.7354
AES,2000-07-19,32.936
AES,2000-07-20,33.2339
AES,2000-07-21,33.5792
AES,2000-07-24,33.9762
AES,2000-07-25,34.231
AES,2000-07-26,34.4423
AES,2000-07-27,34.6566
AES,2000-07-28,34.879
AES,2000-07-31,35.1486
AES,2000-08-01,35.4507
AES,2000-08-02,35.7096
AES,2000-08-03,35.934
AES,2000-08-04,36.1001
AES,2000-08-07,36.2882
AES,2000-08-08,36.5665
AES,2000-08-09,36.7429
AES,2000-08-10,36.7629
AES,2000-08-11,36.9121
AES,2000-08-14,37.0761
AES,2000-08-15,37.2294
AES,2000-08-16,37.4344
AES,2000-08-17,37.6329
AES,2000-08-18,37.8573
AES,2000-08-21,38.03
AES,2000-08-22,38.1722
AES,2000-08-23,38.427
AES,2000-08-24,38.6362
AES,2000-08-25,38.852
AES,2000-08-28,39.0418
AES,2000-08-29,39.1368
AES,2000-08-30,39.385
AES,2000-08-31,39.763
AES,2000-09-01,40.2529
AES,2000-09-05,40.6172
AES,2000-09-06,40.7553
AES,2000-09-07,40.9545
AES,2000-09-08,41.2027
AES,2000-09-11,41.5438
AES,2000-09-12,41.7834
AES,2000-09-13,42.0723
AES,2000-09-14,42.3938
AES,2000-09-15,42.7
AES,2000-09-18,42.8978
AES,2000-09-19,43.1136
AES,2000-09-20,43.2841
AES,2000-09-21,43.3832
AES,2000-09-22,43.6035
AES,2000-09-25,43.8969
AES,2000-09-26,44.1686
AES,2000-09-27,44.536
AES,2000-09-28,44.769
AES,2000-09-29,44.9375
AES,2000-10-02,45.0628
AES,2000-10-03,45.2354
AES,2000-10-04,45.4253
AES,2000-10-05,45.5696
AES,2000-10-06,45.6984
AES,2000-10-09,45.7992
AES,2000-10-10,45.9242
AES,2000-10-11,45.92
AES,2000-10-12,45.7236
AES,2000-10-13,45.4215
AES,2000-10-16,45.2344
AES,2000-10-17,45.0725
AES,2000-10-18,44.7835
AES,2000-10-19,44.5656
AES,2000-10-20,44.3002
AES,2000-10-23,43.9528
AES,2000-10-24,43.543
AES,2000-10-25,42.9341
AES,2000-10-26,42.334
AES,2000-10-27,41.8414
AES,2000-10-30,41.3322
AES,2000-10-31,40.8574
AES,2000-11-01,40.631
AES,2000-11-02,40.4694
AES,2000-11-03,40.3486
AES,2000-11-06,40.1867
AES,2000-11-07,40.0099
AES,2000-11-08,39.9536
AES,2000-11-09,40.0292
AES,2000-11-10,40.1287
AES,2000-11-13,40.1093
AES,2000-11-14,40.0209
AES,2000-11-15,40.12
AES,2000-11-16,40.1825
AES,2000-11-17,40.2364
AES,2000-11-20,40.2968
AES,2000-11-21,40.2557
AES,2000-11-22,40.3527
AES,2000-11-24,40.5212
AES,2000-11-27,40.6009
AES,2000-11-28,40.5944
AES,2000-11-29,40.5578
AES,2000-11-30,40.2536
AES,2000-12-01,39.9364
AES,2000-12-04,39.5155
AES,2000-12-05,39.0215
AES,2000-12-06,38.4498
AES,2000-12-07,37.8283
AES,2000-12-08,37.3384
AES,2000-12-11,36.9649
AES,2000-12-12,36.6694
AES,2000-12-13,36.4988
AES,2000-12-14,36.2378
AES,2000-12-15,35.9768
AES,2000-12-18,35.7504
AES,2000-12-19,35.5991
AES,2000-12-20,35.5625
AES,2000-12-21,35.431
AES,2000-12-22,35.3143
AES,2000-12-26,35.2884
AES,2000-12-27,35.2971
AES,2000-12-28,35.3209
AES,2000-12-29,35.4417
AES,2001-01-02,35.4438
AES,2001-01-03,35.4742
AES,2001-01-04,35.5194
AES,2001-01-05,35.6489
AES,2001-01-08,35.8905
AES,2001-01-09,36.0652
AES,2001-01-10,36.1194
AES,2001-01-11,36.1519
AES,2001-01-12,36.1929
AES,2001-01-16,36.2489
AES,2001-01-17,36.3093
AES,2001-01-18,36.3179
AES,2001-01-19,36.3245
AES,2001-01-22,36.3676
AES,2001-01-23,36.5748
AES,2001-01-24,36.7301
AES,2001-01-25,36.7412
AES,2001-01-26,36.8361
AES,2001-01-29,36.9594
AES,2001-01-30,36.9946
AES,2001-01-31,37.1976
AES,2001-02-01,37.4327
AES,2001-02-02,37.7154
AES,2001-02-05,37.9008
AES,2001-02-06,37.9975
AES,2001-02-07,38.129
AES,2001-02-08,38.3124
AES,2001-02-09,38.6127
AES,2001-02-12,38.755
AES,2001-02-13,38.9666
AES,2001-02-14,39.1458
AES,2001-02-15,39.2973
AES,2001-02-16,39.4627
AES,2001-02-20,39.6232
AES,2001-02-21,39.6874
AES,2001-02-22,39.6729
AES,2001-02-23,39.5856
AES,2001-02-26,39.4651
AES,2001-02-27,39.3032
AES,2001-02-28,39.2193
AES,2001-03-01,39.1164
AES,2001-03-02,39.085
AES,2001-03-05,39.0367
AES,2001-03-06,39.0456
AES,2001-03-07,39.1043
AES,2001-03-08,39.1354
AES,2001-03-09,39.0719
AES,2001-03-12,38.8188
AES,2001-03-13,38.5602
AES,2001-03-14,38.2727
AES,2001-03-15,38.0227
AES,2001-03-16,37.6923
AES,2001-03-19,37.3012
AES,2001-03-20,36.9359
AES,2001-03-21,36.5627
AES,2001-03-22,36.1008
AES,2001-03-23,35.7687
AES,2001-03-26,35.4673
AES,2001-03-27,35.2805
AES,2001-03-28,35.1262
AES,2001-03-29,34.9325
AES,2001-03-30,34.7295
AES,2001-04-02,34.492
AES,2001-04-03,34.1757
AES,2001-04-04,33.7286
AES,2001-04-05,33.2101
AES,2001-04-06,32.8
AES,2001-04-09,32.5628
AES,2001-04-10,32.4799
AES,2001-04-11,32.4775
AES,2001-04-12,32.4692
AES,2001-04-16,32.5421
AES,2001-04-17,32.6594
AES,2001-04-18,32.7782
AES,2001-04-19,32.9318
AES,2001-04-20,33.1545
AES,2001-04-23,33.3157
AES,2001-04-24,33.3703
AES,2001-04-25,33.3151
AES,2001-04-26,33.2287
AES,2001-04-27,33.1738
AES,2001-04-30,33.0948
AES,2001-05-01,32.9405
AES,2001-05-02,32.956
AES,2001-05-03,33.1038
AES,2001-05-04,33.2936
AES,2001-05-07,33.4241
AES,2001-05-08,33.4528
AES,2001-05-09,33.382
AES,2001-05-10,33.1994
AES,2001-05-11,33.023
AES,2001-05-14,32.7937
AES,2001-05-15,32.5262
AES,2001-05-16,32.1982
AES,2001-05-17,31.9634
AES,2001-05-18,31.8288
AES,2001-05-21,31.7394
AES,2001-05-22,31.7118
AES,2001-05-23,31.6993
AES,2001-05-24,31.6893
AES,2001-05-25,31.6341
