SYMB,DATE,SMA
AFL,1999-11-29,8.6324
AFL,1999-11-30,8.6231
AFL,1999-12-01,8.6047
AFL,1999-12-02,8.5847
AFL,1999-12-03,8.5679
AFL,1999-12-06,8.538
AFL,1999-12-07,8.4965
AFL,1999-12-08,8.4534
AFL,1999-12-09,8.4066
AFL,1999-12-10,8.3688
AFL,1999-12-13,8.3314
AFL,1999-12-14,8.2883
AFL,1999-12-15,8.2262
AFL,1999-12-16,8.1626
AFL,1999-12-17,8.1004
AFL,1999-12-20,8.0482
AFL,1999-12-21,8.0103
AFL,1999-12-22,7.9687
AFL,1999-12-23,7.9324
AFL,1999-12-27,7.8987
AFL,1999-12-28,7.8744
AFL,1999-12-29,7.8691
AFL,1999-12-30,7.8565
AFL,1999-12-31,7.8433
AFL,2000-01-03,7.7986
AFL,2000-01-04,7.7554
AFL,2000-01-05,7.7211
AFL,2000-01-06,7.699
AFL,2000-01-07,7.6932
AFL,2000-01-10,7.6548
AFL,2000-01-11,7.6074
AFL,2000-01-12,7.551
AFL,2000-01-13,7.5099
AFL,2000-01-14,7.4888
AFL,2000-01-18,7.4425
AFL,2000-01-19,7.3741
AFL,2000-01-20,7.3298
AFL,2000-01-21,7.2777
AFL,2000-01-24,7.2202
AFL,2000-01-25,7.1781
AFL,2000-01-26,7.1523
AFL,2000-01-27,7.1013
AFL,2000-01-28,7.0612
AFL,2000-01-31,7.0297
AFL,2000-02-01,7.0259
AFL,2000-02-02,7.0329
AFL,2000-02-03,7.0445
AFL,2000-02-04,7.0424
AFL,2000-02-07,7.0229
AFL,2000-02-08,7.0192
AFL,2000-02-09,7.0176
AFL,2000-02-10,7.0213
AFL,2000-02-11,7.0056
AFL,2000-02-14,6.9729
AFL,2000-02-15,6.9656
AFL,2000-02-16,6.9746
AFL,2000-02-17,6.951
AFL,2000-02-18,6.9427
AFL,2000-02-22,6.9343
AFL,2000-02-23,6.907
AFL,2000-02-24,6.8545
AFL,2000-02-25,6.8034
AFL,2000-02-28,6.7613
AFL,2000-02-29,6.704
AFL,2000-03-01,6.6425
AFL,2000-03-02,6.5746
AFL,2000-03-03,6.5052
AFL,2000-03-06,6.4404
AFL,2000-03-07,6.3741
AFL,2000-03-08,6.3152
AFL,2000-03-09,6.2647
AFL,2000-03-10,6.2137
AFL,2000-03-13,6.1679
AFL,2000-03-14,6.1411
AFL,2000-03-15,6.1584
AFL,2000-03-16,6.2037
AFL,2000-03-17,6.2375
AFL,2000-03-20,6.268
AFL,2000-03-21,6.3198
AFL,2000-03-22,6.3831
AFL,2000-03-23,6.4616
AFL,2000-03-24,6.5535
AFL,2000-03-27,6.6121
AFL,2000-03-28,6.6723
AFL,2000-03-29,6.7382
AFL,2000-03-30,6.8078
AFL,2000-03-31,6.8832
AFL,2000-04-03,6.9744
AFL,2000-04-04,7.0736
AFL,2000-04-05,7.167
AFL,2000-04-06,7.2598
AFL,2000-04-07,7.3474
AFL,2000-04-10,7.446
AFL,2000-04-11,7.5409
AFL,2000-04-12,7.5918
AFL,2000-04-13,7.6171
AFL,2000-04-14,7.653
AFL,2000-04-17,7.6895
AFL,2000-04-18,7.7079
AFL,2000-04-19,7.7121
AFL,2000-04-20,7.7342
AFL,2000-04-24,7.7553
AFL,2000-04-25,7.7969
AFL,2000-04-26,7.8518
AFL,2000-04-27,7.8835
AFL,2000-04-28,7.9198
AFL,2000-05-01,7.9431
AFL,2000-05-02,7.9505
AFL,2000-05-03,7.9442
AFL,2000-05-04,7.9409
AFL,2000-05-05,7.9346
AFL,2000-05-08,7.9388
AFL,2000-05-09,7.9447
AFL,2000-05-10,7.9489
AFL,2000-05-11,7.9483
AFL,2000-05-12,7.9546
AFL,2000-05-15,7.9778
AFL,2000-05-16,8.007
AFL,2000-05-17,8.0304
AFL,2000-05-18,8.0765
AFL,2000-05-19,8.0856
AFL,2000-05-22,8.1032
AFL,2000-05-23,8.1225
AFL,2000-05-24,8.1274
AFL,2000-05-25,8.1429
AFL,2000-05-26,8.1612
AFL,2000-05-30,8.1878
AFL,2000-05-31,8.2208
AFL,2000-06-01,8.2827
AFL,2000-06-02,8.3447
AFL,2000-06-05,8.3935
AFL,2000-06-06,8.4428
AFL,2000-06-07,8.4889
AFL,2000-06-08,8.5235
AFL,2000-06-09,8.5543
AFL,2000-06-12,8.5757
AFL,2000-06-13,8.5928
AFL,2000-06-14,8.6039
AFL,2000-06-15,8.6123
AFL,2000-06-16,8.5938
AFL,2000-06-19,8.587
AFL,2000-06-20,8.5489
AFL,2000-06-21,8.5156
AFL,2000-06-22,8.4849
AFL,2000-06-23,8.46
AFL,2000-06-26,8.4246
AFL,2000-06-27,8.3929
AFL,2000-06-28,8.3599
AFL,2000-06-29,8.3002
AFL,2000-06-30,8.2421
AFL,2000-07-03,8.2062
AFL,2000-07-05,8.1496
AFL,2000-07-06,8.0926
AFL,2000-07-07,8.0587
AFL,2000-07-10,8.0391
AFL,2000-07-11,8.0338
AFL,2000-07-12,8.0322
AFL,2000-07-13,8.0444
AFL,2000-07-14,8.0666
AFL,2000-07-17,8.0867
AFL,2000-07-18,8.0942
AFL,2000-07-19,8.12
AFL,2000-07-20,8.146
AFL,2000-07-21,8.1687
AFL,2000-07-24,8.2004
AFL,2000-07-25,8.2416
AFL,2000-07-26,8.2839
AFL,2000-07-27,8.3333
AFL,2000-07-28,8.3962
AFL,2000-07-31,8.4469
AFL,2000-08-01,8.5135
AFL,2000-08-02,8.5928
AFL,2000-08-03,8.6768
AFL,2000-08-04,8.7444
AFL,2000-08-07,8.8137
AFL,2000-08-08,8.8639
AFL,2000-08-09,8.9019
AFL,2000-08-10,8.9247
AFL,2000-08-11,8.9621
AFL,2000-08-14,9.035
AFL,2000-08-15,9.1124
AFL,2000-08-16,9.1585
AFL,2000-08-17,9.2025
AFL,2000-08-18,9.245
AFL,2000-08-21,9.2801
AFL,2000-08-22,9.3114
AFL,2000-08-23,9.3274
AFL,2000-08-24,9.3296
AFL,2000-08-25,9.3324
AFL,2000-08-28,9.3526
AFL,2000-08-29,9.3332
AFL,2000-08-30,9.3318
AFL,2000-08-31,9.3215
AFL,2000-09-01,9.3043
AFL,2000-09-05,9.2843
AFL,2000-09-06,9.2798
AFL,2000-09-07,9.3011
AFL,2000-09-08,9.351
AFL,2000-09-11,9.3914
AFL,2000-09-12,9.4112
AFL,2000-09-13,9.4334
AFL,2000-09-14,9.4868
AFL,2000-09-15,9.5345
AFL,2000-09-18,9.5811
AFL,2000-09-19,9.6249
AFL,2000-09-20,9.6757
AFL,2000-09-21,9.7334
AFL,2000-09-22,9.8096
AFL,2000-09-25,9.8948
AFL,2000-09-26,9.9943
AFL,2000-09-27,10.1044
AFL,2000-09-28,10.1922
AFL,2000-09-29,10.2821
AFL,2000-10-02,10.3837
AFL,2000-10-03,10.4933
AFL,2000-10-04,10.5901
AFL,2000-10-05,10.6752
AFL,2000-10-06,10.7166
AFL,2000-10-09,10.7457
AFL,2000-10-10,10.7637
AFL,2000-10-11,10.7813
AFL,2000-10-12,10.7775
AFL,2000-10-13,10.7844
AFL,2000-10-16,10.7929
AFL,2000-10-17,10.7919
AFL,2000-10-18,10.7744
AFL,2000-10-19,10.7713
AFL,2000-10-20,10.7787
AFL,2000-10-23,10.7676
AFL,2000-10-24,10.738
AFL,2000-10-25,10.7417
AFL,2000-10-26,10.746
AFL,2000-10-27,10.7745
AFL,2000-10-30,10.8263
AFL,2000-10-31,10.8776
AFL,2000-11-01,10.919
AFL,2000-11-02,10.9396
AFL,2000-11-03,10.9804
AFL,2000-11-06,11.0406
AFL,2000-11-07,11.1004
AFL,2000-11-08,11.1628
AFL,2000-11-09,11.2708
AFL,2000-11-10,11.3613
AFL,2000-11-13,11.4376
AFL,2000-11-14,11.5367
AFL,2000-11-15,11.622
AFL,2000-11-16,11.6957
AFL,2000-11-17,11.7329
AFL,2000-11-20,11.7791
AFL,2000-11-21,11.8173
AFL,2000-11-22,11.81
AFL,2000-11-24,11.816
AFL,2000-11-27,11.8077
AFL,2000-11-28,11.7905
AFL,2000-11-29,11.7647
AFL,2000-11-30,11.7586
AFL,2000-12-01,11.7572
AFL,2000-12-04,11.751
AFL,2000-12-05,11.7343
AFL,2000-12-06,11.7297
AFL,2000-12-07,11.7262
AFL,2000-12-08,11.6925
AFL,2000-12-11,11.6593
AFL,2000-12-12,11.6574
AFL,2000-12-13,11.6246
AFL,2000-12-14,11.6267
AFL,2000-12-15,11.632
AFL,2000-12-18,11.6713
AFL,2000-12-19,11.7094
AFL,2000-12-20,11.7497
AFL,2000-12-21,11.7979
AFL,2000-12-22,11.8366
AFL,2000-12-26,11.862
AFL,2000-12-27,11.8785
AFL,2000-12-28,11.8954
AFL,2000-12-29,11.9108
AFL,2001-01-02,11.9098
AFL,2001-01-03,11.8981
AFL,2001-01-04,11.861
AFL,2001-01-05,11.8165
AFL,2001-01-08,11.7752
AFL,2001-01-09,11.7429
AFL,2001-01-10,11.7206
AFL,2001-01-11,11.6761
AFL,2001-01-12,11.6252
AFL,2001-01-16,11.5648
AFL,2001-01-17,11.4953
AFL,2001-01-18,11.4005
AFL,2001-01-19,11.268
AFL,2001-01-22,11.1668
AFL,2001-01-23,11.0958
AFL,2001-01-24,11.0269
AFL,2001-01-25,10.9633
AFL,2001-01-26,10.8838
AFL,2001-01-29,10.7911
AFL,2001-01-30,10.6959
AFL,2001-01-31,10.6056
AFL,2001-02-01,10.5369
AFL,2001-02-02,10.4908
AFL,2001-02-05,10.478
AFL,2001-02-06,10.4586
AFL,2001-02-07,10.4435
AFL,2001-02-08,10.4245
AFL,2001-02-09,10.4123
AFL,2001-02-12,10.4236
AFL,2001-02-13,10.4305
AFL,2001-02-14,10.4343
AFL,2001-02-15,10.4266
AFL,2001-02-16,10.4626
AFL,2001-02-20,10.4606
AFL,2001-02-21,10.419
AFL,2001-02-22,10.3817
AFL,2001-02-23,10.3423
AFL,2001-02-26,10.3147
AFL,2001-02-27,10.3183
AFL,2001-02-28,10.3123
AFL,2001-03-01,10.3261
AFL,2001-03-02,10.3461
AFL,2001-03-05,10.3693
AFL,2001-03-06,10.3597
AFL,2001-03-07,10.3596
AFL,2001-03-08,10.3453
AFL,2001-03-09,10.3192
AFL,2001-03-12,10.2847
AFL,2001-03-13,10.2513
AFL,2001-03-14,10.1969
AFL,2001-03-15,10.1457
AFL,2001-03-16,10.0901
AFL,2001-03-19,10.0277
AFL,2001-03-20,9.9691
AFL,2001-03-21,9.9126
AFL,2001-03-22,9.8336
AFL,2001-03-23,9.7775
AFL,2001-03-26,9.7284
AFL,2001-03-27,9.667
AFL,2001-03-28,9.6155
AFL,2001-03-29,9.5577
AFL,2001-03-30,9.4997
AFL,2001-04-02,9.4463
AFL,2001-04-03,9.3915
AFL,2001-04-04,9.3409
AFL,2001-04-05,9.2993
AFL,2001-04-06,9.249
AFL,2001-04-09,9.2114
AFL,2001-04-10,9.1724
AFL,2001-04-11,9.154
AFL,2001-04-12,9.1457
AFL,2001-04-16,9.167
AFL,2001-04-17,9.1967
AFL,2001-04-18,9.2337
AFL,2001-04-19,9.289
AFL,2001-04-20,9.3632
AFL,2001-04-23,9.4072
AFL,2001-04-24,9.421
AFL,2001-04-25,9.4726
AFL,2001-04-26,9.5439
AFL,2001-04-27,9.6295
AFL,2001-04-30,9.7018
AFL,2001-05-01,9.7643
AFL,2001-05-02,9.8249
AFL,2001-05-03,9.8684
AFL,2001-05-04,9.9118
AFL,2001-05-07,9.9728
AFL,2001-05-08,10.0366
AFL,2001-05-09,10.0939
AFL,2001-05-10,10.1567
AFL,2001-05-11,10.2124
AFL,2001-05-14,10.2502
AFL,2001-05-15,10.2976
AFL,2001-05-16,10.3627
AFL,2001-05-17,10.4294
AFL,2001-05-18,10.4948
AFL,2001-05-21,10.5701
AFL,2001-05-22,10.6623
AFL,2001-05-23,10.7014
AFL,2001-05-24,10.7169
AFL,2001-05-25,10.7147
AFL,2001-05-29,10.7223
AFL,2001-05-30,10.7196
AFL,2001-05-31,10.7419
AFL,2001-06-01,10.7686
AFL,2001-06-04,10.8058
AFL,2001-06-05,10.8573
AFL,2001-06-06,10.891
AFL,2001-06-07,10.9328
AFL,2001-06-08,10.9684
AFL,2001-06-11,11.0007
AFL,2001-06-12,11.0454
AFL,2001-06-13,11.0736
AFL,2001-06-14,11.0853
AFL,2001-06-15,11.1034
AFL,2001-06-18,11.128
AFL,2001-06-19,11.1547
AFL,2001-06-20,11.1903
AFL,2001-06-21,11.2324
AFL,2001-06-22,11.2382
AFL,2001-06-25,11.2472
AFL,2001-06-26,11.2501
AFL,2001-06-27,11.269
AFL,2001-06-28,11.2646
AFL,2001-06-29,11.2542
AFL,2001-07-02,11.2408
AFL,2001-07-03,11.2103
AFL,2001-07-05,11.1882
AFL,2001-07-06,11.1501
AFL,2001-07-09,11.1202
AFL,2001-07-10,11.0846
AFL,2001-07-11,11.0433
AFL,2001-07-12,11.0091
AFL,2001-07-13,10.9816
AFL,2001-07-16,10.9409
AFL,2001-07-17,10.8947
AFL,2001-07-18,10.8481
AFL,2001-07-19,10.8018
AFL,2001-07-20,10.7462
AFL,2001-07-23,10.725
AFL,2001-07-24,10.7131
AFL,2001-07-25,10.6421
AFL,2001-07-26,10.5889
AFL,2001-07-27,10.5372
AFL,2001-07-30,10.4944
AFL,2001-07-31,10.4489
AFL,2001-08-01,10.4107
AFL,2001-08-02,10.3745
AFL,2001-08-03,10.3442
AFL,2001-08-06,10.2964
AFL,2001-08-07,10.2541
AFL,2001-08-08,10.2117
AFL,2001-08-09,10.1558
AFL,2001-08-10,10.0894
AFL,2001-08-13,10.0175
AFL,2001-08-14,9.949
AFL,2001-08-15,9.8808
AFL,2001-08-16,9.8085
AFL,2001-08-17,9.7449
AFL,2001-08-20,9.6928
AFL,2001-08-21,9.6343
AFL,2001-08-22,9.6299
AFL,2001-08-23,9.6008
AFL,2001-08-24,9.5851
AFL,2001-08-27,9.5691
AFL,2001-08-28,9.5389
AFL,2001-08-29,9.5018
AFL,2001-08-30,9.4676
AFL,2001-08-31,9.4418
AFL,2001-09-04,9.4228
AFL,2001-09-05,9.4121
AFL,2001-09-06,9.3986
AFL,2001-09-07,9.3828
