SYMB,DATE,SMA
AKAM,1999-11-29,188.975
AKAM,1999-11-30,192.11
AKAM,1999-12-01,193.35
AKAM,1999-12-02,194.57
AKAM,1999-12-03,196.255
AKAM,1999-12-06,198.38
AKAM,1999-12-07,200.3
AKAM,1999-12-08,202.885
AKAM,1999-12-09,205.885
AKAM,1999-12-10,208.95
AKAM,1999-12-13,211.51
AKAM,1999-12-14,213.77
AKAM,1999-12-15,216.09
AKAM,1999-12-16,220.17
AKAM,1999-12-17,224.89
AKAM,1999-12-20,229.955
AKAM,1999-12-21,235.805
AKAM,1999-12-22,239.855
AKAM,1999-12-23,243.875
AKAM,1999-12-27,247.845
AKAM,1999-12-28,250.07
AKAM,1999-12-29,253.4
AKAM,1999-12-30,258.87
AKAM,1999-12-31,264.485
AKAM,2000-01-03,270.515
AKAM,2000-01-04,274.675
AKAM,2000-01-05,277.215
AKAM,2000-01-06,276.945
AKAM,2000-01-07,276.865
AKAM,2000-01-10,278.965
AKAM,2000-01-11,281.46
AKAM,2000-01-12,283.31
AKAM,2000-01-13,283.43
AKAM,2000-01-14,281.38
AKAM,2000-01-18,277.865
AKAM,2000-01-19,274.79
AKAM,2000-01-20,271.395
AKAM,2000-01-21,270.295
AKAM,2000-01-24,269.33
AKAM,2000-01-25,269.0
AKAM,2000-01-26,269.3
AKAM,2000-01-27,268.175
AKAM,2000-01-28,265.33
AKAM,2000-01-31,261.405
AKAM,2000-02-01,256.98
AKAM,2000-02-02,253.66
AKAM,2000-02-03,252.09
AKAM,2000-02-04,252.035
AKAM,2000-02-07,251.045
AKAM,2000-02-08,248.815
AKAM,2000-02-09,246.64
AKAM,2000-02-10,245.39
AKAM,2000-02-11,245.405
AKAM,2000-02-14,245.425
AKAM,2000-02-15,245.975
AKAM,2000-02-16,247.04
AKAM,2000-02-17,247.94
AKAM,2000-02-18,246.575
AKAM,2000-02-22,245.575
AKAM,2000-02-23,244.215
AKAM,2000-02-24,244.08
AKAM,2000-02-25,243.38
AKAM,2000-02-28,242.715
AKAM,2000-02-29,243.325
AKAM,2000-03-01,245.3
AKAM,2000-03-02,247.02
AKAM,2000-03-03,248.17
AKAM,2000-03-06,249.12
AKAM,2000-03-07,250.81
AKAM,2000-03-08,252.015
AKAM,2000-03-09,254.57
AKAM,2000-03-10,257.92
AKAM,2000-03-13,260.505
AKAM,2000-03-14,262.475
AKAM,2000-03-15,263.365
AKAM,2000-03-16,262.515
AKAM,2000-03-17,260.86
AKAM,2000-03-20,259.44
AKAM,2000-03-21,257.21
AKAM,2000-03-22,255.03
AKAM,2000-03-23,251.385
AKAM,2000-03-24,248.58
AKAM,2000-03-27,246.175
AKAM,2000-03-28,243.105
AKAM,2000-03-29,237.675
AKAM,2000-03-30,232.28
AKAM,2000-03-31,226.9
AKAM,2000-04-03,220.15
AKAM,2000-04-04,212.805
AKAM,2000-04-05,205.055
AKAM,2000-04-06,197.51
AKAM,2000-04-07,189.995
AKAM,2000-04-10,182.42
AKAM,2000-04-11,174.32
AKAM,2000-04-12,166.9425
AKAM,2000-04-13,159.8875
AKAM,2000-04-14,152.1865
AKAM,2000-04-17,145.0215
AKAM,2000-04-18,139.7215
AKAM,2000-04-19,133.7435
AKAM,2000-04-20,127.9955
AKAM,2000-04-24,121.2395
AKAM,2000-04-25,114.4575
AKAM,2000-04-26,108.1375
AKAM,2000-04-27,103.794
AKAM,2000-04-28,100.733
AKAM,2000-05-01,97.858
AKAM,2000-05-02,97.178
AKAM,2000-05-03,95.997
AKAM,2000-05-04,95.347
AKAM,2000-05-05,93.445
AKAM,2000-05-08,90.4915
AKAM,2000-05-09,87.989
AKAM,2000-05-10,86.468
AKAM,2000-05-11,85.4905
AKAM,2000-05-12,84.6155
AKAM,2000-05-15,85.109
AKAM,2000-05-16,85.412
AKAM,2000-05-17,84.687
AKAM,2000-05-18,84.018
AKAM,2000-05-19,83.268
AKAM,2000-05-22,82.943
AKAM,2000-05-23,82.6775
AKAM,2000-05-24,82.3245
AKAM,2000-05-25,81.29
AKAM,2000-05-26,79.343
AKAM,2000-05-30,77.928
AKAM,2000-05-31,76.2145
AKAM,2000-06-01,75.3145
