SYMB,DATE,SMA
ALB,1999-11-29,6.6255
ALB,1999-11-30,6.6298
ALB,1999-12-01,6.6255
ALB,1999-12-02,6.6255
ALB,1999-12-03,6.6244
ALB,1999-12-06,6.6211
ALB,1999-12-07,6.6146
ALB,1999-12-08,6.6102
ALB,1999-12-09,6.5937
ALB,1999-12-10,6.5785
ALB,1999-12-13,6.566
ALB,1999-12-14,6.5415
ALB,1999-12-15,6.5202
ALB,1999-12-16,6.5034
ALB,1999-12-17,6.4854
ALB,1999-12-20,6.4641
ALB,1999-12-21,6.4548
ALB,1999-12-22,6.4511
ALB,1999-12-23,6.4472
ALB,1999-12-27,6.4283
ALB,1999-12-28,6.4321
ALB,1999-12-29,6.4273
ALB,1999-12-30,6.4258
ALB,1999-12-31,6.431
ALB,2000-01-03,6.4173
ALB,2000-01-04,6.4069
ALB,2000-01-05,6.4064
ALB,2000-01-06,6.4137
ALB,2000-01-07,6.4265
ALB,2000-01-10,6.4392
ALB,2000-01-11,6.4457
ALB,2000-01-12,6.4568
ALB,2000-01-13,6.4723
ALB,2000-01-14,6.4767
ALB,2000-01-18,6.4769
ALB,2000-01-19,6.4891
ALB,2000-01-20,6.487
ALB,2000-01-21,6.4914
ALB,2000-01-24,6.4882
ALB,2000-01-25,6.475
ALB,2000-01-26,6.4662
ALB,2000-01-27,6.4496
ALB,2000-01-28,6.4353
ALB,2000-01-31,6.4154
ALB,2000-02-01,6.4076
ALB,2000-02-02,6.4011
ALB,2000-02-03,6.3891
ALB,2000-02-04,6.3616
ALB,2000-02-07,6.3396
ALB,2000-02-08,6.3144
ALB,2000-02-09,6.2858
ALB,2000-02-10,6.255
ALB,2000-02-11,6.2042
ALB,2000-02-14,6.1679
ALB,2000-02-15,6.1458
ALB,2000-02-16,6.1116
ALB,2000-02-17,6.0862
ALB,2000-02-18,6.0466
ALB,2000-02-22,6.0124
ALB,2000-02-23,5.9881
ALB,2000-02-24,5.9463
ALB,2000-02-25,5.8978
ALB,2000-02-28,5.8569
ALB,2000-02-29,5.804
ALB,2000-03-01,5.7511
ALB,2000-03-02,5.7037
ALB,2000-03-03,5.6573
ALB,2000-03-06,5.6252
ALB,2000-03-07,5.5833
ALB,2000-03-08,5.559
ALB,2000-03-09,5.5336
ALB,2000-03-10,5.5181
ALB,2000-03-13,5.5145
ALB,2000-03-14,5.5054
ALB,2000-03-15,5.514
ALB,2000-03-16,5.5571
ALB,2000-03-17,5.6024
ALB,2000-03-20,5.6699
ALB,2000-03-21,5.7395
ALB,2000-03-22,5.7958
ALB,2000-03-23,5.8564
ALB,2000-03-24,5.9217
ALB,2000-03-27,5.987
ALB,2000-03-28,6.0465
ALB,2000-03-29,6.1083
ALB,2000-03-30,6.1846
ALB,2000-03-31,6.2885
ALB,2000-04-03,6.3692
ALB,2000-04-04,6.4643
ALB,2000-04-05,6.5339
ALB,2000-04-06,6.6146
ALB,2000-04-07,6.6931
ALB,2000-04-10,6.7662
ALB,2000-04-11,6.8406
ALB,2000-04-12,6.8884
ALB,2000-04-13,6.9129
ALB,2000-04-14,6.9296
ALB,2000-04-17,6.9273
ALB,2000-04-18,6.9129
ALB,2000-04-19,6.9251
ALB,2000-04-20,6.9473
ALB,2000-04-24,6.9771
ALB,2000-04-25,7.0171
ALB,2000-04-26,7.0526
ALB,2000-04-27,7.1069
ALB,2000-04-28,7.139
ALB,2000-05-01,7.1469
ALB,2000-05-02,7.1701
ALB,2000-05-03,7.2045
ALB,2000-05-04,7.239
ALB,2000-05-05,7.2711
ALB,2000-05-08,7.3011
ALB,2000-05-09,7.34
ALB,2000-05-10,7.3677
ALB,2000-05-11,7.4032
ALB,2000-05-12,7.4376
ALB,2000-05-15,7.4742
ALB,2000-05-16,7.533
ALB,2000-05-17,7.5928
ALB,2000-05-18,7.6528
ALB,2000-05-19,7.7027
ALB,2000-05-22,7.7471
ALB,2000-05-23,7.7847
ALB,2000-05-24,7.8403
ALB,2000-05-25,7.8825
ALB,2000-05-26,7.9091
ALB,2000-05-30,7.9402
ALB,2000-05-31,7.9525
ALB,2000-06-01,7.9413
ALB,2000-06-02,7.9624
ALB,2000-06-05,7.9658
ALB,2000-06-06,7.9647
ALB,2000-06-07,7.9791
ALB,2000-06-08,7.988
ALB,2000-06-09,7.9913
ALB,2000-06-12,8.0047
ALB,2000-06-13,8.0144
