SYMB,DATE,SMA
ALGN,2001-02-27,12.4871
ALGN,2001-02-28,12.0182
ALGN,2001-03-01,11.7213
ALGN,2001-03-02,11.3868
ALGN,2001-03-05,11.0147
ALGN,2001-03-06,10.6832
ALGN,2001-03-07,10.3738
ALGN,2001-03-08,10.1443
ALGN,2001-03-09,9.8975
ALGN,2001-03-12,9.7225
ALGN,2001-03-13,9.6445
ALGN,2001-03-14,9.585
ALGN,2001-03-15,9.4754
ALGN,2001-03-16,9.2474
ALGN,2001-03-19,9.0382
ALGN,2001-03-20,8.8101
ALGN,2001-03-21,8.604
ALGN,2001-03-22,8.386
ALGN,2001-03-23,8.2236
ALGN,2001-03-26,8.1486
ALGN,2001-03-27,8.1408
ALGN,2001-03-28,8.1439
ALGN,2001-03-29,8.1283
ALGN,2001-03-30,8.1158
ALGN,2001-04-02,8.1439
ALGN,2001-04-03,8.1033
ALGN,2001-04-04,8.0408
ALGN,2001-04-05,7.9455
ALGN,2001-04-06,7.8705
ALGN,2001-04-09,7.773
ALGN,2001-04-10,7.6555
ALGN,2001-04-11,7.473
ALGN,2001-04-12,7.3011
ALGN,2001-04-16,7.1611
ALGN,2001-04-17,7.0073
ALGN,2001-04-18,6.9619
ALGN,2001-04-19,6.91
ALGN,2001-04-20,6.83
ALGN,2001-04-23,6.7719
ALGN,2001-04-24,6.8134
ALGN,2001-04-25,6.8431
ALGN,2001-04-26,6.905
ALGN,2001-04-27,6.98
ALGN,2001-04-30,7.055
ALGN,2001-05-01,7.1175
ALGN,2001-05-02,7.2206
ALGN,2001-05-03,7.3274
ALGN,2001-05-04,7.4293
ALGN,2001-05-07,7.538
ALGN,2001-05-08,7.6855
ALGN,2001-05-09,7.7855
ALGN,2001-05-10,7.9
ALGN,2001-05-11,8.04
ALGN,2001-05-14,8.2275
ALGN,2001-05-15,8.4275
ALGN,2001-05-16,8.57
ALGN,2001-05-17,8.7605
ALGN,2001-05-18,9.0055
ALGN,2001-05-21,9.2705
ALGN,2001-05-22,9.4575
ALGN,2001-05-23,9.658
ALGN,2001-05-24,9.796
ALGN,2001-05-25,9.866
ALGN,2001-05-29,9.926
ALGN,2001-05-30,9.9635
ALGN,2001-05-31,10.026
ALGN,2001-06-01,10.0935
ALGN,2001-06-04,10.171
ALGN,2001-06-05,10.2435
ALGN,2001-06-06,10.2635
ALGN,2001-06-07,10.2835
ALGN,2001-06-08,10.304
ALGN,2001-06-11,10.327
ALGN,2001-06-12,10.311
ALGN,2001-06-13,10.271
ALGN,2001-06-14,10.214
ALGN,2001-06-15,10.111
ALGN,2001-06-18,10.0095
ALGN,2001-06-19,9.8385
ALGN,2001-06-20,9.6565
ALGN,2001-06-21,9.469
ALGN,2001-06-22,9.282
ALGN,2001-06-25,9.1595
ALGN,2001-06-26,9.0865
ALGN,2001-06-27,9.022
ALGN,2001-06-28,8.922
ALGN,2001-06-29,8.8115
ALGN,2001-07-02,8.704
ALGN,2001-07-03,8.591
ALGN,2001-07-05,8.4935
ALGN,2001-07-06,8.4105
ALGN,2001-07-09,8.3345
ALGN,2001-07-10,8.2665
ALGN,2001-07-11,8.2125
ALGN,2001-07-12,8.1435
ALGN,2001-07-13,8.069
ALGN,2001-07-16,8.004
ALGN,2001-07-17,7.9365
ALGN,2001-07-18,7.8925
ALGN,2001-07-19,7.8505
ALGN,2001-07-20,7.8065
ALGN,2001-07-23,7.7855
ALGN,2001-07-24,7.77
ALGN,2001-07-25,7.6965
ALGN,2001-07-26,7.658
ALGN,2001-07-27,7.638
ALGN,2001-07-30,7.613
ALGN,2001-07-31,7.586
ALGN,2001-08-01,7.5615
ALGN,2001-08-02,7.5365
ALGN,2001-08-03,7.517
ALGN,2001-08-06,7.5125
ALGN,2001-08-07,7.5075
ALGN,2001-08-08,7.49
ALGN,2001-08-09,7.487
ALGN,2001-08-10,7.4895
ALGN,2001-08-13,7.492
ALGN,2001-08-14,7.503
ALGN,2001-08-15,7.5055
ALGN,2001-08-16,7.501
ALGN,2001-08-17,7.5005
ALGN,2001-08-20,7.499
ALGN,2001-08-21,7.477
ALGN,2001-08-22,7.481
ALGN,2001-08-23,7.467
ALGN,2001-08-24,7.435
ALGN,2001-08-27,7.418
ALGN,2001-08-28,7.3855
ALGN,2001-08-29,7.3445
ALGN,2001-08-30,7.302
ALGN,2001-08-31,7.257
ALGN,2001-09-04,7.216
ALGN,2001-09-05,7.176
ALGN,2001-09-06,7.135
ALGN,2001-09-07,7.0895
ALGN,2001-09-10,7.037
ALGN,2001-09-17,6.932
ALGN,2001-09-18,6.79
ALGN,2001-09-19,6.629
ALGN,2001-09-20,6.4465
ALGN,2001-09-21,6.263
ALGN,2001-09-24,6.0645
ALGN,2001-09-25,5.887
ALGN,2001-09-26,5.667
ALGN,2001-09-27,5.448
ALGN,2001-09-28,5.209
ALGN,2001-10-01,5.0025
ALGN,2001-10-02,4.8293
ALGN,2001-10-03,4.6648
ALGN,2001-10-04,4.4948
ALGN,2001-10-05,4.3153
ALGN,2001-10-08,4.1233
ALGN,2001-10-09,3.9228
ALGN,2001-10-10,3.7513
ALGN,2001-10-11,3.6123
ALGN,2001-10-12,3.4898
ALGN,2001-10-15,3.4098
ALGN,2001-10-16,3.3663
ALGN,2001-10-17,3.3408
ALGN,2001-10-18,3.3448
ALGN,2001-10-19,3.3873
ALGN,2001-10-22,3.4968
ALGN,2001-10-23,3.5693
ALGN,2001-10-24,3.6668
ALGN,2001-10-25,3.7433
ALGN,2001-10-26,3.8468
ALGN,2001-10-29,3.9138
ALGN,2001-10-30,3.9555
ALGN,2001-10-31,4.004
ALGN,2001-11-01,4.0735
ALGN,2001-11-02,4.1724
ALGN,2001-11-05,4.2874
ALGN,2001-11-06,4.413
ALGN,2001-11-07,4.4985
ALGN,2001-11-08,4.5574
ALGN,2001-11-09,4.6024
ALGN,2001-11-12,4.6424
ALGN,2001-11-13,4.6279
ALGN,2001-11-14,4.5829
ALGN,2001-11-15,4.5869
ALGN,2001-11-16,4.5919
ALGN,2001-11-19,4.5414
ALGN,2001-11-20,4.5264
ALGN,2001-11-21,4.5124
ALGN,2001-11-23,4.5219
ALGN,2001-11-26,4.5094
ALGN,2001-11-27,4.5074
ALGN,2001-11-28,4.5149
ALGN,2001-11-29,4.5094
ALGN,2001-11-30,4.4799
ALGN,2001-12-03,4.4259
ALGN,2001-12-04,4.3579
ALGN,2001-12-05,4.3004
ALGN,2001-12-06,4.2639
ALGN,2001-12-07,4.2139
ALGN,2001-12-10,4.1637
ALGN,2001-12-11,4.1237
ALGN,2001-12-12,4.1242
ALGN,2001-12-13,4.1652
ALGN,2001-12-14,4.1577
ALGN,2001-12-17,4.1277
ALGN,2001-12-18,4.1012
ALGN,2001-12-19,4.0662
ALGN,2001-12-20,4.0727
ALGN,2001-12-21,4.1102
ALGN,2001-12-24,4.1477
ALGN,2001-12-26,4.1792
ALGN,2001-12-27,4.1987
ALGN,2001-12-28,4.2162
ALGN,2001-12-31,4.2412
ALGN,2002-01-02,4.2607
ALGN,2002-01-03,4.2862
ALGN,2002-01-04,4.2937
ALGN,2002-01-07,4.3357
ALGN,2002-01-08,4.3957
ALGN,2002-01-09,4.498
ALGN,2002-01-10,4.5445
ALGN,2002-01-11,4.6135
ALGN,2002-01-14,4.695
ALGN,2002-01-15,4.777
ALGN,2002-01-16,4.8685
ALGN,2002-01-17,4.951
ALGN,2002-01-18,5.0235
ALGN,2002-01-22,5.043
ALGN,2002-01-23,5.014
ALGN,2002-01-24,4.9915
ALGN,2002-01-25,4.974
ALGN,2002-01-28,4.953
ALGN,2002-01-29,4.9305
ALGN,2002-01-30,4.933
ALGN,2002-01-31,4.962
ALGN,2002-02-01,4.9855
ALGN,2002-02-04,5.0145
ALGN,2002-02-05,5.0085
ALGN,2002-02-06,4.9895
ALGN,2002-02-07,4.924
ALGN,2002-02-08,4.898
ALGN,2002-02-11,4.8625
ALGN,2002-02-12,4.8316
ALGN,2002-02-13,4.7956
ALGN,2002-02-14,4.7271
ALGN,2002-02-15,4.6821
ALGN,2002-02-19,4.6486
ALGN,2002-02-20,4.6265
ALGN,2002-02-21,4.6231
ALGN,2002-02-22,4.628
ALGN,2002-02-25,4.6181
ALGN,2002-02-26,4.6121
ALGN,2002-02-27,4.6211
ALGN,2002-02-28,4.6061
ALGN,2002-03-01,4.5791
ALGN,2002-03-04,4.5516
ALGN,2002-03-05,4.5051
ALGN,2002-03-06,4.4626
ALGN,2002-03-07,4.4241
ALGN,2002-03-08,4.4151
ALGN,2002-03-11,4.4361
