SYMB,DATE,SMA
ALK,2001-01-30,6.9985
ALK,2001-01-31,7.0297
ALK,2001-02-01,7.0302
ALK,2001-02-02,7.0111
ALK,2001-02-05,7.0006
ALK,2001-02-06,6.9942
ALK,2001-02-07,7.0192
ALK,2001-02-08,7.0372
ALK,2001-02-09,7.0559
ALK,2001-02-12,7.0787
ALK,2001-02-13,7.0995
ALK,2001-02-14,7.1245
ALK,2001-02-15,7.1402
ALK,2001-02-16,7.1454
ALK,2001-02-20,7.1306
ALK,2001-02-21,7.0961
ALK,2001-02-22,7.0775
ALK,2001-02-23,7.0431
ALK,2001-02-26,7.0342
ALK,2001-02-27,7.0097
ALK,2001-02-28,6.9735
ALK,2001-03-01,6.9168
ALK,2001-03-02,6.8748
ALK,2001-03-05,6.8249
ALK,2001-03-06,6.7711
ALK,2001-03-07,6.7141
ALK,2001-03-08,6.6656
ALK,2001-03-09,6.6203
ALK,2001-03-12,6.5769
ALK,2001-03-13,6.5373
ALK,2001-03-14,6.4912
ALK,2001-03-15,6.4447
ALK,2001-03-16,6.394
ALK,2001-03-19,6.3411
ALK,2001-03-20,6.3069
ALK,2001-03-21,6.2659
ALK,2001-03-22,6.2232
ALK,2001-03-23,6.19
ALK,2001-03-26,6.153
ALK,2001-03-27,6.1208
ALK,2001-03-28,6.0897
ALK,2001-03-29,6.0689
ALK,2001-03-30,6.0404
ALK,2001-04-02,6.011
ALK,2001-04-03,5.9774
ALK,2001-04-04,5.9465
ALK,2001-04-05,5.9138
ALK,2001-04-06,5.8762
ALK,2001-04-09,5.8427
ALK,2001-04-10,5.8183
ALK,2001-04-11,5.7997
ALK,2001-04-12,5.7823
ALK,2001-04-16,5.7759
ALK,2001-04-17,5.7849
ALK,2001-04-18,5.7977
ALK,2001-04-19,5.8259
ALK,2001-04-20,5.852
ALK,2001-04-23,5.8683
ALK,2001-04-24,5.8741
ALK,2001-04-25,5.8836
ALK,2001-04-26,5.9025
ALK,2001-04-27,5.9344
ALK,2001-04-30,5.962
ALK,2001-05-01,5.9922
ALK,2001-05-02,6.0269
ALK,2001-05-03,6.0596
ALK,2001-05-04,6.0896
ALK,2001-05-07,6.1335
ALK,2001-05-08,6.1749
ALK,2001-05-09,6.2023
ALK,2001-05-10,6.2323
ALK,2001-05-11,6.2595
ALK,2001-05-14,6.2871
ALK,2001-05-15,6.2977
ALK,2001-05-16,6.3071
ALK,2001-05-17,6.3151
ALK,2001-05-18,6.3289
ALK,2001-05-21,6.349
ALK,2001-05-22,6.3789
ALK,2001-05-23,6.4001
ALK,2001-05-24,6.4125
ALK,2001-05-25,6.4179
ALK,2001-05-29,6.4263
ALK,2001-05-30,6.4318
ALK,2001-05-31,6.4379
ALK,2001-06-01,6.4336
ALK,2001-06-04,6.4277
ALK,2001-06-05,6.4193
ALK,2001-06-06,6.4117
ALK,2001-06-07,6.4038
ALK,2001-06-08,6.3949
ALK,2001-06-11,6.3884
ALK,2001-06-12,6.3741
ALK,2001-06-13,6.3766
ALK,2001-06-14,6.3715
ALK,2001-06-15,6.3504
ALK,2001-06-18,6.3342
ALK,2001-06-19,6.3103
ALK,2001-06-20,6.273
ALK,2001-06-21,6.244
ALK,2001-06-22,6.2197
ALK,2001-06-25,6.1867
ALK,2001-06-26,6.157
ALK,2001-06-27,6.1461
ALK,2001-06-28,6.1358
ALK,2001-06-29,6.1457
ALK,2001-07-02,6.1537
ALK,2001-07-03,6.1584
ALK,2001-07-05,6.1655
ALK,2001-07-06,6.1683
ALK,2001-07-09,6.1753
ALK,2001-07-10,6.1912
ALK,2001-07-11,6.2148
ALK,2001-07-12,6.2403
ALK,2001-07-13,6.2767
ALK,2001-07-16,6.3272
ALK,2001-07-17,6.374
ALK,2001-07-18,6.4184
ALK,2001-07-19,6.4706
ALK,2001-07-20,6.5297
ALK,2001-07-23,6.5826
ALK,2001-07-24,6.6383
ALK,2001-07-25,6.6893
ALK,2001-07-26,6.7277
ALK,2001-07-27,6.7594
ALK,2001-07-30,6.7783
ALK,2001-07-31,6.8102
ALK,2001-08-01,6.8493
ALK,2001-08-02,6.8876
ALK,2001-08-03,6.9283
ALK,2001-08-06,6.9665
ALK,2001-08-07,6.9951
ALK,2001-08-08,7.0255
ALK,2001-08-09,7.0494
ALK,2001-08-10,7.0691
ALK,2001-08-13,7.0814
ALK,2001-08-14,7.0977
ALK,2001-08-15,7.1245
ALK,2001-08-16,7.1555
ALK,2001-08-17,7.1718
ALK,2001-08-20,7.1926
ALK,2001-08-21,7.2061
ALK,2001-08-22,7.2243
ALK,2001-08-23,7.2415
ALK,2001-08-24,7.2682
ALK,2001-08-27,7.2897
ALK,2001-08-28,7.298
ALK,2001-08-29,7.2971
ALK,2001-08-30,7.2985
ALK,2001-08-31,7.3077
ALK,2001-09-04,7.3138
ALK,2001-09-05,7.3193
ALK,2001-09-06,7.3135
ALK,2001-09-07,7.2965
ALK,2001-09-10,7.2725
ALK,2001-09-17,7.152
ALK,2001-09-18,7.0219
ALK,2001-09-19,6.8831
ALK,2001-09-20,6.7206
ALK,2001-09-21,6.5528
ALK,2001-09-24,6.3937
ALK,2001-09-25,6.246
ALK,2001-09-26,6.0816
ALK,2001-09-27,5.9163
ALK,2001-09-28,5.7697
ALK,2001-10-01,5.6269
ALK,2001-10-02,5.5008
ALK,2001-10-03,5.3988
ALK,2001-10-04,5.2895
ALK,2001-10-05,5.167
ALK,2001-10-08,5.0392
ALK,2001-10-09,4.9106
ALK,2001-10-10,4.8019
ALK,2001-10-11,4.7157
ALK,2001-10-12,4.6106
ALK,2001-10-15,4.608
ALK,2001-10-16,4.6126
ALK,2001-10-17,4.6061
ALK,2001-10-18,4.613
ALK,2001-10-19,4.6398
ALK,2001-10-22,4.6738
ALK,2001-10-23,4.7261
ALK,2001-10-24,4.7857
ALK,2001-10-25,4.847
ALK,2001-10-26,4.8912
ALK,2001-10-29,4.9384
ALK,2001-10-30,4.9721
ALK,2001-10-31,4.9879
ALK,2001-11-01,5.0128
ALK,2001-11-02,5.0466
ALK,2001-11-05,5.0913
ALK,2001-11-06,5.1414
ALK,2001-11-07,5.1924
ALK,2001-11-08,5.2348
ALK,2001-11-09,5.2858
ALK,2001-11-12,5.3279
ALK,2001-11-13,5.3863
ALK,2001-11-14,5.4709
ALK,2001-11-15,5.5518
ALK,2001-11-16,5.6193
ALK,2001-11-19,5.6916
ALK,2001-11-20,5.7411
ALK,2001-11-21,5.799
ALK,2001-11-23,5.8717
ALK,2001-11-26,5.93
ALK,2001-11-27,5.9775
ALK,2001-11-28,6.016
ALK,2001-11-29,6.0688
ALK,2001-11-30,6.1133
ALK,2001-12-03,6.1579
ALK,2001-12-04,6.1978
ALK,2001-12-05,6.244
ALK,2001-12-06,6.2766
ALK,2001-12-07,6.3191
ALK,2001-12-10,6.3641
ALK,2001-12-11,6.4119
ALK,2001-12-12,6.449
ALK,2001-12-13,6.4733
ALK,2001-12-14,6.5024
ALK,2001-12-17,6.5263
ALK,2001-12-18,6.5397
ALK,2001-12-19,6.5554
ALK,2001-12-20,6.5599
ALK,2001-12-21,6.5667
ALK,2001-12-24,6.565
ALK,2001-12-26,6.5652
ALK,2001-12-27,6.5785
ALK,2001-12-28,6.5809
ALK,2001-12-31,6.586
ALK,2002-01-02,6.5889
ALK,2002-01-03,6.6035
ALK,2002-01-04,6.6309
ALK,2002-01-07,6.6534
ALK,2002-01-08,6.6653
ALK,2002-01-09,6.6908
ALK,2002-01-10,6.7127
ALK,2002-01-11,6.7162
ALK,2002-01-14,6.711
ALK,2002-01-15,6.7256
ALK,2002-01-16,6.7462
ALK,2002-01-17,6.7475
ALK,2002-01-18,6.7486
ALK,2002-01-22,6.7486
ALK,2002-01-23,6.7539
ALK,2002-01-24,6.7706
ALK,2002-01-25,6.8002
ALK,2002-01-28,6.8237
ALK,2002-01-29,6.8347
ALK,2002-01-30,6.8549
ALK,2002-01-31,6.8739
ALK,2002-02-01,6.8833
ALK,2002-02-04,6.8575
ALK,2002-02-05,6.8418
ALK,2002-02-06,6.8107
ALK,2002-02-07,6.7721
ALK,2002-02-08,6.7476
ALK,2002-02-11,6.7325
ALK,2002-02-12,6.7336
ALK,2002-02-13,6.7104
ALK,2002-02-14,6.6827
ALK,2002-02-15,6.674
ALK,2002-02-19,6.6672
ALK,2002-02-20,6.6817
ALK,2002-02-21,6.6851
ALK,2002-02-22,6.6836
ALK,2002-02-25,6.6819
ALK,2002-02-26,6.686
ALK,2002-02-27,6.7047
ALK,2002-02-28,6.7065
ALK,2002-03-01,6.7229
ALK,2002-03-04,6.7522
ALK,2002-03-05,6.7737
ALK,2002-03-06,6.8107
ALK,2002-03-07,6.8514
ALK,2002-03-08,6.9058
ALK,2002-03-11,6.9551
ALK,2002-03-12,7.0038
ALK,2002-03-13,7.0446
ALK,2002-03-14,7.0938
ALK,2002-03-15,7.1549
ALK,2002-03-18,7.21
ALK,2002-03-19,7.2557
ALK,2002-03-20,7.2833
ALK,2002-03-21,7.2926
ALK,2002-03-22,7.3179
ALK,2002-03-25,7.3253
ALK,2002-03-26,7.3454
ALK,2002-03-27,7.3564
ALK,2002-03-28,7.3816
ALK,2002-04-01,7.3871
ALK,2002-04-02,7.3579
ALK,2002-04-03,7.3478
ALK,2002-04-04,7.3219
ALK,2002-04-05,7.3073
ALK,2002-04-08,7.2815
ALK,2002-04-09,7.2533
ALK,2002-04-10,7.2376
ALK,2002-04-11,7.217
ALK,2002-04-12,7.2083
ALK,2002-04-15,7.1857
ALK,2002-04-16,7.1668
ALK,2002-04-17,7.1522
ALK,2002-04-18,7.1353
ALK,2002-04-19,7.1293
ALK,2002-04-22,7.1118
ALK,2002-04-23,7.1059
ALK,2002-04-24,7.0838
ALK,2002-04-25,7.0591
ALK,2002-04-26,7.0311
ALK,2002-04-29,7.0038
ALK,2002-04-30,7.0013
ALK,2002-05-01,7.0033
ALK,2002-05-02,6.9993
ALK,2002-05-03,6.9866
ALK,2002-05-06,6.9708
ALK,2002-05-07,6.9473
ALK,2002-05-08,6.9144
ALK,2002-05-09,6.8839
ALK,2002-05-10,6.8261
ALK,2002-05-13,6.7853
ALK,2002-05-14,6.7493
ALK,2002-05-15,6.7199
ALK,2002-05-16,6.6924
ALK,2002-05-17,6.6662
ALK,2002-05-20,6.6383
ALK,2002-05-21,6.6093
ALK,2002-05-22,6.5777
ALK,2002-05-23,6.5509
ALK,2002-05-24,6.5228
ALK,2002-05-28,6.5018
ALK,2002-05-29,6.4741
ALK,2002-05-30,6.4395
ALK,2002-05-31,6.4087
ALK,2002-06-03,6.3755
ALK,2002-06-04,6.3383
ALK,2002-06-05,6.3073
ALK,2002-06-06,6.2769
