SYMB,DATE,SMA
ALL,1999-11-29,17.0682
ALL,1999-11-30,16.9976
ALL,1999-12-01,16.9365
ALL,1999-12-02,16.877
ALL,1999-12-03,16.825
ALL,1999-12-06,16.7563
ALL,1999-12-07,16.669
ALL,1999-12-08,16.5927
ALL,1999-12-09,16.5314
ALL,1999-12-10,16.5208
ALL,1999-12-13,16.4502
ALL,1999-12-14,16.3738
ALL,1999-12-15,16.2992
ALL,1999-12-16,16.2187
ALL,1999-12-17,16.1085
ALL,1999-12-20,16.0106
ALL,1999-12-21,15.9171
ALL,1999-12-22,15.8162
ALL,1999-12-23,15.7206
ALL,1999-12-27,15.6226
ALL,1999-12-28,15.5358
ALL,1999-12-29,15.4698
ALL,1999-12-30,15.4055
ALL,1999-12-31,15.3301
ALL,2000-01-03,15.2171
ALL,2000-01-04,15.0889
ALL,2000-01-05,14.9852
ALL,2000-01-06,14.8778
ALL,2000-01-07,14.8157
ALL,2000-01-10,14.7235
ALL,2000-01-11,14.6502
ALL,2000-01-12,14.5917
ALL,2000-01-13,14.5558
ALL,2000-01-14,14.522
ALL,2000-01-18,14.5106
ALL,2000-01-19,14.4774
ALL,2000-01-20,14.4509
ALL,2000-01-21,14.4265
ALL,2000-01-24,14.3737
ALL,2000-01-25,14.3342
ALL,2000-01-26,14.3098
ALL,2000-01-27,14.2853
ALL,2000-01-28,14.2495
ALL,2000-01-31,14.2232
ALL,2000-02-01,14.21
ALL,2000-02-02,14.2268
ALL,2000-02-03,14.2118
ALL,2000-02-04,14.2003
ALL,2000-02-07,14.1702
ALL,2000-02-08,14.1117
ALL,2000-02-09,13.9929
ALL,2000-02-10,13.8873
ALL,2000-02-11,13.7932
ALL,2000-02-14,13.7046
ALL,2000-02-15,13.6349
ALL,2000-02-16,13.5728
ALL,2000-02-17,13.4974
ALL,2000-02-18,13.4221
ALL,2000-02-22,13.3789
ALL,2000-02-23,13.3186
ALL,2000-02-24,13.2508
ALL,2000-02-25,13.1712
ALL,2000-02-28,13.0857
ALL,2000-02-29,12.9851
ALL,2000-03-01,12.9018
ALL,2000-03-02,12.7882
ALL,2000-03-03,12.6821
ALL,2000-03-06,12.5645
ALL,2000-03-07,12.4202
ALL,2000-03-08,12.306
ALL,2000-03-09,12.2578
ALL,2000-03-10,12.1851
ALL,2000-03-13,12.0708
ALL,2000-03-14,11.9773
