SYMB,DATE,SMA
ALLE,2013-12-16,40.8883
ALLE,2013-12-17,40.6653
ALLE,2013-12-18,40.5931
ALLE,2013-12-19,40.5836
ALLE,2013-12-20,40.6058
ALLE,2013-12-23,40.637
ALLE,2013-12-24,40.6558
ALLE,2013-12-26,40.7266
ALLE,2013-12-27,40.7927
ALLE,2013-12-30,40.8343
ALLE,2013-12-31,40.8838
ALLE,2014-01-02,40.9192
ALLE,2014-01-03,41.0197
ALLE,2014-01-06,41.1439
ALLE,2014-01-07,41.2935
ALLE,2014-01-08,41.4209
ALLE,2014-01-09,41.495
ALLE,2014-01-10,41.6494
ALLE,2014-01-13,41.8415
ALLE,2014-01-14,42.0562
ALLE,2014-01-15,42.2361
ALLE,2014-01-16,42.4083
ALLE,2014-01-17,42.5844
ALLE,2014-01-21,42.76
ALLE,2014-01-22,42.9606
ALLE,2014-01-23,43.1055
ALLE,2014-01-24,43.2121
ALLE,2014-01-27,43.3018
ALLE,2014-01-28,43.4477
ALLE,2014-01-29,43.6204
ALLE,2014-01-30,43.8673
ALLE,2014-01-31,44.1363
ALLE,2014-02-03,44.3006
ALLE,2014-02-04,44.5068
ALLE,2014-02-05,44.6829
ALLE,2014-02-06,44.9359
ALLE,2014-02-07,45.2101
ALLE,2014-02-10,45.4041
ALLE,2014-02-11,45.5386
ALLE,2014-02-12,45.6424
ALLE,2014-02-13,45.7661
ALLE,2014-02-14,45.8713
ALLE,2014-02-18,45.9709
ALLE,2014-02-19,46.0177
ALLE,2014-02-20,46.1597
ALLE,2014-02-21,46.3792
ALLE,2014-02-24,46.6633
ALLE,2014-02-25,47.039
ALLE,2014-02-26,47.3661
ALLE,2014-02-27,47.7234
ALLE,2014-02-28,47.9561
ALLE,2014-03-03,48.1515
ALLE,2014-03-04,48.4612
ALLE,2014-03-05,48.7396
ALLE,2014-03-06,49.0035
ALLE,2014-03-07,49.1993
ALLE,2014-03-10,49.3575
ALLE,2014-03-11,49.5774
ALLE,2014-03-12,49.7846
ALLE,2014-03-13,49.9583
ALLE,2014-03-14,50.1122
ALLE,2014-03-17,50.2731
ALLE,2014-03-18,50.4264
ALLE,2014-03-19,50.6246
ALLE,2014-03-20,50.7535
ALLE,2014-03-21,50.8253
ALLE,2014-03-24,50.8579
ALLE,2014-03-25,50.7979
ALLE,2014-03-26,50.6779
ALLE,2014-03-27,50.4974
ALLE,2014-03-28,50.3977
ALLE,2014-03-31,50.3391
ALLE,2014-04-01,50.3391
ALLE,2014-04-02,50.377
ALLE,2014-04-03,50.4639
ALLE,2014-04-04,50.4837
ALLE,2014-04-07,50.4086
ALLE,2014-04-08,50.2663
ALLE,2014-04-09,50.1388
ALLE,2014-04-10,50.0007
ALLE,2014-04-11,49.8452
ALLE,2014-04-14,49.6944
ALLE,2014-04-15,49.5375
ALLE,2014-04-16,49.3933
ALLE,2014-04-17,49.2033
ALLE,2014-04-21,49.053
ALLE,2014-04-22,48.9362
ALLE,2014-04-23,48.8034
ALLE,2014-04-24,48.7183
ALLE,2014-04-25,48.628
ALLE,2014-04-28,48.4701
ALLE,2014-04-29,48.3156
ALLE,2014-04-30,48.0995
ALLE,2014-05-01,47.9379
ALLE,2014-05-02,47.737
ALLE,2014-05-05,47.5635
ALLE,2014-05-06,47.4817
ALLE,2014-05-07,47.4118
ALLE,2014-05-08,47.3106
ALLE,2014-05-09,47.2785
ALLE,2014-05-12,47.3007
ALLE,2014-05-13,47.3343
ALLE,2014-05-14,47.3262
ALLE,2014-05-15,47.2345
ALLE,2014-05-16,47.1934
ALLE,2014-05-19,47.1735
ALLE,2014-05-20,47.1499
ALLE,2014-05-21,47.1646
ALLE,2014-05-22,47.2236
ALLE,2014-05-23,47.3617
ALLE,2014-05-27,47.5342
ALLE,2014-05-28,47.7252
ALLE,2014-05-29,47.9223
ALLE,2014-05-30,47.9762
ALLE,2014-06-02,48.0409
ALLE,2014-06-03,48.152
ALLE,2014-06-04,48.3061
ALLE,2014-06-05,48.5132
ALLE,2014-06-06,48.819
ALLE,2014-06-09,49.1191
ALLE,2014-06-10,49.4146
ALLE,2014-06-11,49.6916
ALLE,2014-06-12,49.9946
ALLE,2014-06-13,50.3671
ALLE,2014-06-16,50.742
ALLE,2014-06-17,51.0786
ALLE,2014-06-18,51.4058
ALLE,2014-06-19,51.7197
ALLE,2014-06-20,52.0134
ALLE,2014-06-23,52.2583
ALLE,2014-06-24,52.4612
ALLE,2014-06-25,52.6422
ALLE,2014-06-26,52.7784
ALLE,2014-06-27,52.9329
ALLE,2014-06-30,53.1547
ALLE,2014-07-01,53.3783
ALLE,2014-07-02,53.5817
ALLE,2014-07-03,53.7202
ALLE,2014-07-07,53.7339
ALLE,2014-07-08,53.698
ALLE,2014-07-09,53.6488
ALLE,2014-07-10,53.6175
ALLE,2014-07-11,53.6133
ALLE,2014-07-14,53.6081
ALLE,2014-07-15,53.5361
ALLE,2014-07-16,53.45
ALLE,2014-07-17,53.3046
ALLE,2014-07-18,53.192
ALLE,2014-07-21,53.0566
ALLE,2014-07-22,52.9307
ALLE,2014-07-23,52.8251
ALLE,2014-07-24,52.7437
ALLE,2014-07-25,52.6859
ALLE,2014-07-28,52.5908
ALLE,2014-07-29,52.3906
ALLE,2014-07-30,52.2296
ALLE,2014-07-31,51.9484
ALLE,2014-08-01,51.6265
ALLE,2014-08-04,51.3463
ALLE,2014-08-05,51.1044
ALLE,2014-08-06,50.8445
ALLE,2014-08-07,50.5733
ALLE,2014-08-08,50.3167
ALLE,2014-08-11,50.0507
ALLE,2014-08-12,49.8306
ALLE,2014-08-13,49.6796
ALLE,2014-08-14,49.5731
ALLE,2014-08-15,49.4486
ALLE,2014-08-18,49.3482
ALLE,2014-08-19,49.2398
ALLE,2014-08-20,49.1485
ALLE,2014-08-21,49.0145
ALLE,2014-08-22,48.8663
ALLE,2014-08-25,48.8143
ALLE,2014-08-26,48.8109
ALLE,2014-08-27,48.7328
ALLE,2014-08-28,48.7385
ALLE,2014-08-29,48.7892
ALLE,2014-09-02,48.8909
ALLE,2014-09-03,48.9757
ALLE,2014-09-04,49.0803
ALLE,2014-09-05,49.2038
ALLE,2014-09-08,49.2801
ALLE,2014-09-09,49.3454
ALLE,2014-09-10,49.3922
ALLE,2014-09-11,49.3837
ALLE,2014-09-12,49.3331
ALLE,2014-09-15,49.2677
ALLE,2014-09-16,49.1986
ALLE,2014-09-17,49.1291
ALLE,2014-09-18,49.0429
ALLE,2014-09-19,48.9387
ALLE,2014-09-22,48.8112
ALLE,2014-09-23,48.6468
ALLE,2014-09-24,48.4905
ALLE,2014-09-25,48.3142
ALLE,2014-09-26,48.1687
ALLE,2014-09-29,48.0099
ALLE,2014-09-30,47.7943
ALLE,2014-10-01,47.5886
ALLE,2014-10-02,47.381
ALLE,2014-10-03,47.2266
ALLE,2014-10-06,47.0584
ALLE,2014-10-07,46.818
ALLE,2014-10-08,46.5986
ALLE,2014-10-09,46.3484
ALLE,2014-10-10,46.1293
ALLE,2014-10-13,45.8695
ALLE,2014-10-14,45.5831
ALLE,2014-10-15,45.33
ALLE,2014-10-16,45.1266
ALLE,2014-10-17,44.9791
ALLE,2014-10-20,44.8701
ALLE,2014-10-21,44.8374
ALLE,2014-10-22,44.7473
ALLE,2014-10-23,44.7587
ALLE,2014-10-24,44.7928
ALLE,2014-10-27,44.8473
ALLE,2014-10-28,44.9687
ALLE,2014-10-29,45.0882
ALLE,2014-10-30,45.3143
ALLE,2014-10-31,45.5016
ALLE,2014-11-03,45.7311
ALLE,2014-11-04,46.0407
ALLE,2014-11-05,46.3161
ALLE,2014-11-06,46.6347
ALLE,2014-11-07,46.9529
ALLE,2014-11-10,47.3018
ALLE,2014-11-11,47.6555
ALLE,2014-11-12,47.9769
ALLE,2014-11-13,48.2515
ALLE,2014-11-14,48.5132
ALLE,2014-11-17,48.7948
ALLE,2014-11-18,49.0622
ALLE,2014-11-19,49.3893
ALLE,2014-11-20,49.6567
ALLE,2014-11-21,49.8976
ALLE,2014-11-24,50.1251
ALLE,2014-11-25,50.2849
ALLE,2014-11-26,50.4163
ALLE,2014-11-28,50.4736
ALLE,2014-12-01,50.5025
ALLE,2014-12-02,50.5466
ALLE,2014-12-03,50.6211
ALLE,2014-12-04,50.6941
ALLE,2014-12-05,50.7951
ALLE,2014-12-08,50.8875
ALLE,2014-12-09,50.9975
ALLE,2014-12-10,51.0748
ALLE,2014-12-11,51.1549
ALLE,2014-12-12,51.2388
ALLE,2014-12-15,51.3104
ALLE,2014-12-16,51.3422
ALLE,2014-12-17,51.3574
ALLE,2014-12-18,51.4063
ALLE,2014-12-19,51.4528
ALLE,2014-12-22,51.5236
ALLE,2014-12-23,51.6095
ALLE,2014-12-24,51.7159
ALLE,2014-12-26,51.8426
ALLE,2014-12-29,51.9442
ALLE,2014-12-30,52.041
ALLE,2014-12-31,52.0971
ALLE,2015-01-02,52.1181
ALLE,2015-01-05,52.1385
ALLE,2015-01-06,52.1092
ALLE,2015-01-07,52.1458
ALLE,2015-01-08,52.2138
ALLE,2015-01-09,52.2998
ALLE,2015-01-12,52.3416
ALLE,2015-01-13,52.4028
ALLE,2015-01-14,52.4802
ALLE,2015-01-15,52.4978
ALLE,2015-01-16,52.4627
ALLE,2015-01-20,52.3601
ALLE,2015-01-21,52.2618
ALLE,2015-01-22,52.2024
ALLE,2015-01-23,52.1455
