SYMB,DATE,SMA
ALXN,1999-11-29,3.6526
ALXN,1999-11-30,3.7042
ALXN,1999-12-01,3.7605
ALXN,1999-12-02,3.823
ALXN,1999-12-03,3.8699
ALXN,1999-12-06,3.9151
ALXN,1999-12-07,3.9557
ALXN,1999-12-08,4.0002
ALXN,1999-12-09,4.048
ALXN,1999-12-10,4.0949
ALXN,1999-12-13,4.1487
ALXN,1999-12-14,4.2043
ALXN,1999-12-15,4.2612
ALXN,1999-12-16,4.3066
ALXN,1999-12-17,4.3504
ALXN,1999-12-20,4.3864
ALXN,1999-12-21,4.4785
ALXN,1999-12-22,4.5519
ALXN,1999-12-23,4.6199
ALXN,1999-12-27,4.7136
ALXN,1999-12-28,4.8417
ALXN,1999-12-29,5.016
ALXN,1999-12-30,5.1614
ALXN,1999-12-31,5.3114
ALXN,2000-01-03,5.4676
ALXN,2000-01-04,5.5989
ALXN,2000-01-05,5.7457
ALXN,2000-01-06,5.9207
ALXN,2000-01-07,6.1222
ALXN,2000-01-10,6.3239
ALXN,2000-01-11,6.477
ALXN,2000-01-12,6.6224
ALXN,2000-01-13,6.8302
ALXN,2000-01-14,7.049
ALXN,2000-01-18,7.2435
ALXN,2000-01-19,7.4404
ALXN,2000-01-20,7.6233
ALXN,2000-01-21,7.8874
ALXN,2000-01-24,8.1756
ALXN,2000-01-25,8.446
ALXN,2000-01-26,8.7132
ALXN,2000-01-27,8.9155
ALXN,2000-01-28,9.1451
ALXN,2000-01-31,9.3154
ALXN,2000-02-01,9.5014
ALXN,2000-02-02,9.7858
ALXN,2000-02-03,10.1279
ALXN,2000-02-04,10.4232
ALXN,2000-02-07,10.6819
ALXN,2000-02-08,10.9107
ALXN,2000-02-09,11.1842
ALXN,2000-02-10,11.5124
ALXN,2000-02-11,11.8607
ALXN,2000-02-14,12.2091
ALXN,2000-02-15,12.7334
ALXN,2000-02-16,13.399
ALXN,2000-02-17,13.9521
ALXN,2000-02-18,14.3505
ALXN,2000-02-22,14.7014
ALXN,2000-02-23,15.056
ALXN,2000-02-24,15.4387
ALXN,2000-02-25,15.8552
ALXN,2000-02-28,16.2975
ALXN,2000-02-29,16.8162
ALXN,2000-03-01,17.7052
ALXN,2000-03-02,18.2834
ALXN,2000-03-03,18.8287
ALXN,2000-03-06,19.4009
ALXN,2000-03-07,20.0047
ALXN,2000-03-08,20.6167
ALXN,2000-03-09,21.1776
ALXN,2000-03-10,21.6416
ALXN,2000-03-13,21.9822
ALXN,2000-03-14,22.1635
ALXN,2000-03-15,22.1385
ALXN,2000-03-16,22.0104
ALXN,2000-03-17,22.04
ALXN,2000-03-20,22.0541
ALXN,2000-03-21,21.99
ALXN,2000-03-22,22.0361
ALXN,2000-03-23,22.0611
ALXN,2000-03-24,22.04
ALXN,2000-03-27,22.0634
ALXN,2000-03-28,22.0595
ALXN,2000-03-29,21.4892
ALXN,2000-03-30,20.8806
ALXN,2000-03-31,20.5071
ALXN,2000-04-03,20.0365
ALXN,2000-04-04,19.474
ALXN,2000-04-05,19.005
ALXN,2000-04-06,18.5956
ALXN,2000-04-07,18.205
ALXN,2000-04-10,17.8355
ALXN,2000-04-11,17.634
ALXN,2000-04-12,17.4106
ALXN,2000-04-13,17.145
ALXN,2000-04-14,16.7044
ALXN,2000-04-17,16.2621
ALXN,2000-04-18,15.9825
ALXN,2000-04-19,15.4981
ALXN,2000-04-20,14.9731
ALXN,2000-04-24,14.4832
ALXN,2000-04-25,13.9027
ALXN,2000-04-26,13.2847
ALXN,2000-04-27,12.8597
ALXN,2000-04-28,12.8169
ALXN,2000-05-01,12.6529
ALXN,2000-05-02,12.531
ALXN,2000-05-03,12.4199
ALXN,2000-05-04,12.2636
ALXN,2000-05-05,12.1074
ALXN,2000-05-08,11.9199
ALXN,2000-05-09,11.7141
ALXN,2000-05-10,11.3875
ALXN,2000-05-11,11.1616
ALXN,2000-05-12,10.9397
ALXN,2000-05-15,10.7632
ALXN,2000-05-16,10.793
ALXN,2000-05-17,10.7617
ALXN,2000-05-18,10.7891
ALXN,2000-05-19,10.8095
ALXN,2000-05-22,10.797
ALXN,2000-05-23,10.7604
ALXN,2000-05-24,10.7541
ALXN,2000-05-25,10.7072
ALXN,2000-05-26,10.5604
ALXN,2000-05-30,10.3017
ALXN,2000-05-31,10.0986
ALXN,2000-06-01,9.9754
ALXN,2000-06-02,9.8894
ALXN,2000-06-05,9.78
ALXN,2000-06-06,9.7737
ALXN,2000-06-07,9.8052
ALXN,2000-06-08,9.935
ALXN,2000-06-09,10.0569
ALXN,2000-06-12,10.156
ALXN,2000-06-13,10.2591
ALXN,2000-06-14,10.2575
ALXN,2000-06-15,10.2325
ALXN,2000-06-16,10.245
ALXN,2000-06-19,10.3402
ALXN,2000-06-20,10.4965
ALXN,2000-06-21,10.748
ALXN,2000-06-22,11.0199
ALXN,2000-06-23,11.3432
ALXN,2000-06-26,11.7807
ALXN,2000-06-27,12.101
ALXN,2000-06-28,12.4635
ALXN,2000-06-29,12.8385
ALXN,2000-06-30,13.1885
ALXN,2000-07-03,13.5104
ALXN,2000-07-05,13.8322
ALXN,2000-07-06,14.1565
ALXN,2000-07-07,14.508
ALXN,2000-07-10,14.8659
ALXN,2000-07-11,15.2245
ALXN,2000-07-12,15.6627
ALXN,2000-07-13,16.0487
ALXN,2000-07-14,16.4065
ALXN,2000-07-17,16.8517
ALXN,2000-07-18,17.219
ALXN,2000-07-19,17.5252
