SYMB,DATE,SMA
AMD,1999-11-29,12.3672
AMD,1999-11-30,12.5657
AMD,1999-12-01,12.7392
AMD,1999-12-02,12.969
AMD,1999-12-03,13.2282
AMD,1999-12-06,13.483
AMD,1999-12-07,13.7408
AMD,1999-12-08,13.958
AMD,1999-12-09,14.1175
AMD,1999-12-10,14.1425
AMD,1999-12-13,14.2053
AMD,1999-12-14,14.257
AMD,1999-12-15,14.2915
AMD,1999-12-16,14.3618
AMD,1999-12-17,14.4493
AMD,1999-12-20,14.5023
AMD,1999-12-21,14.5803
AMD,1999-12-22,14.6303
AMD,1999-12-23,14.6648
AMD,1999-12-27,14.696
AMD,1999-12-28,14.6523
AMD,1999-12-29,14.657
AMD,1999-12-30,14.6805
AMD,1999-12-31,14.6415
AMD,2000-01-03,14.59
AMD,2000-01-04,14.5353
AMD,2000-01-05,14.4743
AMD,2000-01-06,14.5305
AMD,2000-01-07,14.6085
AMD,2000-01-10,14.7523
AMD,2000-01-11,14.877
AMD,2000-01-12,15.0925
AMD,2000-01-13,15.358
AMD,2000-01-14,15.63
AMD,2000-01-18,15.8675
AMD,2000-01-19,16.116
AMD,2000-01-20,16.3395
AMD,2000-01-21,16.5663
AMD,2000-01-24,16.713
AMD,2000-01-25,16.9895
AMD,2000-01-26,17.1958
AMD,2000-01-27,17.4083
AMD,2000-01-28,17.5785
AMD,2000-01-31,17.755
AMD,2000-02-01,17.9455
AMD,2000-02-02,18.1157
AMD,2000-02-03,18.358
AMD,2000-02-04,18.522
AMD,2000-02-07,18.7422
AMD,2000-02-08,18.9017
AMD,2000-02-09,19.1017
AMD,2000-02-10,19.258
AMD,2000-02-11,19.4517
AMD,2000-02-14,19.5235
AMD,2000-02-15,19.636
AMD,2000-02-16,19.75
AMD,2000-02-17,19.85
AMD,2000-02-18,19.978
AMD,2000-02-22,20.1607
AMD,2000-02-23,20.1872
AMD,2000-02-24,20.3262
AMD,2000-02-25,20.4152
AMD,2000-02-28,20.4777
