SYMB,DATE,SMA
AMZN,1999-11-29,75.801
AMZN,1999-11-30,76.5975
AMZN,1999-12-01,77.5255
AMZN,1999-12-02,78.688
AMZN,1999-12-03,79.863
AMZN,1999-12-06,80.985
AMZN,1999-12-07,81.388
AMZN,1999-12-08,82.2475
AMZN,1999-12-09,83.8275
AMZN,1999-12-10,85.5125
AMZN,1999-12-13,86.8905
AMZN,1999-12-14,87.997
AMZN,1999-12-15,88.875
AMZN,1999-12-16,89.794
AMZN,1999-12-17,90.6
AMZN,1999-12-20,91.553
AMZN,1999-12-21,92.522
AMZN,1999-12-22,93.319
AMZN,1999-12-23,93.4565
AMZN,1999-12-27,92.8565
AMZN,1999-12-28,92.45
AMZN,1999-12-29,92.372
AMZN,1999-12-30,92.075
AMZN,1999-12-31,91.4285
AMZN,2000-01-03,91.5695
AMZN,2000-01-04,91.2975
AMZN,2000-01-05,90.582
AMZN,2000-01-06,89.46
AMZN,2000-01-07,87.758
AMZN,2000-01-10,85.8825
AMZN,2000-01-11,84.095
AMZN,2000-01-12,82.4915
AMZN,2000-01-13,80.9635
AMZN,2000-01-14,79.432
AMZN,2000-01-18,77.9355
AMZN,2000-01-19,76.426
AMZN,2000-01-20,74.6695
AMZN,2000-01-21,72.888
AMZN,2000-01-24,71.8945
AMZN,2000-01-25,71.3005
AMZN,2000-01-26,70.4255
AMZN,2000-01-27,69.5975
AMZN,2000-01-28,68.729
AMZN,2000-01-31,68.1505
AMZN,2000-02-01,67.0535
AMZN,2000-02-02,66.4285
AMZN,2000-02-03,67.0505
AMZN,2000-02-04,67.7005
AMZN,2000-02-07,67.9725
AMZN,2000-02-08,68.6695
AMZN,2000-02-09,69.3445
AMZN,2000-02-10,69.976
AMZN,2000-02-11,70.4885
AMZN,2000-02-14,70.998
AMZN,2000-02-15,71.482
AMZN,2000-02-16,71.676
AMZN,2000-02-17,71.8885
AMZN,2000-02-18,72.023
AMZN,2000-02-22,71.6945
AMZN,2000-02-23,71.754
AMZN,2000-02-24,71.9355
AMZN,2000-02-25,72.045
AMZN,2000-02-28,72.248
AMZN,2000-02-29,72.464
AMZN,2000-03-01,72.386
AMZN,2000-03-02,72.042
AMZN,2000-03-03,70.9575
AMZN,2000-03-06,70.2265
AMZN,2000-03-07,69.6515
AMZN,2000-03-08,68.6765
AMZN,2000-03-09,68.1045
AMZN,2000-03-10,67.639
AMZN,2000-03-13,67.095
AMZN,2000-03-14,66.6545
