SYMB,DATE,SMA
APD,1999-11-29,18.426
APD,1999-11-30,18.5585
APD,1999-12-01,18.6849
APD,1999-12-02,18.8499
APD,1999-12-03,18.969
APD,1999-12-06,19.1128
APD,1999-12-07,19.2469
APD,1999-12-08,19.4003
APD,1999-12-09,19.5248
APD,1999-12-10,19.642
APD,1999-12-13,19.6227
APD,1999-12-14,19.615
APD,1999-12-15,19.5613
APD,1999-12-16,19.4788
APD,1999-12-17,19.427
APD,1999-12-20,19.3886
APD,1999-12-21,19.3196
APD,1999-12-22,19.2297
APD,1999-12-23,19.1816
APD,1999-12-27,19.1414
APD,1999-12-28,19.13
APD,1999-12-29,19.1644
APD,1999-12-30,19.1914
APD,1999-12-31,19.2254
APD,2000-01-03,19.267
APD,2000-01-04,19.2818
APD,2000-01-05,19.3158
APD,2000-01-06,19.3981
APD,2000-01-07,19.5594
APD,2000-01-10,19.6454
APD,2000-01-11,19.7179
APD,2000-01-12,19.7731
APD,2000-01-13,19.8359
APD,2000-01-14,19.8854
APD,2000-01-18,19.8711
APD,2000-01-19,19.886
APD,2000-01-20,19.9084
APD,2000-01-21,19.9074
APD,2000-01-24,19.8933
APD,2000-01-25,19.9039
APD,2000-01-26,19.9128
APD,2000-01-27,19.8375
APD,2000-01-28,19.7406
APD,2000-01-31,19.6194
APD,2000-02-01,19.5521
APD,2000-02-02,19.508
APD,2000-02-03,19.4772
APD,2000-02-04,19.377
APD,2000-02-07,19.2015
APD,2000-02-08,19.0763
APD,2000-02-09,18.9511
APD,2000-02-10,18.791
APD,2000-02-11,18.6041
APD,2000-02-14,18.4903
APD,2000-02-15,18.4345
APD,2000-02-16,18.3475
APD,2000-02-17,18.3049
APD,2000-02-18,18.247
APD,2000-02-22,18.1736
APD,2000-02-23,18.0542
APD,2000-02-24,17.8963
APD,2000-02-25,17.7498
APD,2000-02-28,17.6363
APD,2000-02-29,17.5166
APD,2000-03-01,17.372
APD,2000-03-02,17.2215
APD,2000-03-03,17.0846
APD,2000-03-06,16.9128
APD,2000-03-07,16.7086
APD,2000-03-08,16.5427
APD,2000-03-09,16.4249
APD,2000-03-10,16.3287
APD,2000-03-13,16.2593
APD,2000-03-14,16.1418
APD,2000-03-15,16.0918
APD,2000-03-16,16.1421
APD,2000-03-17,16.1131
APD,2000-03-20,16.1421
APD,2000-03-21,16.1634
APD,2000-03-22,16.1593
APD,2000-03-23,16.2189
APD,2000-03-24,16.3055
APD,2000-03-27,16.3613
APD,2000-03-28,16.4326
APD,2000-03-29,16.5097
APD,2000-03-30,16.6155
APD,2000-03-31,16.6867
APD,2000-04-03,16.8411
APD,2000-04-04,17.0183
APD,2000-04-05,17.1746
APD,2000-04-06,17.3268
APD,2000-04-07,17.4654
APD,2000-04-10,17.6175
APD,2000-04-11,17.8104
APD,2000-04-12,17.9494
APD,2000-04-13,17.9667
APD,2000-04-14,18.0148
APD,2000-04-17,18.0786
APD,2000-04-18,18.1114
APD,2000-04-19,18.142
APD,2000-04-20,18.1962
APD,2000-04-24,18.2831
APD,2000-04-25,18.4378
APD,2000-04-26,18.5286
APD,2000-04-27,18.6057
APD,2000-04-28,18.6774
APD,2000-05-01,18.7743
APD,2000-05-02,18.8342
APD,2000-05-03,18.8593
APD,2000-05-04,18.8999
APD,2000-05-05,18.9564
APD,2000-05-08,19.0185
APD,2000-05-09,19.0455
APD,2000-05-10,19.0533
APD,2000-05-11,19.1482
APD,2000-05-12,19.3248
APD,2000-05-15,19.507
APD,2000-05-16,19.6367
APD,2000-05-17,19.7878
APD,2000-05-18,20.0079
APD,2000-05-19,20.1978
APD,2000-05-22,20.3539
APD,2000-05-23,20.5364
APD,2000-05-24,20.7381
APD,2000-05-25,20.8874
APD,2000-05-26,20.9922
APD,2000-05-30,21.0875
APD,2000-05-31,21.1828
APD,2000-06-01,21.3612
APD,2000-06-02,21.5301
APD,2000-06-05,21.6734
APD,2000-06-06,21.7957
APD,2000-06-07,21.9257
APD,2000-06-08,22.0052
APD,2000-06-09,21.9742
APD,2000-06-12,21.9102
APD,2000-06-13,21.8755
APD,2000-06-14,21.8873
APD,2000-06-15,21.9046
APD,2000-06-16,21.8978
APD,2000-06-19,21.8398
APD,2000-06-20,21.7051
APD,2000-06-21,21.4761
APD,2000-06-22,21.2939
APD,2000-06-23,21.1524
APD,2000-06-26,21.0497
APD,2000-06-27,21.005
APD,2000-06-28,20.9476
APD,2000-06-29,20.8411
APD,2000-06-30,20.672
APD,2000-07-03,20.5264
APD,2000-07-05,20.4157
APD,2000-07-06,20.309
APD,2000-07-07,20.2058
APD,2000-07-10,20.093
APD,2000-07-11,19.9995
APD,2000-07-12,19.8944
APD,2000-07-13,19.7895
APD,2000-07-14,19.6906
APD,2000-07-17,19.5739
APD,2000-07-18,19.463
APD,2000-07-19,19.3967
APD,2000-07-20,19.377
APD,2000-07-21,19.3827
APD,2000-07-24,19.4195
APD,2000-07-25,19.472
APD,2000-07-26,19.4605
APD,2000-07-27,19.4558
APD,2000-07-28,19.4655
APD,2000-07-31,19.5457
APD,2000-08-01,19.616
APD,2000-08-02,19.6725
APD,2000-08-03,19.7699
APD,2000-08-04,19.8869
APD,2000-08-07,20.0196
APD,2000-08-08,20.1444
APD,2000-08-09,20.2849
APD,2000-08-10,20.3901
APD,2000-08-11,20.5053
APD,2000-08-14,20.6595
APD,2000-08-15,20.8252
APD,2000-08-16,21.0144
APD,2000-08-17,21.2173
APD,2000-08-18,21.3481
APD,2000-08-21,21.4614
APD,2000-08-22,21.555
APD,2000-08-23,21.6855
APD,2000-08-24,21.8219
APD,2000-08-25,21.9624
APD,2000-08-28,22.091
APD,2000-08-29,22.2292
APD,2000-08-30,22.3444
APD,2000-08-31,22.4171
APD,2000-09-01,22.4971
APD,2000-09-05,22.6022
APD,2000-09-06,22.7427
APD,2000-09-07,22.8167
APD,2000-09-08,22.8713
APD,2000-09-11,22.8847
APD,2000-09-12,22.8769
APD,2000-09-13,22.8535
APD,2000-09-14,22.8301
APD,2000-09-15,22.7677
APD,2000-09-18,22.7237
APD,2000-09-19,22.6787
APD,2000-09-20,22.6122
APD,2000-09-21,22.507
APD,2000-09-22,22.4
APD,2000-09-25,22.2714
APD,2000-09-26,22.1328
APD,2000-09-27,21.9982
APD,2000-09-28,21.9514
APD,2000-09-29,21.9472
APD,2000-10-02,21.9298
APD,2000-10-03,21.9167
APD,2000-10-04,21.8623
APD,2000-10-05,21.8962
APD,2000-10-06,21.9669
APD,2000-10-09,22.0554
APD,2000-10-10,22.1496
APD,2000-10-11,22.2534
APD,2000-10-12,22.3104
APD,2000-10-13,22.3477
APD,2000-10-16,22.425
APD,2000-10-17,22.4838
APD,2000-10-18,22.5582
APD,2000-10-19,22.5481
APD,2000-10-20,22.5478
APD,2000-10-23,22.5729
APD,2000-10-24,22.6805
APD,2000-10-25,22.7821
APD,2000-10-26,22.7997
APD,2000-10-27,22.8116
APD,2000-10-30,22.8352
APD,2000-10-31,22.8468
APD,2000-11-01,22.8389
APD,2000-11-02,22.7897
APD,2000-11-03,22.7231
APD,2000-11-06,22.6428
APD,2000-11-07,22.5703
APD,2000-11-08,22.5213
APD,2000-11-09,22.4937
APD,2000-11-10,22.4526
APD,2000-11-13,22.3861
APD,2000-11-14,22.3428
APD,2000-11-15,22.3095
APD,2000-11-16,22.3155
APD,2000-11-17,22.3155
APD,2000-11-20,22.296
APD,2000-11-21,22.2
APD,2000-11-22,22.1058
APD,2000-11-24,22.0412
APD,2000-11-27,21.9587
APD,2000-11-28,21.8607
APD,2000-11-29,21.7688
APD,2000-11-30,21.6944
APD,2000-12-01,21.6593
APD,2000-12-04,21.6847
APD,2000-12-05,21.7139
APD,2000-12-06,21.7079
APD,2000-12-07,21.6784
APD,2000-12-08,21.6825
APD,2000-12-11,21.7195
APD,2000-12-12,21.7823
APD,2000-12-13,21.857
APD,2000-12-14,21.904
APD,2000-12-15,21.9706
APD,2000-12-18,22.0606
APD,2000-12-19,22.2019
APD,2000-12-20,22.3236
APD,2000-12-21,22.4805
APD,2000-12-22,22.6729
APD,2000-12-26,22.8967
APD,2000-12-27,23.1694
APD,2000-12-28,23.4085
APD,2000-12-29,23.6202
APD,2001-01-02,23.7908
APD,2001-01-03,23.9221
APD,2001-01-04,24.0771
APD,2001-01-05,24.2398
APD,2001-01-08,24.4085
APD,2001-01-09,24.5139
APD,2001-01-10,24.6353
APD,2001-01-11,24.6935
APD,2001-01-12,24.7164
APD,2001-01-16,24.7568
APD,2001-01-17,24.8133
APD,2001-01-18,24.8207
APD,2001-01-19,24.7649
APD,2001-01-22,24.7444
APD,2001-01-23,24.6789
APD,2001-01-24,24.5919
APD,2001-01-25,24.4874
APD,2001-01-26,24.3122
APD,2001-01-29,24.1624
APD,2001-01-30,24.0691
APD,2001-01-31,23.9849
APD,2001-02-01,23.8967
APD,2001-02-02,23.7914
APD,2001-02-05,23.7324
APD,2001-02-06,23.6587
APD,2001-02-07,23.6416
APD,2001-02-08,23.6432
APD,2001-02-09,23.6732
APD,2001-02-12,23.722
APD,2001-02-13,23.7923
APD,2001-02-14,23.8733
APD,2001-02-15,23.978
APD,2001-02-16,24.0846
APD,2001-02-20,24.2091
APD,2001-02-21,24.291
APD,2001-02-22,24.3465
APD,2001-02-23,24.3459
APD,2001-02-26,24.4231
APD,2001-02-27,24.4947
APD,2001-02-28,24.5738
APD,2001-03-01,24.6432
APD,2001-03-02,24.7141
APD,2001-03-05,24.7923
APD,2001-03-06,24.8834
APD,2001-03-07,25.0123
APD,2001-03-08,25.1457
APD,2001-03-09,25.2466
APD,2001-03-12,25.3153
APD,2001-03-13,25.3724
APD,2001-03-14,25.3906
APD,2001-03-15,25.4036
APD,2001-03-16,25.396
APD,2001-03-19,25.4323
APD,2001-03-20,25.4168
APD,2001-03-21,25.4074
APD,2001-03-22,25.3733
APD,2001-03-23,25.4196
APD,2001-03-26,25.4389
APD,2001-03-27,25.4285
APD,2001-03-28,25.3755
APD,2001-03-29,25.3147
APD,2001-03-30,25.264
APD,2001-04-02,25.2435
APD,2001-04-03,25.144
APD,2001-04-04,25.0616
APD,2001-04-05,24.9927
APD,2001-04-06,24.9184
APD,2001-04-09,24.9297
APD,2001-04-10,25.0144
APD,2001-04-11,25.0996
APD,2001-04-12,25.1911
APD,2001-04-16,25.3017
APD,2001-04-17,25.3657
APD,2001-04-18,25.5051
APD,2001-04-19,25.6436
APD,2001-04-20,25.7979
APD,2001-04-23,25.9124
APD,2001-04-24,26.0292
APD,2001-04-25,26.1542
APD,2001-04-26,26.3004
APD,2001-04-27,26.4778
APD,2001-04-30,26.6232
APD,2001-05-01,26.7249
APD,2001-05-02,26.865
APD,2001-05-03,26.9534
APD,2001-05-04,27.038
APD,2001-05-07,27.1213
APD,2001-05-08,27.1884
APD,2001-05-09,27.2043
APD,2001-05-10,27.2661
APD,2001-05-11,27.3139
APD,2001-05-14,27.363
APD,2001-05-15,27.4448
APD,2001-05-16,27.5313
APD,2001-05-17,27.6808
APD,2001-05-18,27.7977
APD,2001-05-21,27.9162
APD,2001-05-22,28.0262
APD,2001-05-23,28.1291
APD,2001-05-24,28.1849
APD,2001-05-25,28.2628
APD,2001-05-29,28.369
APD,2001-05-30,28.4707
APD,2001-05-31,28.5933
APD,2001-06-01,28.7444
APD,2001-06-04,28.8854
APD,2001-06-05,29.046
APD,2001-06-06,29.1851
APD,2001-06-07,29.3192
APD,2001-06-08,29.4171
APD,2001-06-11,29.5165
APD,2001-06-12,29.6015
