SYMB,DATE,SMA
ARE,1999-11-29,14.0959
ARE,1999-11-30,14.1002
ARE,1999-12-01,14.1016
ARE,1999-12-02,14.0793
ARE,1999-12-03,14.063
ARE,1999-12-06,14.0435
ARE,1999-12-07,14.0229
ARE,1999-12-08,14.0156
ARE,1999-12-09,14.0096
ARE,1999-12-10,13.9978
ARE,1999-12-13,13.9695
ARE,1999-12-14,13.9413
ARE,1999-12-15,13.919
ARE,1999-12-16,13.8863
ARE,1999-12-17,13.864
ARE,1999-12-20,13.8358
ARE,1999-12-21,13.8047
ARE,1999-12-22,13.7855
ARE,1999-12-23,13.7708
ARE,1999-12-27,13.768
ARE,1999-12-28,13.7917
ARE,1999-12-29,13.8273
ARE,1999-12-30,13.8851
ARE,1999-12-31,13.9515
ARE,2000-01-03,14.0075
ARE,2000-01-04,14.0529
ARE,2000-01-05,14.0846
ARE,2000-01-06,14.0895
ARE,2000-01-07,14.1155
ARE,2000-01-10,14.1549
ARE,2000-01-11,14.2033
ARE,2000-01-12,14.2471
ARE,2000-01-13,14.2909
ARE,2000-01-14,14.3495
ARE,2000-01-18,14.3919
ARE,2000-01-19,14.4386
ARE,2000-01-20,14.4853
ARE,2000-01-21,14.5218
ARE,2000-01-24,14.5579
ARE,2000-01-25,14.5867
ARE,2000-01-26,14.5889
ARE,2000-01-27,14.5808
ARE,2000-01-28,14.5324
ARE,2000-01-31,14.4768
ARE,2000-02-01,14.4408
ARE,2000-02-02,14.4228
ARE,2000-02-03,14.4093
ARE,2000-02-04,14.4122
ARE,2000-02-07,14.3987
ARE,2000-02-08,14.3701
ARE,2000-02-09,14.3386
ARE,2000-02-10,14.3206
ARE,2000-02-11,14.2966
ARE,2000-02-14,14.2802
ARE,2000-02-15,14.2637
ARE,2000-02-16,14.2382
ARE,2000-02-17,14.2156
ARE,2000-02-18,14.2079
ARE,2000-02-22,14.2019
ARE,2000-02-23,14.2004
ARE,2000-02-24,14.1959
ARE,2000-02-25,14.1795
ARE,2000-02-28,14.1841
ARE,2000-02-29,14.2096
ARE,2000-03-01,14.2307
ARE,2000-03-02,14.2353
ARE,2000-03-03,14.2519
ARE,2000-03-06,14.2639
ARE,2000-03-07,14.2685
ARE,2000-03-08,14.2894
ARE,2000-03-09,14.3194
ARE,2000-03-10,14.3406
ARE,2000-03-13,14.366
ARE,2000-03-14,14.3901
ARE,2000-03-15,14.4156
ARE,2000-03-16,14.4562
ARE,2000-03-17,14.4908
ARE,2000-03-20,14.5148
ARE,2000-03-21,14.542
ARE,2000-03-22,14.572
ARE,2000-03-23,14.6215
ARE,2000-03-24,14.6756
ARE,2000-03-27,14.7268
ARE,2000-03-28,14.7434
ARE,2000-03-29,14.7508
ARE,2000-03-30,14.7689
ARE,2000-03-31,14.7746
ARE,2000-04-03,14.7896
ARE,2000-04-04,14.8242
ARE,2000-04-05,14.8407
ARE,2000-04-06,14.8616
ARE,2000-04-07,14.8947
ARE,2000-04-10,14.937
ARE,2000-04-11,14.9688
ARE,2000-04-12,15.0037
ARE,2000-04-13,15.0417
ARE,2000-04-14,15.0827
ARE,2000-04-17,15.1224
ARE,2000-04-18,15.1574
ARE,2000-04-19,15.1879
ARE,2000-04-20,15.208
ARE,2000-04-24,15.2264
ARE,2000-04-25,15.2374
ARE,2000-04-26,15.2575
ARE,2000-04-27,15.2925
ARE,2000-04-28,15.3336
ARE,2000-05-01,15.3916
ARE,2000-05-02,15.4647
ARE,2000-05-03,15.5149
ARE,2000-05-04,15.5744
ARE,2000-05-05,15.6325
ARE,2000-05-08,15.6783
ARE,2000-05-09,15.727
ARE,2000-05-10,15.7758
ARE,2000-05-11,15.8321
ARE,2000-05-12,15.8733
ARE,2000-05-15,15.9343
ARE,2000-05-16,15.9952
ARE,2000-05-17,16.0606
ARE,2000-05-18,16.1244
ARE,2000-05-19,16.1883
ARE,2000-05-22,16.2522
ARE,2000-05-23,16.307
ARE,2000-05-24,16.3526
ARE,2000-05-25,16.3907
ARE,2000-05-26,16.4287
ARE,2000-05-30,16.4682
ARE,2000-05-31,16.4865
ARE,2000-06-01,16.494
ARE,2000-06-02,16.5094
ARE,2000-06-05,16.5184
ARE,2000-06-06,16.5503
ARE,2000-06-07,16.5596
ARE,2000-06-08,16.575
ARE,2000-06-09,16.5767
ARE,2000-06-12,16.5903
ARE,2000-06-13,16.5842
ARE,2000-06-14,16.5796
ARE,2000-06-15,16.5767
ARE,2000-06-16,16.5615
ARE,2000-06-19,16.554
ARE,2000-06-20,16.5511
ARE,2000-06-21,16.5615
ARE,2000-06-22,16.5891
ARE,2000-06-23,16.6135
ARE,2000-06-26,16.6303
ARE,2000-06-27,16.644
ARE,2000-06-28,16.6637
ARE,2000-06-29,16.7003
ARE,2000-06-30,16.7332
ARE,2000-07-03,16.7666
