SYMB,DATE,SMA
ATVI,1999-11-29,1.1091
ATVI,1999-11-30,1.1127
ATVI,1999-12-01,1.1181
ATVI,1999-12-02,1.1223
ATVI,1999-12-03,1.1258
ATVI,1999-12-06,1.1267
ATVI,1999-12-07,1.121
ATVI,1999-12-08,1.1168
ATVI,1999-12-09,1.1156
ATVI,1999-12-10,1.1189
ATVI,1999-12-13,1.1281
ATVI,1999-12-14,1.137
ATVI,1999-12-15,1.1454
ATVI,1999-12-16,1.155
ATVI,1999-12-17,1.1571
ATVI,1999-12-20,1.1618
ATVI,1999-12-21,1.1611
ATVI,1999-12-22,1.1557
ATVI,1999-12-23,1.1503
ATVI,1999-12-27,1.1466
ATVI,1999-12-28,1.1482
ATVI,1999-12-29,1.1489
ATVI,1999-12-30,1.1446
ATVI,1999-12-31,1.1435
ATVI,2000-01-03,1.1468
ATVI,2000-01-04,1.148
ATVI,2000-01-05,1.1536
ATVI,2000-01-06,1.1583
ATVI,2000-01-07,1.163
ATVI,2000-01-10,1.1676
ATVI,2000-01-11,1.172
ATVI,2000-01-12,1.1736
ATVI,2000-01-13,1.1762
ATVI,2000-01-14,1.1778
ATVI,2000-01-18,1.1848
ATVI,2000-01-19,1.1904
ATVI,2000-01-20,1.1932
ATVI,2000-01-21,1.1953
ATVI,2000-01-24,1.1986
ATVI,2000-01-25,1.199
ATVI,2000-01-26,1.1986
ATVI,2000-01-27,1.2061
ATVI,2000-01-28,1.2128
ATVI,2000-01-31,1.214
ATVI,2000-02-01,1.2156
ATVI,2000-02-02,1.221
ATVI,2000-02-03,1.2268
ATVI,2000-02-04,1.2271
ATVI,2000-02-07,1.2229
ATVI,2000-02-08,1.2147
ATVI,2000-02-09,1.2029
ATVI,2000-02-10,1.1936
ATVI,2000-02-11,1.1852
ATVI,2000-02-14,1.1756
ATVI,2000-02-15,1.1644
ATVI,2000-02-16,1.1542
ATVI,2000-02-17,1.1475
ATVI,2000-02-18,1.1415
ATVI,2000-02-22,1.1354
ATVI,2000-02-23,1.13
ATVI,2000-02-24,1.1197
ATVI,2000-02-25,1.1031
ATVI,2000-02-28,1.0889
ATVI,2000-02-29,1.0779
ATVI,2000-03-01,1.069
ATVI,2000-03-02,1.0583
ATVI,2000-03-03,1.048
ATVI,2000-03-06,1.0429
ATVI,2000-03-07,1.0382
ATVI,2000-03-08,1.0324
ATVI,2000-03-09,1.0321
ATVI,2000-03-10,1.0316
ATVI,2000-03-13,1.0267
ATVI,2000-03-14,1.0248
ATVI,2000-03-15,1.0211
ATVI,2000-03-16,1.0173
ATVI,2000-03-17,1.0138
ATVI,2000-03-20,1.0138
ATVI,2000-03-21,1.014
ATVI,2000-03-22,1.0152
ATVI,2000-03-23,1.0143
ATVI,2000-03-24,1.0176
ATVI,2000-03-27,1.0197
ATVI,2000-03-28,1.0215
ATVI,2000-03-29,1.0164
ATVI,2000-03-30,1.0103
ATVI,2000-03-31,1.0001
ATVI,2000-04-03,0.9879
ATVI,2000-04-04,0.9762
ATVI,2000-04-05,0.9669
ATVI,2000-04-06,0.9543
ATVI,2000-04-07,0.9309
ATVI,2000-04-10,0.9104
ATVI,2000-04-11,0.8848
ATVI,2000-04-12,0.8622
ATVI,2000-04-13,0.8393
ATVI,2000-04-14,0.8147
ATVI,2000-04-17,0.7881
ATVI,2000-04-18,0.7615
ATVI,2000-04-19,0.7348
ATVI,2000-04-20,0.7117
ATVI,2000-04-24,0.6853
ATVI,2000-04-25,0.6621
ATVI,2000-04-26,0.6377
ATVI,2000-04-27,0.614
ATVI,2000-04-28,0.5892
ATVI,2000-05-01,0.5675
ATVI,2000-05-02,0.5514
ATVI,2000-05-03,0.5363
ATVI,2000-05-04,0.5222
ATVI,2000-05-05,0.5084
ATVI,2000-05-08,0.5063
ATVI,2000-05-09,0.5034
ATVI,2000-05-10,0.5001
ATVI,2000-05-11,0.4993
ATVI,2000-05-12,0.4993
ATVI,2000-05-15,0.5023
ATVI,2000-05-16,0.5051
ATVI,2000-05-17,0.5077
ATVI,2000-05-18,0.5094
ATVI,2000-05-19,0.5097
ATVI,2000-05-22,0.508
ATVI,2000-05-23,0.5057
ATVI,2000-05-24,0.5051
ATVI,2000-05-25,0.5034
ATVI,2000-05-26,0.503
ATVI,2000-05-30,0.5035
ATVI,2000-05-31,0.5011
ATVI,2000-06-01,0.4996
ATVI,2000-06-02,0.5002
ATVI,2000-06-05,0.4984
ATVI,2000-06-06,0.4953
ATVI,2000-06-07,0.4929
ATVI,2000-06-08,0.495
ATVI,2000-06-09,0.4943
ATVI,2000-06-12,0.4921
ATVI,2000-06-13,0.488
ATVI,2000-06-14,0.4847
ATVI,2000-06-15,0.4816
ATVI,2000-06-16,0.4796
ATVI,2000-06-19,0.4777
ATVI,2000-06-20,0.4777
ATVI,2000-06-21,0.477
ATVI,2000-06-22,0.4752
ATVI,2000-06-23,0.4736
ATVI,2000-06-26,0.474
ATVI,2000-06-27,0.4735
ATVI,2000-06-28,0.4731
ATVI,2000-06-29,0.4711
ATVI,2000-06-30,0.469
ATVI,2000-07-03,0.4673
ATVI,2000-07-05,0.4662
ATVI,2000-07-06,0.4657
ATVI,2000-07-07,0.4677
ATVI,2000-07-10,0.4726
ATVI,2000-07-11,0.4769
ATVI,2000-07-12,0.4834
ATVI,2000-07-13,0.4891
ATVI,2000-07-14,0.4975
ATVI,2000-07-17,0.5073
ATVI,2000-07-18,0.5173
ATVI,2000-07-19,0.5262
ATVI,2000-07-20,0.5356
ATVI,2000-07-21,0.5446
ATVI,2000-07-24,0.554
ATVI,2000-07-25,0.5617
