SYMB,DATE,SMA
GOOG,2014-04-24,546.4165
GOOG,2014-04-25,544.3025
GOOG,2014-04-28,542.1605
GOOG,2014-04-29,540.697
GOOG,2014-04-30,538.672
GOOG,2014-05-01,536.8895
GOOG,2014-05-02,534.799
GOOG,2014-05-05,534.0325
GOOG,2014-05-06,532.882
GOOG,2014-05-07,530.635
GOOG,2014-05-08,527.978
GOOG,2014-05-09,526.867
GOOG,2014-05-12,526.833
GOOG,2014-05-13,526.8615
GOOG,2014-05-14,526.372
GOOG,2014-05-15,524.544
GOOG,2014-05-16,523.7705
GOOG,2014-05-19,523.7825
GOOG,2014-05-20,523.5305
GOOG,2014-05-21,524.1305
GOOG,2014-05-22,525.1255
GOOG,2014-05-23,526.9515
GOOG,2014-05-27,529.3915
GOOG,2014-05-28,531.0905
GOOG,2014-05-29,532.7615
GOOG,2014-05-30,534.1885
GOOG,2014-06-02,535.4885
GOOG,2014-06-03,536.345
GOOG,2014-06-04,537.821
GOOG,2014-06-05,540.018
GOOG,2014-06-06,542.2845
GOOG,2014-06-09,544.454
GOOG,2014-06-10,545.9855
GOOG,2014-06-11,547.273
GOOG,2014-06-12,548.508
GOOG,2014-06-13,550.097
GOOG,2014-06-16,551.2795
GOOG,2014-06-17,551.987
GOOG,2014-06-18,553.167
GOOG,2014-06-19,553.965
GOOG,2014-06-20,554.53
GOOG,2014-06-23,555.1425
GOOG,2014-06-24,555.076
GOOG,2014-06-25,555.9245
GOOG,2014-06-26,556.7205
GOOG,2014-06-27,557.588
GOOG,2014-06-30,558.6555
GOOG,2014-07-01,560.542
GOOG,2014-07-02,562.4258
GOOG,2014-07-03,563.9673
GOOG,2014-07-07,565.2633
GOOG,2014-07-08,565.7118
GOOG,2014-07-09,566.4883
GOOG,2014-07-10,567.1013
GOOG,2014-07-11,568.4928
GOOG,2014-07-14,570.1483
GOOG,2014-07-15,572.1733
GOOG,2014-07-16,574.1558
GOOG,2014-07-17,575.1737
GOOG,2014-07-18,577.1827
GOOG,2014-07-21,578.8382
GOOG,2014-07-22,580.3277
GOOG,2014-07-23,581.8957
GOOG,2014-07-24,582.6307
GOOG,2014-07-25,583.2817
GOOG,2014-07-28,583.9497
GOOG,2014-07-29,584.4662
GOOG,2014-07-30,584.7037
GOOG,2014-07-31,584.167
GOOG,2014-08-01,583.234
GOOG,2014-08-04,582.779
GOOG,2014-08-05,582.478
GOOG,2014-08-06,581.9927
GOOG,2014-08-07,581.6057
GOOG,2014-08-08,581.0852
GOOG,2014-08-11,580.2357
GOOG,2014-08-12,579.1332
GOOG,2014-08-13,578.7392
GOOG,2014-08-14,578.7852
GOOG,2014-08-15,577.7052
GOOG,2014-08-18,577.3397
GOOG,2014-08-19,576.9457
GOOG,2014-08-20,576.3712
GOOG,2014-08-21,575.8722
GOOG,2014-08-22,575.5492
GOOG,2014-08-25,575.0292
GOOG,2014-08-26,574.6417
GOOG,2014-08-27,573.8207
GOOG,2014-08-28,573.7007
GOOG,2014-08-29,573.9772
GOOG,2014-09-02,574.1862
GOOG,2014-09-03,574.8297
GOOG,2014-09-04,575.61
GOOG,2014-09-05,576.746
GOOG,2014-09-08,577.7935
GOOG,2014-09-09,578.45
GOOG,2014-09-10,579.4685
GOOG,2014-09-11,579.797
GOOG,2014-09-12,579.8455
GOOG,2014-09-15,579.8265
GOOG,2014-09-16,579.716
GOOG,2014-09-17,579.6115
GOOG,2014-09-18,579.8505
GOOG,2014-09-19,580.486
GOOG,2014-09-22,580.7265
GOOG,2014-09-23,580.773
GOOG,2014-09-24,581.2795
GOOG,2014-09-25,581.4825
GOOG,2014-09-26,581.8775
GOOG,2014-09-29,582.1155
GOOG,2014-09-30,582.117
GOOG,2014-10-01,581.6335
GOOG,2014-10-02,581.0385
GOOG,2014-10-03,580.4985
GOOG,2014-10-06,579.88
GOOG,2014-10-07,579.0165
GOOG,2014-10-08,578.4865
GOOG,2014-10-09,577.463
GOOG,2014-10-10,575.9065
GOOG,2014-10-13,573.912
GOOG,2014-10-14,571.8115
GOOG,2014-10-15,569.0745
GOOG,2014-10-16,565.8365
GOOG,2014-10-17,561.591
GOOG,2014-10-20,558.2645
GOOG,2014-10-21,555.535
GOOG,2014-10-22,552.771
GOOG,2014-10-23,551.217
GOOG,2014-10-24,549.351
GOOG,2014-10-27,547.5715
GOOG,2014-10-28,546.1485
GOOG,2014-10-29,545.2015
GOOG,2014-10-30,544.213
GOOG,2014-10-31,543.403
GOOG,2014-11-03,542.2965
GOOG,2014-11-04,541.815
GOOG,2014-11-05,540.486
GOOG,2014-11-06,539.544
GOOG,2014-11-07,539.37
GOOG,2014-11-10,540.084
GOOG,2014-11-11,540.7015
GOOG,2014-11-12,541.5655
GOOG,2014-11-13,542.609
GOOG,2014-11-14,544.2705
GOOG,2014-11-17,545.054
GOOG,2014-11-18,545.4785
GOOG,2014-11-19,545.6925
GOOG,2014-11-20,545.235
GOOG,2014-11-21,545.121
GOOG,2014-11-24,545.046
GOOG,2014-11-25,544.655
GOOG,2014-11-26,544.207
GOOG,2014-11-28,543.783
GOOG,2014-12-01,542.519
GOOG,2014-12-02,541.4455
GOOG,2014-12-03,540.306
GOOG,2014-12-04,539.8755
GOOG,2014-12-05,539.0365
GOOG,2014-12-08,538.335
GOOG,2014-12-09,537.629
GOOG,2014-12-10,536.4175
GOOG,2014-12-11,535.469
GOOG,2014-12-12,534.133
GOOG,2014-12-15,532.603
GOOG,2014-12-16,530.547
GOOG,2014-12-17,529.04
GOOG,2014-12-18,527.7455
GOOG,2014-12-19,526.8215
GOOG,2014-12-22,526.19
GOOG,2014-12-23,525.756
GOOG,2014-12-24,525.1405
GOOG,2014-12-26,524.8235
GOOG,2014-12-29,524.2485
GOOG,2014-12-30,524.0795
GOOG,2014-12-31,523.712
GOOG,2015-01-02,523.3865
GOOG,2015-01-05,522.2145
GOOG,2015-01-06,521.0495
GOOG,2015-01-07,519.7555
GOOG,2015-01-08,518.221
GOOG,2015-01-09,516.7265
GOOG,2015-01-12,514.937
GOOG,2015-01-13,513.813
GOOG,2015-01-14,513.1665
GOOG,2015-01-15,513.4865
GOOG,2015-01-16,513.646
GOOG,2015-01-20,513.436
GOOG,2015-01-21,513.5205
GOOG,2015-01-22,513.9965
GOOG,2015-01-23,514.4645
GOOG,2015-01-26,514.7865
GOOG,2015-01-27,514.0165
GOOG,2015-01-28,513.0
GOOG,2015-01-29,512.012
GOOG,2015-01-30,512.418
GOOG,2015-02-02,512.6015
GOOG,2015-02-03,513.37
GOOG,2015-02-04,514.41
GOOG,2015-02-05,515.734
GOOG,2015-02-06,517.15
GOOG,2015-02-09,518.733
GOOG,2015-02-10,520.9525
GOOG,2015-02-11,522.942
GOOG,2015-02-12,525.045
GOOG,2015-02-13,527.406
GOOG,2015-02-17,529.144
GOOG,2015-02-18,530.784
GOOG,2015-02-19,532.0255
