SYMB,DATE,SMA
GOOGL,2004-09-16,52.8031
GOOGL,2004-09-17,53.2333
GOOGL,2004-09-20,53.5104
GOOGL,2004-09-21,53.7221
GOOGL,2004-09-22,54.0609
GOOGL,2004-09-23,54.4325
GOOGL,2004-09-24,54.7315
GOOGL,2004-09-27,55.0351
GOOGL,2004-09-28,55.6583
GOOGL,2004-09-29,56.3783
GOOGL,2004-09-30,57.1143
GOOGL,2004-10-01,57.8935
GOOGL,2004-10-04,58.7724
GOOGL,2004-10-05,59.695
GOOGL,2004-10-06,60.5672
GOOGL,2004-10-07,61.4835
GOOGL,2004-10-08,62.2961
GOOGL,2004-10-11,62.9922
GOOGL,2004-10-12,63.642
GOOGL,2004-10-13,64.3667
GOOGL,2004-10-14,65.0696
GOOGL,2004-10-15,65.7372
GOOGL,2004-10-18,66.4845
GOOGL,2004-10-19,67.2393
GOOGL,2004-10-20,67.7938
GOOGL,2004-10-21,68.51
GOOGL,2004-10-22,69.8291
GOOGL,2004-10-25,71.5629
GOOGL,2004-10-26,72.9407
GOOGL,2004-10-27,74.3172
GOOGL,2004-10-28,75.9146
GOOGL,2004-10-29,77.3706
GOOGL,2004-11-01,78.8996
GOOGL,2004-11-02,80.3164
GOOGL,2004-11-03,81.6854
GOOGL,2004-11-04,82.8352
GOOGL,2004-11-05,83.6282
GOOGL,2004-11-08,84.5633
GOOGL,2004-11-09,85.3482
GOOGL,2004-11-10,86.0243
GOOGL,2004-11-11,87.053
GOOGL,2004-11-12,88.0032
GOOGL,2004-11-15,88.8987
GOOGL,2004-11-16,89.5157
GOOGL,2004-11-17,90.3184
GOOGL,2004-11-18,90.7738
GOOGL,2004-11-19,90.6979
GOOGL,2004-11-22,90.1386
GOOGL,2004-11-23,89.7805
GOOGL,2004-11-24,89.4994
GOOGL,2004-11-26,89.1506
GOOGL,2004-11-29,88.9101
GOOGL,2004-11-30,88.5577
GOOGL,2004-12-01,88.1838
GOOGL,2004-12-02,87.8761
GOOGL,2004-12-03,87.7683
GOOGL,2004-12-06,87.9423
GOOGL,2004-12-07,87.9143
GOOGL,2004-12-08,87.9464
GOOGL,2004-12-09,88.086
GOOGL,2004-12-10,87.8009
GOOGL,2004-12-13,87.5113
GOOGL,2004-12-14,87.3563
GOOGL,2004-12-15,87.5377
GOOGL,2004-12-16,87.6373
GOOGL,2004-12-17,87.9517
GOOGL,2004-12-20,88.3435
GOOGL,2004-12-21,88.8112
GOOGL,2004-12-22,89.2821
GOOGL,2004-12-23,89.6116
GOOGL,2004-12-27,89.9256
GOOGL,2004-12-28,90.2192
GOOGL,2004-12-29,90.4931
GOOGL,2004-12-30,90.9355
GOOGL,2004-12-31,91.2712
GOOGL,2005-01-03,91.8307
GOOGL,2005-01-04,92.2874
GOOGL,2005-01-05,92.8411
GOOGL,2005-01-06,93.3068
GOOGL,2005-01-07,93.8189
GOOGL,2005-01-10,94.4059
GOOGL,2005-01-11,94.985
GOOGL,2005-01-12,95.4035
GOOGL,2005-01-13,95.7935
GOOGL,2005-01-14,96.3828
GOOGL,2005-01-18,96.9801
GOOGL,2005-01-19,97.2881
GOOGL,2005-01-20,97.5431
GOOGL,2005-01-21,97.5928
GOOGL,2005-01-24,97.4127
GOOGL,2005-01-25,97.0418
GOOGL,2005-01-26,96.9535
GOOGL,2005-01-27,96.8327
GOOGL,2005-01-28,96.6506
GOOGL,2005-01-31,96.7216
GOOGL,2005-02-01,96.4505
GOOGL,2005-02-02,96.7379
GOOGL,2005-02-03,97.173
GOOGL,2005-02-04,97.5694
GOOGL,2005-02-07,97.6241
GOOGL,2005-02-08,97.7139
GOOGL,2005-02-09,97.6647
GOOGL,2005-02-10,97.4792
GOOGL,2005-02-11,97.2803
GOOGL,2005-02-14,97.1053
GOOGL,2005-02-15,96.8878
GOOGL,2005-02-16,96.9157
GOOGL,2005-02-17,97.0155
GOOGL,2005-02-18,97.258
GOOGL,2005-02-22,97.5251
GOOGL,2005-02-23,97.9471
GOOGL,2005-02-24,97.9383
GOOGL,2005-02-25,97.8829
GOOGL,2005-02-28,97.824
GOOGL,2005-03-01,97.5842
GOOGL,2005-03-02,97.4157
GOOGL,2005-03-03,96.9404
GOOGL,2005-03-04,96.3144
GOOGL,2005-03-07,95.9245
GOOGL,2005-03-08,95.6529
GOOGL,2005-03-09,95.2193
GOOGL,2005-03-10,94.9284
GOOGL,2005-03-11,94.6731
GOOGL,2005-03-14,94.3619
GOOGL,2005-03-15,94.0013
GOOGL,2005-03-16,93.509
GOOGL,2005-03-17,93.0295
GOOGL,2005-03-18,92.5817
GOOGL,2005-03-21,92.1536
GOOGL,2005-03-22,91.8334
GOOGL,2005-03-23,91.4579
GOOGL,2005-03-24,91.2162
GOOGL,2005-03-28,91.1046
GOOGL,2005-03-29,90.8935
GOOGL,2005-03-30,90.7528
GOOGL,2005-03-31,90.6357
GOOGL,2005-04-01,90.461
GOOGL,2005-04-04,90.4457
GOOGL,2005-04-05,90.4397
GOOGL,2005-04-06,90.5405
GOOGL,2005-04-07,90.8517
GOOGL,2005-04-08,91.1544
GOOGL,2005-04-11,91.5413
GOOGL,2005-04-12,92.0169
GOOGL,2005-04-13,92.376
GOOGL,2005-04-14,92.7735
GOOGL,2005-04-15,92.9167
GOOGL,2005-04-18,93.0905
GOOGL,2005-04-19,93.3543
GOOGL,2005-04-20,93.8433
GOOGL,2005-04-21,94.4896
GOOGL,2005-04-22,95.4064
GOOGL,2005-04-25,96.4624
GOOGL,2005-04-26,97.4449
GOOGL,2005-04-27,98.4312
GOOGL,2005-04-28,99.4077
GOOGL,2005-04-29,100.4098
GOOGL,2005-05-02,101.3377
GOOGL,2005-05-03,102.2811
GOOGL,2005-05-04,103.2661
GOOGL,2005-05-05,104.0992
GOOGL,2005-05-06,105.0013
GOOGL,2005-05-09,105.8235
GOOGL,2005-05-10,106.6723
GOOGL,2005-05-11,107.6343
GOOGL,2005-05-12,108.5689
GOOGL,2005-05-13,109.6783
GOOGL,2005-05-16,110.7837
GOOGL,2005-05-17,111.8302
GOOGL,2005-05-18,112.8599
GOOGL,2005-05-19,113.7233
GOOGL,2005-05-20,114.3703
GOOGL,2005-05-23,115.1708
GOOGL,2005-05-24,116.1049
GOOGL,2005-05-25,117.1338
GOOGL,2005-05-26,118.1307
GOOGL,2005-05-27,119.2842
GOOGL,2005-05-31,120.663
GOOGL,2005-06-01,122.213
GOOGL,2005-06-02,123.7026
GOOGL,2005-06-03,125.0387
GOOGL,2005-06-06,126.6166
GOOGL,2005-06-07,128.2993
