SYMB,DATE,SMA
LNT,1999-11-29,5.5525
LNT,1999-11-30,5.545
LNT,1999-12-01,5.5355
LNT,1999-12-02,5.5274
LNT,1999-12-03,5.5179
LNT,1999-12-06,5.5072
LNT,1999-12-07,5.5022
LNT,1999-12-08,5.496
LNT,1999-12-09,5.4909
LNT,1999-12-10,5.4809
LNT,1999-12-13,5.4633
LNT,1999-12-14,5.4426
LNT,1999-12-15,5.4275
LNT,1999-12-16,5.4168
LNT,1999-12-17,5.4106
LNT,1999-12-20,5.4086
LNT,1999-12-21,5.4161
LNT,1999-12-22,5.4274
LNT,1999-12-23,5.438
LNT,1999-12-27,5.4512
LNT,1999-12-28,5.4731
LNT,1999-12-29,5.4801
LNT,1999-12-30,5.4845
LNT,1999-12-31,5.4876
LNT,2000-01-03,5.4851
LNT,2000-01-04,5.4794
LNT,2000-01-05,5.4856
LNT,2000-01-06,5.495
LNT,2000-01-07,5.5069
LNT,2000-01-10,5.5252
LNT,2000-01-11,5.5484
LNT,2000-01-12,5.5722
LNT,2000-01-13,5.593
LNT,2000-01-14,5.61
LNT,2000-01-18,5.6251
LNT,2000-01-19,5.6402
LNT,2000-01-20,5.6629
LNT,2000-01-21,5.7215
LNT,2000-01-24,5.7919
LNT,2000-01-25,5.8284
LNT,2000-01-26,5.8536
LNT,2000-01-27,5.88
LNT,2000-01-28,5.9064
LNT,2000-01-31,5.9347
LNT,2000-02-01,5.9699
LNT,2000-02-02,5.9956
LNT,2000-02-03,6.0144
LNT,2000-02-04,6.0288
LNT,2000-02-07,6.0393
LNT,2000-02-08,6.0499
LNT,2000-02-09,6.0629
LNT,2000-02-10,6.0774
LNT,2000-02-11,6.0939
LNT,2000-02-14,6.1166
LNT,2000-02-15,6.1509
LNT,2000-02-16,6.1799
LNT,2000-02-17,6.1958
LNT,2000-02-18,6.1688
LNT,2000-02-22,6.1274
LNT,2000-02-23,6.1147
LNT,2000-02-24,6.1045
LNT,2000-02-25,6.0898
LNT,2000-02-28,6.0764
LNT,2000-02-29,6.0591
LNT,2000-03-01,6.0394
LNT,2000-03-02,6.0253
LNT,2000-03-03,6.0042
LNT,2000-03-06,5.9863
LNT,2000-03-07,5.9716
LNT,2000-03-08,5.9658
LNT,2000-03-09,5.9582
LNT,2000-03-10,5.9434
LNT,2000-03-13,5.9191
LNT,2000-03-14,5.8896
LNT,2000-03-15,5.8544
LNT,2000-03-16,5.852
LNT,2000-03-17,5.8353
LNT,2000-03-20,5.8282
LNT,2000-03-21,5.8192
LNT,2000-03-22,5.8078
LNT,2000-03-23,5.8084
LNT,2000-03-24,5.8135
LNT,2000-03-27,5.8128
LNT,2000-03-28,5.809
LNT,2000-03-29,5.8185
LNT,2000-03-30,5.837
LNT,2000-03-31,5.8677
LNT,2000-04-03,5.8921
LNT,2000-04-04,5.9101
LNT,2000-04-05,5.9254
LNT,2000-04-06,5.935
LNT,2000-04-07,5.9447
LNT,2000-04-10,5.9619
LNT,2000-04-11,5.9843
LNT,2000-04-12,6.0048
LNT,2000-04-13,5.9977
LNT,2000-04-14,5.9965
LNT,2000-04-17,5.9998
LNT,2000-04-18,6.012
LNT,2000-04-19,6.0285
LNT,2000-04-20,6.0382
LNT,2000-04-24,6.0522
LNT,2000-04-25,6.0765
LNT,2000-04-26,6.1219
LNT,2000-04-27,6.1481
LNT,2000-04-28,6.16
LNT,2000-05-01,6.1564
LNT,2000-05-02,6.1501
LNT,2000-05-03,6.1469
LNT,2000-05-04,6.1505
LNT,2000-05-05,6.1488
LNT,2000-05-08,6.1568
LNT,2000-05-09,6.1557
LNT,2000-05-10,6.1553
LNT,2000-05-11,6.1588
LNT,2000-05-12,6.1539
LNT,2000-05-15,6.1696
LNT,2000-05-16,6.1737
LNT,2000-05-17,6.1663
LNT,2000-05-18,6.1653
LNT,2000-05-19,6.1579
LNT,2000-05-22,6.1491
