SYMB,DATE,SMA
MMM,1999-11-29,28.6669
MMM,1999-11-30,28.6978
MMM,1999-12-01,28.699
MMM,1999-12-02,28.7467
MMM,1999-12-03,28.8222
MMM,1999-12-06,28.8615
MMM,1999-12-07,28.8395
MMM,1999-12-08,28.8463
MMM,1999-12-09,28.8383
MMM,1999-12-10,28.845
MMM,1999-12-13,28.8239
MMM,1999-12-14,28.7835
MMM,1999-12-15,28.7048
MMM,1999-12-16,28.5887
MMM,1999-12-17,28.4747
MMM,1999-12-20,28.3432
MMM,1999-12-21,28.2401
MMM,1999-12-22,28.1741
MMM,1999-12-23,28.1295
MMM,1999-12-27,28.1035
MMM,1999-12-28,28.1323
MMM,1999-12-29,28.1611
MMM,1999-12-30,28.19
MMM,1999-12-31,28.2002
MMM,2000-01-03,28.1269
MMM,2000-01-04,28.0202
MMM,2000-01-05,28.0537
MMM,2000-01-06,28.1547
MMM,2000-01-07,28.2902
MMM,2000-01-10,28.4144
MMM,2000-01-11,28.5149
MMM,2000-01-12,28.6132
MMM,2000-01-13,28.6957
MMM,2000-01-14,28.7793
MMM,2000-01-18,28.809
MMM,2000-01-19,28.8885
MMM,2000-01-20,28.9351
MMM,2000-01-21,28.9741
MMM,2000-01-24,28.9695
MMM,2000-01-25,28.9343
MMM,2000-01-26,28.9258
MMM,2000-01-27,28.9073
MMM,2000-01-28,28.8459
MMM,2000-01-31,28.7827
MMM,2000-02-01,28.779
MMM,2000-02-02,28.8068
MMM,2000-02-03,28.7538
MMM,2000-02-04,28.5793
MMM,2000-02-07,28.3538
MMM,2000-02-08,28.1366
MMM,2000-02-09,27.9453
MMM,2000-02-10,27.7253
MMM,2000-02-11,27.4598
MMM,2000-02-14,27.2155
MMM,2000-02-15,27.0966
MMM,2000-02-16,26.9405
MMM,2000-02-17,26.8587
MMM,2000-02-18,26.749
MMM,2000-02-22,26.7101
MMM,2000-02-23,26.7325
MMM,2000-02-24,26.6621
MMM,2000-02-25,26.514
MMM,2000-02-28,26.4357
MMM,2000-02-29,26.3631
MMM,2000-03-01,26.2522
MMM,2000-03-02,26.1645
MMM,2000-03-03,26.1403
MMM,2000-03-06,26.1215
MMM,2000-03-07,26.0567
MMM,2000-03-08,25.9882
MMM,2000-03-09,25.8963
MMM,2000-03-10,25.837
MMM,2000-03-13,25.7858
MMM,2000-03-14,25.7374
MMM,2000-03-15,25.6466
MMM,2000-03-16,25.6511
MMM,2000-03-17,25.6034
MMM,2000-03-20,25.6032
MMM,2000-03-21,25.6162
MMM,2000-03-22,25.5218
MMM,2000-03-23,25.462
MMM,2000-03-24,25.5387
MMM,2000-03-27,25.5715
MMM,2000-03-28,25.5818
MMM,2000-03-29,25.6043
MMM,2000-03-30,25.6482
MMM,2000-03-31,25.6342
MMM,2000-04-03,25.7034
MMM,2000-04-04,25.8559
MMM,2000-04-05,25.9841
MMM,2000-04-06,26.1702
MMM,2000-04-07,26.3217
MMM,2000-04-10,26.5274
MMM,2000-04-11,26.7714
MMM,2000-04-12,26.9528
MMM,2000-04-13,27.0529
MMM,2000-04-14,27.1267
MMM,2000-04-17,27.1697
MMM,2000-04-18,27.1614
MMM,2000-04-19,27.2278
MMM,2000-04-20,27.3063
MMM,2000-04-24,27.4036
MMM,2000-04-25,27.4811
MMM,2000-04-26,27.4819
MMM,2000-04-27,27.4791
MMM,2000-04-28,27.4437
MMM,2000-05-01,27.4194
MMM,2000-05-02,27.3455
MMM,2000-05-03,27.2389
MMM,2000-05-04,27.1537
MMM,2000-05-05,27.0537
MMM,2000-05-08,26.989
MMM,2000-05-09,26.8881
MMM,2000-05-10,26.7459
MMM,2000-05-11,26.616
MMM,2000-05-12,26.4683
MMM,2000-05-15,26.3955
MMM,2000-05-16,26.3981
MMM,2000-05-17,26.3787
MMM,2000-05-18,26.3367
MMM,2000-05-19,26.2291
MMM,2000-05-22,26.0401
MMM,2000-05-23,25.9036
MMM,2000-05-24,25.9011
MMM,2000-05-25,25.872
MMM,2000-05-26,25.841
MMM,2000-05-30,25.8223
MMM,2000-05-31,25.8251
MMM,2000-06-01,25.8196
MMM,2000-06-02,25.811
MMM,2000-06-05,25.795
MMM,2000-06-06,25.7283
MMM,2000-06-07,25.6728
MMM,2000-06-08,25.6182
MMM,2000-06-09,25.5664
MMM,2000-06-12,25.5308
MMM,2000-06-13,25.4782
MMM,2000-06-14,25.3987
MMM,2000-06-15,25.3752
MMM,2000-06-16,25.3357
MMM,2000-06-19,25.3207
MMM,2000-06-20,25.2906
MMM,2000-06-21,25.3225
MMM,2000-06-22,25.2904
MMM,2000-06-23,25.2829
MMM,2000-06-26,25.3055
MMM,2000-06-27,25.328
MMM,2000-06-28,25.3207
MMM,2000-06-29,25.3309
MMM,2000-06-30,25.3112
MMM,2000-07-03,25.2961
MMM,2000-07-05,25.3893
MMM,2000-07-06,25.4618
MMM,2000-07-07,25.5277
MMM,2000-07-10,25.6068
MMM,2000-07-11,25.7119
MMM,2000-07-12,25.835
MMM,2000-07-13,25.9159
MMM,2000-07-14,25.9376
MMM,2000-07-17,25.9799
MMM,2000-07-18,26.0477
MMM,2000-07-19,26.1126
MMM,2000-07-20,26.1163
MMM,2000-07-21,26.1211
MMM,2000-07-24,26.1907
MMM,2000-07-25,26.233
MMM,2000-07-26,26.2621
MMM,2000-07-27,26.3062
MMM,2000-07-28,26.3881
MMM,2000-07-31,26.4944
MMM,2000-08-01,26.5745
MMM,2000-08-02,26.6009
MMM,2000-08-03,26.6518
MMM,2000-08-04,26.7101
MMM,2000-08-07,26.7656
MMM,2000-08-08,26.8024
MMM,2000-08-09,26.8391
MMM,2000-08-10,26.9192
MMM,2000-08-11,27.0528
MMM,2000-08-14,27.1799
MMM,2000-08-15,27.2835
MMM,2000-08-16,27.3993
MMM,2000-08-17,27.531
MMM,2000-08-18,27.6628
MMM,2000-08-21,27.7513
MMM,2000-08-22,27.8718
MMM,2000-08-23,27.9916
MMM,2000-08-24,28.0878
MMM,2000-08-25,28.168
MMM,2000-08-28,28.253
MMM,2000-08-29,28.3407
MMM,2000-08-30,28.3963
MMM,2000-08-31,28.4512
MMM,2000-09-01,28.4972
MMM,2000-09-05,28.5262
MMM,2000-09-06,28.5762
MMM,2000-09-07,28.5715
MMM,2000-09-08,28.5053
MMM,2000-09-11,28.3958
MMM,2000-09-12,28.2889
MMM,2000-09-13,28.1706
MMM,2000-09-14,28.0399
MMM,2000-09-15,27.8953
MMM,2000-09-18,27.7231
MMM,2000-09-19,27.5642
MMM,2000-09-20,27.3524
MMM,2000-09-21,27.2085
MMM,2000-09-22,27.1091
MMM,2000-09-25,27.022
MMM,2000-09-26,26.9424
MMM,2000-09-27,26.8714
MMM,2000-09-28,26.8449
MMM,2000-09-29,26.8162
MMM,2000-10-02,26.804
MMM,2000-10-03,26.8305
MMM,2000-10-04,26.8512
MMM,2000-10-05,26.8758
MMM,2000-10-06,26.9099
MMM,2000-10-09,26.9524
MMM,2000-10-10,27.0292
MMM,2000-10-11,27.1315
MMM,2000-10-12,27.2206
MMM,2000-10-13,27.3095
MMM,2000-10-16,27.4458
MMM,2000-10-17,27.5557
MMM,2000-10-18,27.6978
MMM,2000-10-19,27.7365
MMM,2000-10-20,27.7214
MMM,2000-10-23,27.7185
MMM,2000-10-24,27.7212
MMM,2000-10-25,27.7241
