SYMB,DATE,SMA
MO,1999-11-29,1.8826
MO,1999-11-30,1.8919
MO,1999-12-01,1.9025
MO,1999-12-02,1.9012
MO,1999-12-03,1.9024
MO,1999-12-06,1.9047
MO,1999-12-07,1.9058
MO,1999-12-08,1.9046
MO,1999-12-09,1.9048
MO,1999-12-10,1.9076
MO,1999-12-13,1.9075
MO,1999-12-14,1.904
MO,1999-12-15,1.8965
MO,1999-12-16,1.8887
MO,1999-12-17,1.8784
MO,1999-12-20,1.8709
MO,1999-12-21,1.8561
MO,1999-12-22,1.8469
MO,1999-12-23,1.8367
MO,1999-12-27,1.8206
MO,1999-12-28,1.808
MO,1999-12-29,1.7989
MO,1999-12-30,1.7889
MO,1999-12-31,1.7771
MO,2000-01-03,1.768
MO,2000-01-04,1.7608
MO,2000-01-05,1.7548
MO,2000-01-06,1.7491
MO,2000-01-07,1.7471
MO,2000-01-10,1.7415
MO,2000-01-11,1.7396
MO,2000-01-12,1.7408
MO,2000-01-13,1.7443
MO,2000-01-14,1.7478
MO,2000-01-18,1.7487
MO,2000-01-19,1.7497
MO,2000-01-20,1.7481
MO,2000-01-21,1.7445
MO,2000-01-24,1.7392
MO,2000-01-25,1.7408
MO,2000-01-26,1.7368
MO,2000-01-27,1.7282
MO,2000-01-28,1.7172
MO,2000-01-31,1.7093
MO,2000-02-01,1.7002
MO,2000-02-02,1.6889
MO,2000-02-03,1.6782
MO,2000-02-04,1.6691
MO,2000-02-07,1.6574
MO,2000-02-08,1.6406
MO,2000-02-09,1.6238
MO,2000-02-10,1.6074
MO,2000-02-11,1.5871
MO,2000-02-14,1.5673
MO,2000-02-15,1.5528
MO,2000-02-16,1.5364
MO,2000-02-17,1.525
MO,2000-02-18,1.5161
MO,2000-02-22,1.5119
MO,2000-02-23,1.5058
MO,2000-02-24,1.5021
MO,2000-02-25,1.497
MO,2000-02-28,1.4944
MO,2000-02-29,1.4918
MO,2000-03-01,1.4897
MO,2000-03-02,1.4879
MO,2000-03-03,1.4853
MO,2000-03-06,1.4825
MO,2000-03-07,1.4787
