SYMB,DATE,HORA,VWAP
ABBV,2020-10-07,07:10:00,85.294
ABBV,2020-10-07,07:20:00,85.2871
ABBV,2020-10-07,07:25:00,85.286
ABBV,2020-10-07,07:40:00,85.2747
ABBV,2020-10-07,08:05:00,85.2691
ABBV,2020-10-07,08:10:00,85.2702
ABBV,2020-10-07,08:15:00,85.2742
ABBV,2020-10-07,08:20:00,85.2826
ABBV,2020-10-07,08:25:00,85.2844
ABBV,2020-10-07,08:30:00,85.2933
ABBV,2020-10-07,08:35:00,85.3023
ABBV,2020-10-07,08:40:00,85.3061
ABBV,2020-10-07,08:50:00,85.3113
ABBV,2020-10-07,08:55:00,85.3357
ABBV,2020-10-07,09:05:00,85.3366
ABBV,2020-10-07,09:10:00,85.3283
ABBV,2020-10-07,09:15:00,85.3287
ABBV,2020-10-07,09:20:00,85.329
ABBV,2020-10-07,09:25:00,85.3235
ABBV,2020-10-07,09:30:00,85.2817
ABBV,2020-10-07,09:35:00,85.2295
ABBV,2020-10-07,09:40:00,85.2384
ABBV,2020-10-07,09:45:00,85.2466
ABBV,2020-10-07,09:50:00,85.2571
ABBV,2020-10-07,09:55:00,85.2645
ABBV,2020-10-07,10:00:00,85.2655
ABBV,2020-10-07,10:05:00,85.2689
ABBV,2020-10-07,10:10:00,85.2873
ABBV,2020-10-07,10:15:00,85.2904
ABBV,2020-10-07,10:20:00,85.3064
ABBV,2020-10-07,10:25:00,85.3102
ABBV,2020-10-07,10:30:00,85.3131
ABBV,2020-10-07,10:35:00,85.3144
ABBV,2020-10-07,10:40:00,85.3162
ABBV,2020-10-07,10:45:00,85.3207
ABBV,2020-10-07,10:50:00,85.3241
ABBV,2020-10-07,10:55:00,85.3233
ABBV,2020-10-07,11:00:00,85.322
ABBV,2020-10-07,11:05:00,85.3208
ABBV,2020-10-07,11:10:00,85.32
ABBV,2020-10-07,11:15:00,85.3186
ABBV,2020-10-07,11:20:00,85.3184
ABBV,2020-10-07,11:25:00,85.3191
ABBV,2020-10-07,11:30:00,85.3217
ABBV,2020-10-07,11:35:00,85.3233
ABBV,2020-10-07,11:40:00,85.3237
ABBV,2020-10-07,11:45:00,85.3233
ABBV,2020-10-07,11:50:00,85.323
ABBV,2020-10-07,11:55:00,85.3215
ABBV,2020-10-07,12:00:00,85.3186
ABBV,2020-10-07,12:05:00,85.3127
ABBV,2020-10-07,12:10:00,85.3086
ABBV,2020-10-07,12:15:00,85.3049
ABBV,2020-10-07,12:20:00,85.3017
ABBV,2020-10-07,12:25:00,85.3007
ABBV,2020-10-07,12:30:00,85.2976
ABBV,2020-10-07,12:35:00,85.2969
ABBV,2020-10-07,12:40:00,85.2957
ABBV,2020-10-07,12:45:00,85.294
ABBV,2020-10-07,12:50:00,85.2916
ABBV,2020-10-07,12:55:00,85.2891
ABBV,2020-10-07,13:00:00,85.2876
ABBV,2020-10-07,13:05:00,85.2848
ABBV,2020-10-07,13:10:00,85.2829
ABBV,2020-10-07,13:15:00,85.2805
ABBV,2020-10-07,13:20:00,85.2775
ABBV,2020-10-07,13:25:00,85.276
ABBV,2020-10-07,13:30:00,85.2746
ABBV,2020-10-07,13:35:00,85.2732
ABBV,2020-10-07,13:40:00,85.2724
ABBV,2020-10-07,13:45:00,85.2743
ABBV,2020-10-07,13:50:00,85.2773
ABBV,2020-10-07,13:55:00,85.28
ABBV,2020-10-07,14:00:00,85.284
ABBV,2020-10-07,14:05:00,85.2854
ABBV,2020-10-07,14:10:00,85.2876
ABBV,2020-10-07,14:15:00,85.2896
ABBV,2020-10-07,14:20:00,85.2975
ABBV,2020-10-07,14:25:00,85.3134
ABBV,2020-10-07,14:30:00,85.3302
ABBV,2020-10-07,14:35:00,85.3394
ABBV,2020-10-07,14:40:00,85.3542
ABBV,2020-10-07,14:45:00,85.3621
ABBV,2020-10-07,14:50:00,85.3666
ABBV,2020-10-07,14:55:00,85.3712
ABBV,2020-10-07,15:00:00,85.3746
ABBV,2020-10-07,15:05:00,85.3819
ABBV,2020-10-07,15:10:00,85.387
ABBV,2020-10-07,15:15:00,85.3926
ABBV,2020-10-07,15:20:00,85.4003
ABBV,2020-10-07,15:25:00,85.4067
ABBV,2020-10-07,15:30:00,85.4132
ABBV,2020-10-07,15:35:00,85.4199
ABBV,2020-10-07,15:40:00,85.4281
ABBV,2020-10-07,15:45:00,85.4367
ABBV,2020-10-07,15:50:00,85.4518
ABBV,2020-10-07,15:55:00,85.4855
ABBV,2020-10-07,16:00:00,85.514
ABBV,2020-10-07,16:05:00,85.5243
ABBV,2020-10-07,16:15:00,85.5317
ABBV,2020-10-07,16:20:00,85.5318
ABBV,2020-10-07,16:45:00,85.5318
ABBV,2020-10-07,16:50:00,85.5318
ABBV,2020-10-07,19:25:00,85.5319
ABBV,2020-10-07,20:00:00,85.5319
ABBV,2020-10-08,05:35:00,86.4153
ABBV,2020-10-08,05:40:00,86.3581
ABBV,2020-10-08,06:00:00,86.4025
ABBV,2020-10-08,07:05:00,86.2947
ABBV,2020-10-08,07:10:00,86.2897
ABBV,2020-10-08,08:05:00,86.2368
ABBV,2020-10-08,08:15:00,86.2395
ABBV,2020-10-08,08:20:00,86.24
ABBV,2020-10-08,08:25:00,86.2418
ABBV,2020-10-08,08:30:00,86.2429
ABBV,2020-10-08,08:45:00,86.2365
ABBV,2020-10-08,09:00:00,86.2316
ABBV,2020-10-08,09:20:00,86.225
ABBV,2020-10-08,09:25:00,86.2157
ABBV,2020-10-08,09:30:00,86.2115
ABBV,2020-10-08,09:35:00,86.0137
ABBV,2020-10-08,09:40:00,86.1282
ABBV,2020-10-08,09:45:00,86.1931
ABBV,2020-10-08,09:50:00,86.3032
ABBV,2020-10-08,09:55:00,86.3627
ABBV,2020-10-08,10:00:00,86.4023
ABBV,2020-10-08,10:05:00,86.4505
ABBV,2020-10-08,10:10:00,86.4748
ABBV,2020-10-08,10:15:00,86.4848
ABBV,2020-10-08,10:20:00,86.4947
ABBV,2020-10-08,10:25:00,86.501
ABBV,2020-10-08,10:30:00,86.526
ABBV,2020-10-08,10:35:00,86.5555
ABBV,2020-10-08,10:40:00,86.5877
ABBV,2020-10-08,10:45:00,86.6308
ABBV,2020-10-08,10:50:00,86.6462
ABBV,2020-10-08,10:55:00,86.6625
ABBV,2020-10-08,11:00:00,86.6775
ABBV,2020-10-08,11:05:00,86.6933
ABBV,2020-10-08,11:10:00,86.7062
ABBV,2020-10-08,11:15:00,86.7139
ABBV,2020-10-08,11:20:00,86.7229
ABBV,2020-10-08,11:25:00,86.7447
ABBV,2020-10-08,11:30:00,86.7522
ABBV,2020-10-08,11:35:00,86.7562
ABBV,2020-10-08,11:40:00,86.7612
ABBV,2020-10-08,11:45:00,86.761
ABBV,2020-10-08,11:50:00,86.7546
ABBV,2020-10-08,11:55:00,86.7443
ABBV,2020-10-08,12:00:00,86.7396
ABBV,2020-10-08,12:05:00,86.7329
ABBV,2020-10-08,12:10:00,86.726
ABBV,2020-10-08,12:15:00,86.7212
ABBV,2020-10-08,12:20:00,86.7175
ABBV,2020-10-08,12:25:00,86.7049
ABBV,2020-10-08,12:30:00,86.7009
ABBV,2020-10-08,12:35:00,86.6975
ABBV,2020-10-08,12:40:00,86.6915
ABBV,2020-10-08,12:45:00,86.6847
ABBV,2020-10-08,12:50:00,86.6789
ABBV,2020-10-08,12:55:00,86.6755
ABBV,2020-10-08,13:00:00,86.6704
ABBV,2020-10-08,13:05:00,86.6682
ABBV,2020-10-08,13:10:00,86.6633
ABBV,2020-10-08,13:15:00,86.6606
ABBV,2020-10-08,13:20:00,86.6575
ABBV,2020-10-08,13:25:00,86.6515
ABBV,2020-10-08,13:30:00,86.6479
ABBV,2020-10-08,13:35:00,86.645
ABBV,2020-10-08,13:40:00,86.6423
ABBV,2020-10-08,13:45:00,86.6399
ABBV,2020-10-08,13:50:00,86.6376
ABBV,2020-10-08,13:55:00,86.6354
ABBV,2020-10-08,14:00:00,86.6319
ABBV,2020-10-08,14:05:00,86.6276
ABBV,2020-10-08,14:10:00,86.6249
ABBV,2020-10-08,14:15:00,86.6221
ABBV,2020-10-08,14:20:00,86.6193
ABBV,2020-10-08,14:25:00,86.6168
ABBV,2020-10-08,14:30:00,86.612
ABBV,2020-10-08,14:35:00,86.6094
ABBV,2020-10-08,14:40:00,86.6067
ABBV,2020-10-08,14:45:00,86.5988
ABBV,2020-10-08,14:50:00,86.5957
ABBV,2020-10-08,14:55:00,86.593
ABBV,2020-10-08,15:00:00,86.591
ABBV,2020-10-08,15:05:00,86.5878
ABBV,2020-10-08,15:10:00,86.5834
ABBV,2020-10-08,15:15:00,86.5761
ABBV,2020-10-08,15:20:00,86.566
ABBV,2020-10-08,15:25:00,86.5589
ABBV,2020-10-08,15:30:00,86.5515
ABBV,2020-10-08,15:35:00,86.5473
ABBV,2020-10-08,15:40:00,86.5432
ABBV,2020-10-08,15:45:00,86.5384
ABBV,2020-10-08,15:50:00,86.5305
ABBV,2020-10-08,15:55:00,86.5142
ABBV,2020-10-08,16:00:00,86.4933
ABBV,2020-10-08,16:05:00,86.4857
ABBV,2020-10-08,16:15:00,86.4857
ABBV,2020-10-08,16:25:00,86.4857
ABBV,2020-10-08,16:40:00,86.4857
ABBV,2020-10-08,16:55:00,86.4857
ABBV,2020-10-08,17:05:00,86.4857
ABBV,2020-10-08,17:10:00,86.4857
ABBV,2020-10-08,17:15:00,86.4857
ABBV,2020-10-08,17:25:00,86.4857
ABBV,2020-10-08,18:25:00,86.4856
ABBV,2020-10-08,18:45:00,86.4856
ABBV,2020-10-09,07:05:00,86.4777
ABBV,2020-10-09,07:15:00,86.4982
ABBV,2020-10-09,07:35:00,86.5188
ABBV,2020-10-09,07:40:00,86.5316
ABBV,2020-10-09,08:00:00,86.548
ABBV,2020-10-09,08:05:00,86.5595
ABBV,2020-10-09,08:10:00,86.5492
ABBV,2020-10-09,08:15:00,86.5519
