SYMB,DATE,HORA,VWAP
ABMD,2020-10-07,09:35:00,269.875
ABMD,2020-10-07,09:40:00,271.3596
ABMD,2020-10-07,09:45:00,271.3362
ABMD,2020-10-07,09:50:00,271.0825
ABMD,2020-10-07,09:55:00,270.8306
ABMD,2020-10-07,10:00:00,270.7551
ABMD,2020-10-07,10:05:00,270.6033
ABMD,2020-10-07,10:10:00,270.5969
ABMD,2020-10-07,10:15:00,270.4492
ABMD,2020-10-07,10:20:00,270.3671
ABMD,2020-10-07,10:25:00,270.3132
ABMD,2020-10-07,10:30:00,270.1877
ABMD,2020-10-07,10:35:00,270.0807
ABMD,2020-10-07,10:40:00,269.9719
ABMD,2020-10-07,10:45:00,269.8756
ABMD,2020-10-07,10:50:00,269.7464
ABMD,2020-10-07,10:55:00,269.6686
ABMD,2020-10-07,11:00:00,269.6447
ABMD,2020-10-07,11:05:00,269.6314
ABMD,2020-10-07,11:10:00,269.6265
ABMD,2020-10-07,11:15:00,269.6023
ABMD,2020-10-07,11:20:00,269.5428
ABMD,2020-10-07,11:25:00,269.539
ABMD,2020-10-07,11:40:00,269.5477
ABMD,2020-10-07,11:45:00,269.5812
ABMD,2020-10-07,11:50:00,269.6111
ABMD,2020-10-07,11:55:00,269.6256
ABMD,2020-10-07,12:00:00,269.6577
ABMD,2020-10-07,12:05:00,269.6873
ABMD,2020-10-07,12:20:00,269.6934
ABMD,2020-10-07,12:25:00,269.6993
ABMD,2020-10-07,12:30:00,269.711
ABMD,2020-10-07,12:35:00,269.7241
ABMD,2020-10-07,12:40:00,269.7245
ABMD,2020-10-07,12:45:00,269.727
ABMD,2020-10-07,12:50:00,269.7285
ABMD,2020-10-07,12:55:00,269.7283
ABMD,2020-10-07,13:00:00,269.7394
ABMD,2020-10-07,13:05:00,269.7386
ABMD,2020-10-07,13:10:00,269.7375
ABMD,2020-10-07,13:20:00,269.7386
ABMD,2020-10-07,13:25:00,269.7384
ABMD,2020-10-07,13:30:00,269.7367
ABMD,2020-10-07,13:35:00,269.7285
ABMD,2020-10-07,13:40:00,269.7263
ABMD,2020-10-07,13:45:00,269.7312
ABMD,2020-10-07,13:50:00,269.7326
ABMD,2020-10-07,13:55:00,269.7363
ABMD,2020-10-07,14:00:00,269.7371
ABMD,2020-10-07,14:05:00,269.7371
ABMD,2020-10-07,14:10:00,269.7366
ABMD,2020-10-07,14:15:00,269.731
ABMD,2020-10-07,14:20:00,269.7234
ABMD,2020-10-07,14:25:00,269.7394
ABMD,2020-10-07,14:30:00,269.7438
ABMD,2020-10-07,14:35:00,269.7461
ABMD,2020-10-07,14:40:00,269.7472
ABMD,2020-10-07,14:45:00,269.7491
ABMD,2020-10-07,14:50:00,269.7589
ABMD,2020-10-07,14:55:00,269.7668
ABMD,2020-10-07,15:00:00,269.7747
ABMD,2020-10-07,15:05:00,269.7805
ABMD,2020-10-07,15:10:00,269.8046
ABMD,2020-10-07,15:15:00,269.8071
ABMD,2020-10-07,15:20:00,269.8321
ABMD,2020-10-07,15:25:00,269.8329
ABMD,2020-10-07,15:30:00,269.8333
ABMD,2020-10-07,15:35:00,269.8317
ABMD,2020-10-07,15:40:00,269.8239
ABMD,2020-10-07,15:45:00,269.8146
ABMD,2020-10-07,15:50:00,269.8023
ABMD,2020-10-07,15:55:00,269.7789
ABMD,2020-10-07,16:00:00,269.7005
ABMD,2020-10-07,16:05:00,269.6238
ABMD,2020-10-08,09:35:00,271.2133
ABMD,2020-10-08,09:40:00,271.9097
ABMD,2020-10-08,09:45:00,271.8529
ABMD,2020-10-08,09:50:00,271.535
ABMD,2020-10-08,09:55:00,271.3275
ABMD,2020-10-08,10:00:00,271.1465
ABMD,2020-10-08,10:10:00,270.807
ABMD,2020-10-08,10:15:00,270.4111
ABMD,2020-10-08,10:20:00,270.2646
ABMD,2020-10-08,10:25:00,270.0649
ABMD,2020-10-08,10:30:00,269.8814
ABMD,2020-10-08,10:35:00,269.8477
ABMD,2020-10-08,10:40:00,269.5699
ABMD,2020-10-08,10:45:00,269.4149
ABMD,2020-10-08,10:50:00,269.3638
ABMD,2020-10-08,10:55:00,269.3501
ABMD,2020-10-08,11:05:00,269.3556
ABMD,2020-10-08,11:10:00,269.4032
ABMD,2020-10-08,11:15:00,269.4041
ABMD,2020-10-08,11:20:00,269.4094
ABMD,2020-10-08,11:25:00,269.4138
ABMD,2020-10-08,11:30:00,269.436
ABMD,2020-10-08,11:35:00,269.4497
ABMD,2020-10-08,11:40:00,269.4675
ABMD,2020-10-08,11:50:00,269.469
ABMD,2020-10-08,11:55:00,269.4675
ABMD,2020-10-08,12:00:00,269.4672
ABMD,2020-10-08,12:05:00,269.4703
ABMD,2020-10-08,12:10:00,269.4833
ABMD,2020-10-08,12:15:00,269.4923
ABMD,2020-10-08,12:20:00,269.4951
ABMD,2020-10-08,12:25:00,269.4975
ABMD,2020-10-08,12:35:00,269.5256
ABMD,2020-10-08,12:40:00,269.5524
ABMD,2020-10-08,12:45:00,269.6032
ABMD,2020-10-08,12:50:00,269.6509
ABMD,2020-10-08,12:55:00,269.7277
ABMD,2020-10-08,13:00:00,269.8292
ABMD,2020-10-08,13:05:00,269.8498
ABMD,2020-10-08,13:10:00,269.9201
ABMD,2020-10-08,13:15:00,269.9419
ABMD,2020-10-08,13:20:00,269.99
ABMD,2020-10-08,13:25:00,270.0098
ABMD,2020-10-08,13:30:00,270.0961
ABMD,2020-10-08,13:35:00,270.1431
ABMD,2020-10-08,13:40:00,270.1535
ABMD,2020-10-08,13:50:00,270.1742
ABMD,2020-10-08,13:55:00,270.2093
ABMD,2020-10-08,14:00:00,270.2721
ABMD,2020-10-08,14:05:00,270.2877
ABMD,2020-10-08,14:10:00,270.3344
ABMD,2020-10-08,14:15:00,270.3426
ABMD,2020-10-08,14:20:00,270.3481
ABMD,2020-10-08,14:25:00,270.3579
ABMD,2020-10-08,14:30:00,270.3669
ABMD,2020-10-08,14:35:00,270.377
ABMD,2020-10-08,14:40:00,270.4003
ABMD,2020-10-08,14:45:00,270.4108
ABMD,2020-10-08,14:50:00,270.4199
ABMD,2020-10-08,14:55:00,270.4343
ABMD,2020-10-08,15:00:00,270.4421
ABMD,2020-10-08,15:05:00,270.4474
ABMD,2020-10-08,15:10:00,270.4594
ABMD,2020-10-08,15:15:00,270.4662
ABMD,2020-10-08,15:20:00,270.4715
ABMD,2020-10-08,15:25:00,270.4735
ABMD,2020-10-08,15:30:00,270.4783
ABMD,2020-10-08,15:35:00,270.4821
ABMD,2020-10-08,15:40:00,270.4904
ABMD,2020-10-08,15:45:00,270.4931
ABMD,2020-10-08,15:50:00,270.4939
ABMD,2020-10-08,15:55:00,270.5021
ABMD,2020-10-08,16:00:00,270.542
ABMD,2020-10-08,16:05:00,270.5565
ABMD,2020-10-09,09:35:00,272.9322
ABMD,2020-10-09,09:40:00,272.9778
ABMD,2020-10-09,09:45:00,273.1095
ABMD,2020-10-09,09:50:00,273.0656
ABMD,2020-10-09,09:55:00,272.8793
ABMD,2020-10-09,10:05:00,272.8608
ABMD,2020-10-09,10:10:00,272.8423
ABMD,2020-10-09,10:15:00,272.8373
ABMD,2020-10-09,10:20:00,272.8286
ABMD,2020-10-09,10:25:00,272.8334
ABMD,2020-10-09,10:30:00,272.9057
ABMD,2020-10-09,10:35:00,272.9223
ABMD,2020-10-09,10:45:00,272.9457
ABMD,2020-10-09,10:55:00,273.0602
ABMD,2020-10-09,11:00:00,273.1205
ABMD,2020-10-09,11:05:00,273.3046
ABMD,2020-10-09,11:10:00,273.3478
ABMD,2020-10-09,11:15:00,273.3729
ABMD,2020-10-09,11:20:00,273.4794
ABMD,2020-10-09,11:25:00,273.544
ABMD,2020-10-09,11:30:00,273.565
ABMD,2020-10-09,11:35:00,273.5981
ABMD,2020-10-09,11:40:00,273.6498
ABMD,2020-10-09,11:45:00,273.678
ABMD,2020-10-09,11:50:00,273.7456
ABMD,2020-10-09,11:55:00,273.7637
ABMD,2020-10-09,12:00:00,273.7843
ABMD,2020-10-09,12:05:00,273.7874
ABMD,2020-10-09,12:10:00,273.8006
ABMD,2020-10-09,12:15:00,273.8073
ABMD,2020-10-09,12:20:00,273.8674
ABMD,2020-10-09,12:25:00,273.8777
ABMD,2020-10-09,12:30:00,273.8991
ABMD,2020-10-09,12:35:00,273.9067
ABMD,2020-10-09,12:40:00,273.9431
ABMD,2020-10-09,12:45:00,273.9531
ABMD,2020-10-09,12:50:00,273.961
ABMD,2020-10-09,13:00:00,274.0075
ABMD,2020-10-09,13:05:00,274.0171
ABMD,2020-10-09,13:10:00,274.0191
ABMD,2020-10-09,13:15:00,274.0192
ABMD,2020-10-09,13:20:00,274.0163
ABMD,2020-10-09,13:25:00,274.0156
ABMD,2020-10-09,13:30:00,274.015
ABMD,2020-10-09,13:35:00,274.0101
ABMD,2020-10-09,13:40:00,274.0095
ABMD,2020-10-09,13:50:00,273.9993
ABMD,2020-10-09,13:55:00,273.9944
ABMD,2020-10-09,14:00:00,273.9927
ABMD,2020-10-09,14:05:00,273.9946
ABMD,2020-10-09,14:10:00,274.0085
ABMD,2020-10-09,14:15:00,274.0094
ABMD,2020-10-09,14:20:00,274.0134
ABMD,2020-10-09,14:25:00,274.027
ABMD,2020-10-09,14:30:00,274.0338
ABMD,2020-10-09,14:35:00,274.038
ABMD,2020-10-09,14:40:00,274.0516
ABMD,2020-10-09,14:45:00,274.0565
ABMD,2020-10-09,14:50:00,274.0695
ABMD,2020-10-09,15:00:00,274.0802
ABMD,2020-10-09,15:05:00,274.0866
ABMD,2020-10-09,15:10:00,274.1077
ABMD,2020-10-09,15:15:00,274.1349
ABMD,2020-10-09,15:20:00,274.1413
ABMD,2020-10-09,15:25:00,274.2144
ABMD,2020-10-09,15:30:00,274.2247
ABMD,2020-10-09,15:35:00,274.2416
ABMD,2020-10-09,15:40:00,274.2528
ABMD,2020-10-09,15:45:00,274.2588
ABMD,2020-10-09,15:50:00,274.2598
ABMD,2020-10-09,15:55:00,274.1756
ABMD,2020-10-09,16:00:00,274.0562
ABMD,2020-10-09,16:05:00,274.0501
ABMD,2020-10-12,09:35:00,275.06
ABMD,2020-10-12,09:40:00,274.8309
ABMD,2020-10-12,09:45:00,274.5609
ABMD,2020-10-12,09:50:00,274.4183
ABMD,2020-10-12,09:55:00,274.6132
ABMD,2020-10-12,10:00:00,274.6563
ABMD,2020-10-12,10:05:00,274.4508
ABMD,2020-10-12,10:10:00,274.4026
ABMD,2020-10-12,10:15:00,274.3821
ABMD,2020-10-12,10:20:00,274.3131
ABMD,2020-10-12,10:25:00,274.214
ABMD,2020-10-12,10:30:00,274.2037
ABMD,2020-10-12,10:35:00,274.1906
ABMD,2020-10-12,10:40:00,274.137
ABMD,2020-10-12,10:45:00,274.1216
