SYMB,DATE,HORA,VWAP
ABT,2020-10-07,05:55:00,106.7234
ABT,2020-10-07,07:05:00,106.9049
ABT,2020-10-07,07:10:00,107.1324
ABT,2020-10-07,08:05:00,107.0408
ABT,2020-10-07,08:25:00,107.0203
ABT,2020-10-07,08:35:00,107.0897
ABT,2020-10-07,08:55:00,107.0943
ABT,2020-10-07,09:00:00,107.1327
ABT,2020-10-07,09:05:00,107.1336
ABT,2020-10-07,09:10:00,107.134
ABT,2020-10-07,09:20:00,107.1081
ABT,2020-10-07,09:30:00,107.0456
ABT,2020-10-07,09:35:00,107.0167
ABT,2020-10-07,09:40:00,107.0475
ABT,2020-10-07,09:45:00,107.0572
ABT,2020-10-07,09:50:00,107.0308
ABT,2020-10-07,09:55:00,106.9947
ABT,2020-10-07,10:00:00,106.9749
ABT,2020-10-07,10:05:00,106.9659
ABT,2020-10-07,10:10:00,106.9627
ABT,2020-10-07,10:15:00,106.9557
ABT,2020-10-07,10:20:00,106.967
ABT,2020-10-07,10:25:00,106.9825
ABT,2020-10-07,10:30:00,107.0015
ABT,2020-10-07,10:35:00,107.0168
ABT,2020-10-07,10:40:00,107.0311
ABT,2020-10-07,10:45:00,107.0391
ABT,2020-10-07,10:50:00,107.0599
ABT,2020-10-07,10:55:00,107.0792
ABT,2020-10-07,11:00:00,107.0852
ABT,2020-10-07,11:05:00,107.103
ABT,2020-10-07,11:10:00,107.1107
ABT,2020-10-07,11:15:00,107.1249
ABT,2020-10-07,11:20:00,107.132
ABT,2020-10-07,11:25:00,107.1408
ABT,2020-10-07,11:30:00,107.1536
ABT,2020-10-07,11:35:00,107.1649
ABT,2020-10-07,11:40:00,107.174
ABT,2020-10-07,11:45:00,107.2027
ABT,2020-10-07,11:50:00,107.2132
ABT,2020-10-07,11:55:00,107.2262
ABT,2020-10-07,12:00:00,107.2328
ABT,2020-10-07,12:05:00,107.2415
ABT,2020-10-07,12:10:00,107.2488
ABT,2020-10-07,12:15:00,107.2576
ABT,2020-10-07,12:20:00,107.262
ABT,2020-10-07,12:25:00,107.2679
ABT,2020-10-07,12:30:00,107.2715
ABT,2020-10-07,12:35:00,107.2754
ABT,2020-10-07,12:40:00,107.278
ABT,2020-10-07,12:45:00,107.2804
ABT,2020-10-07,12:50:00,107.282
ABT,2020-10-07,12:55:00,107.284
ABT,2020-10-07,13:00:00,107.2866
ABT,2020-10-07,13:05:00,107.2882
ABT,2020-10-07,13:10:00,107.2893
ABT,2020-10-07,13:15:00,107.2892
ABT,2020-10-07,13:20:00,107.2886
ABT,2020-10-07,13:25:00,107.285
ABT,2020-10-07,13:30:00,107.2834
ABT,2020-10-07,13:35:00,107.2834
ABT,2020-10-07,13:40:00,107.2851
ABT,2020-10-07,13:45:00,107.2896
ABT,2020-10-07,13:50:00,107.293
ABT,2020-10-07,13:55:00,107.3035
ABT,2020-10-07,14:00:00,107.3255
ABT,2020-10-07,14:05:00,107.33
ABT,2020-10-07,14:10:00,107.3342
ABT,2020-10-07,14:15:00,107.3377
ABT,2020-10-07,14:20:00,107.3404
ABT,2020-10-07,14:25:00,107.3452
ABT,2020-10-07,14:30:00,107.3487
ABT,2020-10-07,14:35:00,107.3525
ABT,2020-10-07,14:40:00,107.3553
ABT,2020-10-07,14:45:00,107.3588
ABT,2020-10-07,14:50:00,107.361
ABT,2020-10-07,14:55:00,107.3646
ABT,2020-10-07,15:00:00,107.3674
ABT,2020-10-07,15:05:00,107.3699
ABT,2020-10-07,15:10:00,107.3728
ABT,2020-10-07,15:15:00,107.3769
ABT,2020-10-07,15:20:00,107.3783
ABT,2020-10-07,15:25:00,107.3795
ABT,2020-10-07,15:30:00,107.3809
ABT,2020-10-07,15:35:00,107.3822
ABT,2020-10-07,15:40:00,107.3847
ABT,2020-10-07,15:45:00,107.3873
ABT,2020-10-07,15:50:00,107.3888
ABT,2020-10-07,15:55:00,107.3923
ABT,2020-10-07,16:00:00,107.3972
ABT,2020-10-07,16:05:00,107.3969
ABT,2020-10-07,16:15:00,107.3968
ABT,2020-10-07,16:20:00,107.3968
ABT,2020-10-07,16:25:00,107.3967
ABT,2020-10-07,16:40:00,107.3966
ABT,2020-10-07,17:15:00,107.3966
ABT,2020-10-07,17:55:00,107.3967
ABT,2020-10-08,05:20:00,107.5407
ABT,2020-10-08,07:05:00,107.5914
ABT,2020-10-08,07:30:00,107.8695
ABT,2020-10-08,08:05:00,107.8775
ABT,2020-10-08,08:30:00,107.8978
ABT,2020-10-08,09:05:00,107.8892
ABT,2020-10-08,09:30:00,107.8453
ABT,2020-10-08,09:35:00,107.579
ABT,2020-10-08,09:40:00,107.521
ABT,2020-10-08,09:45:00,107.5358
ABT,2020-10-08,09:50:00,107.5521
ABT,2020-10-08,09:55:00,107.5719
ABT,2020-10-08,10:00:00,107.585
ABT,2020-10-08,10:05:00,107.5931
ABT,2020-10-08,10:10:00,107.6005
ABT,2020-10-08,10:15:00,107.5991
ABT,2020-10-08,10:20:00,107.5994
ABT,2020-10-08,10:25:00,107.6017
ABT,2020-10-08,10:30:00,107.6023
ABT,2020-10-08,10:35:00,107.6083
ABT,2020-10-08,10:40:00,107.6223
ABT,2020-10-08,10:45:00,107.6339
ABT,2020-10-08,10:50:00,107.6539
ABT,2020-10-08,10:55:00,107.6751
ABT,2020-10-08,11:00:00,107.6878
ABT,2020-10-08,11:05:00,107.7102
ABT,2020-10-08,11:10:00,107.737
ABT,2020-10-08,11:15:00,107.7507
ABT,2020-10-08,11:20:00,107.7692
ABT,2020-10-08,11:25:00,107.7841
ABT,2020-10-08,11:30:00,107.8048
ABT,2020-10-08,11:35:00,107.8263
ABT,2020-10-08,11:40:00,107.8679
ABT,2020-10-08,11:45:00,107.889
ABT,2020-10-08,11:50:00,107.9183
ABT,2020-10-08,11:55:00,107.939
ABT,2020-10-08,12:00:00,107.9581
ABT,2020-10-08,12:05:00,107.9732
ABT,2020-10-08,12:10:00,107.9899
ABT,2020-10-08,12:15:00,108.0057
ABT,2020-10-08,12:20:00,108.0176
ABT,2020-10-08,12:25:00,108.0292
ABT,2020-10-08,12:30:00,108.0368
ABT,2020-10-08,12:35:00,108.0461
ABT,2020-10-08,12:40:00,108.0536
ABT,2020-10-08,12:45:00,108.0614
ABT,2020-10-08,12:50:00,108.0697
ABT,2020-10-08,12:55:00,108.0765
ABT,2020-10-08,13:00:00,108.0835
ABT,2020-10-08,13:05:00,108.0951
ABT,2020-10-08,13:10:00,108.1053
ABT,2020-10-08,13:15:00,108.1132
ABT,2020-10-08,13:20:00,108.1205
ABT,2020-10-08,13:25:00,108.1316
ABT,2020-10-08,13:30:00,108.1384
ABT,2020-10-08,13:35:00,108.1479
ABT,2020-10-08,13:40:00,108.1553
ABT,2020-10-08,13:45:00,108.1599
ABT,2020-10-08,13:50:00,108.1658
ABT,2020-10-08,13:55:00,108.1735
ABT,2020-10-08,14:00:00,108.1757
ABT,2020-10-08,14:05:00,108.1726
ABT,2020-10-08,14:10:00,108.1714
ABT,2020-10-08,14:15:00,108.1701
ABT,2020-10-08,14:20:00,108.169
ABT,2020-10-08,14:25:00,108.1667
ABT,2020-10-08,14:30:00,108.164
ABT,2020-10-08,14:35:00,108.1595
ABT,2020-10-08,14:40:00,108.1539
ABT,2020-10-08,14:45:00,108.1484
ABT,2020-10-08,14:50:00,108.1396
ABT,2020-10-08,14:55:00,108.136
ABT,2020-10-08,15:00:00,108.1326
ABT,2020-10-08,15:05:00,108.1273
ABT,2020-10-08,15:10:00,108.1113
ABT,2020-10-08,15:15:00,108.1077
ABT,2020-10-08,15:20:00,108.1039
ABT,2020-10-08,15:25:00,108.1004
ABT,2020-10-08,15:30:00,108.0967
ABT,2020-10-08,15:35:00,108.0958
ABT,2020-10-08,15:40:00,108.0953
ABT,2020-10-08,15:45:00,108.0943
ABT,2020-10-08,15:50:00,108.0937
ABT,2020-10-08,15:55:00,108.0939
ABT,2020-10-08,16:00:00,108.0987
ABT,2020-10-08,16:05:00,108.1004
ABT,2020-10-08,16:10:00,108.1004
ABT,2020-10-08,16:15:00,108.1004
ABT,2020-10-08,16:25:00,108.1005
ABT,2020-10-08,17:40:00,108.1005
ABT,2020-10-08,18:50:00,108.1005
ABT,2020-10-09,08:55:00,109.0556
ABT,2020-10-09,09:25:00,108.853
ABT,2020-10-09,09:35:00,108.9524
ABT,2020-10-09,09:40:00,108.9698
ABT,2020-10-09,09:45:00,108.9678
ABT,2020-10-09,09:50:00,108.9793
ABT,2020-10-09,09:55:00,108.9712
ABT,2020-10-09,10:00:00,108.9602
ABT,2020-10-09,10:05:00,108.9447
ABT,2020-10-09,10:10:00,108.9299
ABT,2020-10-09,10:15:00,108.9091
ABT,2020-10-09,10:20:00,108.8929
ABT,2020-10-09,10:25:00,108.8723
ABT,2020-10-09,10:30:00,108.8503
ABT,2020-10-09,10:35:00,108.8301
ABT,2020-10-09,10:40:00,108.8179
ABT,2020-10-09,10:45:00,108.8125
ABT,2020-10-09,10:50:00,108.8113
ABT,2020-10-09,10:55:00,108.8157
ABT,2020-10-09,11:00:00,108.8161
ABT,2020-10-09,11:05:00,108.8175
ABT,2020-10-09,11:10:00,108.8253
ABT,2020-10-09,11:15:00,108.83
ABT,2020-10-09,11:20:00,108.8316
ABT,2020-10-09,11:25:00,108.8328
ABT,2020-10-09,11:30:00,108.8408
ABT,2020-10-09,11:35:00,108.849
ABT,2020-10-09,11:40:00,108.8566
ABT,2020-10-09,11:45:00,108.8722
ABT,2020-10-09,11:50:00,108.8851
ABT,2020-10-09,11:55:00,108.9008
ABT,2020-10-09,12:00:00,108.9133
ABT,2020-10-09,12:05:00,108.9322
ABT,2020-10-09,12:10:00,108.9521
ABT,2020-10-09,12:15:00,108.9689
ABT,2020-10-09,12:20:00,108.9812
ABT,2020-10-09,12:25:00,108.9919
ABT,2020-10-09,12:30:00,108.9988
ABT,2020-10-09,12:35:00,109.0047
ABT,2020-10-09,12:40:00,109.0084
ABT,2020-10-09,12:45:00,109.0115
ABT,2020-10-09,12:50:00,109.0153
ABT,2020-10-09,12:55:00,109.0171
ABT,2020-10-09,13:00:00,109.0195
ABT,2020-10-09,13:05:00,109.0211
ABT,2020-10-09,13:10:00,109.0223
ABT,2020-10-09,13:15:00,109.0217
ABT,2020-10-09,13:20:00,109.0199
ABT,2020-10-09,13:25:00,109.0157
ABT,2020-10-09,13:30:00,109.0128
ABT,2020-10-09,13:35:00,109.0105
ABT,2020-10-09,13:40:00,109.0074
ABT,2020-10-09,13:45:00,109.004
ABT,2020-10-09,13:50:00,109.0024
ABT,2020-10-09,13:55:00,109.0012
ABT,2020-10-09,14:00:00,109.002
ABT,2020-10-09,14:05:00,109.0026
ABT,2020-10-09,14:10:00,109.0024
ABT,2020-10-09,14:15:00,109.0025
ABT,2020-10-09,14:20:00,109.0029
ABT,2020-10-09,14:25:00,109.0028
ABT,2020-10-09,14:30:00,109.0029
ABT,2020-10-09,14:35:00,109.0044
ABT,2020-10-09,14:40:00,109.0039
ABT,2020-10-09,14:45:00,109.0049
ABT,2020-10-09,14:50:00,109.0066
ABT,2020-10-09,14:55:00,109.0081
ABT,2020-10-09,15:00:00,109.0093
ABT,2020-10-09,15:05:00,109.0137
ABT,2020-10-09,15:10:00,109.0158
ABT,2020-10-09,15:15:00,109.0173
ABT,2020-10-09,15:20:00,109.0194
ABT,2020-10-09,15:25:00,109.0231
ABT,2020-10-09,15:30:00,109.0264
ABT,2020-10-09,15:35:00,109.0281
ABT,2020-10-09,15:40:00,109.029
ABT,2020-10-09,15:45:00,109.0306
ABT,2020-10-09,15:50:00,109.0308
ABT,2020-10-09,15:55:00,109.0296
ABT,2020-10-09,16:00:00,109.0458
ABT,2020-10-09,16:05:00,109.0631
ABT,2020-10-09,16:15:00,109.0632
ABT,2020-10-09,16:55:00,109.0632
ABT,2020-10-09,17:55:00,109.0635
ABT,2020-10-09,18:30:00,109.0635
ABT,2020-10-09,18:50:00,109.0635
ABT,2020-10-09,18:55:00,109.0635
ABT,2020-10-09,19:00:00,109.0635
ABT,2020-10-09,19:05:00,109.0635
ABT,2020-10-09,19:20:00,109.0635
ABT,2020-10-12,07:05:00,109.6769
ABT,2020-10-12,07:15:00,109.72
ABT,2020-10-12,07:20:00,109.7373
