SYMB,DATE,HORA,VWAP
ACN,2020-10-07,08:05:00,220.2525
ACN,2020-10-07,09:10:00,219.8259
ACN,2020-10-07,09:35:00,221.1263
ACN,2020-10-07,09:40:00,221.0286
ACN,2020-10-07,09:45:00,220.9813
ACN,2020-10-07,09:50:00,220.9334
ACN,2020-10-07,09:55:00,220.9068
ACN,2020-10-07,10:00:00,220.8825
ACN,2020-10-07,10:05:00,220.7847
ACN,2020-10-07,10:10:00,220.6732
ACN,2020-10-07,10:15:00,220.5982
ACN,2020-10-07,10:20:00,220.539
ACN,2020-10-07,10:25:00,220.4716
ACN,2020-10-07,10:30:00,220.4395
ACN,2020-10-07,10:35:00,220.4325
ACN,2020-10-07,10:40:00,220.4364
ACN,2020-10-07,10:45:00,220.4517
ACN,2020-10-07,10:50:00,220.4623
ACN,2020-10-07,10:55:00,220.4792
ACN,2020-10-07,11:00:00,220.4992
ACN,2020-10-07,11:05:00,220.52
ACN,2020-10-07,11:10:00,220.5279
ACN,2020-10-07,11:15:00,220.5269
ACN,2020-10-07,11:20:00,220.5195
ACN,2020-10-07,11:25:00,220.5095
ACN,2020-10-07,11:30:00,220.5029
ACN,2020-10-07,11:35:00,220.4972
ACN,2020-10-07,11:40:00,220.4925
ACN,2020-10-07,11:45:00,220.482
ACN,2020-10-07,11:50:00,220.4753
ACN,2020-10-07,11:55:00,220.4632
ACN,2020-10-07,12:00:00,220.4542
ACN,2020-10-07,12:05:00,220.4471
ACN,2020-10-07,12:10:00,220.4403
ACN,2020-10-07,12:15:00,220.4345
ACN,2020-10-07,12:20:00,220.4308
ACN,2020-10-07,12:25:00,220.4253
ACN,2020-10-07,12:30:00,220.4051
ACN,2020-10-07,12:35:00,220.399
ACN,2020-10-07,12:40:00,220.3915
ACN,2020-10-07,12:45:00,220.3839
ACN,2020-10-07,12:50:00,220.3774
ACN,2020-10-07,12:55:00,220.3676
ACN,2020-10-07,13:00:00,220.3635
ACN,2020-10-07,13:05:00,220.361
ACN,2020-10-07,13:10:00,220.3593
ACN,2020-10-07,13:15:00,220.3577
ACN,2020-10-07,13:20:00,220.3561
ACN,2020-10-07,13:25:00,220.3549
ACN,2020-10-07,13:30:00,220.3515
ACN,2020-10-07,13:35:00,220.3485
ACN,2020-10-07,13:40:00,220.3481
ACN,2020-10-07,13:45:00,220.3561
ACN,2020-10-07,13:50:00,220.3659
ACN,2020-10-07,13:55:00,220.383
ACN,2020-10-07,14:00:00,220.4084
ACN,2020-10-07,14:05:00,220.4238
ACN,2020-10-07,14:10:00,220.4399
ACN,2020-10-07,14:15:00,220.4575
ACN,2020-10-07,14:20:00,220.5203
ACN,2020-10-07,14:25:00,220.5437
ACN,2020-10-07,14:30:00,220.565
ACN,2020-10-07,14:35:00,220.5811
ACN,2020-10-07,14:40:00,220.6
ACN,2020-10-07,14:45:00,220.6284
ACN,2020-10-07,14:50:00,220.6598
ACN,2020-10-07,14:55:00,220.7049
ACN,2020-10-07,15:00:00,220.7337
ACN,2020-10-07,15:05:00,220.7606
ACN,2020-10-07,15:10:00,220.7911
ACN,2020-10-07,15:15:00,220.8206
ACN,2020-10-07,15:20:00,220.8415
ACN,2020-10-07,15:25:00,220.8687
ACN,2020-10-07,15:30:00,220.9338
ACN,2020-10-07,15:35:00,221.0097
ACN,2020-10-07,15:40:00,221.1047
ACN,2020-10-07,15:45:00,221.1697
ACN,2020-10-07,15:50:00,221.2059
ACN,2020-10-07,15:55:00,221.2446
ACN,2020-10-07,16:00:00,221.3581
ACN,2020-10-07,16:05:00,221.4144
ACN,2020-10-07,16:15:00,221.4322
ACN,2020-10-08,08:55:00,225.7314
ACN,2020-10-08,09:35:00,224.8437
ACN,2020-10-08,09:40:00,224.8994
ACN,2020-10-08,09:45:00,225.0275
ACN,2020-10-08,09:50:00,225.0436
ACN,2020-10-08,09:55:00,225.0621
ACN,2020-10-08,10:00:00,225.09
ACN,2020-10-08,10:05:00,225.0949
ACN,2020-10-08,10:10:00,225.0944
ACN,2020-10-08,10:15:00,225.0757
ACN,2020-10-08,10:20:00,225.0602
ACN,2020-10-08,10:25:00,225.0666
ACN,2020-10-08,10:30:00,225.062
ACN,2020-10-08,10:35:00,225.0684
ACN,2020-10-08,10:40:00,225.0779
ACN,2020-10-08,10:45:00,225.0722
ACN,2020-10-08,10:50:00,225.0582
ACN,2020-10-08,10:55:00,225.0421
ACN,2020-10-08,11:00:00,225.0267
ACN,2020-10-08,11:05:00,224.992
ACN,2020-10-08,11:10:00,224.9803
ACN,2020-10-08,11:15:00,224.9636
ACN,2020-10-08,11:20:00,224.9454
ACN,2020-10-08,11:25:00,224.9242
ACN,2020-10-08,11:30:00,224.892
ACN,2020-10-08,11:35:00,224.8298
ACN,2020-10-08,11:40:00,224.7931
ACN,2020-10-08,11:45:00,224.7684
ACN,2020-10-08,11:50:00,224.7341
ACN,2020-10-08,11:55:00,224.7031
ACN,2020-10-08,12:00:00,224.6869
ACN,2020-10-08,12:05:00,224.67
ACN,2020-10-08,12:10:00,224.6624
ACN,2020-10-08,12:15:00,224.6568
ACN,2020-10-08,12:20:00,224.6517
ACN,2020-10-08,12:25:00,224.65
ACN,2020-10-08,12:30:00,224.6511
ACN,2020-10-08,12:35:00,224.6526
ACN,2020-10-08,12:40:00,224.6528
ACN,2020-10-08,12:45:00,224.6502
ACN,2020-10-08,12:50:00,224.6465
ACN,2020-10-08,12:55:00,224.6452
ACN,2020-10-08,13:00:00,224.6418
ACN,2020-10-08,13:05:00,224.6407
ACN,2020-10-08,13:10:00,224.639
ACN,2020-10-08,13:15:00,224.6348
ACN,2020-10-08,13:20:00,224.6321
ACN,2020-10-08,13:25:00,224.627
ACN,2020-10-08,13:30:00,224.623
ACN,2020-10-08,13:35:00,224.6144
ACN,2020-10-08,13:40:00,224.6107
ACN,2020-10-08,13:45:00,224.6057
ACN,2020-10-08,13:50:00,224.6018
ACN,2020-10-08,13:55:00,224.6012
ACN,2020-10-08,14:00:00,224.6001
ACN,2020-10-08,14:05:00,224.5968
ACN,2020-10-08,14:10:00,224.601
ACN,2020-10-08,14:15:00,224.6065
ACN,2020-10-08,14:20:00,224.6115
ACN,2020-10-08,14:25:00,224.616
ACN,2020-10-08,14:30:00,224.6189
ACN,2020-10-08,14:35:00,224.6272
ACN,2020-10-08,14:40:00,224.6299
ACN,2020-10-08,14:45:00,224.6339
ACN,2020-10-08,14:50:00,224.6365
ACN,2020-10-08,14:55:00,224.639
ACN,2020-10-08,15:00:00,224.6404
ACN,2020-10-08,15:05:00,224.6409
ACN,2020-10-08,15:10:00,224.6402
ACN,2020-10-08,15:15:00,224.6416
ACN,2020-10-08,15:20:00,224.6422
ACN,2020-10-08,15:25:00,224.6419
ACN,2020-10-08,15:30:00,224.6426
ACN,2020-10-08,15:35:00,224.6454
ACN,2020-10-08,15:40:00,224.65
ACN,2020-10-08,15:45:00,224.6509
ACN,2020-10-08,15:50:00,224.6495
ACN,2020-10-08,15:55:00,224.6538
ACN,2020-10-08,16:00:00,224.6576
ACN,2020-10-08,16:05:00,224.66
ACN,2020-10-08,16:15:00,224.66
ACN,2020-10-08,16:40:00,224.6601
ACN,2020-10-08,18:05:00,224.6602
ACN,2020-10-08,18:15:00,224.6603
ACN,2020-10-09,09:35:00,226.4467
ACN,2020-10-09,09:40:00,226.4762
ACN,2020-10-09,09:45:00,226.4633
ACN,2020-10-09,09:50:00,226.4447
ACN,2020-10-09,09:55:00,226.4828
ACN,2020-10-09,10:00:00,226.4848
ACN,2020-10-09,10:05:00,226.4808
ACN,2020-10-09,10:10:00,226.4793
ACN,2020-10-09,10:15:00,226.4794
ACN,2020-10-09,10:20:00,226.4773
ACN,2020-10-09,10:25:00,226.4878
ACN,2020-10-09,10:30:00,226.4993
ACN,2020-10-09,10:35:00,226.5354
ACN,2020-10-09,10:40:00,226.6404
ACN,2020-10-09,10:45:00,226.6879
ACN,2020-10-09,10:50:00,226.7431
ACN,2020-10-09,10:55:00,226.8491
ACN,2020-10-09,11:00:00,226.9131
ACN,2020-10-09,11:05:00,226.9716
ACN,2020-10-09,11:10:00,227.1565
ACN,2020-10-09,11:15:00,227.2047
ACN,2020-10-09,11:20:00,227.2229
ACN,2020-10-09,11:25:00,227.2507
ACN,2020-10-09,11:30:00,227.2766
ACN,2020-10-09,11:35:00,227.2994
ACN,2020-10-09,11:40:00,227.3242
ACN,2020-10-09,11:45:00,227.3813
ACN,2020-10-09,11:50:00,227.412
ACN,2020-10-09,11:55:00,227.4629
ACN,2020-10-09,12:00:00,227.4812
ACN,2020-10-09,12:05:00,227.4993
ACN,2020-10-09,12:10:00,227.5242
ACN,2020-10-09,12:15:00,227.5608
ACN,2020-10-09,12:20:00,227.5796
ACN,2020-10-09,12:25:00,227.5939
ACN,2020-10-09,12:30:00,227.6165
ACN,2020-10-09,12:35:00,227.6275
ACN,2020-10-09,12:40:00,227.6491
ACN,2020-10-09,12:45:00,227.6655
ACN,2020-10-09,12:50:00,227.6739
ACN,2020-10-09,12:55:00,227.6815
ACN,2020-10-09,13:00:00,227.6883
ACN,2020-10-09,13:05:00,227.7045
ACN,2020-10-09,13:10:00,227.711
ACN,2020-10-09,13:15:00,227.722
ACN,2020-10-09,13:20:00,227.7297
ACN,2020-10-09,13:25:00,227.736
ACN,2020-10-09,13:30:00,227.744
ACN,2020-10-09,13:35:00,227.7535
ACN,2020-10-09,13:40:00,227.775
ACN,2020-10-09,13:45:00,227.7903
ACN,2020-10-09,13:50:00,227.8011
ACN,2020-10-09,13:55:00,227.8093
ACN,2020-10-09,14:00:00,227.8365
ACN,2020-10-09,14:05:00,227.8462
ACN,2020-10-09,14:10:00,227.8594
ACN,2020-10-09,14:15:00,227.864
ACN,2020-10-09,14:20:00,227.8675
ACN,2020-10-09,14:25:00,227.8714
ACN,2020-10-09,14:30:00,227.8745
ACN,2020-10-09,14:35:00,227.8786
ACN,2020-10-09,14:40:00,227.8839
ACN,2020-10-09,14:45:00,227.8859
ACN,2020-10-09,14:50:00,227.8868
ACN,2020-10-09,14:55:00,227.8874
ACN,2020-10-09,15:00:00,227.8882
ACN,2020-10-09,15:05:00,227.8904
ACN,2020-10-09,15:10:00,227.8918
ACN,2020-10-09,15:15:00,227.8941
ACN,2020-10-09,15:20:00,227.8987
ACN,2020-10-09,15:25:00,227.9067
ACN,2020-10-09,15:30:00,227.9176
ACN,2020-10-09,15:35:00,227.9241
ACN,2020-10-09,15:40:00,227.9287
ACN,2020-10-09,15:45:00,227.9364
ACN,2020-10-09,15:50:00,227.941
ACN,2020-10-09,15:55:00,227.9493
ACN,2020-10-09,16:00:00,227.982
ACN,2020-10-09,16:05:00,228.0003
ACN,2020-10-09,16:15:00,228.001
ACN,2020-10-12,08:05:00,229.3081
ACN,2020-10-12,09:30:00,229.2729
ACN,2020-10-12,09:35:00,230.0129
ACN,2020-10-12,09:40:00,229.9119
ACN,2020-10-12,09:45:00,229.7851
ACN,2020-10-12,09:50:00,229.6432
ACN,2020-10-12,09:55:00,229.5828
ACN,2020-10-12,10:00:00,229.5276
ACN,2020-10-12,10:05:00,229.436
ACN,2020-10-12,10:10:00,229.3536
ACN,2020-10-12,10:15:00,229.3044
ACN,2020-10-12,10:20:00,229.2554
ACN,2020-10-12,10:25:00,229.1931
ACN,2020-10-12,10:30:00,229.1521
ACN,2020-10-12,10:35:00,229.1164
ACN,2020-10-12,10:40:00,229.0715
ACN,2020-10-12,10:45:00,229.0535
ACN,2020-10-12,10:50:00,229.0401
ACN,2020-10-12,10:55:00,229.0079
ACN,2020-10-12,11:00:00,228.9891
ACN,2020-10-12,11:05:00,228.9846
ACN,2020-10-12,11:10:00,228.9842
ACN,2020-10-12,11:15:00,228.9839
ACN,2020-10-12,11:20:00,228.9996
ACN,2020-10-12,11:25:00,229.0259
ACN,2020-10-12,11:30:00,229.0541
ACN,2020-10-12,11:35:00,229.0698
ACN,2020-10-12,11:40:00,229.0866
ACN,2020-10-12,11:45:00,229.1144
ACN,2020-10-12,11:50:00,229.126
ACN,2020-10-12,11:55:00,229.1384
ACN,2020-10-12,12:00:00,229.1482
ACN,2020-10-12,12:05:00,229.1559
ACN,2020-10-12,12:10:00,229.1714
ACN,2020-10-12,12:15:00,229.1874
ACN,2020-10-12,12:20:00,229.2093
ACN,2020-10-12,12:25:00,229.2308
ACN,2020-10-12,12:30:00,229.264
ACN,2020-10-12,12:35:00,229.3009
ACN,2020-10-12,12:40:00,229.3156
ACN,2020-10-12,12:45:00,229.3463
ACN,2020-10-12,12:50:00,229.3759
ACN,2020-10-12,12:55:00,229.4049
ACN,2020-10-12,13:00:00,229.4196
ACN,2020-10-12,13:05:00,229.437
ACN,2020-10-12,13:10:00,229.4475
ACN,2020-10-12,13:15:00,229.4587
ACN,2020-10-12,13:20:00,229.4926
ACN,2020-10-12,13:25:00,229.5167
ACN,2020-10-12,13:30:00,229.5482
ACN,2020-10-12,13:35:00,229.6156
ACN,2020-10-12,13:40:00,229.6417
ACN,2020-10-12,13:45:00,229.6604
ACN,2020-10-12,13:50:00,229.6802
ACN,2020-10-12,13:55:00,229.6865
ACN,2020-10-12,14:00:00,229.7047
ACN,2020-10-12,14:05:00,229.7237
ACN,2020-10-12,14:10:00,229.7385
ACN,2020-10-12,14:15:00,229.7552
ACN,2020-10-12,14:20:00,229.7816
ACN,2020-10-12,14:25:00,229.8031
ACN,2020-10-12,14:30:00,229.8237
ACN,2020-10-12,14:35:00,229.8421
ACN,2020-10-12,14:40:00,229.8662
ACN,2020-10-12,14:45:00,229.9004
ACN,2020-10-12,14:50:00,229.9334
ACN,2020-10-12,14:55:00,229.9689
ACN,2020-10-12,15:00:00,229.9873
ACN,2020-10-12,15:05:00,230.0081
ACN,2020-10-12,15:10:00,230.0323
ACN,2020-10-12,15:15:00,230.0513
ACN,2020-10-12,15:20:00,230.0705
ACN,2020-10-12,15:25:00,230.0864
ACN,2020-10-12,15:30:00,230.1053
ACN,2020-10-12,15:35:00,230.1226
ACN,2020-10-12,15:40:00,230.1464
ACN,2020-10-12,15:45:00,230.1592
ACN,2020-10-12,15:50:00,230.1671
ACN,2020-10-12,15:55:00,230.1706
ACN,2020-10-12,16:00:00,230.1965
ACN,2020-10-12,16:05:00,230.2211
ACN,2020-10-12,16:10:00,230.2212
ACN,2020-10-12,16:55:00,230.2212
ACN,2020-10-13,08:15:00,230.59
ACN,2020-10-13,09:35:00,231.0725
ACN,2020-10-13,09:40:00,231.1329
ACN,2020-10-13,09:45:00,231.1997
ACN,2020-10-13,09:50:00,231.2395
ACN,2020-10-13,09:55:00,231.22
ACN,2020-10-13,10:00:00,231.199
ACN,2020-10-13,10:05:00,231.1679
ACN,2020-10-13,10:10:00,231.1144
ACN,2020-10-13,10:15:00,231.0885
ACN,2020-10-13,10:20:00,231.0571
ACN,2020-10-13,10:25:00,231.0375
ACN,2020-10-13,10:30:00,231.0234
ACN,2020-10-13,10:35:00,230.9926
ACN,2020-10-13,10:40:00,230.946
ACN,2020-10-13,10:45:00,230.8713
ACN,2020-10-13,10:50:00,230.8462
ACN,2020-10-13,10:55:00,230.8359
ACN,2020-10-13,11:00:00,230.8195
ACN,2020-10-13,11:05:00,230.8021
ACN,2020-10-13,11:10:00,230.7911
ACN,2020-10-13,11:15:00,230.7821
ACN,2020-10-13,11:20:00,230.768
ACN,2020-10-13,11:25:00,230.7619
ACN,2020-10-13,11:30:00,230.7609
ACN,2020-10-13,11:35:00,230.7626
ACN,2020-10-13,11:40:00,230.7602
ACN,2020-10-13,11:45:00,230.7454
ACN,2020-10-13,11:50:00,230.7404
ACN,2020-10-13,11:55:00,230.7381
ACN,2020-10-13,12:00:00,230.7362
ACN,2020-10-13,12:05:00,230.735
ACN,2020-10-13,12:10:00,230.7327
ACN,2020-10-13,12:15:00,230.7154
ACN,2020-10-13,12:20:00,230.7036
ACN,2020-10-13,12:25:00,230.6972
