SYMB,DATE,HORA,VWAP
MMM,2020-10-07,07:15:00,164.28
MMM,2020-10-07,09:10:00,164.3314
MMM,2020-10-07,09:25:00,164.4303
MMM,2020-10-07,09:30:00,165.1506
MMM,2020-10-07,09:35:00,165.0983
MMM,2020-10-07,09:40:00,165.1411
MMM,2020-10-07,09:45:00,165.2013
MMM,2020-10-07,09:50:00,165.2874
MMM,2020-10-07,09:55:00,165.3482
MMM,2020-10-07,10:00:00,165.551
MMM,2020-10-07,10:05:00,165.6266
MMM,2020-10-07,10:10:00,165.692
MMM,2020-10-07,10:15:00,165.7522
MMM,2020-10-07,10:20:00,166.0194
MMM,2020-10-07,10:25:00,166.1257
MMM,2020-10-07,10:30:00,166.1842
MMM,2020-10-07,10:35:00,166.2379
MMM,2020-10-07,10:40:00,166.2616
MMM,2020-10-07,10:45:00,166.2913
MMM,2020-10-07,10:50:00,166.3033
MMM,2020-10-07,10:55:00,166.3115
MMM,2020-10-07,11:00:00,166.3207
MMM,2020-10-07,11:05:00,166.3208
MMM,2020-10-07,11:10:00,166.3229
MMM,2020-10-07,11:15:00,166.3201
MMM,2020-10-07,11:20:00,166.3157
MMM,2020-10-07,11:25:00,166.3041
MMM,2020-10-07,11:30:00,166.2961
MMM,2020-10-07,11:35:00,166.2912
MMM,2020-10-07,11:40:00,166.2859
MMM,2020-10-07,11:45:00,166.2825
MMM,2020-10-07,11:50:00,166.283
MMM,2020-10-07,11:55:00,166.2846
MMM,2020-10-07,12:00:00,166.2867
MMM,2020-10-07,12:05:00,166.2886
MMM,2020-10-07,12:10:00,166.2878
MMM,2020-10-07,12:15:00,166.2808
MMM,2020-10-07,12:20:00,166.2765
MMM,2020-10-07,12:25:00,166.2734
MMM,2020-10-07,12:30:00,166.2694
MMM,2020-10-07,12:35:00,166.2667
MMM,2020-10-07,12:40:00,166.2637
MMM,2020-10-07,12:45:00,166.2566
MMM,2020-10-07,12:50:00,166.2524
MMM,2020-10-07,12:55:00,166.2497
MMM,2020-10-07,13:00:00,166.2453
MMM,2020-10-07,13:05:00,166.2394
MMM,2020-10-07,13:10:00,166.2367
MMM,2020-10-07,13:15:00,166.2285
MMM,2020-10-07,13:20:00,166.2256
MMM,2020-10-07,13:25:00,166.2235
MMM,2020-10-07,13:30:00,166.2205
MMM,2020-10-07,13:35:00,166.2182
MMM,2020-10-07,13:40:00,166.215
MMM,2020-10-07,13:45:00,166.2123
MMM,2020-10-07,13:50:00,166.2121
MMM,2020-10-07,13:55:00,166.2157
MMM,2020-10-07,14:00:00,166.217
MMM,2020-10-07,14:05:00,166.2204
MMM,2020-10-07,14:10:00,166.2229
MMM,2020-10-07,14:15:00,166.2268
MMM,2020-10-07,14:20:00,166.2307
MMM,2020-10-07,14:25:00,166.2415
MMM,2020-10-07,14:30:00,166.2597
MMM,2020-10-07,14:35:00,166.2762
MMM,2020-10-07,14:40:00,166.2917
MMM,2020-10-07,14:45:00,166.3153
MMM,2020-10-07,14:50:00,166.3502
MMM,2020-10-07,14:55:00,166.3614
MMM,2020-10-07,15:00:00,166.3743
MMM,2020-10-07,15:05:00,166.3805
MMM,2020-10-07,15:10:00,166.3903
MMM,2020-10-07,15:15:00,166.402
MMM,2020-10-07,15:20:00,166.4105
MMM,2020-10-07,15:25:00,166.4164
MMM,2020-10-07,15:30:00,166.4259
MMM,2020-10-07,15:35:00,166.4293
MMM,2020-10-07,15:40:00,166.4353
MMM,2020-10-07,15:45:00,166.4409
MMM,2020-10-07,15:50:00,166.4481
MMM,2020-10-07,15:55:00,166.464
MMM,2020-10-07,16:00:00,166.4794
MMM,2020-10-07,16:05:00,166.4802
MMM,2020-10-07,16:55:00,166.4802
MMM,2020-10-08,07:05:00,166.75
MMM,2020-10-08,07:35:00,166.8433
MMM,2020-10-08,07:55:00,166.8446
MMM,2020-10-08,08:05:00,166.8706
MMM,2020-10-08,08:35:00,166.9169
MMM,2020-10-08,09:20:00,167.0127
MMM,2020-10-08,09:30:00,167.3385
MMM,2020-10-08,09:35:00,167.0667
MMM,2020-10-08,09:40:00,166.9269
MMM,2020-10-08,09:45:00,166.8563
MMM,2020-10-08,09:50:00,166.8184
MMM,2020-10-08,09:55:00,166.8258
MMM,2020-10-08,10:00:00,166.8481
MMM,2020-10-08,10:05:00,166.8839
MMM,2020-10-08,10:10:00,166.9085
MMM,2020-10-08,10:15:00,166.8981
MMM,2020-10-08,10:20:00,166.888
MMM,2020-10-08,10:25:00,166.9026
MMM,2020-10-08,10:30:00,166.9151
MMM,2020-10-08,10:35:00,166.9614
MMM,2020-10-08,10:40:00,166.9883
MMM,2020-10-08,10:45:00,167.1015
MMM,2020-10-08,10:50:00,167.1193
MMM,2020-10-08,10:55:00,167.1471
MMM,2020-10-08,11:00:00,167.1655
MMM,2020-10-08,11:05:00,167.1679
MMM,2020-10-08,11:10:00,167.1703
MMM,2020-10-08,11:15:00,167.1709
MMM,2020-10-08,11:20:00,167.18
MMM,2020-10-08,11:25:00,167.1776
MMM,2020-10-08,11:30:00,167.1748
MMM,2020-10-08,11:35:00,167.1504
MMM,2020-10-08,11:40:00,167.1311
MMM,2020-10-08,11:45:00,167.1248
MMM,2020-10-08,11:50:00,167.1246
MMM,2020-10-08,11:55:00,167.1198
MMM,2020-10-08,12:00:00,167.116
MMM,2020-10-08,12:05:00,167.1124
MMM,2020-10-08,12:10:00,167.1126
MMM,2020-10-08,12:15:00,167.1142
MMM,2020-10-08,12:20:00,167.1192
MMM,2020-10-08,12:25:00,167.1203
MMM,2020-10-08,12:30:00,167.1218
MMM,2020-10-08,12:35:00,167.1223
MMM,2020-10-08,12:40:00,167.1231
MMM,2020-10-08,12:45:00,167.1228
MMM,2020-10-08,12:50:00,167.1218
MMM,2020-10-08,12:55:00,167.1206
MMM,2020-10-08,13:00:00,167.1184
MMM,2020-10-08,13:05:00,167.1173
MMM,2020-10-08,13:10:00,167.1145
MMM,2020-10-08,13:15:00,167.1093
MMM,2020-10-08,13:20:00,167.1052
MMM,2020-10-08,13:25:00,167.1026
MMM,2020-10-08,13:30:00,167.1011
MMM,2020-10-08,13:35:00,167.0999
MMM,2020-10-08,13:40:00,167.0992
MMM,2020-10-08,13:45:00,167.0997
MMM,2020-10-08,13:50:00,167.0994
MMM,2020-10-08,13:55:00,167.0994
MMM,2020-10-08,14:00:00,167.0991
MMM,2020-10-08,14:05:00,167.099
MMM,2020-10-08,14:10:00,167.1011
MMM,2020-10-08,14:15:00,167.1037
MMM,2020-10-08,14:20:00,167.1091
MMM,2020-10-08,14:25:00,167.1164
MMM,2020-10-08,14:30:00,167.1198
MMM,2020-10-08,14:35:00,167.1234
MMM,2020-10-08,14:40:00,167.1266
MMM,2020-10-08,14:45:00,167.1321
MMM,2020-10-08,14:50:00,167.1368
MMM,2020-10-08,14:55:00,167.1381
MMM,2020-10-08,15:00:00,167.1397
MMM,2020-10-08,15:05:00,167.1398
MMM,2020-10-08,15:10:00,167.1401
MMM,2020-10-08,15:15:00,167.1441
MMM,2020-10-08,15:20:00,167.1495
MMM,2020-10-08,15:25:00,167.1568
MMM,2020-10-08,15:30:00,167.1675
MMM,2020-10-08,15:35:00,167.1755
MMM,2020-10-08,15:40:00,167.1836
MMM,2020-10-08,15:45:00,167.1954
MMM,2020-10-08,15:50:00,167.2188
MMM,2020-10-08,15:55:00,167.2411
MMM,2020-10-08,16:00:00,167.269
MMM,2020-10-08,16:05:00,167.2874
MMM,2020-10-08,16:10:00,167.3002
MMM,2020-10-08,16:15:00,167.328
MMM,2020-10-08,16:50:00,167.3281
MMM,2020-10-08,18:05:00,167.3282
MMM,2020-10-08,18:10:00,167.3283
MMM,2020-10-08,18:55:00,167.3284
MMM,2020-10-09,09:30:00,168.2833
MMM,2020-10-09,09:35:00,168.8346
MMM,2020-10-09,09:40:00,168.8035
MMM,2020-10-09,09:45:00,168.7847
