BRL_TO,DATA,HORA,OPEN,HIGH,LOW,CLOSE
CAD,2020-11-04,23:45:00,4.3068,4.3068,4.3033,4.3042
CAD,2020-11-04,23:30:00,4.307,4.307,4.306,4.306
CAD,2020-11-04,23:15:00,4.3112,4.3112,4.3112,4.3112
CAD,2020-11-04,23:00:00,4.3112,4.3112,4.3112,4.3112
CAD,2020-11-04,22:45:00,4.3123,4.3123,4.3104,4.3104
CAD,2020-11-04,22:30:00,4.313,4.313,4.3114,4.3119
CAD,2020-11-04,22:15:00,4.3044,4.3058,4.3044,4.3058
CAD,2020-11-04,22:00:00,4.3052,4.3052,4.3043,4.3046
CAD,2020-11-04,21:45:00,4.3084,4.3163,4.3074,4.3074
CAD,2020-11-04,21:30:00,4.307,4.3104,4.3066,4.3066
CAD,2020-11-04,21:15:00,4.3063,4.3063,4.3043,4.3043
CAD,2020-11-04,21:00:00,4.3177,4.3177,4.3093,4.3093
CAD,2020-11-04,20:45:00,4.3175,4.318,4.3166,4.3166
CAD,2020-11-04,20:30:00,4.3102,4.321,4.3102,4.321
CAD,2020-11-04,20:15:00,4.3079,4.3099,4.3064,4.3099
CAD,2020-11-04,20:00:00,4.3113,4.3113,4.3074,4.3093
CAD,2020-11-04,19:45:00,4.3125,4.3125,4.3097,4.3097
CAD,2020-11-04,19:30:00,4.3114,4.3135,4.3108,4.3108
CAD,2020-11-04,19:15:00,4.3051,4.3114,4.3051,4.3114
CAD,2020-11-04,19:00:00,4.3093,4.3106,4.3076,4.3076
CAD,2020-11-04,18:45:00,4.3075,4.3118,4.3075,4.3118
CAD,2020-11-04,18:30:00,4.3066,4.3086,4.3066,4.3073
CAD,2020-11-04,18:15:00,4.3112,4.3112,4.3082,4.3082
CAD,2020-11-04,18:00:00,4.3169,4.3206,4.3142,4.3142
CAD,2020-11-04,17:45:00,4.3181,4.3181,4.3132,4.3177
CAD,2020-11-04,17:30:00,4.3149,4.3165,4.3147,4.3147
CAD,2020-11-04,17:15:00,4.3107,4.3117,4.3107,4.3117
CAD,2020-11-04,17:00:00,4.3156,4.3156,4.3089,4.3089
CAD,2020-11-04,16:45:00,4.3118,4.3118,4.309,4.3101
CAD,2020-11-04,16:30:00,4.3137,4.3137,4.3115,4.3115
CAD,2020-11-04,16:15:00,4.3141,4.3147,4.3141,4.3147
CAD,2020-11-04,16:00:00,4.3192,4.3192,4.3147,4.3147
CAD,2020-11-04,15:45:00,4.3238,4.3238,4.3154,4.3154
CAD,2020-11-04,15:30:00,4.3203,4.3256,4.3201,4.3256
CAD,2020-11-04,15:15:00,4.3242,4.3243,4.3188,4.3188
CAD,2020-11-04,15:00:00,4.3274,4.3274,4.3207,4.3207
CAD,2020-11-04,14:45:00,4.3342,4.3342,4.3331,4.3333
CAD,2020-11-04,14:30:00,4.3267,4.335,4.3267,4.335
CAD,2020-11-04,14:15:00,4.3298,4.3338,4.3298,4.3332
CAD,2020-11-04,14:00:00,4.3299,4.3299,4.3285,4.3299
CAD,2020-11-04,13:45:00,4.3309,4.3349,4.3297,4.3297
CAD,2020-11-04,13:30:00,4.3327,4.3327,4.3313,4.3313
CAD,2020-11-04,13:15:00,4.3356,4.3356,4.3277,4.3306
CAD,2020-11-04,13:00:00,4.339,4.339,4.3322,4.3322
CAD,2020-11-04,12:45:00,4.3391,4.3394,4.3386,4.3394
CAD,2020-11-04,12:30:00,4.3475,4.3475,4.3354,4.3358
CAD,2020-11-04,12:15:00,4.3645,4.3645,4.3564,4.3564
CAD,2020-11-04,12:00:00,4.3591,4.3667,4.3591,4.3667
CAD,2020-11-04,11:45:00,4.3498,4.3563,4.3498,4.3563
CAD,2020-11-04,11:30:00,4.3502,4.3502,4.3476,4.3476
CAD,2020-11-04,11:15:00,4.3478,4.3517,4.3478,4.3517
CAD,2020-11-04,11:00:00,4.3496,4.351,4.3496,4.351
CAD,2020-11-04,10:45:00,4.3447,4.3471,4.3447,4.3471
CAD,2020-11-04,10:30:00,4.3477,4.348,4.3474,4.3474
CAD,2020-11-04,10:15:00,4.3472,4.3476,4.3469,4.3469
CAD,2020-11-04,10:00:00,4.3486,4.3492,4.3486,4.349
CAD,2020-11-04,09:45:00,4.3432,4.3461,4.3432,4.3461
CAD,2020-11-04,09:30:00,4.3384,4.3414,4.3384,4.3414
CAD,2020-11-04,09:15:00,4.3364,4.3385,4.3359,4.3359
CAD,2020-11-04,09:00:00,4.3387,4.3387,4.336,4.336
CAD,2020-11-04,08:45:00,4.3404,4.3404,4.3365,4.3365
CAD,2020-11-04,08:30:00,4.3309,4.3395,4.3309,4.3395
CAD,2020-11-04,08:15:00,4.3299,4.3299,4.3275,4.3298
CAD,2020-11-04,08:00:00,4.3221,4.3269,4.3221,4.3269
CAD,2020-11-04,07:45:00,4.3297,4.3297,4.3262,4.3262
CAD,2020-11-04,07:30:00,4.3333,4.3333,4.3273,4.3273
CAD,2020-11-04,07:15:00,4.3355,4.3361,4.3347,4.3347
CAD,2020-11-04,07:00:00,4.3384,4.3384,4.3361,4.3368
CAD,2020-11-04,06:45:00,4.3407,4.341,4.3378,4.3378
CAD,2020-11-04,06:30:00,4.3409,4.3419,4.3409,4.341
CAD,2020-11-04,06:15:00,4.3383,4.343,4.3383,4.343
CAD,2020-11-04,06:00:00,4.3402,4.3413,4.3402,4.3402
CAD,2020-11-04,05:45:00,4.3431,4.3432,4.3426,4.3426
CAD,2020-11-04,05:30:00,4.3447,4.3447,4.3417,4.3442
CAD,2020-11-04,05:15:00,4.3402,4.3461,4.3402,4.3461
CAD,2020-11-04,05:00:00,4.3404,4.3411,4.3404,4.3409
CAD,2020-11-04,04:45:00,4.3465,4.3465,4.3404,4.3404
CAD,2020-11-04,04:30:00,4.3418,4.3443,4.341,4.3443
CAD,2020-11-04,04:15:00,4.342,4.3438,4.342,4.3438
CAD,2020-11-04,04:00:00,4.3413,4.3413,4.3393,4.3408
CAD,2020-11-04,03:45:00,4.3386,4.3439,4.3386,4.3439
CAD,2020-11-04,03:30:00,4.345,4.3454,4.3394,4.3394
CAD,2020-11-04,03:15:00,4.339,4.3462,4.339,4.3421
CAD,2020-11-04,03:00:00,4.331,4.3389,4.331,4.3351
CAD,2020-11-04,02:45:00,4.3404,4.3404,4.3295,4.3295
CAD,2020-11-04,02:30:00,4.3514,4.3514,4.3449,4.3449
CAD,2020-11-04,02:15:00,4.361,4.361,4.3584,4.3599
CAD,2020-11-04,02:00:00,4.3601,4.3624,4.3575,4.3575
CAD,2020-11-04,01:45:00,4.3596,4.3614,4.3596,4.3614
CAD,2020-11-04,01:30:00,4.3643,4.366,4.3592,4.3592
CAD,2020-11-04,01:15:00,4.3638,4.3675,4.3638,4.3668
CAD,2020-11-04,01:00:00,4.3712,4.3712,4.3561,4.3561
CAD,2020-11-04,00:45:00,4.3752,4.3752,4.3698,4.3698
CAD,2020-11-04,00:30:00,4.3831,4.3831,4.3739,4.3739
CAD,2020-11-04,00:15:00,4.3792,4.3864,4.3792,4.3864
CAD,2020-11-04,00:00:00,4.3816,4.3842,4.3816,4.3842
CAD,2020-11-03,23:45:00,4.3845,4.3845,4.3833,4.3833
CAD,2020-11-03,23:30:00,4.3818,4.3823,4.3818,4.3823
CAD,2020-11-03,23:15:00,4.378,4.3814,4.378,4.3814
CAD,2020-11-03,23:00:00,4.3815,4.3815,4.3748,4.3748
