BRL_TO,DATA,HORA,OPEN,HIGH,LOW,CLOSE
EUR,2020-11-04,23:45:00,6.6343,6.6343,6.6331,6.6331
EUR,2020-11-04,23:30:00,6.636,6.636,6.6345,6.6345
EUR,2020-11-04,23:15:00,6.6389,6.6389,6.6389,6.6389
EUR,2020-11-04,23:00:00,6.6389,6.6389,6.6389,6.6389
EUR,2020-11-04,22:45:00,6.64,6.6404,6.6388,6.6388
EUR,2020-11-04,22:30:00,6.6424,6.6424,6.6397,6.6397
EUR,2020-11-04,22:15:00,6.6286,6.6303,6.6286,6.6303
EUR,2020-11-04,22:00:00,6.6295,6.6295,6.6289,6.6289
EUR,2020-11-04,21:45:00,6.6292,6.641,6.6292,6.6298
EUR,2020-11-04,21:30:00,6.6272,6.6302,6.6272,6.6284
EUR,2020-11-04,21:15:00,6.6348,6.6348,6.6256,6.6256
EUR,2020-11-04,21:00:00,6.6534,6.6534,6.635,6.635
EUR,2020-11-04,20:45:00,6.65,6.6534,6.65,6.6533
EUR,2020-11-04,20:30:00,6.6367,6.6557,6.6367,6.6557
EUR,2020-11-04,20:15:00,6.6315,6.6373,6.6313,6.6373
EUR,2020-11-04,20:00:00,6.6353,6.6353,6.6298,6.632
EUR,2020-11-04,19:45:00,6.634,6.6347,6.6324,6.6324
EUR,2020-11-04,19:30:00,6.6324,6.6347,6.6308,6.6308
EUR,2020-11-04,19:15:00,6.6212,6.6312,6.6212,6.6312
EUR,2020-11-04,19:00:00,6.6268,6.6294,6.6236,6.6236
EUR,2020-11-04,18:45:00,6.6179,6.6291,6.6179,6.6291
EUR,2020-11-04,18:30:00,6.6155,6.619,6.6155,6.619
EUR,2020-11-04,18:15:00,6.628,6.628,6.6202,6.6202
EUR,2020-11-04,18:00:00,6.6367,6.6425,6.6316,6.6316
EUR,2020-11-04,17:45:00,6.6401,6.6401,6.6304,6.6352
EUR,2020-11-04,17:30:00,6.6342,6.6355,6.6328,6.6328
EUR,2020-11-04,17:15:00,6.6309,6.6309,6.6279,6.6279
EUR,2020-11-04,17:00:00,6.6347,6.6347,6.6288,6.6288
EUR,2020-11-04,16:45:00,6.6348,6.6348,6.627,6.628
EUR,2020-11-04,16:30:00,6.6393,6.6393,6.6351,6.6351
EUR,2020-11-04,16:15:00,6.6346,6.6416,6.6346,6.6416
EUR,2020-11-04,16:00:00,6.6417,6.6417,6.637,6.637
EUR,2020-11-04,15:45:00,6.6552,6.6552,6.641,6.641
EUR,2020-11-04,15:30:00,6.6572,6.6592,6.653,6.6592
EUR,2020-11-04,15:15:00,6.6733,6.6733,6.6591,6.6591
EUR,2020-11-04,15:00:00,6.6768,6.6789,6.6678,6.6678
EUR,2020-11-04,14:45:00,6.6835,6.6835,6.6816,6.6816
EUR,2020-11-04,14:30:00,6.6727,6.6845,6.6727,6.6845
EUR,2020-11-04,14:15:00,6.681,6.6852,6.6805,6.6852
EUR,2020-11-04,14:00:00,6.6736,6.6809,6.6713,6.6809
EUR,2020-11-04,13:45:00,6.6723,6.6734,6.6701,6.6701
EUR,2020-11-04,13:30:00,6.6778,6.6778,6.6747,6.6766
EUR,2020-11-04,13:15:00,6.686,6.686,6.6692,6.6724
EUR,2020-11-04,13:00:00,6.6978,6.6978,6.68,6.68
EUR,2020-11-04,12:45:00,6.6961,6.6997,6.6927,6.6997
EUR,2020-11-04,12:30:00,6.7086,6.7086,6.689,6.6938
EUR,2020-11-04,12:15:00,6.7307,6.7307,6.72,6.72
EUR,2020-11-04,12:00:00,6.7256,6.7357,6.7256,6.7357
EUR,2020-11-04,11:45:00,6.7225,6.7248,6.7225,6.7244
EUR,2020-11-04,11:30:00,6.7202,6.7202,6.7195,6.7201
EUR,2020-11-04,11:15:00,6.7166,6.7244,6.7166,6.7244
EUR,2020-11-04,11:00:00,6.718,6.7207,6.718,6.7207
EUR,2020-11-04,10:45:00,6.7156,6.7172,6.7149,6.7149
EUR,2020-11-04,10:30:00,6.7147,6.7179,6.7147,6.7179
EUR,2020-11-04,10:15:00,6.7093,6.7116,6.7093,6.7112
EUR,2020-11-04,10:00:00,6.7176,6.7176,6.7106,6.7106
EUR,2020-11-04,09:45:00,6.7059,6.7105,6.7059,6.7105
EUR,2020-11-04,09:30:00,6.7068,6.7073,6.7063,6.7063
EUR,2020-11-04,09:15:00,6.7058,6.7096,6.7058,6.7073
EUR,2020-11-04,09:00:00,6.7135,6.7135,6.7065,6.7065
EUR,2020-11-04,08:45:00,6.7114,6.7171,6.7114,6.7141
EUR,2020-11-04,08:30:00,6.6999,6.7097,6.6999,6.7097
EUR,2020-11-04,08:15:00,6.6981,6.7023,6.6981,6.6997
EUR,2020-11-04,08:00:00,6.6869,6.7013,6.6869,6.7013
EUR,2020-11-04,07:45:00,6.6865,6.6907,6.6865,6.6907
EUR,2020-11-04,07:30:00,6.687,6.6887,6.6819,6.6819
EUR,2020-11-04,07:15:00,6.6879,6.6897,6.686,6.686
EUR,2020-11-04,07:00:00,6.6922,6.6922,6.6881,6.6904
EUR,2020-11-04,06:45:00,6.6969,6.6969,6.6897,6.6897
EUR,2020-11-04,06:30:00,6.6945,6.6972,6.6945,6.6967
EUR,2020-11-04,06:15:00,6.6935,6.6985,6.6935,6.6985
EUR,2020-11-04,06:00:00,6.6966,6.6971,6.6966,6.6971
EUR,2020-11-04,05:45:00,6.7016,6.7031,6.7001,6.7001
EUR,2020-11-04,05:30:00,6.703,6.705,6.7025,6.705
EUR,2020-11-04,05:15:00,6.697,6.7074,6.697,6.7074
EUR,2020-11-04,05:00:00,6.6998,6.6998,6.6967,6.6967
EUR,2020-11-04,04:45:00,6.7065,6.7065,6.6978,6.6978
EUR,2020-11-04,04:30:00,6.688,6.6995,6.688,6.6995
EUR,2020-11-04,04:15:00,6.6904,6.6922,6.6904,6.6914
EUR,2020-11-04,04:00:00,6.6896,6.6906,6.6859,6.6906
EUR,2020-11-04,03:45:00,6.6892,6.6921,6.6892,6.6921
EUR,2020-11-04,03:30:00,6.6947,6.6947,6.693,6.693
EUR,2020-11-04,03:15:00,6.6833,6.687,6.6797,6.687
EUR,2020-11-04,03:00:00,6.6738,6.6834,6.6738,6.6745
EUR,2020-11-04,02:45:00,6.6868,6.6868,6.6727,6.6727
EUR,2020-11-04,02:30:00,6.7058,6.7058,6.6901,6.6904
EUR,2020-11-04,02:15:00,6.7137,6.7141,6.7128,6.7141
EUR,2020-11-04,02:00:00,6.7139,6.7223,6.7118,6.7118
EUR,2020-11-04,01:45:00,6.712,6.7164,6.7105,6.7164
EUR,2020-11-04,01:30:00,6.7241,6.7283,6.7117,6.7117
EUR,2020-11-04,01:15:00,6.7247,6.7311,6.7247,6.7295
EUR,2020-11-04,01:00:00,6.7349,6.7349,6.7196,6.7196
EUR,2020-11-04,00:45:00,6.7461,6.7461,6.7315,6.7315
EUR,2020-11-04,00:30:00,6.761,6.761,6.7469,6.7469
EUR,2020-11-04,00:15:00,6.7488,6.7593,6.7488,6.7593
EUR,2020-11-04,00:00:00,6.7534,6.7575,6.7534,6.7575
EUR,2020-11-03,23:45:00,6.7557,6.7557,6.7545,6.7556
EUR,2020-11-03,23:30:00,6.7498,6.7501,6.7471,6.7501
EUR,2020-11-03,23:15:00,6.7418,6.7462,6.7418,6.7462
EUR,2020-11-03,23:00:00,6.7463,6.7463,6.7386,6.7386
