BRL_TO,DATA,HORA,OPEN,HIGH,LOW,CLOSE
GBP,2020-11-04,23:45:00,7.3284,7.3284,7.3244,7.3265
GBP,2020-11-04,23:30:00,7.3279,7.3279,7.3261,7.3261
GBP,2020-11-04,23:15:00,7.3456,7.3456,7.3456,7.3456
GBP,2020-11-04,23:00:00,7.3456,7.3456,7.3456,7.3456
GBP,2020-11-04,22:45:00,7.3559,7.3559,7.3506,7.3506
GBP,2020-11-04,22:30:00,7.3582,7.3582,7.3567,7.3567
GBP,2020-11-04,22:15:00,7.3435,7.3458,7.3435,7.3458
GBP,2020-11-04,22:00:00,7.3462,7.3462,7.3442,7.3442
GBP,2020-11-04,21:45:00,7.3427,7.3544,7.3427,7.3449
GBP,2020-11-04,21:30:00,7.3392,7.3415,7.3392,7.34
GBP,2020-11-04,21:15:00,7.3526,7.3526,7.3357,7.3357
GBP,2020-11-04,21:00:00,7.3713,7.3713,7.3546,7.3546
GBP,2020-11-04,20:45:00,7.37,7.3731,7.37,7.3731
GBP,2020-11-04,20:30:00,7.3571,7.375,7.3543,7.375
GBP,2020-11-04,20:15:00,7.3548,7.3582,7.3519,7.3582
GBP,2020-11-04,20:00:00,7.3524,7.3524,7.3467,7.3505
GBP,2020-11-04,19:45:00,7.3545,7.3545,7.3507,7.3507
GBP,2020-11-04,19:30:00,7.3524,7.3554,7.3508,7.3508
GBP,2020-11-04,19:15:00,7.3414,7.3501,7.3414,7.3501
GBP,2020-11-04,19:00:00,7.3515,7.3527,7.3453,7.3453
GBP,2020-11-04,18:45:00,7.3406,7.356,7.3406,7.356
GBP,2020-11-04,18:30:00,7.3393,7.3424,7.3393,7.3397
GBP,2020-11-04,18:15:00,7.353,7.353,7.3445,7.3445
GBP,2020-11-04,18:00:00,7.3617,7.3683,7.3578,7.3578
GBP,2020-11-04,17:45:00,7.3647,7.3647,7.3572,7.3603
GBP,2020-11-04,17:30:00,7.3574,7.3574,7.3514,7.3574
GBP,2020-11-04,17:15:00,7.3567,7.3567,7.3502,7.3502
GBP,2020-11-04,17:00:00,7.3613,7.3613,7.3575,7.3576
GBP,2020-11-04,16:45:00,7.3555,7.3555,7.3487,7.3506
GBP,2020-11-04,16:30:00,7.359,7.359,7.3523,7.3523
GBP,2020-11-04,16:15:00,7.3626,7.3654,7.3626,7.3654
GBP,2020-11-04,16:00:00,7.3744,7.3744,7.3626,7.3626
GBP,2020-11-04,15:45:00,7.392,7.392,7.3741,7.3741
GBP,2020-11-04,15:30:00,7.3866,7.395,7.3866,7.395
GBP,2020-11-04,15:15:00,7.4067,7.4067,7.3891,7.3891
GBP,2020-11-04,15:00:00,7.4043,7.4043,7.3965,7.3965
GBP,2020-11-04,14:45:00,7.4087,7.4139,7.4087,7.4139
GBP,2020-11-04,14:30:00,7.3976,7.4051,7.396,7.4051
GBP,2020-11-04,14:15:00,7.4057,7.4119,7.4057,7.4115
GBP,2020-11-04,14:00:00,7.3993,7.4036,7.3969,7.4036
GBP,2020-11-04,13:45:00,7.4034,7.4036,7.4008,7.4008
GBP,2020-11-04,13:30:00,7.4214,7.4214,7.4073,7.4084
GBP,2020-11-04,13:15:00,7.4387,7.4387,7.4196,7.4196
GBP,2020-11-04,13:00:00,7.4461,7.4461,7.434,7.434
GBP,2020-11-04,12:45:00,7.4435,7.4489,7.4414,7.4489
GBP,2020-11-04,12:30:00,7.4606,7.4606,7.4376,7.4395
GBP,2020-11-04,12:15:00,7.488,7.488,7.4724,7.4724
GBP,2020-11-04,12:00:00,7.4757,7.4916,7.4757,7.4916
GBP,2020-11-04,11:45:00,7.4693,7.4725,7.4693,7.4725
GBP,2020-11-04,11:30:00,7.4676,7.4676,7.4636,7.4636
GBP,2020-11-04,11:15:00,7.4664,7.4728,7.4664,7.4728
GBP,2020-11-04,11:00:00,7.4632,7.4752,7.4632,7.4752
GBP,2020-11-04,10:45:00,7.4557,7.4583,7.4557,7.4583
GBP,2020-11-04,10:30:00,7.4605,7.4605,7.4576,7.4584
GBP,2020-11-04,10:15:00,7.458,7.4585,7.4571,7.4571
GBP,2020-11-04,10:00:00,7.4552,7.4584,7.4552,7.4574
GBP,2020-11-04,09:45:00,7.4361,7.4404,7.4361,7.4404
GBP,2020-11-04,09:30:00,7.4359,7.4359,7.4332,7.4332
GBP,2020-11-04,09:15:00,7.4317,7.4391,7.4316,7.4316
GBP,2020-11-04,09:00:00,7.4405,7.4405,7.4293,7.4293
