,MMM,algo_volatility,algorithm_period_return,alpha,benchmark_period_return,benchmark_volatility,beta,capital_used,ending_cash,ending_exposure,ending_value,excess_return,gross_leverage,long_exposure,long_mavg,long_value,longs_count,max_drawdown,max_leverage,net_leverage,orders,period_close,period_label,period_open,pnl,portfolio_value,positions,returns,sharpe,short_exposure,short_mavg,short_value,shorts_count,sortino,starting_cash,starting_exposure,starting_value,trading_days,transactions,treasury_period_return
2020-06-16 20:00:00+00:00,,,0.0,,0.0,,,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,[],2020-06-16 20:00:00+00:00,2020-06,2020-06-16 13:31:00+00:00,0.0,100000.0,[],0.0,,0.0,,0.0,0,,100000.0,0.0,0.0,1,[],0.0
2020-06-17 20:00:00+00:00,,0.0,0.0,,0.0,0.0,,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,[],2020-06-17 20:00:00+00:00,2020-06,2020-06-17 13:31:00+00:00,0.0,100000.0,[],0.0,,0.0,,0.0,0,,100000.0,0.0,0.0,2,[],0.0
2020-06-18 20:00:00+00:00,,0.0,0.0,,0.0,0.0,,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,[],2020-06-18 20:00:00+00:00,2020-06,2020-06-18 13:31:00+00:00,0.0,100000.0,[],0.0,,0.0,,0.0,0,,100000.0,0.0,0.0,3,[],0.0
2020-06-19 20:00:00+00:00,,0.0,0.0,,0.0,0.0,,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,[],2020-06-19 20:00:00+00:00,2020-06,2020-06-19 13:31:00+00:00,0.0,100000.0,[],0.0,,0.0,,0.0,0,,100000.0,0.0,0.0,4,[],0.0
2020-06-22 20:00:00+00:00,,0.0,0.0,,0.0,0.0,,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,[],2020-06-22 20:00:00+00:00,2020-06,2020-06-22 13:31:00+00:00,0.0,100000.0,[],0.0,,0.0,,0.0,0,,100000.0,0.0,0.0,5,[],0.0
2020-06-23 20:00:00+00:00,,0.0,0.0,,0.0,0.0,,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,[],2020-06-23 20:00:00+00:00,2020-06,2020-06-23 13:31:00+00:00,0.0,100000.0,[],0.0,,0.0,,0.0,0,,100000.0,0.0,0.0,6,[],0.0
2020-06-24 20:00:00+00:00,,0.0,0.0,,0.0,0.0,,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,[],2020-06-24 20:00:00+00:00,2020-06,2020-06-24 13:31:00+00:00,0.0,100000.0,[],0.0,,0.0,,0.0,0,,100000.0,0.0,0.0,7,[],0.0
2020-06-25 20:00:00+00:00,,0.0,0.0,,0.0,0.0,,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,[],2020-06-25 20:00:00+00:00,2020-06,2020-06-25 13:31:00+00:00,0.0,100000.0,[],0.0,,0.0,,0.0,0,,100000.0,0.0,0.0,8,[],0.0
2020-06-26 20:00:00+00:00,,0.0,0.0,,0.0,0.0,,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,[],2020-06-26 20:00:00+00:00,2020-06,2020-06-26 13:31:00+00:00,0.0,100000.0,[],0.0,,0.0,,0.0,0,,100000.0,0.0,0.0,9,[],0.0
2020-06-29 20:00:00+00:00,,0.0,0.0,,0.0,0.0,,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,[],2020-06-29 20:00:00+00:00,2020-06,2020-06-29 13:31:00+00:00,0.0,100000.0,[],0.0,,0.0,,0.0,0,,100000.0,0.0,0.0,10,[],0.0
2020-06-30 20:00:00+00:00,,0.0,0.0,,0.0,0.0,,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,[],2020-06-30 20:00:00+00:00,2020-06,2020-06-30 13:31:00+00:00,0.0,100000.0,[],0.0,,0.0,,0.0,0,,100000.0,0.0,0.0,11,[],0.0
2020-07-01 20:00:00+00:00,,0.0,0.0,,0.0,0.0,,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,[],2020-07-01 20:00:00+00:00,2020-07,2020-07-01 13:31:00+00:00,0.0,100000.0,[],0.0,,0.0,,0.0,0,,100000.0,0.0,0.0,12,[],0.0
2020-07-02 20:00:00+00:00,,0.0,0.0,,0.0,0.0,,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,[],2020-07-02 20:00:00+00:00,2020-07,2020-07-02 13:31:00+00:00,0.0,100000.0,[],0.0,,0.0,,0.0,0,,100000.0,0.0,0.0,13,[],0.0
2020-07-06 20:00:00+00:00,,0.0,0.0,,0.0,0.0,,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,[],2020-07-06 20:00:00+00:00,2020-07,2020-07-06 13:31:00+00:00,0.0,100000.0,[],0.0,,0.0,,0.0,0,,100000.0,0.0,0.0,14,[],0.0
2020-07-07 20:00:00+00:00,,0.0,0.0,,0.0,0.0,,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,[],2020-07-07 20:00:00+00:00,2020-07,2020-07-07 13:31:00+00:00,0.0,100000.0,[],0.0,,0.0,,0.0,0,,100000.0,0.0,0.0,15,[],0.0
2020-07-08 20:00:00+00:00,,0.0,0.0,,0.0,0.0,,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,[],2020-07-08 20:00:00+00:00,2020-07,2020-07-08 13:31:00+00:00,0.0,100000.0,[],0.0,,0.0,,0.0,0,,100000.0,0.0,0.0,16,[],0.0
2020-07-09 20:00:00+00:00,,0.0,0.0,,0.0,0.0,,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,[],2020-07-09 20:00:00+00:00,2020-07,2020-07-09 13:31:00+00:00,0.0,100000.0,[],0.0,,0.0,,0.0,0,,100000.0,0.0,0.0,17,[],0.0
2020-07-10 20:00:00+00:00,,0.0,0.0,,0.0,0.0,,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,[],2020-07-10 20:00:00+00:00,2020-07,2020-07-10 13:31:00+00:00,0.0,100000.0,[],0.0,,0.0,,0.0,0,,100000.0,0.0,0.0,18,[],0.0
2020-07-13 20:00:00+00:00,,0.0,0.0,,0.0,0.0,,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,[],2020-07-13 20:00:00+00:00,2020-07,2020-07-13 13:31:00+00:00,0.0,100000.0,[],0.0,,0.0,,0.0,0,,100000.0,0.0,0.0,19,[],0.0
2020-07-14 20:00:00+00:00,,0.0,0.0,,0.0,0.0,,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,[],2020-07-14 20:00:00+00:00,2020-07,2020-07-14 13:31:00+00:00,0.0,100000.0,[],0.0,,0.0,,0.0,0,,100000.0,0.0,0.0,20,[],0.0
2020-07-15 20:00:00+00:00,,0.0,0.0,,0.0,0.0,,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,[],2020-07-15 20:00:00+00:00,2020-07,2020-07-15 13:31:00+00:00,0.0,100000.0,[],0.0,,0.0,,0.0,0,,100000.0,0.0,0.0,21,[],0.0
